#unit,prof_sciper,prof_last_name,prof_first_name,prof_usual_last_name,prof_usual_first_name,unit_size
APHYS,,,,,0
APRL,,,,,0
CEAT,100810,Chenal,Jérôme,,,6.8
CHANGE,357164,Bonetti,Sara,,,1.2
CRYOS,167659,Lehning,Michael,,,12.1
DISAL,105782,Martinoli,Alcherio,,,7.8
ECEO,150680,Tuia,Devis,,,7.8
ECHO,182281,Rinaldo,Andrea,,,4.5
ECOL,169209,Barry,David Andrew,,,9.3
ECOS,,,,,0
EERL,292363,Schmale,Julia,,,8.1
EML,171550,Bernier-Latmani,Rizlan,,,14.95
GR-CEL,113954,Breider,Florian Frédéric Vincent,,Florian,9.6
GR-LUD,169977,Ludwig,Christian,,,2.7
HERUS,265222,Binder Signer,Claudia Rebeca,Binder,Claudia R.,12.2
IIE-GE,169209,Barry,David Andrew,,,0.7
LAPI,296807,Nenes,Athanasios,,,10.4
LASIG,265222,Binder Signer,Claudia Rebeca,Binder,Claudia R.,7.65
LBE,121849,Holliger,Christof,,,10.95
LCE,173999,Kohn,Tamar,,,9.1
LGB,220185,Meibom,Anders,,,14.05
LTE,176402,Berne,Alexis,,,9.1
LTQE,210253,von Gunten,Urs,,,3.7
MACE,356328,Altshuler,Ianina,,,2.2
MICROBE,363241,Gu,Wenyu,,,1
PERL,318508,Grossiord,Charlotte,,,9.2
RIVER,253102,Battin,Tom Ian,,,11.3
SENSE,365575,Chappellaz,Jérôme,,,1.2
SLAB,265222,Binder Signer,Claudia Rebeca,Binder,Claudia R.,1
SOIL,349140,Aeppli,Meret,,,1.3
TOPO,265222,Binder Signer,Claudia Rebeca,Binder,Claudia R.,8.45
TOX,205918,Schirmer,Kristin,,,2
UPHCE,178483,Hering,Janet Gordon,,,1
WIRE,168244,Porté Agel,Fernando,Porté-Agel,,9.9
WR-LAB,325653,Freiin von Freyberg,Jana,von Freyberg,,2.2
