"UnitInitials","PageTitleDisplay","Score"
CEAT,Analysis,1.11886
CEAT,Innovation,2.41811
CEAT,Climate change denial,0.349999
CEAT,Smart city,0.726306
CEAT,Resource depletion,0.637416
CEAT,South Africa,1.91905
CEAT,Satellite navigation device,0.377433
CEAT,Plan,0.564656
CEAT,Cantons of Switzerland,0.702869
CEAT,Sustainability,0.818754
CEAT,Ecosystem service,3.71146
CEAT,Urban morphology,0.682798
CEAT,Landscape,0.910871
CEAT,Urban planner,3.25556
CEAT,African Americans,0.412746
CEAT,DE,1.53417
CEAT,ES,0.844994
CEAT,Human–computer interaction,0.387947
CEAT,Knowledge,1.94345
CEAT,Landscape ecology,1.09045
CEAT,Public space,1.76128
CEAT,Research,2.41495
CEAT,Decision-making,0.933714
CEAT,Science,0.685613
CEAT,Global North and Global South,1.83958
CEAT,Switzerland,1.02954
CEAT,Scientific method,0.908134
CEAT,Sustainable development,1.37195
CEAT,Case study,0.876058
CEAT,Debate,0.594441
CEAT,Planning,1.44882
CEAT,Sustainable Development Goals,0.810405
CEAT,Land,0.988382
CEAT,History of urban planning,0.768486
CEAT,Urban planning,8.07849
CEAT,Public health,0.89473
CEAT,Body mass index,0.740796
CEAT,Exploitation of natural resources,0.551187
CEAT,Neuchâtel,1.25387
CEAT,Urban design,1.23665
CEAT,Climate change,1.32077
CEAT,Sustainable city,0.551255
CEAT,Africa,3.00238
CEAT,City,3.68263
CEAT,Natural environment,0.574861
CEAT,Urbanization,4.26137
CEAT,Port-au-Prince,1.13922
CEAT,Urban sprawl,1.11771
CEAT,West Africa,5.09813
CEAT,École Polytechnique Fédérale de Lausanne,1.34012
CEAT,Urban area,5.63805
CEAT,Developing country,0.934837
CEAT,Health,0.703725
CEAT,Spatial planning,1.42266
CEAT,Urbanism,0.945702
CEAT,Ecosystem,1.56928
LASIG,Participatory planning,0.537124
LASIG,Sustainable development,1.10277
LASIG,Spatial analysis,0.309172
LASIG,Planning,1.38635
LASIG,Indicator,0.502266
LASIG,Spatial database,0.768194
LASIG,Urban planning,2.15756
LASIG,Decision support system,0.40585
LASIG,City,2.08092
LASIG,United Nations Development Programme,0.528641
