"SCIPER","PageTitleDisplay","Score"
100810,Sciences Po,0.141986
100810,French language,0.0647658
100810,Role,0.419711
100810,Axe,0.00347817
100810,Mathematical economics,0.0775135
100810,Urban green space,0.197131
100810,Paris,0.0456677
100810,Radon,0.0348595
100810,Participatory action research,0.0188962
100810,Time zone,0.301483
100810,OECD,0.0380855
100810,Brussels,0.010407
100810,Gender role,0.0393324
100810,Pluto,0.00445517
100810,French Air and Space Force,0.0478653
100810,Theories of urban planning,0.143554
100810,History of urban planning,0.0993929
100810,Urban planning,0.554186
100810,Urban design,0.106877
100810,Charles de Gaulle,0.0127615
100810,Village,0.0112701
100810,Gothic architecture,0.126044
100810,HEC Paris,0.0398016
100810,France,0.0295864
100810,West Africa,0.362123
100810,Demographics of France,0.029262
100810,Urban area,0.366738
100810,Quebec,0.0112009
100810,Henri Lefebvre,0.0695861
100810,Swiss cuisine,0.0315397
100810,Digital economy,0.0551769
105782,Wireless sensor network,0.366115
105782,Fast Fourier transform,0.0241816
105782,Artificial intelligence,0.422548
105782,Maximum likelihood estimation,0.0948701
105782,Computational economics,0.112776
105782,A.I. Artificial Intelligence,0.151626
105782,Digital signal processor,0.0903627
105782,Quorum sensing,0.124951
105782,Language,0.439855
105782,Microsoft Windows,0.014877
105782,Geography,0.0857013
105782,Birth control,0.108333
105782,Cybernetics,0.0545038
105782,Robotics,0.395186
105782,Operating system,0.12826
105782,Remote sensing,0.148542
105782,Programming language,0.532932
105782,Method (computer programming),0.0174749
105782,Machine learning,0.374944
105782,Military robot,0.0836672
105782,Physical chemistry,0.0400787
105782,Distributed artificial intelligence,0.261355
105782,Python (programming language),0.614277
105782,Knowledge,0.461443
105782,Distributed generation,0.0582341
105782,Robot,0.288623
105782,Measuring instrument,0.0778086
105782,Multi-armed bandit,0.0507313
105782,Self-organization,0.419652
105782,Robust statistics,0.0186058
105782,Signal processing,0.325163
105782,Computational fluid dynamics,0.124172
105782,Tool,0.335049
105782,"3D modeling",0.128936
105782,Particle swarm optimization,0.0850383
105782,Delphi method,0.0984313
105782,Mobile robot,0.414577
105782,Genetic algorithm,0.0373186
105782,Prisoner's dilemma,0.0234558
105782,Neuroevolution,0.0541888
105782,Nash equilibrium,0.0518248
105782,Autonomous robot,0.0774701
105782,Central Intelligence Agency,0.0334678
105782,Software,0.121962
105782,Computer programming,0.231954
105782,Community,0.042948
105782,Artificial general intelligence,0.169047
105782,Three Laws of Robotics,0.100409
105782,Computational chemistry,0.322969
105782,C (programming language),0.1681
105782,Attention (machine learning),0.181005
105782,Swarm intelligence,0.51426
105782,Oral tradition,0.101407
105782,System,0.857233
105782,System of systems,0.201198
105782,Digital signal processing,0.177344
105782,Spatial memory,0.0903395
105782,Binoculars,0.028203
105782,Epistemology,0.0255494
105782,Education,0.0145188
