id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isCompiledBy,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isReferencedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit
"258717","20.500.11850/10","Mirfenderesgi, Golnazalsadat||Bohrer, Gil||Matheny, Ashley M.||Fatichi, Simone||Prata de Moraes Frasson, Renato||Schäfer, Karina V.R.",,,"2018-10-17T12:01:31Z","2017-06-12T18:23:56Z||2018-10-17T12:01:31Z","2016-12-12",,,,,,,,,"http://hdl.handle.net/20.500.11850/126107","en","American Geophysical Union",,,,"Tree-level hydrodynamic approach for modeling aboveground water storage and stomatal conductance highlights the effects of tree hydraulic strategy","Other Conference Item","Metadata only",,,"2017-06-12T18:24:41Z",,"pub:188802",,"yes","AGU Fall Meeting 2016","December 12-16, 2016","San Francisco, CA, USA",,,,,,,"imp5936551add6e764833",,,"https://agu.confex.com/agu/fm16/meetingapp.cgi/Paper/118249",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473","Conference lecture on December 12, 2016",,"B11B-0434","s.l.","published","20.500.11850/126103",,,,,,,"2018-10-17T12:02:35Z","2022-03-28T21:29:03Z","true","1 p.","ECIT",,
"500055","20.500.11850/10","Ivanov, Valeriy Y.||Oliveira, Rafael S.||Brum, Mauro||Prohaska, Neill||Albert, Loren||Taylor, Tyeen||Fatichi, Simone||Agee, Elizabeth||Saleska, Scott R.||Cosme de Oliveira Junior, Raimundo||Dye, Dennis G.||Wiedmann, Kenia T.",,,"2023-05-17T06:46:02Z","2017-06-12T18:23:57Z||2023-05-17T06:46:02Z","2016-12-12",,,,,,,,,"http://hdl.handle.net/20.500.11850/126109","en","American Geophysical Union",,,,"Hydraulic Strategies and Response to El Niño Drought in Amazon Rainforest","Other Conference Item","Metadata only",,,"2017-06-12T18:24:41Z",,"pub:188804",,"yes","AGU Full Meeting 2016","December 12-16, 2016","San Francisco, CA, USA",,,,,,,"imp5936551ae097320280",,,"https://agu.confex.com/agu/fm16/meetingapp.cgi/Paper/193683",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473","Poster abstract. Poster presentation on December 12, 2016.",,"B11B-0453","s.l.","published",,,,,,,"true","2017-07-18T17:21:18Z","2020-02-14T17:49:21Z","true","1 p.","ECIT",,
"299377","20.500.11850/3","Manoli, Gabriele||Katul, Gabriel G.||Marani, Marco",,,"2019-07-01T09:50:32Z","2017-06-12T18:03:33Z||2019-07-01T09:50:32Z","2016-12","2016-11-17","While climate science debates are focused on the attainment of peak anthropogenic CO2 emissions and policy tools to reduce peak temperatures, the human‐energy‐climate system can hold “rebound” surprises beyond this peak. Following the second industrial revolution, global per capita CO2 emissions (cc) experienced a punctuated growth of about 100% every 60 years, mainly attributable to technological development and its global spread. A model of the human‐energy‐climate system capable of reproducing past punctuated dynamics shows that rebounds in global CO2 emissions emerge due to delays intrinsic to the diffusion of innovations. Such intrinsic delays in the adoption and spread of low‐carbon emitting technologies, together with projected population growth, upset the warming target set by the Paris Agreement. To avoid rebounds and their negative climate effects, model calculations show that the diffusion of climate‐friendly technologies must occur with lags one‐order of magnitude shorter (i.e., ∼6 years) than the characteristic timescale of past punctuated growth in cc. Radically new strategies to globally implement the technological advances at unprecedented rates are needed if the current emission goals are to be achieved.","application/pdf","10.3929/ethz-b-000125306",,"2328-4277",,"10.1002/2016EF000431","http://hdl.handle.net/20.500.11850/125306","en","Wiley","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","CO2 emissions||climate change||delay||rebounds||human‐energy‐climate system||climate mitigation","Delay-induced rebounds in CO2 emissions and critical time-scales to meet global warming targets","Journal Article","Open access",,,"2017-06-12T18:04:26Z",,"pub:187896",,"yes",,,,,,,,,,"imp5936550da206c82666","010090819",,,"000392813400009",,"12","Earth's Future","4","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473",,"643","636","Hoboken, NJ","published",,,,,,,,"2017-07-12T23:06:05Z","2019-07-01T09:50:44Z","true",,"ECIT",,"publishedVersion"
"118943","20.500.11850/3","Scherer, Laura||Pfister, Stephan",,,"2017-06-12T10:04:50Z","2017-06-12T10:04:50Z","2016-12",,,,,,"0960-1481||1879-0682",,"10.1016/j.renene.2016.07.021","http://hdl.handle.net/20.500.11850/118976","en","Elsevier",,,"Renewable energy||Water scarcity||Environmental flow requirements||Life cycle assessment","Global water footprint assessment of hydropower","Journal Article","Metadata only",,,"2017-06-12T10:07:23Z",,"pub:180963",,"yes",,,,,,,,,,"imp59365497cffb126544","000582078","84979239799",,"000383811000069","Renew. Energy",,"Renewable Energy","99","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie","03732","03732","Received 13 September 2015, Revised 31 May 2016, Accepted 11 July 2016, Published online 27 July 2016.","720","711","Oxford","published",,,,,,,,"2017-07-12T22:32:29Z","2021-02-14T14:25:52Z","true",,"ECIT",,
"122129","20.500.11850/3","Erten, Esra||Lopez-Sanchez, Juan M.||Yuzugullu, Onur||Hajnsek, Irena",,,"2017-06-12T15:13:14Z","2017-06-12T15:13:14Z","2016-12",,,,,,"0034-4257",,"10.1016/j.rse.2016.10.007","http://hdl.handle.net/20.500.11850/122162","en","Elsevier",,,"Height estimation||TanDEM-X||Rice||Synthetic Aperture Radar||PolSAR||Interferometry||PolInSAR||Metamodel||Agriculture","Retrieval of agricultural crop height from space: A comparison of SAR techniques","Journal Article","Metadata only",,,"2017-06-12T15:20:40Z",,"pub:184447",,"yes",,,,,,,,,,"imp593654d54ab9592641","000053663",,,,"Remote Sens. Environ.",,"Remote Sensing of Environment","187","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03849 - Hajnsek, Irena / Hajnsek, Irena","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03849 - Hajnsek, Irena / Hajnsek, Irena","03849","03849","Received 29 December 2015, Revised 22 August 2016, Accepted 2 October 2016, Published online 14 October 2016.","144","130","New York, NY","published",,,,,,,,"2017-07-17T08:04:04Z","2021-02-14T14:40:50Z","true",,"ECIT",,
"120913","20.500.11850/3","Costa, Diogo||Burlando, Paolo||Liong, Shie-Yui",,,"2017-06-12T13:12:49Z","2017-06-12T13:12:49Z","2016-12",,,,,,"1364-8152||1873-6726",,"10.1016/j.envsoft.2016.09.009","http://hdl.handle.net/20.500.11850/120946","en","Elsevier",,,"Contaminant transport||Fully coupled models||River reach and corridor scales||River-groundwater systems||Water quality","Coupling spatially distributed river and groundwater transport models to investigate contaminant dynamics at river corridor scales","Journal Article","Metadata only",,,"2017-06-12T13:15:15Z",,"pub:183029",,"yes",,,,,,,,,,"imp593654bd56a2530059","001946281","84988726189",,"000388779600008","Environ. Model. Softw.",,"Environmental Modelling & Software","86","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473",,"110","91","Kidlington","published",,,,,,,,"2017-07-20T15:38:12Z","2022-03-28T15:11:25Z","true",,"ECIT",,
"125184","20.500.11850/3","Buri, Pascal||Miles, Evan||Steiner, Jakob||Immerzeel, Walter||Wagnon, Patrick||Pellicciotti, Francesca",,,"2017-06-12T18:01:19Z","2017-06-12T18:01:19Z","2016-12",,,,,,"0148-0227||2169-9003||2169-9011",,"10.1002/2016JF004039","http://hdl.handle.net/20.500.11850/125217","en","American Geophysical Union",,,,"A physically based 3-D model of ice cliff evolution over debris-covered glaciers","Journal Article","Metadata only",,,"2017-06-12T18:02:07Z",,"pub:187801",,"yes",,,,,,,,,,"imp5936550c5d0ef23613","004474597",,,"000392831800011","J. geophys. res. Earth surf.","12","Journal of Geophysical Research: Earth Surface","121","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473","Published online 22 December 2016. Published online by Wiley.","2493","2471","Washington, DC","published",,,,,,,,"2017-07-14T18:25:49Z","2022-03-28T15:24:38Z","true",,"ECIT",,
"499518","20.500.11850/10","Kim, Jongho||Ivanov, Valeriy Y.||Fatichi, Simone",,,"2023-05-12T08:23:08Z","2017-06-12T18:23:56Z||2023-05-12T08:23:08Z","2016-12",,,,,,,,,"http://hdl.handle.net/20.500.11850/126106","en","American Geophysical Union",,,,"The importance of stochasticity and internal variability in geomorphic erosion system","Other Conference Item","Metadata only",,,"2017-06-12T18:24:41Z",,"pub:188801",,"yes","AGU Fall Meeting 2016","December 12-16 , 2016","San Francisco, CA, USA",,,,,,,"imp5936551adbcd060397",,,"https://agu.confex.com/agu/fm16/meetingapp.cgi/Paper/171863",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473","Conference lecture held on December 14, 2016.",,"NG32A-08","s.l.","published",,,,,,,"true","2017-07-18T17:43:09Z","2020-02-14T17:49:19Z","true","1 p.","ECIT",,
"499511","20.500.11850/10","Bohrer, Gil||Mirfenderesgi, Golnazalsadat||Matheny, Ashley M.||Fatichi, Simone",,,"2023-05-12T08:12:54Z","2017-06-12T18:23:56Z||2023-05-12T08:12:54Z","2016-12",,,,,,,,,"http://hdl.handle.net/20.500.11850/126108","en","American Geophysical Union",,,,"Tree to plot scaling - how individual properties and species specific traits add up to describe a forest","Other Conference Item","Metadata only",,,"2017-06-12T18:24:41Z",,"pub:188803",,"yes","AGU Fall Meeting 2016","December 12-16, 2016","San Francisco, CA, USA",,,,,,,"imp5936551adf17e76378",,,"https://agu.confex.com/agu/fm16/meetingapp.cgi/Paper/158053",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473","Poster abstract. Poster presentation on December 12, 2016.",,"B11B-0438","s.l.","published",,,,,,,"true","2017-07-12T16:59:59Z","2020-02-14T17:49:20Z","true","1 p.","ECIT",,
"121749","20.500.11850/3","Su, Chun-Hsu||Ryu, Dongryeol||Dorigo, Wouter||Zwieback, Simon||Gruber, Alexander||Albergel, Clement||Reichle, Rolf H.||Wagner, Wolfgang",,,"2017-06-12T14:39:07Z","2017-06-12T14:39:07Z","2016-11",,,,,,"0094-8276||1944-8007",,"10.1002/2016GL070458","http://hdl.handle.net/20.500.11850/121782","en","American Geophysical Union",,,,"Homogeneity of a global multisatellite soil moisture climate data record","Journal Article","Metadata only",,,"2017-06-12T14:44:42Z",,"pub:184040",,"yes",,,,,,,,,,"imp593654cdf3f3651168","000047284",,,"000389305000005","Geophys. Res. Lett.","21","Geophysical Research Letters","43","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03849 - Hajnsek, Irena / Hajnsek, Irena","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03849 - Hajnsek, Irena / Hajnsek, Irena","03849","03849","Published online 3 November 2016.","11252","11245","Washington, DC","published",,,,,,,,"2017-07-13T15:56:41Z","2021-02-14T14:39:18Z","true",,"ECIT",,
