id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isSupplementTo,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit
"258333","20.500.11850/3","Nguyen, Mi T.||Allemann, Lukas||Ziemba, Christopher||Larivé, Odile||Morgenroth, Eberhard||Julian, Timothy R.",,,,"2018-10-16T09:15:03Z","2018-03-22T03:55:47Z||2018-03-22T14:35:56Z||2018-10-16T09:15:03Z","2017-12-19",,"• Bacterial growth in fecally-contaminated water is highly variable and dependent on several factors.  • Regrowth occurs after chlorination (low doses, no residual).  • Indigenous microbial communities variably impact bacterial growth.  • A combination of treatments can both inactivate and inhibit growth.  The Blue Diversion AUTARKY Toilet is a urine-diverting toilet with on-site treatment. The toilet is being developed to provide a safe and affordable sanitation technology for people who lack access to sewer-based sanitation. Water used for personal hygiene, hand washing, and flushing to rinse urine- and feces-collection bowls is treated, stored, and recycled for reuse to reduce reliance on external water supplies. The system provides an opportunity to investigate hygiene of water for reuse following treatment. Treatment in the toilet includes a Biologically Activated Membrane Bioreactor (BAMBi) followed by a secondary treatment technology. To identify effective secondary treatment, three options, including granular activated carbon (GAC) only, GAC+chlorine (sodium hypochlorite), and GAC+electrolysis are considered based on the bacterial inactivation and growth inhibition efficiency. Four different hygiene-relevant bacteria are tested: Escherichia coli, Enterococcus faecalis, Pseudomonas aeruginosa, and Salmonella typhimurium. Our evaluation demonstrates that—despite treatment of water with the BAMBi—E. coli, P. aeruginosa, and S. typhimurium have the potential to grow during storage in the absence of microbial competition. Including the indigenous microbial community influences bacterial growth in different ways: E. coli growth decreases but P. aeruginosa growth increases relative to no competition. The addition of the secondary treatment options considerably improves water quality. A column of GAC after the BAMBi reduces E. coli growth potential by 2 log10, likely due to the reduction of carbon sources. Additional treatments including chlorination and electrolysis provide further safety margins, with more than 5 log10 inactivation of E. coli. However, reactivation and/or regrowth of E. coli and P. aeruginosa occurs under in the absence of residual disinfectant. Treatment including the BAMBi, GAC, and electrolysis appear to be promising technologies to control bacterial growth during storage in water intended for reuse.","application/pdf","10.3929/ethz-b-000251670",,"2296-665X",,"10.3389/fenvs.2017.00090","http://hdl.handle.net/20.500.11850/251670","en","Frontiers Media","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Biologically active membrane bioreactor||Biostability||Inactivation||Pathogen||Regrowth||Water for reuse","Controlling bacterial pathogens in water for reuse: Treatment technologies for water recirculation in the Blue Diversion Autarky Toilet","Journal Article","Open access",,,"2018-03-22T03:55:59Z",,,,,,"yes",,,,,,,,,,,,"85043701093",,,"Front. Environ. Sci.,",,"Frontiers in Environmental Science","5","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03832 - Morgenroth, Eberhard / Morgenroth, Eberhard","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03832 - Morgenroth, Eberhard / Morgenroth, Eberhard","03832","03832",,,"90","Lausanne","published",,,,,,"2018-08-03T05:39:19Z","2023-02-06T16:02:38Z","true","13 p.","SCOPUS",,"publishedVersion"
"192347","20.500.11850/3","Buffat, René||Frömelt, Andreas||Heeren, Niko||Raubal, Martin||Hellweg, Stefanie",,,,"2017-11-07T12:10:31Z","2017-11-03T11:22:18Z||2017-11-07T12:10:31Z","2017-12-15","2017-11-01",,,,,"0306-2619||1872-9118",,"10.1016/j.apenergy.2017.10.041","http://hdl.handle.net/20.500.11850/204188","en","Elsevier Science",,,"Building heat demand||Big data||Large scale modelling||Bottom-up modelling||GIS||Climate data||Spatio-temporal modelling","Big data GIS analysis for novel approaches in building stock modelling","Journal Article","Metadata only",,"DDC - DDC::3 - Social sciences::333.7 - Natural resources, energy and environment","2017-11-03T11:22:23Z",,,,,,"yes",,,,,,,,,,,,"85029907056",,"000416300400023","Appl. Energy",,"Applied Energy","208","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02648 - Inst. f. Kartografie und Geoinformation / Institute of Cartography&Geoinformation::03901 - Raubal, Martin / Raubal, Martin||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02648 - Inst. f. Kartografie und Geoinformation / Institute of Cartography&Geoinformation::03901 - Raubal, Martin / Raubal, Martin","03901||03732","03732||03901",,"290","277","New York, NY","published",,,,,,"2017-11-07T12:10:34Z","2022-03-28T17:59:48Z","true",,"FORM",,
"204428","20.500.11850/3","Lucas, Célia||Leinss, Silvan||Bühler, Yves||Marino, Armando||Hajnsek, Irena",,,,"2017-12-19T10:24:14Z","2017-12-14T10:26:31Z||2017-12-19T10:23:28Z||2017-12-19T10:24:14Z","2017-12-05",,"Multipath interference can occur in ground-based radar data acquired with systems with a large antenna beam width in elevation in an upward looking geometry, where the observation area and the radar are separated by a reflective surface. Radiation reflected at this surface forms a coherent overlay with the direct image of the observation area and appears as a fringe-like pattern in the data. This deteriorates the phase and intensity data and therefore can pose a considerable disadvantage to many ground-based radar measurement campaigns. This poses a problem for physical parameter retrieval from backscatter intensity and polarimetric data, absolute and relative calibration on corner reflectors, the generation of digital elevation models from interferograms and in the case of a variable reflective surface, differential interferometry. The main parameters controlling the interference pattern are the vertical distance between the radar antennas and the reflective surface, and the reflectivity of this surface. We used datasets acquired in two different locations under changing conditions as well as a model to constrain and fully understand the phenomenon. To avoid data deterioration in test sites prone to multipath interference, we tested a shielding of the antennas preventing the radar waves from illuminating the reflective surface. In our experiment, this strongly reduced but did not completely prevent the interference. We therefore recommend avoiding measurement geometries prone to multipath interferences.","application/pdf","10.3929/ethz-b-000220978",,"2072-4292",,"10.3390/rs9121260","http://hdl.handle.net/20.500.11850/220978","en","MDPI","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","radar||interference||interferometry||reflection||multipath interference","Multipath Interferences in Ground-Based Radar Data: A Case Study","Journal Article","Open access",,,"2017-12-14T10:26:32Z",,,,,,"yes",,,,"Monitoring avalanches and snowpacks with two ground based polarimetric and interferometric radars","156014","10.13039/501100001711","SNF","Projektförderung in Mathematik, Natur- und Ingenieurwissenschaften (Abteilung II)",,,,"85038214134",,"000419235700056","Remote Sens.","12","Remote Sensing","9","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03849 - Hajnsek, Irena / Hajnsek, Irena","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03849 - Hajnsek, Irena / Hajnsek, Irena","03849","03849",,,"1260","Basel","published",,,,,,"2017-12-19T10:23:38Z","2022-03-28T18:41:30Z","true","19 p.","FORM",,"publishedVersion"
"208193","20.500.11850/10","Manoli, Gabriele||Meijide, Ana||Huth, Neil||Knohl, Alexander||Kosugi, Yoshiko||Burlando, Paolo||Ghazoul, Jaboury||Fatichi, Simone",,,,"2018-01-10T14:25:14Z","2017-12-13T15:43:53Z||2018-01-10T14:25:14Z","2017-12",,,,,,,,,"http://hdl.handle.net/20.500.11850/220757","en","American Geophysical Union",,,,"Mature oil palm plantations are thirstier than tropical forests","Other Conference Item","Metadata only",,,"2017-12-13T15:43:54Z",,,,,,"yes","AGU Fall Meeting 2017","December 11-15, 2017","New Orleans, LA, USA",,,,,,,,,,,,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","03473||03723","03473||03723",,,"GC54A-04","S.l.","published",,,,,,"2018-01-10T14:25:18Z","2018-11-06T06:29:33Z","true",,"FORM",,
"217837","20.500.11850/3","Gülan, Utku||Saguner, Ardan||Akdis, Deniz||Gotschy, Alexander||Manka, Robert||Brunckhorst, Corinna||Holzner, Markus||Duru, Firat",,,,"2018-02-05T14:07:27Z","2017-12-04T09:24:56Z||2018-02-05T14:07:27Z","2017-12-01","2017-12-01","The main aim of this paper is to characterize vortical flow structures in the healthy human right atrium, their impact on wall shear stresses and possible implications for atrial thrombus formation. 3D Particle Tracking Velocimetry is applied to a novel anatomically accurate compliant silicone right heart model to study the phase averaged and fluctuating flow velocity within the right atrium, inferior vena cava and superior vena cava under physiological conditions. We identify the development of two vortex rings in the bulk of the right atrium during the atrial filling phase leading to a rinsing effect at the atrial wall which break down during ventricular filling. We show that the vortex ring formation affects the hemodynamics of the atrial flow by a strong correlation (ρ = 0.7) between the vortical structures and local wall shear stresses. Low wall shear stress regions are associated with absence of the coherent vortical structures which might be potential risk regions for atrial thrombus formation. We discuss possible implications for atrial thrombus formation in different regions of the right atrium.","application/pdf","10.3929/ethz-b-000216551",,"2045-2322",,"10.1038/s41598-017-17117-3","http://hdl.handle.net/20.500.11850/216551","en","Nature Publishing Group","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Investigation of Atrial Vortices Using a Novel Right Heart Model and Possible Implications for Atrial Thrombus Formation","Journal Article","Open access",,,"2017-12-04T09:24:58Z",,,,,,"yes",,,,,,,,,,,,"85037035000",,"000416938200080","Sci Rep",,"Scientific Reports","7","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering",,"02608",,,,"16772","London","published",,,,,,"2018-02-05T14:07:36Z","2021-02-14T22:13:47Z","true","10 p.","FORM",,"publishedVersion"
"235964","20.500.11850/10","Anghileri, Daniela||Kälin, Alexandra||Peleg, Nadav||Fatichi, Simone||Molnar, Peter||Roques, Clément||Longuevergne, Laurent||Burlando, Paolo",,,,"2018-05-22T15:37:11Z","2017-12-15T14:48:04Z||2017-12-18T09:39:42Z||2018-05-22T15:37:11Z","2017-12",,,,,,,,,"http://hdl.handle.net/20.500.11850/221666","en","American Geophysical Union",,,,"Modeling the Hydrological Regime of Turkana Lake (Kenya, Ethiopia) by Combining Spatially Distributed Hydrological Modeling and Remote Sensing Datasets","Other Conference Item","Metadata only",,,"2017-12-15T14:48:05Z",,,,,,"yes","AGU Fall Meeting 2017","December 11-15, 2017","New Orleans, LA, USA",,,,,,,,,,"https://agu.confex.com/agu/fm17/meetingapp.cgi/Paper/238938",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473","Poster presented on 15 December 2017.",,"H53J-1607","s.l.","published",,,,,,"2017-12-18T09:39:44Z","2021-02-15T00:05:35Z","true","1 p.","FORM",,
"203913","20.500.11850/10","Stutenbecker, Laura||Costa, Anna||Anghileri, Daniela||Bakker, Maarten||Lane, Stuart N.||Molnar, Peter||Fritz, Schlunegger",,,,"2017-12-18T09:33:54Z","2017-12-15T14:51:11Z||2017-12-18T09:33:54Z","2017-12",,,,,,,,,"http://hdl.handle.net/20.500.11850/221667","en",,,,,"Combining sediment fingerprinting and a conceptual model for erosion and sediment transfer to explore sediment sources in an Alpine catchment","Other Conference Item","Metadata only",,,"2017-12-15T14:51:12Z",,,,,,"yes","AGU Fall Meeting 2017","December 11-15, 2017","New Orleans, LA, USA",,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473",,,"259651",,"published",,,,,,"2017-12-18T09:33:57Z","2020-02-15T10:26:56Z","true","1 p.","FORM",,
"223178","20.500.11850/4","Kummu, Matti||Fader, Marianela||Gerten, Dieter||Jalava, Mika||Jägermeyr, Jonas||Pfister, Stephan||Porkka, Miina||Siebert, Stefan||Varis, Olli",,,,"2018-03-06T10:26:21Z","2018-03-06T03:41:10Z||2018-03-06T10:26:21Z","2017-12","2018-02-22",,,,,,,"10.1016/j.cosust.2018.01.006","http://hdl.handle.net/20.500.11850/246187","en","Elsevier",,,,"Bringing it all together: linking measures to secure nations’ food supply","Review Article","Metadata only",,,"2018-03-06T03:41:14Z",,,,,,"yes",,,,,,,,,,,,"85042355146",,,,,"Current Opinion in Environmental Sustainability","29","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie","03732","03732",,"117","98","Amsterdam","published",,,,,,"2018-03-06T10:26:24Z","2020-02-15T11:33:28Z","true",,"SCOPUS",,
"211146","20.500.11850/3","Chong, Natalie||Bach, Peter M.||Moilleron, Régis||Bonhomme, Céline||Deroubaix, José-Frédéric",,,,"2018-01-18T12:31:10Z","2017-12-28T03:36:08Z||2018-01-18T12:31:10Z","2017-12","2017-12-19","Effort to narrow the gap between the production and use of scientific knowledge for environmental decision-making is gaining traction, yet in practice, supply and demand remains largely unbalanced. A qualitative study based on empirical analysis offers a novel approach to exploring key factors, focussing on seven water models in the context of two organisations at the science-policy interface: the PIREN-Seine in France and the CRC for Water Sensitive Cities in Australia. Tentative linkages drawn from these examples identify: (1) objective and expertise; (2) knowledge and tools; and (3) support structures as main drivers influencing the production of scientific knowledge which, in turn, affect the use and utility of modelling tools. Further insight is gained by highlighting the wide spectrum of uses and utilities existing in practice, suggesting that such ‘boundary organisations’ facilitate interactions and exchanges that give added value to scientific knowledge. Coordinated strategies that integrate inter-, extra-, and intra-boundary activities, framed through collaborative scenario building and the use of interactive modelling platforms, may offer ways to enhance the use and utility of scientific knowledge (and its tools) to better support water resources management, policy and planning decisions, thus promoting a more cohesive relationship between science and policy.","application/pdf","10.3929/ethz-b-000224639",,"2073-4441",,"10.3390/w9120983","http://hdl.handle.net/20.500.11850/224639","en","MDPI","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","boundary organisation||environmental decision-making||integrated modelling||knowledge brokering||model usability||strategic planning","Use and Utility: Exploring the diversity and design of water models at the science-policy interface","Journal Article","Open access",,,"2017-12-28T03:36:18Z",,,,,,"yes",,,,,,,,,,,,"85038440120",,"000419225500075",,"12","Water","9","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03989 - Maurer, Max / Maurer, Max","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03989 - Maurer, Max / Maurer, Max","03989","03989",,,"983","Basel","published",,,,,,"2018-01-18T12:31:14Z","2022-03-28T18:56:16Z","true","28 p.","SCOPUS",,"publishedVersion"
"236182","20.500.11850/9","Yu, Li||Kinzelbach, Wolfgang||Li, Wenpeng||Pedrazzini, Gianni||Xin, Li",,,,"2018-05-23T15:06:22Z","2017-12-20T08:42:57Z||2017-12-20T13:34:33Z||2018-05-23T15:06:22Z","2017-12",,,"application/pdf","10.3929/ethz-b-000223195",,,,,"http://hdl.handle.net/20.500.11850/223195","en","ETH Zurich","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Multi-objective Optimization for Conjunctive Water Use Using Coupled Hydrogeological and Agronomic Models","Conference Poster","Open access",,,"2017-12-20T08:42:58Z",,,,,,"yes","AGU Fall Meeting 2017","December 11-15, 2017","New Orleans, LA, USA",,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473","Part of session ""Water and Society: Modeling Food-Energy-Water Nexus for Sustainable Resource Management""",,,"Zurich","published",,,,,,"2017-12-20T13:34:42Z","2022-03-28T20:14:27Z","true","1 p.","FORM","A case study in Heihe mid-reach (China)","publishedVersion"
