id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.dataCollector,dc.contributor.editor,dc.contributor.producer,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.ecitpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isReferencedBy,ethz.relation.isSourceOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"285433","20.500.11850/3","Floriancic, Marius G.||van Meerveld, Ilja||Smoorenburg, Maarten||Margreth, Michael||Naef, Felix||Kirchner, James W.||Molnar, Peter",,,,,,"2019-03-14T07:46:19Z","2018-11-27T08:46:32Z||2018-11-27T09:25:52Z||2019-03-14T07:46:19Z","2018-12-30","2018-10-19",,,,,"0885-6087||1099-1085",,"10.1002/hyp.13302","http://hdl.handle.net/20.500.11850/306212","en","John Wiley & Sons",,,"alpine catchments||discharge measurements||drainage||hillslope contribution||low flow||Quaternary geomorphology||Recession analysis||recession analysis||storage","Spatio-temporal variability in contributions to low flows in the high Alpine Poschiavino catchment",,"Journal Article","Metadata only",,,"2018-11-27T08:46:48Z",,,,,"yes",,,,,,,,,,,,"85057003012",,"000452789800009","Hydrol. Process.","26","Hydrological Processes","32","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","02115||03473||03798","03473||03798",,"3953","3938","London","published",,,,,,,,,,,,,"2019-03-14T07:46:29Z","2022-03-28T22:32:25Z","true",,"FORM",,,,
"243726","20.500.11850/3","Jeswani, Harish K.||Hellweg, Stefanie||Azapagic, Adisa",,,,,,"2018-07-16T11:23:33Z","2018-07-16T09:32:49Z||2018-07-16T11:23:33Z","2018-12-15","2018-07-14",,,,,"0048-9697||1879-1026",,"10.1016/j.scitotenv.2018.07.088","http://hdl.handle.net/20.500.11850/275915","en","Elsevier",,,"Life cycle assessment||Ecosystem services||Land use||Biodiversity||Breakfast cereals","Accounting for land use, biodiversity and ecosystem services in life cycle assessment: Impacts of breakfast cereals",,"Journal Article","Metadata only",,,"2018-07-16T09:32:51Z",,,,,"yes",,,,,,,,,,,,"85049809574",,"000445164200006","Sci. Total Environ.",,"Science of The Total Environment","645","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie","03732","03732",,"59","51","Amsterdam","published",,,,,,,,,,,,,"2018-07-16T11:23:35Z","2022-03-28T20:39:55Z","true",,"BATCH",,,,
"299703","20.500.11850/16","Beretta, Claudio",,,,,"Hellweg, Stefanie||Langen, Nina||Baier, Urs","2019-07-03T07:53:04Z","2019-06-13T13:08:14Z||2019-07-03T07:28:31Z||2019-07-03T07:53:04Z","2018-12-12","2019-07-03","In order to enable future generations to lead a decent life, human consumption of natural resources and impacts on the environment must urgently be reduced. A cornerstone among all human activities is food consumption, which is responsible for roughly one third of all environmental impacts of consumption. The food supply chain is inefficient, as present studies estimate roughly one third of the edible food to be wasted globally. There are numerable political commitments to dramatically reduce FW, notably the UN’s recently released Sustainable Development Goals (SDG) calling to halve per-capita retail and consumer food waste (FW) by 2030. In order to identify promising interventions for FW reduction and to involve the key stakeholders able to successfully implement such interventions, detailed quantitative information on the amount, origin, and environmental impact of FW is needed. There has been an increasing body of literature related to FW in the past years. Nevertheless, due to data inconsistency and a narrow temporal, geographical, and food supply chain coverage in present literature, FW quantification is still associated with large uncertainties and based on many assumptions. Due to insufficient data about the composition and the treatment methods of FW, existing environmental assessments are rough estimations. Thus, the present state of knowledge is insufficient to under-stand the current situation and to quantify the future reduction potential.  The goal of this dissertation was to provide methods and data to identify FW hotspots in terms of amounts and environment and assess reduction measures. We therefore developed a new approach that can be applied to food systems of any region or country and that would provide a solid information base to support the identification, prioritization, and implementation of effective strategies for FW reduction.  To reach this goal, we defined three subgoals: 1) The creation of a simplified model of the food value chain in form of a mass flow analysis (MFA) in order to understand the system and to quantify FW by origin and type of food. 2) The extension of the model with life cycle assessment (LCA) in order to quantify environmental impacts of FW and to identify hotspots of environmental relevance. 3) For a selection of hotspots identified in subgoal 2, the assessment of case studies, in which measures for FW reduction are exemplarily implemented and their effect measured in terms of mass and environmental impacts.  The thesis starts with a bottom-up quantification of FW across the entire food system related to Swiss food consumption. We chose this life-cycle consumption based perspective, which includes domestic production and net imports, in order to capture the FW-related resource use and emissions induced by Swiss consumers. The result is an MFA of the entire food value chain including the stages ‘agricultural production’, ‘trade’, ‘processing’, ‘retail’, ‘food services’, and ‘households’ and encompassing relevant methods of FW treatment (‘animal feeding’, ‘anaerobic digestion’, ‘composting’, ‘incineration’, ‘disposal in the sewer’). We thereby differentiated 33 food categories as well as edible and inedible parts of food (avoidable and unavoidable FW). Since the unit “wet weight” of FW, which was used in the MFA, is not an appropriate indicator for the nutritional value of food, we converted the MFA into an energy flow analysis (EFA) based on the nutritional value of food and FW. The results identify wasted ‘fresh vegetables’ and ‘cereals’ to be the main quantitative hotspots in terms of mass and ‘cereals’ and ‘oils and fats’ in terms of nutritional energy. The stage of the food value chain contributing most to total FW amounts were ‘households’ (40% in terms of energy). However, these results do not necessarily reflect the environmental relevance of FW. In the next step we therefore coupled the MFA with life cycle inventory data. We adopted and extended the system boundary of the MFA in order to take the entire life cycle of all inputs into account (agricultural production, transport, cooling, processing, cooking, and partly packaging). In addition, we modelled the environmental impacts of FW treatment. In order to consider useful outputs from FW treatment (e.g. energy and fertilizer from anaerobic digestion), we adopted the method of ‘system expansion’ and substituted heat from natural gas, electricity from the Swiss grid, nutrients by inorganic fertilizer, and organic matter by peat. Since the nutritional values of the products within some of the 33 modelled food categories varied considerably, we allocated environmental impacts to consumed and wasted food based on their nutritional value. This is important since allocation by mass would imply that, for instance, 1kg of whey can substitute 1kg of cheese, which is unrealistic. The life cycle impact assessment was carried out for the impact categories ‘climate change’, ‘biodiversity loss due to land and water use’, and the aggregated method ‘ReCiPe’. The results showed that the total climate change impacts of food consumption could be reduced by 25% if all edible FW was avoided. Furthermore ‘fresh vegetables’, ‘whey’, and ‘beef’ were identified as hotspots for climate change and ‘cocoa’, ‘beef’, and ‘wheat’ as hotspots for ‘global biodiversity loss’. The impact assessment confirmed the results of the MFA that ‘Households’ are key actors for FW, contributing 51% to the climate change impacts and 41% to biodiversity loss caused by total FW.  Since it is unrealistic to avoid all FW, in a next step we analyzed the effect of measures for FW reduction in real case studies. We therefore selected the food service sector, since the rate of FW has been identified to be largest in households and food services and since the Swiss Federal Office for the Environment chose the food service sector as a starting point to develop its strategy to reduce FW. We analyzed 13 case studies, in which food services implemented measures for FW reduction and measured their FW before and after implementation. We then extrapolated the achieved reduction to the entire food service sector, by weighing the subsectors ‘restaurants’, ‘school and university canteens’, ‘hospitals and care centers’, ‘business canteens’, and ‘hotels’ proportionally to the number of meals consumed in each subsector. In order to increase the reliability of the status quo FW amounts in individual subsectors, we included additional publications from Germany, Austria, Finland, and the UK and thus based our results on 1’042 measurements of status quo FW amounts. Considering the FW composition in the status quo and the reduction scenario, we calculated the environmental benefits of potential future FW reduction. In addition to this base scenario, which assumes that all food services achieve the same reduction as our case studies in the corresponding subsector on average, we calculated an extended scenario, in which food services additionally buy 50% of their vegetables from non-marketable origin and thus prevent them from being wasted in the supply chain. The results show that in-house FW is reduced by 38% and related climate impacts by 41% in the base scenario. In the extended scenario an additional 32% of FW and 17% of climate impacts can be saved by using products which otherwise would have been wasted in the supply chain. Thus, the SDG of halving per-capita FW was not reached in the food service sector by the base scenario, but by the extended scenario it was. This shows the importance of considering all stages of the food value chain in order to develop effective reduction strategies. Additionally, we quantified FW per meal in the entire supply chain of a progressive restaurant specialized on FW minimization. With 26 g/meal FW over the entire food value chain, this restaurant only causes 10% of the 252 g/meal estimated for average food services, suggesting that FW reduction on the long-term is larger than the achievements in our case studies, if innovative approaches are implemented. Another way of reducing FW is to improve supply chains logistically, e.g. due to improved cooling systems or packaging for enhanced food preservation. In addition to the environmental benefits from reducing FW, in such cases also the additional environmental impacts of the improved cooling or packaging system need to be considered. We therefore coupled the LCA with a quality evolution model based on the thermophysical cooling history of the product. With the new methodology we exemplarily analyzed different supply chain options for oranges imported from South Africa and Spain to Switzerland, differentiating 3 cold chains (‘forced-air precooling’, ‘cold storage’, ‘ambient loading’) and three types of packaging (‘standard box’, ‘supervent box’, ‘opentop box’). The results identify a trade-off between direct environmental impacts of the cold chain and indirect environmental impacts from potential FW reduction due to better quality, which can only be evaluated by coupling the product’s quality evolution empirically to the FW amounts. While this was not yet done in the current study, in some cases the optimal solution could be identified without further analyses, e.g. in the case of precooling with solar energy, which saves environmental impacts compared to diesel-driven cooling in the container and provides better quality of the products. We conclude that the method applied in the thesis of coupling MFA and EFA with LCA turned out to be an appropriate methodology to calculate environmental impacts of FW. The methodology represents a solid basis for further development and extensions into a model to evaluate scenarios and to support stakeholders in the food industry and policymakers to develop successful strategies to reduce FW and related environmental effects. By combining LCA with quality evolution modelling (and its implications on FW), such a model could be used to logistically improve supply chains. Digitalization and monitoring of parameters influencing the products’ quality (such as temperature, quality, degrees brix, etc.) can give new insights about the products’ storage life and help to improve food management. A further breakdown of food categories and the integration of a dynamic transport and seasonality model, which calculate environmental impacts depending on the season and the origin of the food, would further improve the quality of the results.","application/pdf||application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","10.3929/ethz-b-000347342","978-3-906916-64-4",,,,"http://hdl.handle.net/20.500.11850/347342","en","ETH Zurich","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/","food waste||food waste prevention||MFA||LCA","Environmental Assessment of Food Losses and Reduction Potential in Food Value Chains",,"Doctoral Thesis","Open access",,"DDC - DDC::3 - Social sciences::333.7 - Natural resources, energy and environment||DDC - DDC::6 - Technology, medicine and applied sciences::660 - Chemical engineering||DDC::5 - Science","2019-06-13T13:08:19Z",,,,,"yes",,,,,,,,,"25648",,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie","03732","03732",,,,"Zurich","published",,,,,,,,,,,,,"2019-07-03T07:53:52Z","2021-02-15T05:08:26Z","true","309 p.; appendix 256.51 kB","FORM",,,,
"277881","20.500.11850/10","Bergami, Gianluca||Molnar, Peter||Burlando, Paolo",,,,,,"2019-01-29T14:33:01Z","2019-01-15T16:44:37Z||2019-01-29T14:33:01Z","2018-12-12",,,,,,,,,"http://hdl.handle.net/20.500.11850/316118","en","American Geophysical Union",,,,"Surface Water-Groundwater Interactions in a Regulated Alpine Gravel-Bed Braided River",,"Other Conference Item","Metadata only",,,"2019-01-15T16:44:46Z",,,,,"yes","AGU Fall Meeting 2018","December 10-14, 2018","Washington, DC, USA",,,,,,,,,,"https://agu.confex.com/agu/fm18/meetingapp.cgi/Paper/411320",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473","Conference lecture on 12 December 2018",,"H31D-06","s.l.","published",,,,,,,,,,,,,"2019-01-29T14:33:18Z","2022-03-28T22:11:02Z","true","1 p.","FORM",,,,
"276617","20.500.11850/10","Fatichi, Simone||Manoli, Gabriele||Pappas, Christoforos",,,,,,"2019-01-24T14:26:11Z","2018-12-18T15:21:13Z||2019-01-24T14:26:11Z","2018-12-10",,,,,,,,,"http://hdl.handle.net/20.500.11850/311739","en","American Geophysical Union",,,,"Land cover changes, plant trait variability, and their impact on the terrestrial water and carbon cycles",,"Other Conference Item","Metadata only",,,"2018-12-18T15:21:14Z",,,,,"yes","AGU Fall Meeting 2018","December 10-14, 2018","Washington, DC, USA",,,,,,,,,,"https://agu.confex.com/agu/fm18/meetingapp.cgi/Paper/390491",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473","Conference lecture on December 10, 2018",,"H13C-06","s.l.","published",,,,,,,,,,,,,"2019-01-24T14:26:17Z","2022-03-28T22:08:53Z","true","1 p.","FORM",,,,
"449814","20.500.11850/10","Meili, Naika||Manoli, Gabriele||Burlando, Paolo||Fatichi, Simone",,,,,,"2022-05-06T10:38:18Z","2018-12-18T15:10:40Z||2019-01-29T14:35:18Z||2019-01-29T14:44:40Z||2019-01-29T14:55:58Z||2022-05-06T10:38:18Z","2018-12-10",,,"application/pdf",,,,,,"http://hdl.handle.net/20.500.11850/311731","en","American Geophysical Union",,,,"Vegetation in cities: urban ecohydrological modelling as a quantitative tool to assess the effects of urban vegetation on selected ecosystem services",,"Other Conference Item","Metadata only",,,"2018-12-18T15:10:56Z",,,,,"yes","AGU Fall Meeting 2018","December 10-14, 2018","Washington, DC, USA",,,,,,,,,,"https://agu.confex.com/agu/fm18/meetingapp.cgi/Paper/349770",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo||ETH Zürich::00002 - ETH Zürich::00003 - Schulleitung und Dienste::00022 - Bereich VP Forschung / Domain VP Research::08058 - Singapore-ETH Centre (SEC) / Singapore-ETH Centre (SEC)||ETH Zürich::00002 - ETH Zürich::00003 - Schulleitung und Dienste::00022 - Bereich VP Forschung / Domain VP Research::08058 - Singapore-ETH Centre (SEC) / Singapore-ETH Centre (SEC)::08060 - FCL / FCL","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473||08058||08060","03473","Conference lecture held on December 10, 2018",,"PA13F-0899","s.l.","published",,,,,,,,,,,,,"2019-01-29T14:44:45Z","2023-02-07T02:02:14Z","true","1 p.","FORM","FCL2",,,
"298637","20.500.11850/9","Moraga, Jorge S.||Peleg, Nadav||Molnar, Peter||Fatichi, Simone||Burlando, Paolo",,,,,,"2019-06-25T10:59:26Z","2018-12-18T14:54:22Z||2019-01-29T16:53:48Z||2019-06-25T10:59:26Z","2018-12",,,,,,,,,"http://hdl.handle.net/20.500.11850/311725","en",,,,,"Simulating rainfall at hourly and kilometer scales for future climate scenarios using a weather generator",,"Conference Poster","Metadata only",,,"2018-12-18T14:54:25Z",,,,,"yes","11th International Workshop on Precipitation in Urban Areas (UrbanRain18)","Dezember 2018","Pontresina, Switzerland",,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473",,,,,"published",,,,,,,"10.3929/ethz-b-000347490",,,,,,"2019-01-29T16:54:02Z","2020-02-15T19:50:13Z","true","2 p.","FORM",,,,
"277884","20.500.11850/10","Bergami, Gianluca||Molnar, Peter||Burlando, Paolo",,,,,,"2019-01-29T14:47:35Z","2019-01-15T16:41:52Z||2019-01-29T14:47:35Z","2018-12-01",,,,,,,,,"http://hdl.handle.net/20.500.11850/316117","en","University of Bern",,,,"Interactions between Surface Water and Groundwater in a regulated alpine gravel-bed River (Maggia)",,"Other Conference Item","Metadata only",,,"2019-01-15T16:42:04Z",,,,,"yes","16th Swiss Geosciences Meeting 2018","November 30 - December 1, 2018","Bern, Switzerland",,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473",,"454","453","s.l.","published",,,,,,,,,,,,,"2019-01-29T14:47:46Z","2020-02-15T16:51:11Z","true",,"FORM",,,,
"265510","20.500.11850/3","Vadenbo, Carl||Tonini, Davide||Burg, Vanessa||Astrup, Thomas Fruergaard||Thees, Oliver||Hellweg, Stefanie",,,,,,"2018-11-23T14:16:11Z","2018-11-09T06:02:23Z||2018-11-23T14:16:11Z","2018-12",,,,,,"0961-9534",,"10.1016/j.biombioe.2018.10.001","http://hdl.handle.net/20.500.11850/302573","en","Elsevier",,,"Biomass resource potential||Bioenergy||Consequential life cycle assessment (LCA)||Energy scenarios||Environmental optimization","Environmental optimization of biomass use for energy under alternative future energy scenarios for Switzerland",,"Journal Article","Metadata only",,,"2018-11-09T06:02:23Z",,,,,"yes",,,,,,,,,,,,"85055028063",,"000449265800049","Biomass bioenergy",,"Biomass and Bioenergy","119","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie","03732","03732",,"472","462","Amsterdam","published",,,,,,,,,,,,,"2018-11-23T14:16:21Z","2019-01-03T09:40:22Z","true",,"SCOPUS",,,,
"283245","20.500.11850/10","Floriancic, Marius G.||Berghuijs, Wouter Reinier||Molnar, Peter",,,,,,"2019-02-28T09:54:18Z","2019-01-31T15:14:14Z||2019-02-28T09:54:18Z","2018-12-01",,,,,,,,,"http://hdl.handle.net/20.500.11850/322071","en",,,,,"Low-flow seasonality across Switzerland - Climatic drivers and the influence of landscape",,"Other Conference Item","Metadata only",,,"2019-01-31T15:14:25Z",,,,,"yes","16th Swiss Geoscience Meeting (SGM 2018)","November 30 - December 1, 2018","Bern, Switzerland",,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","02608||03798","03798","Conference lecture on 1 December 2018",,,,"unpublished",,,,,,,,,,,,,"2019-02-28T09:54:22Z","2020-02-15T17:33:34Z","true",,"FORM",,,,
