id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.dataCollector,dc.contributor.editor,dc.contributor.researcher,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.created,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.collected,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.description.methods,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.geolocation.placename,ethz.geolocation.pointlat,ethz.geolocation.pointlong,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.orcidWorkCode,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.continues,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isDocumentedBy,ethz.relation.isNewVersionOf,ethz.relation.isOriginalFormOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isReferencedBy,ethz.relation.isSourceOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.relation.isVariantFormOf,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"311707","20.500.11850/3","Ward, Barbara J.||Traber, Jacqueline||Gueye, Amadou||Diop, Bécaye||Morgenroth, Eberhard||Strande, Linda",,,,,,"2019-10-01T10:11:23Z","2019-09-30T17:32:03Z||2019-10-01T10:11:23Z",,"2019-12-15","2019-09-20","Unpredictable dewatering performance is a barrier to the effective management and treatment of faecal sludge. While mechanisms of dewatering in sludges from wastewater treatment are well understood, it is not clear how dewatering of faecal sludge fits into the framework of existing knowledge. We evaluate physical-chemical parameters, including EPS and cations, and demographic (source), environmental (microbial community), and technical factors (residence time) as possible predictors of dewatering performance in faecal sludge, and make comparisons to the existing conceptual model for wastewater sludge. Faecal sludge from public toilets took longer to dewater than sludge from other sources, and had turbid supernatant after settling. Slow dewatering and turbid supernatant corresponded to high EPS and monovalent cation concentrations, conductivity, and pH, but cake solids after dewatering was not correlated with EPS or other factors. Faecal sludges with higher EPS appeared less stabilised than those with lower EPS, potentially a result of inhibition of biological degradation due to high urine concentrations. However, distinct microbial community compositions were also observed in samples with higher and lower EPS concentrations. Higher EPS faecal sludge was comparable in dewatering behaviour and EPS content to anaerobically digested and primary wastewater sludges. However lower EPS faecal sludges had different dewatering behaviour than wastewater sludges and may be governed by different mechanisms.","application/pdf","10.3929/ethz-b-000367398",,"0043-1354||1879-2448",,"10.1016/j.watres.2019.115101","http://hdl.handle.net/20.500.11850/367398","en","Elsevier","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","Fecal sludge||EPS||CST||Stabilization||Public toilet","Evaluation of conceptual model and predictors of faecal sludge dewatering performance in Senegal and Tanzania",,"Journal Article","Open access",,,,"2019-09-30T17:32:12Z",,,,,"yes",,,,,,,,,,,,,,"85072617034",,"000493220400009","Water Res.",,"Water Research","167","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03832 - Morgenroth, Eberhard / Morgenroth, Eberhard","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03832 - Morgenroth, Eberhard / Morgenroth, Eberhard","03832","03832",,,"115101","Amsterdam","published",,,,,,,,,,,,,,,,"2019-10-01T10:12:05Z","2022-03-28T23:44:37Z","true","13 p.","SCOPUS",,,"publishedVersion",
"314893","20.500.11850/3","Haag, Fridolin||Reichert, Peter||Maurer, Max||Lienert, Judit",,,,,,"2019-10-21T11:14:41Z","2019-10-20T03:03:51Z||2019-10-21T11:14:41Z",,"2019-12-15",,,,,,"0301-4797||1095-8630",,"10.1016/j.jenvman.2019.109652","http://hdl.handle.net/20.500.11850/371758","en","Elsevier",,,"Multi-criteria decision analysis||Urban water management||Uncertainty||Stakeholder preferences||Multi-attribute utility theory||Adaptive utility","Integrating uncertainty of preferences and predictions in decision models: An application to regional wastewater planning",,"Journal Article","Metadata only",,,,"2019-10-20T03:03:56Z",,,,,"yes",,,,,,,,,,,,,,"85073206974",,"000496035000055","J. environ. manag.",,"Journal of Environmental Management","252","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03989 - Maurer, Max / Maurer, Max","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03989 - Maurer, Max / Maurer, Max","03989","03989",,,"109652","Amsterdam","published",,,,,,,"10.3929/ethz-b-000378014",,,,,,,,,"2019-10-21T11:14:54Z","2022-03-28T23:55:09Z","true","16 p.","SCOPUS",,,,
"441161","20.500.11850/16","Cazcarra-Bes, Victor",,,,,"Hajnsek, Irena||Huth, Andreas||Tebaldini, Stefano||Ulander, Lars M. H.","2022-02-24T15:10:04Z","2020-01-14T10:08:54Z||2020-01-14T11:57:35Z||2022-02-24T15:10:04Z",,"2019-12-11","2020-01-14","Forests cover about 30 % of the Earth's land surface. They are an important element of the carbon and water cycle as they can act as both sinks and sources. As a result, they can influence the local and global climate. At the same time, forests are an important economic factor as they provide wood and food, and of high ecological importance as they provide habitat for numerous plants and animals. Due to its importance, the mapping, inventory and assessment of forests and their changes worldwide become a priority for scientists and governments, and is the motivation for this thesis. In particular, the thesis focuses on the study of the three dimensional (3-D) forest structure, as it is a key parameter of the forest ecosystem useful for many applications like biomass estimation, plant biodiversity or forest management and productivity.   Since decades, the most common way to characterize forest structure has been the use of single-tree information collected in situ. However, this type of measurement is typically limited to small and accessible forest areas. Remote sensing techniques overcome these limitations allowing large coverage and the collection of information without physical contact. Across the different remote sensing techniques, synthetic aperture radars (SAR) play an essential role. They provide unique ability to systematically image large areas at high spatial and temporal resolution, while at the same time they allow penetrating into forest volumes (especially at low frequencies) providing information about its 3-D structure.  SAR tomography (TomoSAR) uses multiple SAR acquisitions at slightly different positions to reconstruct the 3-D radar reflectivity, by means of imaging techniques without the need of using scattering models. However, the potential of TomoSAR configurations to extract 3-D structural information with ecological meaning has not been fully assessed yet. In this context, the first goal of this thesis is to establish a link between TomoSAR measurements and 3-D forest structure. In this sense, a framework that allows the qualitative and quantitative characterization of the 3-D forest structure from tomographic SAR profiles has been proposed. From the statistical distribution of the local maxima of the TomoSAR profiles, two indices are proposed to describe the horizontal density and the vertical complexity of a forest. This approach has been evaluated on a TomoSAR L-band data set over a temperate forest in Germany, together with the structure obtained from single-tree ground measurements and Lidar data. The results show a high correlation between the structures derived from the three sources of data, which confirms the ecological significance of the proposed method. Moreover, the same methodology has been used to demonstrate the ability of TomoSAR profiles to detect and characterize structure changes of forest stands.  The second goal of the thesis is to evaluate different TomoSAR algorithms and configurations with a focus on forest structure applications. Fourier beamforming, Capon beamforming and compressive sensing have been analyzed with simulated and real TomoSAR data at L-band. The results indicate that compressive sensing is the most appropriate one for the characterization of forest structure as proposed in this thesis, but it has the drawback of introducing sometimes false local maxima. Furthermore, it has been found that in tandem-like (bistatic) TomoSAR implementations the reconstruction of the profiles is robust to temporal changes of the scattering on a longer time span, in contrast to repeat-pass (monostatic) implementations. Finally, the requirements of TomoSAR acquisitions for distinguishing different structure types have been evaluated in terms of vertical resolution, height of ambiguity and peak side-lobe level of the point spread function. The results show that, for a limited number of images (5 to 7), a non-uniform distribution of the tracks with low vertical resolution (10 to 15 m) is the best compromise to avoid higher values of the peak to sidelobe level that would degrade the quality of the TomoSAR profiles and their interpretation.  The results of the thesis underline the potential of TomoSAR as a 3-D imaging tool for forest structure applications and contribute to better understand the TomoSAR profiles. Moreover, they open the door to further evaluate, investigate and exploit the enormous amount of TomoSAR data that the two upcoming SAR missions (ESA’s BIOMASS and DLR’s Tandem-L) will provide over all forests of the Earth.","application/pdf",,,,,,"http://hdl.handle.net/20.500.11850/390170","en","ETH Zurich",,,"Synthetic aperture radar (SAR)||Tomographic imaging||Forest structure","Forest Structure Characterization from SAR Tomography",,"Doctoral Thesis","Closed access",,"DDC - DDC::0 - Computer science, information & general works::000 - Generalities, science||DDC - DDC::5 - Science::550 - Earth sciences||DDC::3 - Social sciences",,"2020-01-14T10:09:02Z","9999-12-31",,,,"yes",,,,,,,,,,,,"26470",,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03849 - Hajnsek, Irena / Hajnsek, Irena","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03849 - Hajnsek, Irena / Hajnsek, Irena","03849","03849",,,,"Zurich","published",,,,,,,,,,,,,,,,"2020-01-14T11:57:49Z","2022-03-29T19:59:31Z","true","196 p.","FORM",,,,
"319569","20.500.11850/10","Bergami, Gianluca||Molnar, Peter||Burlando, Paolo",,,,,,"2019-11-18T17:45:04Z","2019-10-08T13:38:30Z||2019-10-11T17:25:31Z||2019-11-18T17:45:04Z",,"2019-12-09",,,,,,,,,"http://hdl.handle.net/20.500.11850/369221","en","American Geophysical Union",,,,"An Integrated Ecohydraulic Approach to Assess Surface Water-Groundwater-Riparian Vegetation Interacfions",,"Other Conference Item","Metadata only",,,,"2019-10-08T13:38:40Z",,,,,"yes","AGU Fall Meeting 2019","December 9-13, 2019","San Francisco, CA, USA",,,,,,,,,,,,"https://agu.confex.com/agu/fm19/meetingapp.cgi/Paper/581277",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473","Conference lecture on December 9, 2019.",,"U12C-08","s.l.","published",,,,,,,,,,,,,,,,"2020-02-24T08:24:36Z","2022-03-29T00:18:12Z","true","1 p.","FORM",,,,
"322840","20.500.11850/31","Leinss, Silvan||Löwe, Henning||Proksch, Martin||Kontu, Anna","Leinss, Silvan",,,,,"2019-12-05T09:54:38Z","2019-12-04T15:47:36Z||2019-12-05T09:54:38Z","2019-12-04","2019-12-04","2019-12-05",,"application/zip||text/plain||image/png","10.3929/ethz-b-000382787",,,,,"http://hdl.handle.net/20.500.11850/382787","en","ETH Zurich","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Modeling the Evolution of the Structural Anisotropy of Snow",,"Dataset","Open access",,,"2009-2013","2019-12-04T15:47:49Z",,"indefinite","292278994-08-17T07:12:55Z",,"yes",,,,"Sodankylä","67.36185","26.63355",,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03849 - Hajnsek, Irena / Hajnsek, Irena","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03849 - Hajnsek, Irena / Hajnsek, Irena","03849","03849",,,,"Zurich",,,,,,"10.3929/ethz-b-000334041",,,,,,"10.5194/tc-2019-63",,,,,"2019-12-05T09:57:14Z","2019-12-05T09:57:14Z","true","164.29 MB","FORM",,,,
"337043","20.500.11850/10","Marchionni, Valentina||Daly, Edoardo||Manoli, Gabriele||Tapper, Nigel||Walker, Jeff||Fatichi, Simone",,,,,,"2020-02-20T12:24:25Z","2020-01-22T15:47:30Z||2020-02-17T11:52:09Z||2020-02-20T12:24:25Z",,"2019-12",,,,,,,,,"http://hdl.handle.net/20.500.11850/393215","en",,,,,"Groundwater sustains water and carbon fluxes in natural urban reserves: The case of Melbourne",,"Other Conference Item","Metadata only",,,,"2020-01-22T15:47:38Z",,,,,"yes","MODSIM 23rd International Congress on Modelling and Simulation","December 1-6, 2019","Canberra, Australia",,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473","Presented on Thursday, 5. December 2019.",,,,"unpublished",,,,,,,,,,,,,,,,"2020-02-20T12:24:36Z","2021-02-15T08:11:35Z","true",,"FORM",,,,
"299578","20.500.11850/3","Mu, Ling||Rutkowski, Sven||Gai, Meiyu||Frueh, Johannes",,,,,,"2019-07-02T10:57:06Z","2018-12-10T18:38:20Z||2018-12-11T06:35:48Z||2018-12-11T06:55:03Z||2019-07-02T10:57:06Z",,"2019-12","2018",,,,,"1533-4880||1533-4899",,"10.1166/jnn.2019.16761","http://hdl.handle.net/20.500.11850/309839","en","American Scientific Publishers (ASP)",,,"Copper Alginate||Calcium Alginate||Microparticle Arrays||Micro-Algae||Fouling Release||Self-Polishing","Alginate Microparticle Arrays as Self-Polishing Bio-Fouling Release Coatings",,"Journal Article","Metadata only",,,,"2018-12-10T18:38:26Z",,,,,"yes",,,,,,,,,,,,,,,,,"J. nanosci. nanotechnol.","12","Journal of Nanoscience and Nanotechnology","19","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03887 - Wang, Jing / Wang, Jing","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03887 - Wang, Jing / Wang, Jing","03887","03887",,"8062","8052","Valencia, CA","published",,,,,,,,,,,,,,,"false","2019-07-02T10:57:15Z","2019-07-02T10:57:15Z","true",,"FORM",,,,
"320143","20.500.11850/3","Xu, Donghui||Ivanov, Valeriy Y.||Kim, Jongho||Fatichi, Simone",,,,,,"2019-11-20T15:46:08Z","2019-01-21T15:37:59Z||2019-01-28T15:32:30Z||2019-11-20T15:46:08Z",,"2019-12","2018-11-13",,,,,"1436-3240||1436-3259",,"10.1007/s00477-018-1621-2","http://hdl.handle.net/20.500.11850/318204","en","Springer",,,"Bayesian weighted averaging||Multi-model ensemble||Weighting skill||Model bias||Observations||Factor of change","On the use of observations in assessment of multi-model climate ensemble",,"Journal Article","Metadata only",,,,"2019-01-21T15:38:02Z",,,,,"yes",,,,,,,,,,,,,,"85056646866",,"000496754100002","Stoch. environ. res. risk assess.","11-12","Stochastic Environmental Research and Risk Assessment","33","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473",,"1937","1923","Berlin","published",,,,,,,,,,,,,,,,"2019-11-20T15:46:20Z","2020-02-15T22:42:13Z","true",,"FORM",,,,
"336952","20.500.11850/16","Fischer, Georg",,,,,"Hajnsek, Irena||Bamber, Jonathan||Dall, Jørgen||Ferro-Famil, Laurent||Rott, Helmut||Steffen, Konrad","2020-02-20T07:27:15Z","2020-02-19T15:43:11Z||2020-02-20T07:27:15Z",,"2019-12","2020-02-20","Remote sensing is a fundamental tool to measure the dynamics of ice sheets and provides valuable information for ice sheet projections under a changing climate. There is, however, the potential to further reduce the uncertainties in these projections by developing innovative remote sensing methods. One of these remote sensing techniques, the polarimetric synthetic aperture radar interferometry (Pol-InSAR), is known since decades to have the potential to assess the geophysical properties below the surface of ice sheets, because of the penetration of microwave signals into dry snow, firn, and ice. Despite this, only very few studies have addressed this topic and the development of robust Pol-InSAR applications is at an early stage. Two potential Pol-InSAR applications are identified as the motivation for this thesis. First, the estimation and compensation of the penetration bias in digital elevation models derived with SAR interferometry. This bias can lead to errors of several meters or even tens of meters in surface elevation measurements. Second, the estimation of geophysical properties of the subsurface of glaciers and ice sheets using Pol-InSAR techniques. There is indeed potential to derive information about melt-refreeze processes within the firn, which are related to density and affect the mass balance. Such Pol-InSAR applications can be a valuable information source with the potential for monthly ice sheet wide coverage and high spatial resolution provided by the next generation of SAR satellites. However, the required models to link the Pol-InSAR measurements to the subsurface properties are not yet established.  The aim of this thesis is to improve the modeling of the vertical backscattering distribution in the subsurface of ice sheets and its effect on polarimetric interferometric SAR measurements at different frequencies.  In order to achieve this, polarimetric interferometric multi-baseline SAR data at different frequencies and from two different test sites on the Greenland ice sheet are investigated. This thesis contributes with three concepts to a better understanding and to a more accurate modeling of the vertical backscattering distribution in the subsurface of ice sheets. First, the integration of scattering from distinct subsurface layers. These are formed by refrozen melt water in the upper percolation zone and cause an interesting coherence undulation pattern, which cannot be explained with previously existing models. This represents a first link between Pol-InSAR data and geophysical subsurface properties. The second step is the improved modeling of the general vertical backscattering distribution of the subsurface volume. The advantages of more flexible volume models are demonstrated, but interestingly, the simple modification of a previously existing model with a vertical shift parameter lead to the best agreement between model and data. The third contribution is the model based compensation of the penetration bias, which is experimentally validated. At the investigated test sites, it becomes evident that the model based estimates of the surface elevations are more accurate than the interferometric phase center locations, which are conventionally used to derive surface elevations of ice sheets. This thesis therefore improves the state of the art of subsurface scattering modeling for Pol-InSAR applications, demonstrates the model-based penetration bias compensation, and makes a further research step towards the retrieval of geophysical subsurface information with Pol-InSAR.","application/pdf","10.3929/ethz-b-000400515",,,,,"http://hdl.handle.net/20.500.11850/400515","en","ETH Zurich","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/","SYNTHETIC APERTURE RADAR, SAR + HIGH RESOLUTION RADAR (RADAR ENGINEERING)||SAR Interferometry||Polarimetric synthetic aperture radar interferometry (Pol-InSAR)||SAR Tomography||ICE SHEETS + ICE CAPS (GLACIOLOGY)||GREENLAND (ARCTIC TERRITORIES)||Microwave penetration||Subsurface structure||MASS AND ENERGY BALANCE OF GLACIERS (GLACIOLOGY)","Modeling of Subsurface Scattering from Ice Sheets for Pol-InSAR Applications",,"Doctoral Thesis","Open access",,"DDC - DDC::5 - Science::550 - Earth sciences",,"2020-02-19T15:43:20Z",,,,,"yes",,,,,,,,,,,,"26469",,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03849 - Hajnsek, Irena / Hajnsek, Irena","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03849 - Hajnsek, Irena / Hajnsek, Irena","03849","03849",,,,"Zurich","published",,,,,,,,,,,,,,,,"2020-02-20T07:27:26Z","2021-02-15T08:10:23Z","true","142 p.","FORM",,,,
"339544","20.500.11850/3","Anghileri, Daniela||Monhart, Samuel||Zhou, C.||Bogner, Konrad||Castelletti, Andrea||Burlando, Paolo||Zappa, Massimiliano",,,,,,"2020-03-09T15:15:59Z","2019-12-17T03:16:18Z||2019-12-17T08:43:38Z||2020-03-09T15:15:59Z",,"2019-12","2019-12-04",,,,,"0043-1397||1944-7973",,"10.1029/2019WR025280","http://hdl.handle.net/20.500.11850/385948","en","American Geophysical Union",,,,"The Value of Subseasonal Hydrometeorological Forecasts to Hydropower Operations: How Much Does Preprocessing Matter?",,"Journal Article","Metadata only",,,,"2019-12-17T03:16:23Z",,,,,"yes",,,,,,,,,,,,,,"85076106029",,"000500766700001","Water Resour. Res.","12","Water Resources Research","55","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473",,"10178","10159","Washington, DC","published",,,,,,,,,,,,,,,,"2020-03-09T15:16:09Z","2021-02-15T08:39:31Z","true",,"WOS",,,,
