id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.dataCollector,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.code.jel,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.pubmed,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isDerivedFrom,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isSourceOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.relation.references,ethz.repository,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit
"383807","20.500.11850/3","Cao, Xiaobao||Gao, Quan||Li, Shangkun||Hu, Songtao||Wang, Jing||Fischer, Peter||Stavrakis, Stavros||deMello, Andrew J.",,,,,"2021-01-08T17:41:18Z","2020-11-30T16:15:56Z||2020-12-01T15:32:12Z||2021-01-08T17:41:18Z","2020-12-02","2020-11-10","In recent years, flow photolithography (FL) has emerged as a powerful synthetic tool for the creation of barcoded microparticles with complex morphologies and chemical compositions which have been shown to be useful in a range of multiplexed bioassay applications. More specifically, FL has been highly successful in producing micron-sized, encoded particles of bespoke shape, size, and color. That said, to date, FL has been restricted to generating barcoded microparticles and has lacked the ability to produce hybrid fibers which are structurally and spectrally encoded. To this end, we herein present a method that combines a continuous flow microfluidic system with two-photon polymerization (2PP) to fabricate microscale-encoded fibers and Janus strips in a high-throughput manner. Specifically, two co-flow liquid streams containing a monomer and initiator are introduced through a Y-shape channel to form a stable interface in the center of a microfluidic channel. The flow containing the (fluorescently labeled) monomer is then patterned by scanning the voxel of the 2PP laser across the interface to selectively polymerize different regions of the forming fiber/particle. Such a process allows for rapid spectral encoding at the single fiber level, with the resulting structurally coded fibers having obvious application in the fields of security identification and anticounterfeiting.",,,,"1944-8244||1944-8252",,"10.1021/acsami.0c14917","http://hdl.handle.net/20.500.11850/453817","en","American Chemical Society",,,"Microfluidics||Laminar flow||Two-photon polymerization||Hybrid fiber||Barcoding","Laminar Flow-Based Fiber Fabrication and Encoding via Two-Photon Lithography","Journal Article","Metadata only",,,,"2020-11-30T16:16:06Z",,,,"yes",,,,,,,,,,,"85096712478",,"000596876400050","ACS Appl Mater Interfaces","48","ACS Applied Materials & Interfaces","12","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02020 - Dep. Chemie und Angewandte Biowiss. / Dep. of Chemistry and Applied Biosc.::02516 - Inst. f. Chemie- und Bioingenieurwiss. / Inst. Chemical and Bioengineering::03914 - deMello, Andrew / deMello, Andrew||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03887 - Wang, Jing / Wang, Jing||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02070 - Dep. Gesundheitswiss. und Technologie / Dep. of Health Sciences and Technology::02701 - Inst.f. Lebensmittelwiss.,Ernährung,Ges. / Institute of Food, Nutrition, and Health::03858 - Nyström, Laura M. / Nyström, Laura M.::08821 - Fischer, Peter (Tit.-Prof.)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02020 - Dep. Chemie und Angewandte Biowiss. / Dep. of Chemistry and Applied Biosc.::02516 - Inst. f. Chemie- und Bioingenieurwiss. / Inst. Chemical and Bioengineering::03914 - deMello, Andrew / deMello, Andrew||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03887 - Wang, Jing / Wang, Jing||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02070 - Dep. Gesundheitswiss. und Technologie / Dep. of Health Sciences and Technology::02701 - Inst.f. Lebensmittelwiss.,Ernährung,Ges. / Institute of Food, Nutrition, and Health::03858 - Nyström, Laura M. / Nyström, Laura M.::08821 - Fischer, Peter (Tit.-Prof.)","03914||03887||08821","03914||03887||08821",,"54074","54068","Washington, DC","published",,,,,,,,,,,,,"true","2021-01-08T17:41:29Z","2022-03-29T04:45:33Z","true",,"FORM",,,
"385446","20.500.11850/21","Wetter, Oliver||Schmocker-Fackel, Petra||Pfister, Christian||Schulte, Lothar||Mudelsee, Manfred||Rössler, Ole||Pena, Juan Carlos||Ruiz-Villanueva, Virginia",,,,,"2021-01-15T05:52:20Z","2021-01-14T17:22:31Z||2021-01-15T05:52:20Z","2020-12",,,"application/pdf","10.3929/ethz-b-000462770",,,,,"http://hdl.handle.net/20.500.11850/462770","en","ETH Zurich, Institute of Environmental Engineering","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/",,"Historical floods: changes in floods since the 13th Century","Report","Open access","Past, current, and future changes in floods in Switzerland",,,"2021-01-14T17:22:41Z",,,,"no",,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473",,"28","22","Zurich","published",,,,,,"10.3929/ethz-b-000458556",,,,,,,,"2021-01-15T05:52:32Z","2021-02-15T23:16:28Z","true","7 p.","FORM",,,
"385443","20.500.11850/21","Ruiz-Villanueva, Virginia||Molnar, Peter",,,"Ruiz-Villanueva, Virginia||Molnar, Peter",,"2021-01-15T05:39:43Z","2020-12-24T11:17:01Z||2021-01-14T16:56:38Z||2021-01-15T05:39:43Z","2020-12",,,"application/pdf","10.3929/ethz-b-000458556",,,,,"http://hdl.handle.net/20.500.11850/458556","en","ETH Zurich, Institute of Environmental Engineering","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/","Flood change||Paleofloods||Historical floods||Flood records||Trend analysis||Climatic drivers||Flood risk||Hydrological modelling","Past, current, and future changes in floods in Switzerland","Report","Open access","Past, current, and future changes in floods in Switzerland",,,"2020-12-24T11:17:13Z",,,,"no",,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473","Hydro-CH2018 study. Commissioned by the Federal Office for the Environment (FOEN), Bern, Switzerland.",,,"Zurich","published",,"10.3929/ethz-b-000462775||10.3929/ethz-b-000462770||10.3929/ethz-b-000462774||handle/20.500.11850/462778||10.3929/ethz-b-000462768",,,,,,,,,,,,"2021-01-15T05:40:05Z","2021-02-15T23:16:23Z","true","89 p.","FORM",,,
"385444","20.500.11850/21","Ruiz-Villanueva, Virginia||Molnar, Peter||Schmocker-Fackel, Petra||Andres, Norina||Zappa, Massimiliano",,,,,"2021-01-15T05:43:40Z","2021-01-14T17:29:53Z||2021-01-15T05:43:40Z","2020-12",,,"application/pdf","10.3929/ethz-b-000462774",,,,,"http://hdl.handle.net/20.500.11850/462774","en","ETH Zurich, Institute of Environmental Engineering","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/",,"Recent floods: changes in floods since the 19th Century","Report","Open access","Past, current, and future changes in floods in Switzerland",,,"2021-01-14T17:30:01Z",,,,"no",,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473",,"37","29","Zurich","published",,,,,,"10.3929/ethz-b-000458556",,,,,,,,"2021-01-15T05:43:50Z","2021-02-15T23:16:25Z","true","9 p.","FORM",,,
"396381","20.500.11850/4","Bogler, Anne||Packman, Aaron||Furman, Alex||Gross, Amit||Kushmaro, Ariel||Ronen, Avner||Dagot, Christophe||Hill, Colin||Vaizel-Ohayon, Dalit||Morgenroth, Eberhard||Bertuzzo, Enrico||Wells, George||Raanan Kiperwas, Hadas||Horn, Harald||Negev, Ido||Zucker, Ines||Bar-Or, Itay||Moran-Gilad, Jacob||Balcázar, José Luis||Bibby, Kyle||Elimelech, Menachem||Weisbrod, Noam||Nir, Oded||Sued, Oded||Gillor, Osnat||Alvarez, Pedro J.||Crameri, Sandra||Arnon, Shai||Walker, Sharon||Yaron, Sima||Nguyen, Thanh H.||Berchenko, Yakir||Hu, Yunxia||Ronen, Zeev||Bar-Zeev, Edo",,,,,"2021-03-29T12:55:22Z","2020-09-04T20:03:03Z||2020-09-15T11:12:41Z||2021-03-29T12:55:22Z","2020-12","2020-08-19","The COVID-19 pandemic has severely impacted public health and the worldwide economy. Converging evidence from the current pandemic, previous outbreaks and controlled experiments indicates that SARS-CoVs are present in wastewater for several days, leading to potential health risks via waterborne and aerosolized wastewater pathways. Conventional wastewater treatment provides only partial removal of SARS-CoVs, thus safe disposal or reuse will depend on the efficacy of final disinfection. This underscores the need for a risk assessment and management framework tailored to SARS-CoV-2 transmission via wastewater, including new tools for environmental surveillance, ensuring adequate disinfection as a component of overall COVID-19 pandemic containment. © 2020, Springer Nature Limited.",,,,"2398-9629",,"10.1038/s41893-020-00605-2","http://hdl.handle.net/20.500.11850/438581","en","Nature Publishing Group",,,,"Rethinking wastewater risks and monitoring in light of the COVID-19 pandemic","Review Article","Metadata only",,,,"2020-09-04T20:03:25Z",,,,"yes",,,,,,,,,,,"85089579601",,"000561019000001","Nat Sustain","12","Nature Sustainability","3","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03832 - Morgenroth, Eberhard / Morgenroth, Eberhard","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03832 - Morgenroth, Eberhard / Morgenroth, Eberhard","03832","03832",,"990","981","London","published",,,,,,,,,,,,,,"2021-03-29T12:55:35Z","2021-03-29T12:55:35Z","true",,"WOS",,,
"385442","20.500.11850/21","Molnar, Peter||Chang, Yuan Yuan||Peleg, Nadav||Moraga, Sebastian||Zappa, Massimiliano||Brunner, Manuela I.||Seibert, Jan||Freudiger, Daphné||Martius, Olivia||Mülchi, Regula",,,,,"2021-01-15T05:32:15Z","2021-01-14T17:40:16Z||2021-01-15T05:32:15Z","2020-12",,,"application/pdf","10.3929/ethz-b-000462778",,,,,"http://hdl.handle.net/20.500.11850/462778","en","ETH Zurich, Institute of Environmental Engineering","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/",,"Future changes in floods","Report","Open access","Past, current, and future changes in floods in Switzerland",,,"2021-01-14T17:40:28Z",,,,"yes",,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473",,"58","51","Zurich","published",,,,,,"10.3929/ethz-b-000458556",,,,,,,,"2021-01-15T05:32:54Z","2021-02-15T23:16:22Z","true","8 p.","FORM",,,
"385445","20.500.11850/21","Martius, Olivia||Viviroli, Daniel||Rössler, Ole||Zischg, Andreas||Röthlisberger, Veronika||Aemisegger, Franziska||Schulte, Lothar||Stuber, Martin||Pena, Juan Carlos||Ruiz-Villanueva, Virginia||Molnar, Peter",,,,,"2021-01-15T05:45:36Z","2021-01-14T17:35:23Z||2021-01-15T05:45:36Z","2020-12",,,"application/pdf","10.3929/ethz-b-000462775",,,,,"http://hdl.handle.net/20.500.11850/462775","en","ETH Zurich, Institute of Environmental Engineering","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/",,"Understanding flood triggering mechanisms and flood risk changes","Report","Open access","Past, current, and future changes in floods in Switzerland",,,"2021-01-14T17:35:42Z",,,,"no",,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473",,"50","38","Zurich","published",,,,,,"10.3929/ethz-b-000458556",,,,,,,,"2021-01-15T05:45:46Z","2021-02-15T23:16:26Z","true","13 p.","FORM",,,
"378643","20.500.11850/3","Peleg, Nadav||Sinclair, Scott||Fatichi, Simone||Burlando, Paolo",,,,,"2020-12-04T14:27:31Z","2020-04-26T02:31:01Z||2020-04-27T08:08:11Z||2020-12-04T14:27:31Z","2020-12","2020-04-03","Climate impact studies often require climate data at a higher space–time resolution than is available from global and regional climate models. Weather generator (WG) models, generally designed for mesoscale applications (e.g., 101–105 km2), are popular and widely used tools to downscale climate data to finer resolution. One advantage of using WGs is their ability to generate the necessary climate variables for impact studies in data sparse regions. In this study, we evaluate the ability of a previously established state of the art WG (the AWE‐GEN‐2d model) to perform in data sparse regions that are beyond the mesoscale, using the Zambezi River basin (106 km2) in southeast Africa as a case study. The AWE‐GEN‐2d model was calibrated using data from satellite retrievals and climate re‐analysis products in place of the absent observational data. An 8‐km climate ensemble at hourly resolution, covering the period of 1976–2099 (present climate and RCP4.5 emission scenario from 2020), was then simulated. Using the simulated 30‐member ensemble, climate indices for both present and future climates were computed. The high‐resolution climate indices allow detailed analysis of the effects of climate change on different areas within the basin. For example, the southwestern area of the basin is predicted to experience the greatest change due to increased temperature, while the southeastern area was found to be already so hot that is less affected (e.g., the number of 'very hot days' per year increase by 18 and 9 days, respectively). Rainfall intensities are found to increase most in the eastern areas of the basin (1 mm·d−1) in comparison to the western region (0.3 mm·d−1). As demonstrated in this study, AWE‐GEN‐2d can be calibrated successfully using data from climate reanalysis products in the absence of ground station data and can be applied at larger scales than the mesoscale.","application/pdf","10.3929/ethz-b-000411774",,"0899-8418||1097-0088",,"10.1002/joc.6578","http://hdl.handle.net/20.500.11850/411774","en","Wiley","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/","Climate change||Climate indices||Extreme climate indices||Rainfall||Stochastic downscaling||Temperature||Weather generator||Zambezi River","Downscaling climate projections over large and data sparse regions: Methodological application in the Zambezi River Basin","Journal Article","Open access",,,,"2020-04-26T02:31:06Z",,,,"yes",,,,"Use of a Decision-Analytic Framework to explore the water-energy-food NExus in complex and trans-boundary water resources systems of fast growing developing countries.","690268","10.13039/501100007352","SBFI","H2020",,,"85083782845",,"000525837000001","Int. j. climatol.","15","International Journal of Climatology","40","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473",,"6264","6242","Chichester","published",,,,,,,,,,,,,,"2020-12-04T14:27:47Z","2022-03-29T04:10:30Z","true",,"WOS",,,"publishedVersion"
"385449","20.500.11850/21","Anselmetti, Flavio S.||Schulte, Lothar||Stoffel, Marcus",,,,,"2021-01-15T06:03:33Z","2021-01-14T17:14:47Z||2021-01-15T06:03:33Z","2020-12",,,"application/pdf","10.3929/ethz-b-000462768",,,,,"http://hdl.handle.net/20.500.11850/462768","en","ETH Zurich, Institute of Environmental Engineering","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/",,"Paleofloods: changes in prehistoric flood occurrence","Report","Open access","Past, current, and future changes in floods in Switzerland",,,"2021-01-14T17:14:54Z",,,,"no",,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473",,"21","11","Zurich","published",,,,,,"10.3929/ethz-b-000458556",,,,,,,,"2021-01-15T06:03:43Z","2022-03-29T04:50:42Z","true","11 p.","FORM",,,
"393030","20.500.11850/4","Spuhler, Dorothee||Lüthi, Christoph",,,,,"2021-03-02T06:47:13Z","2020-12-03T12:43:40Z||2020-12-03T13:00:11Z||2021-03-02T06:47:13Z","2020-12","2020-09-07","To achieve citywide inclusive sanitation in developing countries, a strategic sanitation planning approach (SSA) needs to provide a variety of technical solutions that respond to different urban realities. Despite the development of various SSA frameworks, sanitation planning still often follows a ‘one-size-fits-all’ approach. Structured decision making (SDM) can help by balancing trade-offs among different solutions. But SDM requires a set of appropriate sanitation options to choose from. Because conventional sewer-based sanitation is often inappropriate, many novel technologies and systems have been developed (e.g. container-based sanitation). While these innovations enhance sustainability, they also increase planning complexity. In this review, we look at available frameworks and tools for SSA and discover a lack of systematic tools for the identification of planning options that are able to consider the growing portfolio of available solutions and multiple sustainability criteria. Therefore, we critically compare 15 tools from which we compile eight qualities that could help any future tool address the current sanitation challenge: it should be comprehensive, automated to deal with a large number of options, systematic, flexible towards future innovation and should consider all sustainability dimensions, make a contextualized evaluation, allow for participation, and consider uncertainties to be applicable ex-ante also for novel technologies.","application/pdf","10.3929/ethz-b-000454462",,"2043-9083",,"10.2166/washdev.2020.062","http://hdl.handle.net/20.500.11850/454462","en","IWA Publishing","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Appropriate technologies||Developing countries||Sanitation systems||SDG 6||Strategic sanitation planning (SSP)||Structured decision making (SDM)||Sustainable sanitation","Review of frameworks and tools for urban strategic sanitation planning: considering technology innovations and sustainability.","Review Article","Open access",,,,"2020-12-03T12:43:51Z",,,,"yes",,,,,,,,,,,,,,,"4","Journal of Water, Sanitation and Hygiene for Development","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03989 - Maurer, Max / Maurer, Max","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03989 - Maurer, Max / Maurer, Max","03989","03989",,"785","768","London","published",,,,,,,,,,,,,,"2021-03-02T06:47:22Z","2022-03-29T05:31:50Z","true",,"FORM",,,"publishedVersion"
