id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.dataCollector,dc.contributor.editor,dc.contributor.producer,dc.contributor.projectLeader,dc.contributor.researchGroup,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.created,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.collected,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.description.methods,ethz.description.software,ethz.doipreview,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.geolocation.placename,ethz.geolocation.pointlat,ethz.geolocation.pointlong,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.orcidWorkCode,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.libdrive.url,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.continues,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isContinuedBy,ethz.relation.isDerivedFrom,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isReferencedBy,ethz.relation.isSourceOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit
"419159","20.500.11850/3","Mu, Ling||Rutkowski, Sven||Gai, Meiyu||Tverdokhlebov, Sergei I.||Frueh, Johannes",,,,,,,,"2021-09-24T16:13:44Z","2021-09-10T03:31:49Z||2021-09-24T16:13:44Z",,"2021-12-15","2021-08-31","Biofouling is a severe problem for many applied technical surfaces ranging from ships and piers to water inlets and medicine. Here we investigate the physical–chemical properties of divalent copper and divalent calcium alginate bulk films and their anti-biofouling properties on the example of Chlorella vulgaris and in a natural river water environment. Physical-chemical characterization includes mechanical characterization of different mixing ratios, oil contact angles, and equilibrium water contents, self-polishing properties and copper ion release of copper alginate and copper-calcium alginate compositions. The results prove highly composition dependent physical–chemical properties. This causes highly composition dependent antibiofouling properties against Chlorella vulgaris, which changes significantly over time due to copper ion release and self-polishing resulting into up to 100 times lower biofouling compared to glass slides. Extending the test to river water, less Chlorella vulgaris compared to pure Chlorella vulgaris solution were determined. The total biofouling, which reached however, saturation of 25% and 35% coverage for copper, and calcium alginate respectively, which is comparable to glass.",,,,"0169-4332||1873-5584",,"10.1016/j.apsusc.2021.151087","http://hdl.handle.net/20.500.11850/505045","en","Elsevier",,,"Antibiofouling||Calcium Alginate||Copper alginate||Self-polishing||Chlorella vulgaris settlement","Copper alginate surface for perpetual Self-Polishing and Anti-Biofouling compound release",,"Journal Article","Metadata only",,,,"2021-09-10T03:31:57Z",,,,,,,"yes",,,,,,,,,,,,,,"85114126511",,,"Appl. surf. sci.",,"Applied Surface Science","569","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03887 - Wang, Jing / Wang, Jing","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03887 - Wang, Jing / Wang, Jing","03887","03887",,,,"151087","Amsterdam","published",,,,,,,,,,,,,,,"2021-09-24T16:13:51Z","2022-03-29T13:32:41Z","true","8 p.","SCOPUS",,,
"445871","20.500.11850/3","Zhang, Li||Graham, Nigel||Derlon, Nicolas||Tang, Youneng||Siddique, Muhammad Saboor||Xu, Lei||Yu, Wenzheng",,,,,,,,"2022-03-31T17:17:27Z","2022-01-25T14:20:59Z||2022-03-31T17:17:27Z",,"2021-12-15","2021-04-30","Biofouling layer (i.e., biofilm) is an inevitable presence for the membrane filtration processes. In this study, we elucidated biofouling formation from the perspective of affecting the attachment of bacteria for the first time, whereby the role of initial available biopolymers was revealed. Results demonstrated that the presence of initial available biopolymers increased the abundance of the genus Caulobacter, which was capable of mineralizing biopolymers; whereas, for the typically oligotrophic species of Polynucleobacter, it exhibited low abundance. Greater concentrations of polysaccharides and proteins were accumulated in the biofouling layer, when provided with initial biopolymers, and the biofilm structure was more heterogeneous with larger pore size and higher thickness. Thereby, the corresponding filtration system exhibited greater permeability and better removal performance of organics. Collectively, the initial available biopolymers altered the attachment conditions for the bacteria, which subsequently impacted the bacterial community, and in turn biofilm composition, physical structure and filtration performance.",,,,"0376-7388",,"10.1016/j.memsci.2021.119740","http://hdl.handle.net/20.500.11850/528467","en","Nature",,,"Initial available biopolymer||Biofouling Microbial community||Physical structure of biofilm||Membrane filtration","Biofouling by ultra-low pressure filtration of surface water: the paramount role of initial available biopolymers",,"Journal Article","Metadata only",,,,"2022-01-25T14:21:08Z",,,,,,,"yes",,,,,,,,,,,,,,"85113833404",,"000706715000001","J. Membr. Sci.",,"Journal of Membrane Science","640","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03832 - Morgenroth, Eberhard / Morgenroth, Eberhard","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03832 - Morgenroth, Eberhard / Morgenroth, Eberhard","03832","03832",,,,"119740","Amsterdam","published",,,,,,,,,,,,,,,"2022-03-31T17:17:41Z","2023-02-07T00:38:51Z","true","9 p.","FORM",,,
"428350","20.500.11850/3","Li, Hao||Shang, Huan||Jiang, Fuze||Zhu, Xingzhong||Ruan, Qifeng||Zhang, Lizhi||Wang, Jing",,,,,,,,"2021-12-06T17:04:59Z","2021-11-10T07:12:52Z||2021-11-10T09:33:38Z||2021-12-06T17:04:59Z",,"2021-12-14","2021-11-05","Manipulating O2 activation via nanosynthetic chemistry is critical in many oxidation reactions central to environmental remediation and chemical synthesis. Based on a carefully-designed plasmonic Ru/TiO2–x catalyst, we first report a room-temperature O2 dissociation and spillover mechanism that expedites the ""dream reaction"" of selective primary C–H bond activation. Under visible light, surface plasmons excited in the negatively-charged Ru nanoparticles decay into hot electrons, triggering spontaneous O2 dissociation to reactive atomic •O. Acceptor-like oxygen vacancies confined at the Ru-TiO2 interface free Ru from oxygen-poisoning by kinetically boosting the spillover of •O from Ru to TiO2. Evidenced by an exclusive isotopic O-transfer from 18O2 to oxygenated products, •O displays a synergistic action with native •O2– on TiO2 that oxidizes toluene and related alkyl aromatics to aromatic acids with extremely high selectivity. We believe the intelligent catalyst design for desirable O2 activation will contribute viable routes for synthesizing industrially important organic compounds.","application/pdf","10.3929/ethz-b-000514602",,"2041-6520||2041-6539",,"10.1039/d1sc04632b","http://hdl.handle.net/20.500.11850/514602","en","Royal Society of Chemistry","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/","O2 dissociation||Photocatalysis||C-H bond activation||Oxygen spillover||Selectivity","Plasmonic O2 Dissociation and Spillover Expedite Selective Oxidation of Primary C–H Bonds",,"Journal Article","Open access",,,,"2021-11-10T07:12:57Z",,,,,,,"yes",,,,,,,,,,,,,,"85120733287",,"000718853000001","Chem. Sci.","46","Chemical Science","12","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03887 - Wang, Jing / Wang, Jing","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03887 - Wang, Jing / Wang, Jing","03887","03887",,,"15317","15308","Cambridge","published",,,,,,,,,,,,,,,"2021-12-06T17:05:20Z","2022-03-29T16:26:59Z","true",,"FORM",,,"publishedVersion"
"428197","20.500.11850/3","Huang, Lanqing||Fischer, Georg||Hajnsek, Irena",,,,,,,,"2021-12-06T06:21:50Z","2021-12-05T16:40:46Z||2021-12-06T06:21:50Z",,"2021-12-02",,,"application/pdf","10.3929/ethz-b-000518646",,"1994-0416||1994-0424",,"10.5194/tc-15-5323-2021","http://hdl.handle.net/20.500.11850/518646","en","Copernicus","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Antarctic snow-covered sea ice topography derivation from TanDEM-X using polarimetric SAR interferometry",,"Journal Article||Journal Article","Open access",,,,"2021-12-05T16:40:51Z",,,,,,,"yes",,,,,,,,,,,,,"104119950","85121012917",,"000726421200001",,"12","The Cryosphere","15","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03849 - Hajnsek, Irena / Hajnsek, Irena","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03849 - Hajnsek, Irena / Hajnsek, Irena","03849","03849",,,"5344","5323","Göttingen","published",,,,,,,,,,,,,,,"2021-12-06T06:22:02Z","2022-03-29T16:25:02Z","true","22 p.","FORM",,,"publishedVersion"
"419367","20.500.11850/3","Moraga, Jorge S.||Peleg, Nadav||Fatichi, Simone||Molnar, Peter||Burlando, Paolo",,,,,,,,"2021-09-27T12:50:07Z","2021-09-06T02:56:51Z||2021-09-27T12:50:07Z",,"2021-12","2021-08-13","Mountainous catchments cover a broad range of elevations and their response to a warming climate is expected to vary significantly in space. Nevertheless, studies on climate change impacts typically examine the changes in flow statistics only at the catchment outlet. In this study, we instead demonstrate the high variability of the hydrological response to climate change at the sub-catchment scale, investigating in detail the contribution of all components of the hydrological cycle in two mountainous catchments (Thur and Kleine Emme) in the Swiss Alps. The analysis was conducted with a two-dimensional weather generator model that simulated gridded climate variables at an hourly and 2-km resolution until the end of the 21st century for the RCP8.5 emission scenario. The climate ensemble was used as input into a distributed hydrological model to estimate the changes in hydrological processes at 100-m and hourly resolutions. Climate models show that precipitation intensifies during winter but weakens during summer in the order of ± 5–10% toward the end of the century. Temperature will rise by up to 4°C, leading to a 50% reduction in snowmelt, 10% increase in evapotranspiration, and shift in precipitation type from snowfall to rainfall. As a result, streamflow is projected to increase by 40% in winter but decrease by 20% to 40% during summer, with winter floods becoming more frequent. The changes to streamflow (mean and extreme low and high flows) at the sub-catchments show a strong dependency with elevation. In contrast to the small changes projected at the outlet of the catchments, streamflow shows a reduction at higher elevations (up to −20% change in mean streamflow for sub-catchments at elevations exceeding 1400 m) and an increase at lower elevations (up to +5% for Kleine Emme and +20% for the Thur at elevations below 600 m). These impacts are tied to the changes in precipitation, as well as changes in snowmelt (at high elevation) and evapotranspiration (at low elevation). The results reveal the causes and diversity of hydrological response to climate change, emphasizing the importance of investigating the distributed impacts of climate change in mountainous environments.","application/pdf","10.3929/ethz-b-000504204",,"0022-1694||1879-2707",,"10.1016/j.jhydrol.2021.126806","http://hdl.handle.net/20.500.11850/504204","en","Elsevier","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","Catchment modelling||Climate change impacts||Weather generator||Distributed hydrological modeling||Streamflow extremes||Hydrological response","Revealing the impacts of climate change on mountainous catchments through high-resolution modelling",,"Journal Article","Open access",,,,"2021-09-06T02:56:51Z",,,,,,,"yes",,,,,,,,,,,,,,"85113722975",,"000706313000010","J. Hydrol.","A","Journal of Hydrology","603","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03473","03473",,,,"126806","Amsterdam","published",,,,,,,,,,,,,,,"2021-09-27T12:50:20Z","2022-03-29T13:34:51Z","true","13 p.","SCOPUS",,,"publishedVersion"
"429250","20.500.11850/3","Manny, Liliane||Duygan, Mert||Fischer, Manuel||Rieckermann, Jörg",,,,,,,,"2021-12-09T20:00:12Z","2021-11-13T07:54:58Z||2021-11-18T14:21:10Z||2021-12-09T20:00:12Z",,"2021-12","2021-11-03","Digital technologies can be important to policy-makers and public servants, as these technologies can increase infrastructure performance and reduce environmental impacts. For example, utilizing data from sensors in sewer systems can improve their management, which in turn may result in better surface water quality. Whether such big data from sensors is utilized is, however, not only a technical issue, but also depends on different types of social and institutional conditions. Our article identifies individual, organizational, and institutional barriers at the level of sub-states that hinder the evaluation of data from sewer systems. We employ fuzzy-set Qualitative Comparative Analysis (fsQCA) to compare 23 Swiss sub-states and find that two barriers at different levels can each hinder data evaluation on their own. More specifically, either a lack of vision at the individual level or a lack of resources at the organizational level hinder the evaluation of data. Findings suggest that taking into account different levels is crucial for understanding digital transformation in public organizations.","application/pdf","10.3929/ethz-b-000515032",,"0032-2687||1573-0891",,"10.1007/s11077-021-09438-y","http://hdl.handle.net/20.500.11850/515032","en","Springer","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Digital transformation||Data utilization||Infrastructure||Wastewater||Switzerland||QCA","Barriers to the digital transformation of infrastructure sectors",,"Journal Article","Open access",,,,"2021-11-13T07:56:53Z",,,,,,,"yes",,,,,,,,,,,,,,"85118474230",,"000714289500001","Policy Sci","4","Policy Sciences","54","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03989 - Maurer, Max / Maurer, Max","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03989 - Maurer, Max / Maurer, Max","03989","03989",,,"983","943","New York, NY","published",,,,,,,,,,,,,,,"2021-12-09T20:00:19Z","2022-03-29T16:32:27Z","true",,"WOS",,,"publishedVersion"
"430084","20.500.11850/5","Scherer, Laura||De Laurentiis, Valeria||Marques, Alexandra||Michelsen, Ottar||Migoni Alejandre, Elizabeth||Pfister, Stephan||Rosa, Francesca||Rugani, Benedetto",,,,,,,,"2021-12-16T07:47:57Z","2021-12-04T04:50:42Z||2021-12-07T07:49:14Z||2021-12-16T07:47:57Z",,"2021-12","2021-11-25","There is generally a mismatch in the land use classification of life cycle inventory (LCI) databases and life cycle impact assessment (LCIA) methods. This mismatch can hinder the proper assessment of land use impacts on biodiversity. To facilitate such assessments, we matched the land use classes of two global LCIA methods to five widely used LCI databases, one LCI nomenclature, and one multi-regional input-output database. In unclear cases, we assumed the worst case. Assumptions were especially necessary for unspecified land use intensity classes. We conclude with recommendations for LCI database and LCIA method developers.",,,,"0948-3349||1614-7502",,"10.1007/s11367-021-02003-y","http://hdl.handle.net/20.500.11850/518629","en","Springer",,,,"Linking land use inventories to biodiversity impact assessment methods",,"Other Journal Item","Metadata only",,,,"2021-12-04T04:52:22Z",,,,,,,"yes",,,,,,,,,,,,,,"85119977994",,"000722500900001","Int J Life Cycle Assess","12","The International Journal of Life Cycle Assessment","26","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03732 - Hellweg, Stefanie / Hellweg, Stefanie","03732||03732","03732",,,"2320","2315","Berlin","published",,,,,,,,,,,,,,,"2021-12-07T07:49:20Z","2022-03-29T16:36:57Z","true",,"WOS",,,
"428296","20.500.11850/3","Gao, Cherry||Garren, Melissa||Penn, Kevin||Fernandez, Vicente I.||Seymour, Justin R.||Thompson, Janelle R.||Raina, Jean-Baptiste||Stocker, Roman",,,,,,,,"2021-12-06T15:00:58Z","2021-07-08T02:53:54Z||2021-07-13T07:25:45Z||2021-12-06T15:00:58Z",,"2021-12","2021-06-24","Elevated seawater temperatures have contributed to the rise of coral disease mediated by bacterial pathogens, such as the globally distributed Vibrio coralliilyticus, which utilizes coral mucus as a chemical cue to locate stressed corals. However, the physiological events in the pathogens that follow their entry into the coral host environment remain unknown. Here, we present simultaneous measurements of the behavioral and transcriptional responses of V. coralliilyticus BAA-450 incubated in coral mucus. Video microscopy revealed a strong and rapid chemokinetic behavioral response by the pathogen, characterized by a two-fold increase in average swimming speed within 6 min of coral mucus exposure. RNA sequencing showed that this bacterial behavior was accompanied by an equally rapid differential expression of 53% of the genes in the V. coralliilyticus genome. Specifically, transcript abundance 10 min after mucus exposure showed upregulation of genes involved in quorum sensing, biofilm formation, and nutrient metabolism, and downregulation of flagella synthesis and chemotaxis genes. After 60 min, we observed upregulation of genes associated with virulence, including zinc metalloproteases responsible for causing coral tissue damage and algal symbiont photoinactivation, and secretion systems that may export toxins. Together, our results suggest that V. coralliilyticus employs a suite of behavioral and transcriptional responses to rapidly shift into a distinct infection mode within minutes of exposure to the coral microenvironment.","application/pdf","10.3929/ethz-b-000493461",,"1751-7362||1751-7370",,"10.1038/s41396-021-01024-7","http://hdl.handle.net/20.500.11850/493461","en","Nature Publishing Group","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Bacterial pathogenesis||marine microbiology||microbial ecology","Coral mucus rapidly induces chemokinesis and genome-wide transcriptional shifts toward early pathogenesis in a bacterial coral pathogen",,"Journal Article","Open access",,,,"2021-07-08T02:54:45Z",,,,,,,"yes",,,,,,,,,,,,,,"85108614351",,"000665727600001","ISME J","12","The ISME Journal","15","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::09467 - Stocker, Roman / Stocker, Roman||ETH Zürich::00002 - ETH Zürich::00003 - Schulleitung und Dienste::00022 - Bereich VP Forschung / Domain VP Research::02205 - FIRST-Lab / FIRST Center for Micro- and Nanoscience","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::09467 - Stocker, Roman / Stocker, Roman","09467||02205","09467",,,"3682","3668","London","published",,,,,,,,,,,,,,,"2021-12-06T15:01:05Z","2022-03-29T16:26:30Z","true",,"WOS",,,"publishedVersion"
"447118","20.500.11850/3","Donati, Giulia F.A.||Bolliger, Janine||Psomas, Achilleas||Maurer, Max||Bach, Peter Marcus",,,,,,,,"2022-04-11T11:56:39Z","2022-01-25T09:56:33Z||2022-04-11T11:56:39Z",,"2021-12",,,,,,"1664-8145",,,"http://hdl.handle.net/20.500.11850/528281","de||fr","Konferenz der Beauftragten für Natur- und Landschaftsschutz",,,,"Blau-grüne Infrastruktur: Eine Möglichkeit zur Förderung der biologischen Vielfalt in vom Menschen geprägten Landschaften?","Les infrastructures bleues-vertes: une opportunité pour améliorer la biodiversité dans les paysages dominés par l'homme?","Journal Article","Metadata only",,,,"2022-01-25T09:56:40Z",,,,,,,"yes",,,,,,,,,,,,,,,,,,"4","Inside: Nature + Paysage, Natur + Landschaft","21","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03989 - Maurer, Max / Maurer, Max","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03989 - Maurer, Max / Maurer, Max","03989","03989",,,"44","39","Herisau","published",,,,,,,,"https://kbnl.ch/aktuel/n-l-inside/aeltere-ausgaben-inside/",,,,,,,"2022-04-11T11:57:17Z","2022-04-11T11:57:17Z","true",,"FORM",,,
"407407","20.500.11850/3","Nguyen, Jen||Fernandez, Vicente, I||Pontrelli, Sammy||Sauer, Uwe||Ackermann, Martin||Stocker, Roman",,,,,,,,"2021-06-25T12:53:00Z","2021-06-25T03:09:24Z||2021-06-25T12:53:00Z",,"2021-12-01","2021-06-16","It has long been known that bacteria coordinate their physiology with their nutrient environment, yet our current understanding offers little intuition for how bacteria respond to the second-to-minute scale fluctuations in nutrient concentration characteristic of many microbial habitats. To investigate the effects of rapid nutrient fluctuations on bacterial growth, we couple custom microfluidics with single-cell microscopy to quantify the growth rate of E. coli experiencing 30 s to 60 min nutrient fluctuations. Compared to steady environments of equal average concentration, fluctuating environments reduce growth rate by up to 50%. However, measured reductions in growth rate are only 38% of the growth loss predicted from single nutrient shifts. This enhancement derives from the distinct growth response of cells grown in environments that fluctuate rather than shift once. We report an unexpected physiology adapted for growth in nutrient fluctuations and implicate nutrient timescale as a critical environmental parameter beyond nutrient identity and concentration.","application/pdf","10.3929/ethz-b-000491293",,"2041-1723",,"10.1038/s41467-021-23439-8","http://hdl.handle.net/20.500.11850/491293","en","Nature Publishing Group","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"A distinct growth physiology enhances bacterial growth under rapid nutrient fluctuations",,"Journal Article","Open access",,,,"2021-06-25T03:09:30Z",,,,,,,"yes",,,,,,,"The effect of high-frequency nutrient fluctuations on bacterial growth","176189","10.13039/501100001711","SNF","Projekte Lebenswissenschaften",,,"85108178725",,"000664863000005","Nat Commun","1","Nature Communications","12","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::09467 - Stocker, Roman / Stocker, Roman||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02030 - Dep. Biologie / Dep. of Biology::02538 - Institut für Molekulare Systembiologie / Institute for Molecular Systems Biology::03713 - Sauer, Uwe / Sauer, Uwe||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03743 - Ackermann, Martin / Ackermann, Martin||ETH Zürich::00002 - ETH Zürich::00003 - Schulleitung und Dienste::00022 - Bereich VP Forschung / Domain VP Research::02205 - FIRST-Lab / FIRST Center for Micro- and Nanoscience","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::09467 - Stocker, Roman / Stocker, Roman||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02030 - Dep. Biologie / Dep. of Biology::02538 - Institut für Molekulare Systembiologie / Institute for Molecular Systems Biology::03713 - Sauer, Uwe / Sauer, Uwe||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03743 - Ackermann, Martin / Ackermann, Martin","09467||03713||03743||02205","09467||03713||03743",,,,"3662","London","published",,,,,,,,,,,,,,,"2021-06-25T12:53:08Z","2023-02-06T22:09:51Z","true","12 p.","SCOPUS",,,"publishedVersion"
