id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.other,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.isNewVersionOf,ethz.relation.isPreviousVersionOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit
"108819","20.500.11850/3","Pfahl, Stephan||O'Gorman, Paul A.||Singh, Martin S.",,,,"2017-06-11T22:11:27Z","2017-06-11T22:11:27Z","2015-12",,,,,,"0894-8755||1520-0442",,"10.1175/jcli-d-14-00816.1","http://hdl.handle.net/20.500.11850/108852","en","American Meteorological Society",,,,"Extratropical Cyclones in Idealized Simulations of Changed Climates","Journal Article","Metadata only",,,"2017-06-11T22:12:03Z",,"pub:169869",,"yes",,,,,,,,,,"imp593653d6e0dc297970","000490902","84950154627",,"000365860500019","J. climate","23","Journal of Climate","28","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03854 - Wernli, Johann Heinrich / Wernli, Johann Heinrich","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03854 - Wernli, Johann Heinrich / Wernli, Johann Heinrich","03854","03854",,"9392","9373","Boston, MA","published",,,,,,"2017-07-24T09:56:45Z","2018-12-02T06:40:26Z","true",,"ECIT",,
"232723","20.500.11850/3","Russo, Simone||Sillmann, Jana||Fischer, Erich M.",,,,"2018-04-26T10:23:17Z","2017-06-11T22:48:51Z||2018-04-26T10:23:17Z","2015-12","2015-11-27","Understanding what drives changes in heatwaves is imperative for all systems impacted by extreme heat. We examine short- (13 yr) and long-term (56 yr) heatwave frequency trends in a 21‐member ensemble of a global climate model (Community Earth System Model; CESM), where each member is driven by identical anthropogenic forcings. To estimate changes dominantly due to internal climate variability, trends were calculated in the corresponding pre-industrial control run. We find that short-term trends in heatwave frequency are not robust indicators of long-term change. Additionally, we find that a lack of a long-term trend is possible, although improbable, under historical anthropogenic forcing over many regions. All long-term trends become unprecedented against internal variability when commencing in 2015 or later, and corresponding short-term trends by 2030, while the length of trend required to represent regional long-term changes is dependent on a given realization. Lastly, within ten years of a short-term decline, 95% of regional heatwave frequency trends have reverted to increases. This suggests that observed short-term changes of decreasing heatwave frequency could recover to increasing trends within the next decade. The results of this study are specific to CESM and the 'business as usual' scenario, and may differ under other representations of internal variability, or be less striking when a scenario with lower anthropogenic forcing is employed.","application/pdf","10.3929/ethz-b-000109725",,"1748-9326||1748-9318",,"10.1088/1748-9326/10/12/124003","http://hdl.handle.net/20.500.11850/109725","en","Institute of Physics","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/","Heat wave magnitude index daily||Extreme temperatures||European heatwaves||Heat wave magnitude unit||Russian heatwave||Finland heatwave||Heatwave projections","Top ten European heatwaves since 1950 and their occurrence in the coming decades","Journal Article","Open access",,,"2017-06-11T22:49:34Z",,"pub:170847",,"yes",,,,,,,,,,"imp593653e76da3a80781","005253059","84952923529",,"000367286300010","Environ. Res. Lett.","12","Environmental Research Letters","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","03777","03777",,,"124003","Britstol","published",,,,,,"2017-07-26T05:47:43Z","2021-02-14T23:28:21Z","true","15 p.","ECIT",,"publishedVersion"
"229447","20.500.11850/3","MacDougall, Andrew H.||Zickfeld, Kirsten||Knutti, Reto||Matthews, H. Damon",,,,"2018-04-06T12:43:35Z","2017-06-11T21:44:32Z||2018-04-06T12:43:35Z","2015-12","2015-11-25","The near proportionality between cumulative CO2 emissions and change in near surface temperature can be used to define a carbon budget: a finite quantity of carbon that can be burned associated with a chosen 'safe' temperature change threshold. Here we evaluate the sensitivity of this carbon budget to permafrost carbon dynamics and changes in non-CO2 forcings. The carbon budget for 2.0 ${}^{\circ }{\rm{C}}$ of warming is reduced from 1320 Pg C when considering only forcing from CO2 to 810 Pg C when considering permafrost carbon feedbacks as well as other anthropogenic contributions to climate change. We also examined net carbon budgets following an overshoot of and return to a warming target. That is, the net cumulative CO2 emissions at the point in time a warming target is restored following artificial removal of CO2 from the atmosphere to cool the climate back to a chosen temperature target. These overshoot net carbon budgets are consistently smaller than the conventional carbon budgets. Overall carbon budgets persist as a robust and simple conceptual framework to relate the principle cause of climate change to the impacts of climate change.","application/pdf","10.3929/ethz-b-000108054",,"1748-9326||1748-9318",,"10.1088/1748-9326/10/12/125003","http://hdl.handle.net/20.500.11850/108054","en","Institute of Physics","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/","Carbon budget||TCRE||Climate change","Sensitivity of carbon budgets to permafrost carbon feedbacks, non-CO2 forcings, and negative emissions","Journal Article","Open access",,,"2017-06-11T21:45:10Z",,"pub:168830",,"yes",,,,,,,,,,"imp593653c79b78a77938","005253059","84952894867",,"000367286300035","Environ. Res. Lett.","12","Environmental Research Letters","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","03777","03777",,,"125003","Britstol","published",,,,,,"2017-07-26T14:35:03Z","2021-02-14T23:11:29Z","true","11 p.","ECIT",,"publishedVersion"
"107393","20.500.11850/3","Meinshausen, Malte||Jeffery, Louise||Guetschow, Johannes||Robiou Du Pont, Yann||Rogelj, Joeri||Schaeffer, Michiel||Höhne, Niklas||Elzen, Michel den||Oberthür, Sebastian||Meinshausen, Nicolai",,,,"2017-06-11T21:25:04Z","2017-06-11T21:25:04Z","2015-12",,,,,,"1758-6798",,"10.1038/nclimate2826","http://hdl.handle.net/20.500.11850/107426","en","Nature Publishing Group",,,,"National post-2020 greenhouse gas targets and diversity-aware leadership","Journal Article","Metadata only",,,"2017-06-11T21:25:07Z",,"pub:168022",,"yes",,,,,,,,,,"imp593653baab14074873","006397317","84948151314",,"000366402900021","Nat. Clim. Chang.","12","Nature Climate Change","5","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02000 - Dep. Mathematik / Dep. of Mathematics::02537 - Seminar für Statistik (SfS) / Seminar for Statistics (SfS)::03990 - Meinshausen, Nicolai / Meinshausen, Nicolai","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02000 - Dep. Mathematik / Dep. of Mathematics::02537 - Seminar für Statistik (SfS) / Seminar for Statistics (SfS)::03990 - Meinshausen, Nicolai / Meinshausen, Nicolai","03777||03990","03777||03990","Published online 26 October 2015.","1106","1098","London","published",,,,,,"2017-07-13T06:01:18Z","2022-03-28T14:19:43Z","true",,"ECIT",,
"107404","20.500.11850/3","Steimer, Sarah S.||Berkemeier, Thomas||Gilgen, Anina||Krieger, Ulrich K.||Peter, Thomas||Shiraiwa, Manabu||Ammann, Markus",,,,"2017-06-11T21:26:41Z","2017-06-11T21:26:41Z","2015-12",,,,,,"1463-9084||1463-9076",,"10.1039/c5cp04544d","http://hdl.handle.net/20.500.11850/107437","en","Royal Society of Chemistry",,,,"Shikimic acid ozonolysis kinetics of the transition from liquid aqueous solution to highly viscous glass","Journal Article","Metadata only",,,"2017-06-11T21:27:42Z",,"pub:168033",,"yes",,,,,,,,,,"imp593653bae957b56584","002005974","84947998505",,"000365401700035","Phys. Chem. Chem. Phys.","46","Physical Chemistry Chemical Physics","17","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03517 - Peter, Thomas (emeritus) / Peter, Thomas (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03517 - Peter, Thomas (emeritus) / Peter, Thomas (emeritus)","03517","03517","Published online 23 October 2015.","31109","31101","Cambridge","published",,,,,,"2017-07-13T05:44:49Z","2023-02-06T13:07:12Z","true",,"ECIT",,
"107950","20.500.11850/3","Brönnimann, Stefan||Fischer, Andreas M.||Rozanov, Eugene||Poli, Paul||Compo, Gilbert P.||Sardeshmukh, Prashant D.",,,,"2017-06-11T21:41:41Z","2017-06-11T21:41:41Z","2015-12",,,,,,"1752-0908||1752-0894",,"10.1038/ngeo2568","http://hdl.handle.net/20.500.11850/107983","en","Nature Publishing Group",,,,"Southward shift of the northern tropical belt from 1945 to 1980","Journal Article","Metadata only",,,"2017-06-11T21:42:07Z",,"pub:168754",,"yes",,,,,,,,,,"imp593653c62625351759","005502522","84948440559",,"000367200200023","Nat. Geosci.","12","Nature Geoscience","8","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03517 - Peter, Thomas (emeritus) / Peter, Thomas (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03517 - Peter, Thomas (emeritus) / Peter, Thomas (emeritus)","03517","03517","Published online 19 October 2015.","974","969","London","published",,,,,,"2017-07-15T07:55:35Z","2023-02-06T13:08:12Z","true",,"ECIT",,
"469524","20.500.11850/3","Knutti, Reto||Rogelj, Joeri",,,,"2022-09-28T07:14:22Z","2017-06-11T16:17:12Z||2022-08-17T07:16:10Z||2022-08-29T06:29:22Z||2022-09-28T07:14:22Z","2015-12","2015-02-03","Of the carbon dioxide that we emit, a substantial fraction remains in the atmosphere for thousands of years. Combined with the slow response of the climate system, this results in the global temperature increase resulting from CO2 being nearly proportional to the total emitted amount of CO2 since preindustrial times. This has a number of simple but far-reaching consequences that raise important questions for climate change mitigation, policy and ethics. Even if anthropogenic emissions of CO2 were stopped, most of the realized climate change would persist for centuries and thus be irreversible on human timescales, yet standard economic thinking largely discounts these long-term intergenerational effects. Countries and generations to first order contribute to both past and future climate change in proportion to their total emissions. A global temperature target implies a CO2 “budget” or “quota”, a finite amount of CO2 that society is allowed to emit to stay below the target. Distributing that budget over time and between countries is an ethical challenge that our world has so far failed to address. Despite the simple relationship between CO2 emissions and temperature, the consequences for climate policy and for sharing the responsibility of reducing global CO2 emissions can only be drawn in combination with judgments about equity, fairness, the value of future generations and our attitude towards risk.","application/pdf","10.3929/ethz-b-000098368",,"0165-0009||1573-1480",,"10.1007/s10584-015-1340-3","http://hdl.handle.net/20.500.11850/98368","en","Springer","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"The legacy of our CO2 emissions: A clash of scientific facts, politics and ethics","Journal Article","Open access",,,"2017-06-11T16:17:48Z",,"pub:153830",,"yes",,,,,,,,,,"imp593652f38114363357",,"84947868764",,"000365518700002",,"3","Climatic Change","133","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","03777","03777","It was possible to publish this article open access thanks to a Swiss National Licence with the publisher.","373","361","Dordrecht","published",,,,,,"2017-07-19T10:16:51Z","2023-02-07T06:48:42Z","true",,"ECIT",,"publishedVersion"
"109091","20.500.11850/3","Sippel, Sebastian||Zscheischler, Jakob||Heimann, Martin||Otto, Friederike E.L.||Peters, Jonas||Mahecha, Miguel D.",,,,"2017-06-11T22:20:18Z","2017-06-11T22:20:18Z","2015-12",,,,,,"0094-8276||1944-8007",,"10.1002/2015GL066307","http://hdl.handle.net/20.500.11850/109124","en","Wiley-Blackwell",,,"Extreme events||Variability||Normalization||Statistics","Quantifying changes in climate variability and extremes: Pitfalls and their overcoming","Journal Article","Metadata only",,,"2017-06-11T22:21:08Z",,"pub:170166",,"yes",,,,,,,,,,"imp593653dc50a0f97540",,"84956964216",,"000368343200047","Geophys. Res. Lett.","22","Geophysical Research Letters","42","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03778 - Seneviratne, Sonia / Seneviratne, Sonia","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03778 - Seneviratne, Sonia / Seneviratne, Sonia","03778","03778","Published online 25 November 2015.","9998","9990","Hoboken, NJ","published",,,,,"true","2017-07-15T09:01:43Z","2021-02-14T13:44:25Z","true",,"ECIT",,
"316965","20.500.11850/3","Zscheischler, Jakob||Orth, René||Seneviratne, Sonia I.",,,,"2019-11-01T15:22:18Z","2017-06-11T21:51:16Z||2017-10-27T07:56:07Z||2019-11-01T15:22:18Z","2015-11-28","2015-11-25","Land-atmosphere coupling and changes in coupling regimes are important for making precise future climate predictions and understanding vegetation-climate feedbacks. Here we introduce the Vegetation-Atmosphere Coupling (VAC) index which identifies regions and times of concurrent strong anomalies in temperature and photosynthetic activity. The different classes of the index determine whether a location is currently in an energy-limited or water-limited regime, and its high temporal resolution allows to investigate how these regimes change over time at the regional scale. We show that the VAC index helps to distinguish different evaporative regimes. It can therefore provide indirect information about the local soil moisture state. We further demonstrate how the index can be used to understand processes leading to and occurring during extreme climate events, using the 2010 heat wave in Russia and the 2010 Amazon drought as examples.","application/pdf","10.3929/ethz-b-000108278",,"0094-8276||1944-8007",,"10.1002/2015GL066563","http://hdl.handle.net/20.500.11850/108278","en","American Geophysical Union","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"A submonthly database for detecting changes in vegetation-atmosphere coupling","Journal Article","Open access",,"DDC - DDC::5 - Science::550 - Earth sciences","2017-06-11T21:51:44Z",,"pub:169077",,"yes",,,,"Land-Climate Interactions: Constraints for Droughts and Heatwaves in a Changing Climate","617518","10.13039/501100000780","EC","FP7",,"imp593653cba2a2760084",,"84956890946",,"000368343200028","Geophys. Res. Lett.","22","Geophysical Research Letters","42","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03778 - Seneviratne, Sonia / Seneviratne, Sonia","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03778 - Seneviratne, Sonia / Seneviratne, Sonia","03778","03778",,"9824","9816","Washington, DC","published",,,,,,"2017-10-27T07:56:10Z","2022-03-29T00:11:23Z","true",,"ECIT",,"publishedVersion"
"456036","20.500.11850/22","Schleussner, Carl-Friedrich||Lissner, Tabea K.||Fischer, Erich M.||Wohland, Jan||Perrette, Mahé||Golly, Antonius||Rogelj, Joeri||Childers, Katelin H.||Schewe, Jacob||Frieler, Katja||Mengel, Matthias||Hare, William L.||Schaeffer, Michiel",,,,"2022-06-23T07:56:05Z","2017-06-11T22:48:54Z||2019-08-21T11:05:12Z||2019-08-21T14:38:58Z||2021-07-30T10:47:56Z||2022-06-23T07:56:05Z","2015-11-27",,"Robust  appraisals  of  climate  impacts  at  different  levels  of  global-mean  temperature increase  are  vital  to  guide  assessments  of  dangerous  anthropogenic  interference with  the  climate  system.  Currently,  two  such  levels  are  discussed  in  the  context  of the international climate negotiations as long-term global temperature goals: a below 2◦C  and  a  1.5◦C  limit  in  global-mean  temperature  rise  above  pre-industrial  levels.Despite the prominence of these two temperature limits, a comprehensive assessment of the differences in climate impacts at these levels is still missing. Here we provide an  assessment  of  key  impacts  of  climate  change  at  warming  levels  of  1.5◦C  and 2◦C, including extreme weather events, water availability, agricultural yields, sea-level rise and risk of coral reef loss. Our results reveal substantial differences in impacts between 1.5◦C and 2◦C. For heat-related extremes, the additional 0.5◦C increase in global-mean temperature marks the difference between events at the upper limit of present-day natural variability and a new climate regime, particularly in tropical regions.Similarly, this warming difference is likely to be decisive for the future of tropical coral reefs. In a scenario with an end-of-century warming of 2◦C, virtually all tropical coral reefs are projected to be at risk of severe degradation due to temperature induced bleaching  from  2050  on wards.  This  fraction  is  reduced  to  about  90 %  in  2050  and projected to decline to 70 % by 2100 for a 1.5◦C scenario. Analyses of precipitation-related  impacts  reveal  distinct  regional  differences  and  several  hot-spots  of  change20emerge. Regional reduction in median water availability for the Mediterranean is found to nearly double from 9 to 17 % between 1.5◦C and 2◦C, and the projected lengthening of regional dry spells increases from 7% longer to 11%. Projections for agricultural yields differ between crop types as well as world regions. While some (in particular high-latitude) regions may benefit, tropical regions like West Africa, South-East Asia, as well as Central and Northern South America are projected to face local yield reductions, particularly  for  wheat  and  maize.  Best  estimate  sea-level  rise  projections  based  on two  illustrative  scenarios  indicate  a  50cm  rise  by  2100  relative  to  year  2000-levels under a 2◦C warming, which is about 10 cm lower for a 1.5◦C scenario. Our findings highlight the importance of regional differentiation to assess future climate risks as well as different vulnerabilities to incremental increases in global-mean temperature. The article provides a consistent and comprehensive assessment of existing projections and a solid foundation for future work on refining our understanding of warming-level dependent climate impacts.","application/pdf","10.3929/ethz-b-000109728",,"2190-4995",,"10.5194/esdd-6-2447-2015","http://hdl.handle.net/20.500.11850/109728","en","Copernicus","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/",,"Differential climate impacts for policy-relevant limits to global warming: the case of 1.5° C and 2° C","Working Paper","Open access",,,"2017-06-11T22:49:34Z",,"pub:170850",,"yes",,,,,,,,,,"imp593653e780ebd28003",,,,,,,"Earth System Dynamics Discussions","6","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","03777","03777",,"2505","2447","Göttingen","published",,"10.3929/ethz-b-000116569",,,,"2017-08-01T16:08:17Z","2023-02-07T03:43:37Z","true","59 p.","ECIT",,
