id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.dataCollector,dc.contributor.editor,dc.contributor.producer,dc.contributor.projectLeader,dc.contributor.projectManager,dc.contributor.projectMember,dc.contributor.researchGroup,dc.contributor.researcher,dc.contributor.rightsHolder,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.created,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.collected,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.description.methods,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.geolocation.placename,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.internal,ethz.identifier.orcidWorkCode,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.continues,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isContinuedBy,ethz.relation.isDerivedFrom,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isReferencedBy,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"309445","20.500.11850/3","Karagodin, Arseniy||Rozanov, Eugene||Mareev, Evgeny||Mironova, Irina||Golubenko, Ksenia",,,,,,,,,,,,"2019-09-17T09:39:26Z","2019-09-14T02:46:37Z||2019-09-17T09:39:26Z",,"2019-12-20","2019-08-30",,,,,"0048-9697||1879-1026",,"10.1016/j.scitotenv.2019.134172","http://hdl.handle.net/20.500.11850/364057","en","Elsevier",,,"Atmospheric electricity||Ionospheric potential||Global climate modelling","The representation of ionospheric potential in the global chemistry-climate model SOCOL","Journal Article","Metadata only",,,,"2019-09-14T02:46:54Z",,,,,"yes",,,,,,,,,,,,,"85071619921",,"000499668600094","Sci. Total Environ.",,"Science of The Total Environment","697","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03517 - Peter, Thomas (emeritus) / Peter, Thomas (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03517 - Peter, Thomas (emeritus) / Peter, Thomas (emeritus)","03517","03517",,,"134172","Amsterdam","published",,,,,,,,,,,,,,"2019-09-17T09:39:38Z","2023-02-06T17:39:54Z","true","8 p.","SCOPUS",,,,
"332267","20.500.11850/3","Eirund, Gesa K.||Lohmann, Ulrike||Possner, Anna",,,,,,,,,,,,"2020-01-27T13:18:00Z","2019-12-11T11:09:20Z||2019-12-11T14:42:31Z||2020-01-27T13:18:00Z",,"2019-12-16","2019-11-14","Stratocumulus clouds around the globe tend to organize into cellular patterns, a phenomenon that has been primarily studied for the subtropical trade wind region. However, stratocumulus are also prevalent in high latitudes, where they often occur as mixed‐phase clouds. Yet little research has been conducted regarding mechanisms of cloud organization in the mixed‐phase regime. In cloud‐resolving model simulations we investigate the processes driving organization in open‐cell mixed‐phase stratocumuli. Similar to warm‐phase clouds, mixed‐phase clouds develop a subcloud circulation of evaporated/sublimated precipitation, cold pool formation, and consecutive updrafts driving new convective cells. For a larger ice to liquid water ratio, we find locally stronger precipitation and larger cloud cells. Hence, a higher concentration of ice nucleating particles can induce a breakup of the stratocumulus organization, with implications for the radiative balance at the surface. A decrease in cloud condensation nuclei concentration is also found to intensify precipitation and impact cloud organization.","application/pdf","10.3929/ethz-b-000384642",,"0094-8276||1944-8007",,"10.1029/2019GL084959","http://hdl.handle.net/20.500.11850/384642","en","American Geophysical Union","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Mixed‐phase clouds||Cloud organization||Boundary layer dynamics||Cold pools","Cloud Ice Processes Enhance Spatial Scales of Organization in Arctic Stratocumulus","Journal Article","Open access",,,,"2019-12-11T11:09:25Z",,,,,"yes",,,,,,,,,,,,,"85076285229",,"000500065500001","Geophys. Res. Lett.","23","Geophysical Research Letters","46","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03690 - Lohmann, Ulrike / Lohmann, Ulrike","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03690 - Lohmann, Ulrike / Lohmann, Ulrike","03690","03690",,"14117","14109","Washington, DC","published",,,,,,,,,,,,,,"2020-01-27T13:18:13Z","2021-02-15T07:40:45Z","true",,"WOS",,,"publishedVersion",
"326651","20.500.11850/3","Merrifield, Anna L.||Simpson, Isla R.||McKinnon, Karen A.||Sippel, Sebastian||Xie, Shang-Ping||Deser, Clara",,,,,,,,,,,,"2020-01-06T13:53:54Z","2019-12-29T15:45:04Z||2020-01-06T13:53:54Z",,"2019-12-16","2019-11-11",,,,,"0094-8276||1944-8007",,"10.1029/2019GL083945","http://hdl.handle.net/20.500.11850/387220","en","American Geophysical Union",,,,"Local and Nonlocal Land Surface Influence in European Heatwave Initial Condition Ensembles","Journal Article","Metadata only",,,,"2019-12-29T15:45:08Z",,,,,"yes",,,,,,,,,,,,,"85077086330",,"000502458100001","Geophys. Res. Lett.","23","Geophysical Research Letters","46","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","03777","03777",,"14092","14082","Washington, DC","published",,,,,,,,,,,,,,"2020-01-06T13:54:05Z","2021-02-15T07:10:13Z","true",,"WOS",,,,
"327989","20.500.11850/3","Ansmann, Albert||Mamouri, Rodanthi-Elisavet||Bühl, Johannes||Seifert, Patric||Engelmann, Ronny||Hofer, Julian||Nisantzi, Argyro||Atkinson, James D.||Kanji, Zamin A||Sierau, Berko||Vrekoussis, Mihalis||Sciare, Jean",,,,,,,,,,,,"2020-01-10T13:06:06Z","2019-12-29T15:55:01Z||2020-01-10T13:06:06Z",,"2019-12-13",,"For the first time, a closure study of the relationship between the ice-nucleating particle concentration (INP; INPC) and ice crystal number concentration (ICNC) in altocumulus and cirrus layers, solely based on ground-based active remote sensing, is presented. Such aerosol–cloud closure experiments are required (a) to better understand aerosol–cloud interaction in the case of mixed-phase clouds, (b) to explore to what extent heterogeneous ice nucleation can contribute to cirrus formation, which is usually controlled by homogeneous freezing, and (c) to check the usefulness of available INPC parameterization schemes, applied to lidar profiles of aerosol optical and microphysical properties up to the tropopause level. The INPC–ICNC closure studies were conducted in Cyprus (Limassol and Nicosia) during a 6-week field campaign in March–April 2015 and during the 17-month CyCARE (Cyprus Clouds Aerosol and Rain Experiment) campaign. The focus was on altocumulus and cirrus layers which developed in pronounced Saharan dust layers at heights from 5 to 11 km. As a highlight, a long-lasting cirrus event was studied which was linked to the development of a very strong dust-infused baroclinic storm (DIBS) over Algeria. The DIBS was associated with strong convective cloud development and lifted large amounts of Saharan dust into the upper troposphere, where the dust influenced the evolution of an unusually large anvil cirrus shield and the subsequent transformation into an cirrus uncinus cloud system extending from the eastern Mediterranean to central Asia, and thus over more than 3500 km. Cloud top temperatures of the three discussed closure study cases ranged from −20 to −57 ∘C. The INPC was estimated from polarization/Raman lidar observations in combination with published INPC parameterization schemes, whereas the ICNC was retrieved from combined Doppler lidar, aerosol lidar, and cloud radar observations of the terminal velocity of falling ice crystals, radar reflectivity, and lidar backscatter in combination with the modeling of backscattering at the 532 and 8.5 mm wavelengths. A good-to-acceptable agreement between INPC (observed before and after the occurrence of the cloud layer under investigation) and ICNC values was found in the discussed three proof-of-concept closure experiments. In these case studies, INPC and ICNC values matched within an order of magnitude (i.e., within the uncertainty ranges of the INPC and ICNC estimates), and they ranged from 0.1 to 10 L−1 in the altocumulus layers and 1 to 50 L−1 in the cirrus layers observed between 8 and 11 km height. The successful closure experiments corroborate the important role of heterogeneous ice nucleation in atmospheric ice formation processes when mineral dust is present. The observed long-lasting cirrus event could be fully explained by the presence of dust, i.e., without the need for homogeneous ice nucleation processes.","application/pdf","10.3929/ethz-b-000387236",,"1680-7375||1680-7367",,"10.5194/acp-19-15087-2019","http://hdl.handle.net/20.500.11850/387236","en","Copernicus","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Ice-nucleating particle versus ice crystal number concentrationin altocumulus and cirrus layers embedded in Saharan dust:a closure study","Journal Article","Open access",,,,"2019-12-29T15:55:08Z",,,,,"yes",,,,,"Impact of Biogenic versus Anthropogenic emissions on Clouds and Climate: towards a Holistic UnderStanding","603445","10.13039/501100000780","EC","FP7",,,,"85072129265",,"000502996800003","Atmos. chem. phys.","23","Atmospheric Chemistry and Physics","19","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03690 - Lohmann, Ulrike / Lohmann, Ulrike","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03690 - Lohmann, Ulrike / Lohmann, Ulrike","03690","03690",,"15115","15087","Göttingen","published",,,,,,,,,,,,,,"2020-01-10T13:06:20Z","2023-02-06T18:10:33Z","true",,"SCOPUS",,,"publishedVersion",
"325922","20.500.11850/3","Hodnebrog, Øivind||Marelle, Louis||Alterskjær, Kari||Wood, Raul R.||Ludwig, R.||Fischer, Erich||Richardson, T.B.||Forster, P.M.||Sillmann, Jana||Myhre, Gunnar",,,,,,,,,,,,"2019-12-20T14:08:15Z","2019-12-13T13:40:08Z||2019-12-20T14:08:15Z",,"2019-12-11",,"While daily extreme precipitation intensities increase with global warming on average at approximately the same rate as the availability of water vapor (~7%/°C), a debated topic is whether sub-daily extremes increase more. Modelling at convection-permitting scales has been deemed necessary to reproduce extreme summer precipitation at local scale. Here we analyze multi-model ensembles and apply a 3 km horizontal resolution model over four regions across Europe (S. Norway, Denmark, Benelux and Albania) and find very good agreement with observed daily and hourly summer precipitation extremes. Projections show that daily extreme precipitation intensifies compared to the mean in all regions and across a wide range of models and resolutions. Hourly and 10 min extremes intensify at a higher rate in nearly all regions. Unlike most recent studies, we do not find sub-daily precipitation extremes increasing much more than 7%/°C, even for sub-hourly extremes, but this may be due to robust summer drying over large parts of Europe. However, the absolute strongest local daily precipitation event in a 20 year period will increase by 10%–20%/°C. At the same time, model projections strongly indicate that summer drying will be more pronounced for extremely dry years.","application/pdf","10.3929/ethz-b-000385564",,"1748-9326||1748-9318",,"10.1088/1748-9326/ab549c","http://hdl.handle.net/20.500.11850/385564","en","Institute of Physics","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/","Extreme precipitation||Convection-permitting modelling||Summer precipitation||Europe||Regional climate modelling||Global climate modelling||Intensification of extremes","Intensification of summer precipitation with shorter time-scales in Europe","Journal Article","Open access",,,,"2019-12-13T13:40:20Z",,,,,"yes",,,,,,,,,,,,,,,"000514833200025","Environ. Res. Lett.","12","Environmental Research Letters","14","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","03777","03777",,,"124050","Bristol","published",,,,,,,,,,,,,,"2019-12-20T14:08:28Z","2022-03-29T00:30:49Z","true","10 p.","FORM",,,"publishedVersion",
"327270","20.500.11850/3","Attinger, Roman||Keller, Julia H.||Köhler, Martin||Riboldi, Jacopo||Grams, Christian M.",,,,,,,,,,,,"2020-01-08T10:02:37Z","2019-12-22T03:17:14Z||2020-01-08T10:02:37Z",,"2019-12-02","2019-08-15","The correct depiction of atmospheric blocking still poses a key challenge for current numerical weather prediction (NWP) and climate models. This study evaluates the representation of blocking in the new global ICOsahedral Non-hydrostatic NWP and climate model ICON and links model mean state biases to observed blocking deviations. Blocking is identified using both an anomaly and a flow reversal approach in an eight member ensemble of 15‑year AMIP-type ICON simulations and verified against ERA Interim reanalyses. Either approach demonstrates a good representation of annual blocking frequencies in ICON. Deviations emerge when considering individual seasons. In the anomaly framework, enhanced blocking occurrence in the mid-latitude Pacific domain during winter and spring and a marked underestimation of blocking in the Euro-Atlantic region are found during summer. Moreover, this approach indicates a general underestimation of blocking at higher latitudes. The flow reversal index reveals the often reported underestimation of blocking in the Euro-Atlantic region during winter. Furthermore, increased blocking activity in the Pacific and Greenland region during spring and decreased blocking occurrence at high latitudes in summer are found. Focusing on the anomaly approach, we assess how the model mean state influences blocking identification. A systematically higher tropopause, forced by a cold bias in the lower stratosphere, reduces diagnosed blocking frequencies at higher latitudes especially during summer. This goes along with a reduction in blocking size, duration, and intensity. While confirming an overall good representation of blocking in ICON, this study demonstrates how mean state biases can crucially affect the identification of blocking and that blocking deviations have to be interpreted with caution as they are highly dependent on the exact diagnostic used.","application/pdf","10.3929/ethz-b-000387051",,"0941-2948||1610-1227",,"10.1127/metz/2019/0967","http://hdl.handle.net/20.500.11850/387051","en","Borntraeger","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/","Atmospheric blocking||ICON||Blocking identif cation||Model evaluation||Northern Hemisphere","Representation of atmospheric blocking in the new global non-hydrostatic weather prediction model ICON","Journal Article","Open access",,,,"2019-12-22T03:17:18Z",,,,,"yes",,,,,"Diabatic processes in North Atlantic weather systems: synoptic and mesoscale dynamics","165941","10.13039/501100001711","SNF","Projekte MINT",,,,,,"000501530300005","Meteorol. Z.","5","Meteorologische Zeitschrift","28","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03854 - Wernli, Johann Heinrich / Wernli, Johann Heinrich","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03854 - Wernli, Johann Heinrich / Wernli, Johann Heinrich","03854","03854",,"446","429","Berlin","published",,,,,,,,,,,,,,"2020-01-08T10:02:47Z","2022-03-29T00:32:20Z","true",,"WOS",,,"publishedVersion",
"336441","20.500.11850/3","Rugenstein, Maria||Beyerle, Urs||Knutti, Reto||Chadha, Tarun||et al.",,,,,,,,,,,,"2020-02-17T10:04:14Z","2020-01-13T13:10:24Z||2020-02-17T10:04:14Z",,"2019-12","2020-01-07",,,,,"0003-0007||1520-0477",,"10.1175/bams-d-19-0068.1","http://hdl.handle.net/20.500.11850/389734","en","American Meteorological Society",,,,"LongRunMIP: Motivation and Design for a Large Collection of Millennial-Length AOGCM Simulations","Journal Article","Metadata only",,,,"2020-01-13T13:10:32Z",,,,,"yes",,,,,,,,,,,,,,,"000506029100019","BAMS","12","Bulletin of the American Meteorological Society","100","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","03777","03777",,"2569","2551","Lancaster, PA","published",,,,,,,,,,,,,,"2020-02-17T10:04:26Z","2020-02-17T10:04:26Z","true",,"FORM",,,,
"329918","20.500.11850/3","Schleussner, Carl-Friedrich||Nauels, Alexander||Schaeffer, Michiel||Hare, William||Rogelj, Joeri",,,,,,,,,,,,"2020-01-17T15:20:11Z","2020-01-13T12:40:01Z||2020-01-17T15:20:11Z",,"2019-12","2019-12-11","Addressing emissions of non-CO2 greenhouse gases (GHGs) is an integral part of efficient climate change mitigation and therefore an essential part of climate policy. Metrics are used to aggregate and compare emissions of short- and long-lived GHGs and need to account for the difference in both magnitude and persistence of their climatic effects. Different metrics describe different approaches and perspectives, and hence yield different numerical estimates for aggregated GHG emissions. When interpreting GHG emission reduction targets, being mindful of the underlying metrical choices thus proves to be essential. Here we present the impact a recently proposed GHG metric related to the concept of CO2 forcing-equivalent emissions (called GWP*) would have on the internal consistency and environmental integrity of the Paris Agreement. We show that interpreting the Paris Agreement goals in a metric like GWP* that is significantly different from the standard metric used in the IPCC Fifth Assessment Report can lead to profound inconsistencies in the mitigation architecture of the Agreement. It could even undermine the integrity of the Agreement's mitigation target altogether by failing to deliver net-zero CO2 emissions and therewith failing to ensure warming is halted. Our results indicate that great care needs to be taken when applying new concepts that appear scientifically favourable to a pre-existing climate policy context.","application/pdf","10.3929/ethz-b-000389707",,"1748-9326||1748-9318",,"10.1088/1748-9326/ab56e7","http://hdl.handle.net/20.500.11850/389707","en","Institute of Physics","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/","Global warming potentials||Paris agreement||Net-zero","Inconsistencies when applying novel metrics for emissions accounting to the Paris agreement","Journal Article","Open access",,,,"2020-01-13T12:40:19Z",,,,,"yes",,,,,"LC-CLA-08-2018 | RIA | Constraining uncertainty of multi decadal climate projections","820829","10.13039/501100000780","EC","H2020",,,,"85080144270",,"000514833200030","Environ. Res. Lett.","12","Environmental Research Letters","14","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","03777","03777",,,"124055","Britstol","published",,,,,,,,,,,,,,"2020-01-17T15:20:25Z","2021-02-15T07:23:11Z","true","8 p.","FORM",,,"publishedVersion",
"324405","20.500.11850/3","Brunner, Lukas||Lorenz, Ruth||Zumwald, Marius||Knutti, Reto",,,,,,,,,,,,"2019-12-12T10:18:50Z","2019-12-11T14:41:26Z||2019-12-12T10:18:50Z",,"2019-12","2019-11-22","Uncertainty in model projections of future climate change arises due to internal variability, multiple possible emission scenarios, and different model responses to anthropogenic forcing. To robustly quantify uncertainty in multi-model ensembles, inter-dependencies between models as well as a models ability to reproduce observations should be considered. Here, a model weighting approach, which accounts for both independence and performance, is applied to European temperature and precipitation projections from the CMIP5 archive. Two future periods representing mid- and end-of-century conditions driven by the high-emission scenario RCP8.5 are investigated. To inform the weighting, six diagnostics based on three observational estimates are used to also account for uncertainty in the observational record. Our findings show that weighting the ensemble can reduce the interquartile spread by more than 20% in some regions, increasing the reliability of projected changes. The mean temperature change is most notably impacted by the weighting in the Mediterranean, where it is found to be 0.35 °C higher than the unweighted mean in the end-of-century period. For precipitation the largest differences are found for Northern Europe, with a relative decrease in precipitation of 2.4% and 3.4% for the two future periods compared to the unweighted case. Based on a perfect model test, it is found that weighting the ensemble leads to an increase in the investigated skill score for temperature and precipitation while minimizing the probability of overfitting.","application/pdf","10.3929/ethz-b-000384838",,"1748-9326||1748-9318",,"10.1088/1748-9326/ab492f","http://hdl.handle.net/20.500.11850/384838","en","Institute of Physics","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/","Model weighting||Climate models||CMIP5||Europe||EUCP||Temperature||Precipitation","Quantifying uncertainty in European climate projections using combined performance-independence weighting","Journal Article","Open access",,,,"2019-12-11T14:41:36Z",,,,,"yes",,,,,"European Climate Prediction System||Coordinated Research in Earth Systems and Climate: Experiments, kNowledge, Dissemination and Outreach","776613||641816","10.13039/501100000780||10.13039/501100007352","EC||SBFI","H2020||H2020",,,,"85081654925",,"000499948800001","Environ. Res. Lett.","12","Environmental Research Letters","14","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","03777||09576","03777||09576",,,"124010","Britstol","published",,,,,,,,,,,,,,"2019-12-12T10:19:01Z","2021-02-15T07:03:56Z","true","10 p.","FORM",,,"publishedVersion",
"322527","20.500.11850/3","Schemm, Sebastian||Rivière, Gwendal",,,,,,,,,,,,"2019-12-04T08:54:01Z","2019-12-04T03:44:39Z||2019-12-04T08:54:01Z",,"2019-12","2019-11-14",,,,,"0894-8755||1520-0442",,"10.1175/JCLI-D-19-0115.1","http://hdl.handle.net/20.500.11850/382443","en","American Meteorological Society",,,"Baroclinic flows||Extratropical cyclones||Jets||Storm tracks||Seasonal cycle","On the Efficiency of Baroclinic Eddy Growth and How It Reduces the North Pacific Storm-Track Intensity in Midwinter","Journal Article","Metadata only",,,,"2019-12-04T03:44:42Z",,,,,"yes",,,,,,,,,,,,,"85076255902",,"000497769200001","J. climate","23","Journal of Climate","32","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03854 - Wernli, Johann Heinrich / Wernli, Johann Heinrich","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03854 - Wernli, Johann Heinrich / Wernli, Johann Heinrich","03854","03854",,"8398","8373","Boston, MA","published",,,,,,,,,,,,,,"2019-12-04T08:54:13Z","2020-02-15T22:52:19Z","true",,"WOS",,,,
