id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.editor,dc.contributor.researchGroup,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.geolocation.placename,ethz.geolocation.pointlat,ethz.geolocation.pointlong,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.hasPart,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit
"456222","20.500.11850/22","Henne, Stephan||Brunner, Dominik||Oney, Brian||Leuenberger, Markus||Eugster, Werner||Bamberger, Ines||Meinhardt, Frank||Steinbacher, Martin||Emmenegger, Lukas",,,,,"2022-06-24T08:40:24Z","2017-06-11T22:14:25Z||2019-09-10T11:13:23Z||2022-06-24T08:40:24Z","2015-12-16",,"Atmospheric  inverse  modelling  has  the  potential  to  provide  observation-based  esti-mates of greenhouse gas emissions at the country scale, thereby allowing for an inde-pendent validation of national emission inventories. Here, we present a regional scaleinverse modelling study to quantify the emissions of methane (CH4) from Switzerland, making use of the newly established CarboCount-CH measurement network and a highresolution Lagrangian transport model. Overall we estimate national CH4emissions tobe 196±18 Gg yr−1for the year 2013 (1σuncertainty). This result is in close agree-ment with the recently revised “bottom-up” estimate of 206±33 Gg yr−1published bythe Swiss Federal Office for the Environment as part of the Swiss Greenhouse Gas Inventory (SGHGI). Results from sensitivity inversions using alternative prior emissions,covariance  settings,  baseline  treatments,  two  different  inverse  algorithms  (Bayesianand extended Kalman Filter), and two different transport models confirms the robust-ness and independent character of our estimate. According to the latest “bottom-up”inventory the main CH4source categories in Switzerland are agriculture (78 %), waste handling (15 %) and natural gas distribution and combustion (6 %). The spatial distri-bution and seasonal variability of our posterior emissions suggest an overestimation ofagricultural CH4emissions by 10 to 20 % in the most recent national inventory, whichis likely due to an overestimation of emissions from manure handling. Urban areas donot appear as emission hotspots in our posterior results suggesting that leakages from natural gas disribution are only a minor source of CH4in Switzerland. This is consis-tent with rather low emissions of 8.4 Gg yr−1reported by the SGHGI but inconsistentwith the much higher value of 32 Gg yr−1implied by the EDGARv4.2 inventory for thissector. Increased CH4emissions (up to 30 % compared to the prior) were deduced forthe north-eastern parts of Switzerland. This feature was common to most sensitivity inversions, which rules out an artefact of the transport model and the inversion system.However, it was not possible to assign an unambiguous source process to the region.The observations of the CarboCount-CH network provided invaluable and independent information for the validation of the national bottom-up inventory. Similar systems needto be sustained to provide independent monitoring of future climate agreements.","application/pdf","10.3929/ethz-b-000108974",,"1680-7375||1680-7367",,"10.5194/acpd-15-35417-2015","http://hdl.handle.net/20.500.11850/108974","en","Copernicus","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/",,"Validation of the Swiss methane emission inventory by atmospheric observations and inverse modelling",,"Working Paper","Open access",,,"2017-06-11T22:14:50Z",,"pub:170009",,"yes",,,,,,,,,,,,,"imp593653d9528b423484",,,,,"Atmos. chem. phys. discuss.",,"Atmospheric Chemistry and Physics Discussions","15","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","03648","03648",,"35484","35417","Göttingen","published",,,,"10.3929/ethz-b-000116872",,"2017-07-26T06:18:15Z","2023-02-07T03:46:00Z","true",,"ECIT",,
"293507","20.500.11850/3","Hüppi, Roman||Felber, Raphael||Neftel, Albrecht||Six, Johan||Leifeld, Jens",,,,,"2019-05-16T11:16:37Z","2017-06-11T22:02:24Z||2019-05-16T11:16:37Z","2015-12-15",,"Biochar, a carbon-rich, porous pyrolysis product of organic residues may positively affect plant yield and can, owing to its inherent stability, promote soil carbon sequestration when amended to agricultural soils. Another possible effect of biochar is the reduction in emissions of nitrous oxide (N2O). A number of laboratory incubations have shown significantly reduced N2O emissions from soil when mixed with biochar. Emission measurements under field conditions however are more scarce and show weaker or no reductions, or even increases in N2O emissions. One of the hypothesised mechanisms for reduced N2O emissions from soil is owing to the increase in soil pH following the application of alkaline biochar. To test the effect of biochar on N2O emissions in a temperate maize cropping system, we set up a field trial with a 20t ha−1 biochar treatment, a limestone treatment adjusted to the same pH as the biochar treatment (pH 6.5), and a control treatment without any addition (pH 6.1). An automated static chamber system measured N2O emissions for each replicate plot (n = 3) every 3.6 h over the course of 8 months. The field was conventionally fertilised at a rate of 160 kg N ha−1 in three applications of 40, 80 and 40 kg N ha−1 as ammonium nitrate.  Cumulative N2O emissions were 52 % smaller in the biochar compared to the control treatment. However, the effect of the treatments overall was not statistically significant (p = 0.27) because of the large variability in the data set. Limed soils emitted similar mean cumulative amounts of N2O as the control. There is no evidence that reduced N2O emissions with biochar relative to the control is solely caused by a higher soil pH.","application/pdf","10.3929/ethz-b-000108589",,"2199-3971||2199-398X",,"10.5194/soil-1-707-2015","http://hdl.handle.net/20.500.11850/108589","en","Copernicus","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/",,"Effect of biochar and liming on soil nitrous oxide emissions from a temperate maize cropping system",,"Journal Article","Open access",,,"2017-06-11T22:02:43Z",,"pub:169579",,"yes",,,,,,,,,,,,,"imp593653d1b80b596812",,,,,,"2","Soil","1","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03982 - Six, Johan / Six, Johan","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03982 - Six, Johan / Six, Johan","03982","03982",,"717","707","Göttingen","published",,,,,,"2017-07-19T09:51:21Z","2020-02-15T19:05:25Z","true","11 p.","ECIT",,"publishedVersion"
"103633","20.500.11850/3","D'Odorico, Petra||Gonsamo, Alemu||Gough, Christopher||Bohrer, Gil||Morison, James||Wilkinson, Matthew||Hanson, Paul J.||Gianelle, Damiano||Fuentes, Jose D.||Buchmann, Nina",,,,,"2017-06-11T19:05:37Z","2017-06-11T19:05:37Z","2015-12-15",,,,,,"0168-1923||1873-2240",,"10.1016/j.agrformet.2015.07.005","http://hdl.handle.net/20.500.11850/103666","en","Elsevier",,,"EVI||FLUXNET||Gross ecosystem productivity||MODIS||NDVI||Phenology Index","The match and mismatch between photosynthesis and land surface phenology of deciduous forests",,"Journal Article","Metadata only",,,"2017-06-11T19:06:45Z",,"pub:162066",,"yes",,,,,,,,,,,,,"imp5936536d20d7c94132","000024639","84939170337",,"000364730000004","Agric. for. meteorol.",,"Agricultural and Forest Meteorology","214-215","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","03648","03648","Received 10 February 2015, Revised 2 July 2015, Accepted 15 July 2015, Published online 11 August 2015.","38","25","Amsterdam","published",,,,,,"2017-07-14T23:48:06Z","2022-03-28T14:03:36Z","true",,"ECIT",,
"293523","20.500.11850/3","Decock, Charlotte||Lee, Janice S.H.||Necpálová, Magdalena||Pereira, Engil I.P.||Tendall, Danielle M.||Six, Johan",,,,,"2019-05-16T12:13:04Z","2017-06-11T22:02:25Z||2019-05-16T12:13:04Z","2015-12-10",,"Further progress in understanding and mitigating N2O emissions from soil lies within transdisciplinary research that reaches across spatial scales and takes an ambitious look into the future.","application/pdf","10.3929/ethz-b-000108590",,"2199-3971||2199-398X",,"10.5194/soil-1-687-2015","http://hdl.handle.net/20.500.11850/108590","en","Copernicus","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/",,"Mitigating N2O emissions from soil: From patching leaks to transformative action",,"Journal Article","Open access",,,"2017-06-11T22:02:43Z",,"pub:169580",,"yes",,,,,,,,,,,,,"imp593653d1bd51d80952",,,,,,"2","Soil","1","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03982 - Six, Johan / Six, Johan","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03982 - Six, Johan / Six, Johan","03982","03982",,"694","687","Göttingen","published",,,,,"true","2017-07-19T10:48:29Z","2020-02-15T19:05:33Z","true","8 p.","ECIT",,"publishedVersion"
"464495","20.500.11850/3","Malisch, Carsten S.||Lüscher, Andreas||Baert, Nicolas||Engström, Marica T.||Studer, Bruno||Fryganas, Christos||Suter, Daniel||Mueller-Harvey, Irene||Salminen, Juha-Pekka",,,,,"2022-08-24T08:11:11Z","2017-06-11T21:41:24Z||2022-08-24T08:11:11Z","2015-12-02","2015-11-09","Proanthocyanidins (PAs) in sainfoin (Onobrychis viciifolia Scop.) are of interest to ameliorate the sustainability of livestock production. However, sainfoin forage yield and PA concentrations, as well as their composition, require optimization. Individual plants of 27 sainfoin accessions from four continents were analyzed with LC-ESI-QqQ-MS/MS for PA concentrations and simple phenolic compounds. Large variability existed in PA concentrations (23.0–47.5 mg g–1 leaf dry matter (DM)), share of prodelphinidins (79–96%), and mean degree of polymerization (11–14) among, but also within, accessions. PAs were mainly located in leaves (26.8 mg g–1 DM), whereas stems had less PAs (7.8 mg g–1 DM). Overall, high-yielding plants had lower PA leaf concentrations (R2 = 0.16, P < 0.001) and fewer leaves (R2 = 0.66, P < 0.001). However, the results show that these two trade-offs between yield and bioactive PAs can be overcome.","application/pdf","10.3929/ethz-b-000107957",,"0021-8561||1520-5118",,"10.1021/acs.jafc.5b04946","http://hdl.handle.net/20.500.11850/107957","en","American Chemical Society","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/","Breeding||Condensed tannins||LC-ESI-QqQ-MS/MS||Polyphenols||Yield","Large Variability of Proanthocyanidin Content and Composition in Sainfoin (Onobrychis viciifolia)",,"Journal Article","Open access",,,"2017-06-11T21:42:07Z",,"pub:168725",,"yes",,,,,,,,,,,,,"imp593653c57957143309",,"84948708680",,"000365930000004","J. Agric. Food Chem.","47","Journal of Agricultural and Food Chemistry","63","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03969 - Studer, Bruno / Studer, Bruno","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03969 - Studer, Bruno / Studer, Bruno","03969","03969",,"10242","10234","Washington, DC","published",,,,,,"2017-07-13T06:52:10Z","2023-02-07T05:34:59Z","true",,"ECIT",,"publishedVersion"
"104197","20.500.11850/3","Yanni, Sandra F.||Suddick, Emma C.||Six, Johan",,,,,"2017-06-11T19:20:08Z","2017-06-11T19:20:08Z","2015-12",,,,,,"0038-0717||1879-3428",,"10.1016/j.soilbio.2015.08.021","http://hdl.handle.net/20.500.11850/104230","en","Elsevier",,,"Photodegradation||Lignin phenols||Dry-land agro-ecosystems||CO2 flux||Soil organic matter decomposition||Litter decomposition","Photodegradation effects on CO2 emissions from litter and SOM and photo-facilitation of microbial decomposition in a California grassland",,"Journal Article","Metadata only",,,"2017-06-11T19:20:32Z",,"pub:163067",,"yes",,,,,,,,,,,,,"imp593653797325946258","000036683","84941208975",,,"Soil biol. biochem.",,"Soil Biology and Biochemistry","91","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03982 - Six, Johan / Six, Johan","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03982 - Six, Johan / Six, Johan","03982","03982","Received 3 April 2015, Revised 18 August 2015, Accepted 21 August 2015, Published online 2 September 2015.","49","40","Amsterdam","published",,,,,,"2017-07-15T08:42:36Z","2021-02-14T13:17:25Z","true",,"ECIT",,
"107447","20.500.11850/3","Berninger, Frank||Susiluoto, Sanna||Gianelle, Damiano||Bahn, Michael||Wohlfahrt, Georg||Sutton, Mark||Garcia-Pausas, Jordi||Gimeno, Cristina||Sanz, Maria J.||Dore, Sabina||Rogiers, Nele||Furger, Markus||Eugster, Werner||Balzarolo, Manuela||Sebastià, Maria-Teresa||Tenhunen, John||Staszewski, Tomasz||Cernusca, Alexander",,,,,"2017-06-11T21:27:08Z","2017-06-11T21:27:08Z","2015-12",,,,,,"1239-6095||1797-2469",,,"http://hdl.handle.net/20.500.11850/107480","en","Finnish Zoological and Botanical Publishing Board University of Helsinki",,,,"Management and site effects on carbon balances of european mountain meadows and rangelands",,"Journal Article","Metadata only",,,"2017-06-11T21:27:42Z",,"pub:168080",,"yes",,,,,,,,,,,,,"imp593653bbe13e712720","001801839","84947800245",,"000366959400007","Boreal environ. res. (Print)","6","Boreal environment research","20","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","03648","03648",,"760","748","Helsinki","published",,,,,,"2017-07-15T09:51:19Z","2019-02-02T07:13:25Z","true",,"ECIT",,
"105366","20.500.11850/3","Jarosch, Klaus A.||Doolette, Ashlea L.||Smernik, Ronald J.||Tamburini, Federica||Frossard, Emmanuel||Bünemann, Else K.",,,,,"2017-06-11T20:01:08Z","2017-06-11T20:01:08Z","2015-12",,,,,,"0038-0717||1879-3428",,"10.1016/j.soilbio.2015.09.010","http://hdl.handle.net/20.500.11850/105399","en","Elsevier",,,"31P NMR||Enzyme additions||High molecular weight compounds||Method comparison||Organic phosphorus","Characterisation of soil organic phosphorus in NaOH-EDTA extracts: A comparison of 31P NMR spectroscopy and enzyme addition assays",,"Journal Article","Metadata only",,,"2017-06-11T20:01:40Z",,"pub:165014",,"yes",,,,,,,,,,,,,"imp59365391d26cd12311","000036683","84943632626",,"000364502900033","Soil biol. biochem.",,"Soil Biology and Biochemistry","91","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03427 - Frossard, Emmanuel / Frossard, Emmanuel","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03427 - Frossard, Emmanuel / Frossard, Emmanuel","03427","03427","Published online 1 October 2015.","309","298","Amsterdam","published",,,,,,"2017-07-13T19:39:27Z","2021-02-14T13:24:12Z","true",,"ECIT",,
"104835","20.500.11850/3","Verma, Manish||Friedl, Mark A.||Law, Bevery E.||Bonal, Damien||Kiely, Gerard K.||Black, T. Andrew||Wohlfahrt, Georg||Moors, Eddy J.||Montagnani, Leonardo||Marcolla, Barbara||Toscano, Piero||Varlagin, Andrej||Roupsard, Olivier||Cescatti, Alessandro||Arain, Muhammad A.||D'Odorico, Petra",,,,,"2017-06-11T19:41:44Z","2017-06-11T19:41:44Z","2015-12",,,,,,"0168-1923||1873-2240",,"10.1016/j.agrformet.2015.09.005","http://hdl.handle.net/20.500.11850/104868","en","Elsevier",,,"Gross primary productivity||Remote sensing||Modeling||FLUXNET||Seasonal||Lagged effects","Improving the performance of remote sensing models for capturing intra- and inter-annual variations in daily GPP: An analysis using global FLUXNET tower data",,"Journal Article","Metadata only",,,"2017-06-11T19:42:42Z",,"pub:164155",,"yes",,,,,,,,,,,,,"imp59365386d080d74633","000024639","84942627290",,"000364730000038","Agric. for. meteorol.",,"Agricultural and Forest Meteorology","214-215","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","03648","03648","Published online 29 September 2015.","429","416","Amsterdam","published",,,,,,"2017-07-13T05:56:55Z","2022-03-28T14:09:00Z","true",,"ECIT",,
"207698","20.500.11850/4","Siefert, Andrew||Violle, Cyrille||Chalmandrier, Loïc||Albert, Cécile H.||Taudière, Adrien||Fajardo, Alex||Aarssen, Lonnie W.||Baraloto, Christopher||Carlucci, Marcos B.||Cianciaruso, Marcus V.||de L. Dantas, V.||de Bello, Francesco||Duarte, Leandro D.S.||Fonseca, Carlos R.||Freschet, Grégoire T.||Gaucherand, Stéphanie||Gross, Nicolas||Hikosaka, Kouki||Jackson, Benjamin||Jung, Vincent||Kamiyama, Chiho||Katabuchi, Masatoshi||Kembel, Steven W.||Kichenin, Emilie||Kraft, Nathan J.B.||Lagerström, Anna||Le Bagousse-Pinguet, Yoann||Li, Yuanzhi||Mason, Norman||Messier, Julie||Nakashizuka, Tohru||Overton, Jacob McC.||Peltzer, Duane A.||Pérez-Ramos, Ignacio M.||Pillar, Valério D.||Prentice, Honor C.||Richardson, Sarah||Sasaki, Takehiro||Schamp, Brandon S.||Schöb, Christian||Shipley, Bill||Sykes, Martin T.||Vandewalle, Marie||Wardle, David A.",,,,,"2018-01-09T09:34:15Z","2017-12-18T15:47:47Z||2018-01-09T09:34:15Z","2015-12","2015-09-28",,,,,"1461-023X||1461-0248",,"10.1111/ele.12508","http://hdl.handle.net/20.500.11850/222340","en","Wiley-Blackwell",,,"Community ecology||Functional diversity||Interspecific variation||Intraspecific variability||Leaf trait||Plant functional trait||Trait-based ecology||community composition||community ecology||global perspective||growth form||interspecific variation||intraspecific variation||leaf morphology||meta-analysis||phytochemistry||phytomass||plant community||species richness||Israel turkey meningoencephalomyelitis virus||biodiversity||meta analysis||phenotype||plant physiology||species difference||Biodiversity||Phenotype||Plant Physiological Phenomena||Species Specificity","A global meta-analysis of the relative extent of intraspecific trait variation in plant communities",,"Review Article","Metadata only",,,"2017-12-18T15:47:47Z",,,,"no",,,,,,,,,,,,,,,,,,"Ecol. lett.","12","Ecology Letters","18","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::09618 - Schöb, Christian (ehemalig) / Schöb, Christian (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::09618 - Schöb, Christian (ehemalig) / Schöb, Christian (former)","02350||02703||09618","09618",,"1419","1406","Oxford","published",,,,,,"2018-01-09T09:34:18Z","2022-03-28T18:49:37Z","true",,"BATCH",,
