id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.researchGroup,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.hasPart,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isSupplementedBy,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"305138","20.500.11850/3","Meyer, Sebastian T.||Ebeling, Anne||Eisenhauer, Nico||Hertzog, Lionel||Hillebrand, Helmut||Milcu, Alexandru||Pompe, Sven||Abbas, Maike||Bessler, Holger||Buchmann, Nina||De Luca, Enrica||Engels, Christof||Fischer, Markus||Gleixner, Gerd||Hudewenz, Anika||Klein, Alexandra-Maria||de Kroon, Hans||Leimer, Sophia||Loranger, Hannah||Mommer, Liesje||Oelmann, Yvonne||Ravenek, Janneke M.||Roscher, Christiane||Rottstock, Tanja||Scherber, Christoph||Scherer-Lorenzen, Michael||Scheu, Stefan||Schmid, Bernhard||Schulze, Ernst-Detlef||Staudler, Andrea||Strecker, Tanja||Temperton, Vicky||Tscharntke, Teja||Vogel, Anja||Voigt, Winfried||Weigelt, Alexandra||Wilcke, Wolfgang||Weisser, Wolfgang W.",,,,"2019-08-16T09:43:18Z","2017-06-12T17:11:10Z||2017-09-25T12:31:13Z||2019-08-16T09:43:18Z","2016-12-19",,"Human‐caused declines in biodiversity have stimulated intensive research on the consequences of biodiversity loss for ecosystem services and policy initiatives to preserve the functioning of ecosystems. Short‐term biodiversity experiments have documented positive effects of plant species richness on many ecosystem functions, and longer‐term studies indicate, for some ecosystem functions, that biodiversity effects can become stronger over time. Theoretically, a biodiversity effect can strengthen over time by an increasing performance of high‐diversity communities, by a decreasing performance of low‐diversity communities, or a combination of both processes. Which of these two mechanisms prevail, and whether the increase in the biodiversity effect over time is a general property of many functions remains currently unclear. These questions are an important knowledge gap as a continuing decline in the performance of low‐diversity communities would indicate an ecosystem‐service debt resulting from delayed effects of species loss on ecosystem functioning. Conversely, an increased performance of high‐diversity communities over time would indicate that the benefits of biodiversity are generally underestimated in short‐term studies. Analyzing 50 ecosystem variables over 11 years in the world's largest grassland biodiversity experiment, we show that overall plant diversity effects strengthened over time. Strengthening biodiversity effects were independent of the considered compartment (above‐ or belowground), organizational level (ecosystem variables associated with the abiotic habitat, primary producers, or higher trophic levels such as herbivores and pollinators), and variable type (measurements of pools or rates). We found evidence that biodiversity effects strengthened because of both a progressive decrease in functioning in species‐poor and a progressive increase in functioning in species‐rich communities. Our findings provide evidence that negative feedback effects at low biodiversity are as important for biodiversity effects as complementarity among species at high biodiversity. Finally, our results indicate that a current loss of species will result in a future impairment of ecosystem functioning, potentially decades beyond the moment of species extinction.","application/pdf","10.3929/ethz-b-000123919",,"2150-8925",,"10.1002/ecs2.1619","http://hdl.handle.net/20.500.11850/123919","en","ESA","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/","Biodiversity ecosystem functioning (BEF)||Ecosystem processes||Grassland||Mechanism||Plant productivity||Plant species richness||Temporal effects||Trophic interactions","Effects of biodiversity strengthen over time as ecosystem functioning declines at low and increases at high biodiversity",,"Journal Article","Open access",,,"2017-06-12T17:11:18Z",,"pub:186358",,"yes",,,,,,,,,,"imp593654f4318b740732","006204548",,,"000390136700016",,"12","Ecosphere","7","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","03648","03648",,,"e01619","Washington, DC","published",,,,,,,,"2017-07-26T21:02:04Z","2022-03-28T23:28:46Z","true","14 p.","ECIT",,"publishedVersion",
"124676","20.500.11850/3","Malisch, Carsten S.||Salminen, Juha-Pekka||Kölliker, Roland||Engström, Marica T.||Suter, Daniel||Studer, Bruno||Lüscher, Andreas",,,,"2017-06-12T17:44:11Z","2017-06-12T17:44:11Z","2016-12",,,,,,"0021-8561||1520-5118",,"10.1021/acs.jafc.6b02342","http://hdl.handle.net/20.500.11850/124709","en","American Chemical Society",,,"Onobiychis viciifolia||Sainfoin||Drought stress||Sainfoin rust||MS/MS quantification||Polyphenols||Condensed tannins||Proanthocyanidins","Drought Effects on Proanthocyanidins in Sainfoin (Onobrychis viciifolia Scop.) Are Dependent on the Plant's Ontogenetic Stage",,"Journal Article","Metadata only",,,"2017-06-12T17:44:21Z",,"pub:187238",,"yes",,,,,,,,,,"imp593655031b03c78724","000034696","85006253686",,"000389962900006","J. Agric. Food Chem.","49","Journal of Agricultural and Food Chemistry","64","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03969 - Studer, Bruno / Studer, Bruno","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03969 - Studer, Bruno / Studer, Bruno","03969","03969","Published online 21 November 2016.","9316","9307","Washington, DC","published",,,,,,,,"2017-07-15T08:39:32Z","2020-02-14T17:41:43Z","true",,"ECIT",,,
"303703","20.500.11850/3","Begheyn, Rachel F.||Lübberstedt, Thomas||Studer, Bruno",,,,"2019-08-05T11:09:47Z","2017-06-12T17:08:19Z||2019-08-05T11:09:47Z","2016-12","2016-11-28","The importance of haploid and doubled haploid (DH) techniques for basic and applied research, as well as to improve the speed of genetic gain when applied in breeding programs, cannot be overstated. They have become routine tools in several major crop species, such as maize (Zea mays L.), wheat (Triticum aestivum L.), and barley (Hordeum vulgare L.). DH techniques in perennial ryegrass (Lolium perenne L.), an important forage species, have advanced to a sufficiently successful and promising stage to merit an exploration of what their further developments may bring. The exploitation of both in vitro and in vivo haploid and DH methods to (1) purge deleterious alleles from germplasm intended for breeding; (2) develop mapping populations for genetic and genomic studies; (3) simplify haplotype mapping; (4) fix transgenes and mutations for functional gene validation and molecular breeding; and (5) hybrid cultivar development are discussed. Even with the comparatively modest budgets of those active in forage crop improvement, haploid and DH techniques can be developed into powerful tools to achieve the acceleration of the speed of genetic gain needed to meet future agricultural demands.","application/pdf","10.3929/ethz-b-000123776",,"2073-4395",,"10.3390/agronomy6040060","http://hdl.handle.net/20.500.11850/123776","en","MDPI","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Anther culture||Doubled haploid (DH)||Forage crops||Mocrospore culture||Perennial ryegrass (Lolium perenne L.)||Plant breeding","Haploid and Doubled Haploid Techniques in Perennial Ryegrass (Lolium perenne L.) to Advance Research and Breeding",,"Journal Article","Open access",,,"2017-06-12T17:08:53Z",,"pub:186208",,"yes",,,,,,,,,,"imp593654f2090f527383","000023599",,,"000391620000002",,"4","Agronomy","6","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03969 - Studer, Bruno / Studer, Bruno","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03969 - Studer, Bruno / Studer, Bruno","03969","03969",,,"60","Basel","published",,,,,,,,"2017-07-15T01:54:50Z","2019-08-05T11:09:57Z","true","17 p.","ECIT",,"publishedVersion",
"125240","20.500.11850/3","Armengot, Laura||Barbieri, Pietro||Andres, Christian||Milz, Joachim||Schneider, Monika",,,,"2017-06-12T18:01:45Z","2017-06-12T18:01:45Z","2016-12",,,,,,"1774-0746||0249-5627||1773-0155",,"10.1007/s13593-016-0406-6","http://hdl.handle.net/20.500.11850/125273","en","Springer",,,"Bolivia||Economic analysis||Labor demand||Long-term experiment||Organic farming||Theobroma cacao L.","cacao agroforestry systems have higher return on labor compared to full-on sun",,"Journal Article","Metadata only",,,"2017-06-12T18:02:07Z",,"pub:187860",,"yes",,,,,,,,,,"imp5936550d1f6b940251","004920455",,,,"Agron. sustain. dev.",,"Agronomy for Sustainable Development","36","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03982 - Six, Johan / Six, Johan","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03982 - Six, Johan / Six, Johan","03982","03982","Published online 12 December 2016.",,"70","Berlin","published",,,,,,,,"2017-07-31T15:12:21Z","2020-02-14T17:45:15Z","true","10 p.","ECIT",,,
"165115","20.500.11850/3","Pausch, Hubert||Ammermüller, Simon||Wurmser, Christine||Hamann, Henning||Tetens, Jens||Drögemüller, Cord||Fries, Ruedi",,,,"2017-06-22T09:07:10Z","2017-06-19T12:13:04Z||2017-06-20T10:16:08Z||2017-06-22T09:07:10Z","2016-12","2016-12-01","Background The widespread use of individual sires for artificial insemination promotes the propagation of recessive conditions. Inadvertent matings between unnoticed carriers of deleterious alleles may result in the manifestation of fatal phenotypes in their progeny. Breeding consultants and farmers reported on Vorderwald calves with a congenital skin disease. The clinical findings in affected calves were compatible with epidermolysis bullosa. Results  Pedigree analysis indicated autosomal recessive inheritance of epidermolysis bullosa in Vorderwald cattle. We genotyped two diseased and 41 healthy animals at 41,436 single nucleotide polymorphisms and performed whole-genome haplotype-based association testing, which allowed us to map the locus responsible for the skin disease to the distal end of bovine chromosome 22 (P = 8.0 × 10−14). The analysis of whole-genome re-sequencing data of one diseased calf, three obligate mutation carriers and 1682 healthy animals from various bovine breeds revealed a nonsense mutation (rs876174537, p.Arg1588X) in the COL7A1 gene that segregates with the disease. The same mutation was previously detected in three calves with dystrophic epidermolysis bullosa from the Rotes Höhenvieh cattle breed. We show that diseased animals from Vorderwald and Rotes Höhenvieh cattle are identical by descent for an 8.72 Mb haplotype encompassing rs876174537 indicating they inherited the deleterious allele from a recent common ancestor.  Conclusions Autosomal recessive epidermolysis bullosa in Vorderwald and Rotes Höhenvieh cattle is caused by a nonsense mutation in the COL7A1 gene. Our findings demonstrate that deleterious alleles may segregate across cattle populations without apparent admixture. The identification of the causal mutation now enables the reliable detection of carrier animals. Genome-based mating strategies can avoid inadvertent matings of carrier animals thereby preventing the birth of homozygous calves that suffer from a painful skin disease.","application/pdf","10.3929/ethz-b-000161492",,"1471-2156",,"10.1186/s12863-016-0458-2","http://hdl.handle.net/20.500.11850/161492","en","BioMed Central","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Epidermolysis bullosa||COL7A1||Nonsense mutation||Skin disease||Autosomal recessive","A nonsense mutation in the COL7A1 gene causes epidermolysis bullosa in Vorderwald cattle",,"Journal Article","Open access",,"DDC - DDC::5 - Science::570 - Life sciences","2017-06-19T12:13:04Z",,,,"no",,,,,,,,,,,,,,,"BMC Genet",,"BMC Genetics","17","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::09575 - Pausch, Hubert / Pausch, Hubert","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::09575 - Pausch, Hubert / Pausch, Hubert","02703||09575","09575",,,"149","London","published",,,,,,,,"2017-06-20T10:16:13Z","2021-02-14T17:45:52Z","true","9 p.","BATCH",,"publishedVersion",
"122699","20.500.11850/3","Mohn, Joachim||Gutjahr, Wilhelm||Toyoda, Sakae||Harris, Eliza||Ibraim, Erkan||Geilmann, Heike||Schleppi, Patrick||Kuhn, Thomas||Lehmann, Moritz||Decock, Charlotte||Werner, Roland A.||Yoshida, Naohiro||Brand, Willi A.",,,,"2017-06-12T16:05:11Z","2017-06-12T16:05:11Z","2016-12",,,,,,"1097-0231||0951-4198",,"10.1002/rcm.7736","http://hdl.handle.net/20.500.11850/122732","en","Wiley",,,,"Reassessment of the NH4NO3 thermal decomposition technique for calibration of the N2O isotopic composition",,"Journal Article","Metadata only",,,"2017-06-12T16:06:23Z",,"pub:185059",,"yes",,,,,,,,,,"imp593654e03bcf154646","000038989","84994364977",,"000387336700005","RCM, Rapid commun. mass spectrom.","23","Rapid Communications in Mass Spectrometry","30","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03982 - Six, Johan / Six, Johan||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03982 - Six, Johan / Six, Johan||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","03982||03648","03982||03648","Published online 20 October 2016.","2496","2487","London","published",,,,,,,,"2017-07-14T20:39:44Z","2021-02-14T14:43:47Z","true",,"ECIT",,,
"426537","20.500.11850/3","Jacobi, Johanna",,,,"2021-11-23T14:28:13Z","2021-11-22T13:26:34Z||2021-11-23T14:28:13Z","2016-12","2016-07-14","Agroforestry systems have long been implemented in Bolivia, but little is known about their overall current status. Interviews with farmers, policymakers and members of civil society organizations about the challenges and opportunities that agroforestry faces, as well as field visits to agroforestry projects revealed a wide range of agroforestry initiatives in Bolivia that provide ecosystem services, food and income to local families. All interviewees attributed a high potential to agroforestry, for example, to promote biodiversity, water conservation, food sovereignty and adaptation to climate change impacts. However, agroforestry initiatives lacked support because government incentives were channelled to cattle rearing and large-scale monocultures rather than diversified farming systems, and agroforestry initiatives tended to be small and isolated. A nationwide policy is needed which is coordinated with civil society organizations and individual farmers and strategically and efficiently supports agroforestry initiatives – especially in the most vulnerable first years of establishment – through extension services and access to materials, markets, knowledge and financial resources.",,,,"0376-8929||1469-4387",,"10.1017/s0376892916000138","http://hdl.handle.net/20.500.11850/516355","en","Cambridge University Press",,,"agroforestry||Bolivia||diversified farming systems||food security||food sovereignty","Agroforestry in Bolivia: opportunities and challenges in the context of food security and food sovereignty",,"Journal Article","Metadata only",,,"2021-11-22T13:26:41Z",,,,"no",,,,,,,,,,,,,,,"Environ. Conserv.","4","Environmental Conservation","43","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::09748 - Jacobi, Johanna / Jacobi, Johanna",,"09748",,,"316","307","Cambridge","published",,,,,,,,"2021-11-23T14:28:21Z","2021-11-23T14:28:21Z","true",,"FORM",,,
"120667","20.500.11850/3","Mauck, Kerry E.",,,,"2017-06-12T12:49:24Z","2017-06-12T12:49:24Z","2016-12",,,,,,"1879-6257||1879-6265",,"10.1016/j.coviro.2016.09.002","http://hdl.handle.net/20.500.11850/120700","en","Elsevier",,,,"Variation in virus effects on host plant phenotypes and insect vector behavior: What can it teach us about virus evolution?",,"Journal Article","Metadata only",,,"2017-06-12T12:55:11Z",,"pub:182776",,"yes",,,,,,,,,,"imp593654b8a8e9a95410","006496340","84987984805",,"000390512500019","Curr Opin Virol",,"Current Opinion in Virology","21","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03970 - De Moraes, Consuelo / De Moraes, Consuelo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03970 - De Moraes, Consuelo / De Moraes, Consuelo","03970","03970",,"123","114","Amsterdam","published",,,,,,,,"2017-07-13T09:16:42Z","2022-03-28T15:10:12Z","true",,"ECIT",,,
"125078","20.500.11850/3","Moser, Barbara||Bachofen, Christoph||Müller, Jonathan||Metslaid, Marek||Wohlgemuth, Thomas",,,,"2017-06-12T17:58:42Z","2017-06-12T17:58:42Z","2016-12",,,,,,"1286-4560||1297-966X",,"10.1007/s13595-016-0574-1","http://hdl.handle.net/20.500.11850/125111","en","Springer",,,"Drought tolerance||Phenotypic plasticity||Seedling mortality||Douglas-fir||Scots pine","Root architecture might account for contrasting establishment success of Pseudotsuga menziesii var. menziesii and Pinus sylvestris in Central Europe under dry conditions",,"Journal Article","Metadata only",,,"2017-06-12T17:59:30Z",,"pub:187682",,"yes",,,,,,,,,,"imp5936550a610eb77453","002018617",,,"000390004000014","Ann. for. sci.","4","Annals of Forest Science","73","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","03648","03648",,"970","959","Berlin","published",,,,,,,,"2017-07-14T23:29:31Z","2022-03-28T15:24:17Z","true",,"ECIT",,,
"207758","20.500.11850/3","Losapio, Gianalberto||Gobbi, Mauro||Marano, Giuseppe||Avesani, Daniele||Boracchi, Patrizia||Compostella, Chiara||Pavesi, Maurizio||Schöb, Christian||Seppi, Roberto||Sommaggio, Daniele||Zanetti, Adriano||Caccianiga, Marco",,,,"2018-01-09T11:16:48Z","2017-12-18T15:46:51Z||2018-01-09T11:15:37Z||2018-01-09T11:16:48Z","2016-12","2016-06-14",,,,,,,"10.1007/s11829-016-9444-x","http://hdl.handle.net/20.500.11850/222328","en","Springer Netherlands",,,"Community assembly||Functional traits||Glacier forelands||Plant–insect interactions||Reproductive output||community dynamics||functional group||glacier||plant community||plant-insect interaction||pollinator||primary succession||reproduction||vegetation dynamics||Hexapoda||Leucanthemopsis alpina||Saxifraga","Feedback effects between plant and flower-visiting insect communities along a primary succession gradient",,"Journal Article","Metadata only",,,"2017-12-18T15:46:51Z",,,,"no",,,,,,,,,,,,,,,,"6","Arthropod-Plant Interactions","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::09618 - Schöb, Christian (ehemalig) / Schöb, Christian (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::09618 - Schöb, Christian (ehemalig) / Schöb, Christian (former)","02350||02703||09618","09618",,"495","485","Dordrecht","published",,,,,,,,"2018-01-09T11:15:40Z","2022-03-28T18:49:50Z","true",,"BATCH",,,
