id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.hasPart,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isReferencedBy,ethz.relation.isSupplementTo,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit
"455453","20.500.11850/22","Laufkötter, Charlotte||Vogt, Meike||Gruber, Nicolas||Aumont, Olivier||Bopp, Laurent||Doney, Scott C.||Dunne, John P.||Hauck, Judith||John, Jasmin G.||Lima, Ivan D.||Séférian, Roland||Völker, Christoph",,,"2022-06-20T14:53:45Z","2017-06-11T21:47:38Z||2018-11-06T17:10:49Z||2022-06-20T14:53:45Z","2015-12-14",,"Accurate projections of marine particle export production (EP) are crucial for predicting the response of the marine carbon cycle to climate change, yet models show a wide range in both global EP and their responses to climate change. This is, in part, due to EP being the net result of a series of processes, starting with net primary production (NPP) in the sunlit upper ocean, followed by the formation of particulate organic matter and the subsequent sinking and remineralisation of these particles, with each of these processes responding differently to changes in environmental conditions. Here, we compare future projections in EP over the 21st century, generated by four marine ecosystem models under the high emission scenario Representative Concentration Pathways (RCP) 8.5 of the Intergovernmental Panel on Climate Change (IPCC), and determine the processes driving these changes. The models simulate small to modest decreases in global EP between −1 and −12%. Models differ greatly with regard to the drivers causing these changes. Among them, the formation of particles is the most uncertain process with models not agreeing on either magnitude or the direction of change. The removal of the sinking particles by remineralisation is simulated to increase in the low and intermediate latitudes in three models, driven by either warming-induced increases in remineralisation or slower particle sinking, and show insignificant changes in the remaining model. Changes in ecosystem structure, particularly the relative role of diatoms matters as well, as diatoms produce larger and denser particles that sink faster and are partly protected from remineralisation. Also this controlling factor is afflicted with high uncertainties, particularly since the models differ already substantially with regard to both the initial (present-day) distribution of diatoms (between 11–94% in the Southern Ocean) and the diatom contribution to particle formation (0.6–3.8 times higher than their contribution to biomass). As a consequence, changes in diatom concentration are a strong driver for EP changes in some models but of low significance in others. Observational and experimental constraints on ecosystem structure and how the fixed carbon is routed through the ecosystem to produce export production are urgently needed in order to improve current generation ecosystem models and their ability to project future changes.","application/pdf","10.3929/ethz-b-000108191",,"1810-6277||1810-6285",,"10.5194/bgd-12-19941-2015","http://hdl.handle.net/20.500.11850/108191","en","Copernicus","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/",,"Projected decreases in future marine export production: The role of carbon fluxes through the upper ocean ecosystem","Working Paper","Open access",,,"2017-06-11T21:47:54Z",,"pub:168983",,"yes",,,,,,,,,,"imp593653ca0ed7718532",,,,,"Biogeosci. discuss.",,"Biogeosciences Discussions","12","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","03731","03731",,"19998","19941","Göttingen","published",,,,"10.3929/ethz-b-000118663",,,,,"2017-07-25T10:06:26Z","2023-02-07T03:38:13Z","true",,"ECIT",,
"312242","20.500.11850/3","Le Quéré, Corinne||Moriarty, Róisín||Andrew, Robbie M.||Canadell, Josep G.||Sitch, Stephen||Korsbakken, Jan I.||Friedlingstein, Pierre||Peters, Glen P.||Andres, Robert J.||Boden, Thomas A.||Houghton, Richard A.||House, Joanna I.||Keeling, Ralph F.||Tans, Pieter||Arneth, Almut||Bakker, Dorothée C.E.||Barbero, Leticia||Bopp, Laurent||Chang, Jinfeng||Chevallier, Frédéric||Chini, Louise P.||Ciais, Philippe||Fader, Marianela||Feely, Richard A.||Gkritzalis, Thanos||Harris, Ian||Hauck, Judith||Ilyina, Tatiana||Jain, Atul K.||Kato, Etsushi||Kitidis, Vassilis||Klein Goldewijk, Kees||Koven, Charles D.||Landschützer, Peter||Lauvset, Siv K.||Lefèvre, Nathalie||Lenton, Andrew||Lima, Ivan D.||Metzl, Nicolas||Millero, Frank J.||Munro, David R.||Murata, Akihiko||Nabel, Julia E.M.S.||Nakaoka, Shinichirou||Nojiri, Yukihiro||O'Brien, Kevin M.||Olsen, Are||Ono, Tsuneo||Pérez, Fíz F.||Pfeil, Benjamin||Pierrot, Denis||Poulter, Benjamin||Rehder, Gregor||Rödenbeck, Christian||Saito, Shu||Schuster, Ute||Schwinger, Jörg||Séférian, Roland||Steinhoff, Tobias||Stocker, Benjamin||Sutton, Adrienne J.||Takahashi, Taro||Tilbrook, Bronte||van der Laan-Luijkx, Ingrid T.||van der Werf, Guido R.||van Heuven, Steven||Vandemark, Douglas C.||Viovy, Nicolas||Wiltshire, Andrew||Zaehle, Sönke||Zeng, Ning",,,"2019-10-04T09:17:16Z","2017-06-11T21:47:04Z||2019-10-04T09:17:16Z","2015-12-07",,"Accurate assessment of anthropogenic carbon dioxide (CO2) emissions and their redistribution among the atmosphere, ocean, and terrestrial biosphere is important to better understand the global carbon cycle, support the development of climate policies, and project future climate change. Here we describe data sets and a methodology to quantify all major components of the global carbon budget, including their uncertainties, based on the combination of a range of data, algorithms, statistics, and model estimates and their interpretation by a broad scientific community. We discuss changes compared to previous estimates as well as consistency within and among components, alongside methodology and data limitations. CO2 emissions from fossil fuels and industry (EFF) are based on energy statistics and cement production data, while emissions from land-use change (ELUC), mainly deforestation, are based on combined evidence from land-cover-change data, fire activity associated with deforestation, and models. The global atmospheric CO2 concentration is measured directly and its rate of growth (GATM) is computed from the annual changes in concentration. The mean ocean CO2 sink (SOCEAN) is based on observations from the 1990s, while the annual anomalies and trends are estimated with ocean models. The variability in SOCEAN is evaluated with data products based on surveys of ocean CO2 measurements. The global residual terrestrial CO2 sink (SLAND) is estimated by the difference of the other terms of the global carbon budget and compared to results of independent dynamic global vegetation models forced by observed climate, CO2, and land-cover change (some including nitrogen–carbon interactions). We compare the mean land and ocean fluxes and their variability to estimates from three atmospheric inverse methods for three broad latitude bands. All uncertainties are reported as ±1σ, reflecting the current capacity to characterise the annual estimates of each component of the global carbon budget. For the last decade available (2005–2014), EFF was 9.0 ± 0.5 GtC yr−1, ELUC was 0.9 ± 0.5 GtC yr−1, GATM was 4.4 ± 0.1 GtC yr−1, SOCEAN was 2.6 ± 0.5 GtC yr−1, and SLAND was 3.0 ± 0.8 GtC yr−1. For the year 2014 alone, EFF grew to 9.8 ± 0.5 GtC yr−1, 0.6 % above 2013, continuing the growth trend in these emissions, albeit at a slower rate compared to the average growth of 2.2 % yr−1 that took place during 2005–2014. Also, for 2014, ELUC was 1.1 ± 0.5 GtC yr−1, GATM was 3.9 ± 0.2 GtC yr−1, SOCEAN was 2.9 ± 0.5 GtC yr−1, and SLAND was 4.1 ± 0.9 GtC yr−1. GATM was lower in 2014 compared to the past decade (2005–2014), reflecting a larger SLAND for that year. The global atmospheric CO2 concentration reached 397.15 ± 0.10 ppm averaged over 2014. For 2015, preliminary data indicate that the growth in EFF will be near or slightly below zero, with a projection of −0.6 [range of −1.6 to +0.5] %, based on national emissions projections for China and the USA, and projections of gross domestic product corrected for recent changes in the carbon intensity of the global economy for the rest of the world. From this projection of EFF and assumed constant ELUC for 2015, cumulative emissions of CO2 will reach about 555 ± 55 GtC (2035 ± 205 GtCO2) for 1870–2015, about 75 % from EFF and 25 % from ELUC. This living data update documents changes in the methods and data sets used in this new carbon budget compared with previous publications of this data set (Le Quéré et al., 2015, 2014, 2013). All observations presented here can be downloaded from the Carbon Dioxide Information Analysis Center (doi:10.3334/CDIAC/GCP_2015).","application/pdf","10.3929/ethz-b-000108126",,"1866-3516||1866-3508",,"10.5194/essd-7-349-2015","http://hdl.handle.net/20.500.11850/108126","en","Copernicus","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/",,"Global Carbon Budget 2015","Journal Article","Open access",,,"2017-06-11T21:47:54Z",,"pub:168910",,"yes",,,,"Changes in carbon uptake and emissions by oceans in a changing climate","264879","10.13039/501100000780","EC","FP7",,"imp593653c8d06a899243","010170078","84949804070",,"000368632100016","Earth syst. sci. data","2","Earth System Science Data","7","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","03731","03731",,"396","349","Göttingen","published",,,,,,,,,"2017-07-12T16:26:15Z","2023-02-06T17:42:50Z","true",,"ECIT",,"publishedVersion"
"108618","20.500.11850/3","Hoogland, Frouke||Lehmann, Peter||Or, Dani",,,"2017-06-11T22:04:52Z","2017-06-11T22:04:52Z","2015-12",,,,,,"0043-1397||1944-7973",,"10.1002/2015WR016980","http://hdl.handle.net/20.500.11850/108651","en","Wiley",,,,"The formation of viscous limited saturation zones behind rapid drainage fronts in porous media","Journal Article","Metadata only",,,"2017-06-11T22:05:30Z",,"pub:169645",,"yes",,,,,,,,,,"imp593653d2dd7c634711","000004612","84956780003",,"000368421500027","Water Resour. Res.","12","Water Resources Research","51","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812","Published online 24 December 2015.","9890","9862","Malden, MA","published",,,,,,,,,"2017-07-20T14:46:31Z","2021-02-14T13:42:21Z","true",,"ECIT",,
"255574","20.500.11850/3","Laufkötter, Charlotte||Vogt, Meike||Gruber, Nicolas||Aita-Noguchi, Maki||Aumont, Olivier||Bopp, Laurent||Buitenhuis, Erik Theodoor||Doney, Scott C.||Dunne, John Patrick||Hashioka, Taketo||Hauck, Judith||Hirata, Takafumi||John, Jasmin G.||Le Quéré, Corinne||Lima, Ivan D.||Nakano, Hideyuki||Séférian, Roland||Totterdell, Ian J.||Vichi, Marcello||Völker, Christoph",,,"2018-09-28T12:46:16Z","2017-06-11T21:47:46Z||2018-09-28T12:46:16Z","2015-12","2015-12-07","Past model studies have projected a global decrease in marine net primary production (NPP) over the 21st century, but these studies focused on the multi-model mean rather than on the large inter-model differences. Here, we analyze model-simulated changes in NPP for the 21st century under IPCC's high-emission scenario RCP8.5. We use a suite of nine coupled carbon–climate Earth system models with embedded marine ecosystem models and focus on the spread between the different models and the underlying reasons. Globally, NPP decreases in five out of the nine models over the course of the 21st century, while three show no significant trend and one even simulates an increase. The largest model spread occurs in the low latitudes (between 30° S and 30° N), with individual models simulating relative changes between −25 and +40 %. Of the seven models diagnosing a net decrease in NPP in the low latitudes, only three simulate this to be a consequence of the classical interpretation, i.e., a stronger nutrient limitation due to increased stratification leading to reduced phytoplankton growth. In the other four, warming-induced increases in phytoplankton growth outbalance the stronger nutrient limitation. However, temperature-driven increases in grazing and other loss processes cause a net decrease in phytoplankton biomass and reduce NPP despite higher growth rates. One model projects a strong increase in NPP in the low latitudes, caused by an intensification of the microbial loop, while NPP in the remaining model changes by less than 0.5 %. While models consistently project increases NPP in the Southern Ocean, the regional inter-model range is also very substantial. In most models, this increase in NPP is driven by temperature, but it is also modulated by changes in light, macronutrients and iron as well as grazing. Overall, current projections of future changes in global marine NPP are subject to large uncertainties and necessitate a dedicated and sustained effort to improve the models and the concepts and data that guide their development.","application/pdf","10.3929/ethz-b-000108206",,"1726-4170||1726-4170",,"10.5194/bg-12-6955-2015","http://hdl.handle.net/20.500.11850/108206","en","Copernicus","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/",,"Drivers and uncertainties of future global marine primary production in marine ecosystem models","Journal Article","Open access",,,"2017-06-11T21:47:54Z",,"pub:169001",,"yes",,,,"Changes in carbon uptake and emissions by oceans in a changing climate","264879","10.13039/501100000780","EC","FP7",,"imp593653ca55e6d91525","006289717","84949212218",,"000365901800009",,"23","Biogeosciences","12","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","03731","03731",,"6984","6955","Goettingen","published",,,,,,,,,"2017-07-15T03:34:59Z","2021-02-15T01:55:28Z","true",,"ECIT",,"publishedVersion"
"308399","20.500.11850/3","Ariztegui, Daniel||Pacton, Muriel||Hunger, Gabriel||Martinuzzi, Vincent||Cusminsky, Gabriela||Burdin, Beatrice||Barmettler, Kurt||Vasconcelos, Crisógono",,,"2019-09-09T09:42:38Z","2017-06-12T06:39:48Z||2019-09-09T09:42:38Z","2015-12","2016-01-12","Living stromatolites have been mostly described within shallow marine and (hyper)saline lacustrine environments. Southernmost South America lacks detailed investigations of these (organo)sedimentary buildups, particularly in regions experiencing extreme and variable environmental conditions. Here, we report and describe living freshwater stromatolites in the Maquinchao region, north‐western Patagonia, Argentina. Fossil stromatolites characterized by globular and cauliflower shapes are also present in a continuous palaeoshoreline of a former lake at an altitude of 830 m, whereas their living counterparts only occur in the calm waters of sheltered or meandering sections of the Maquinchao River. The living stromatolites and their host waters have been sampled and studied using various chemical and microscopic techniques to better constrain the environmental versus biological factors controlling their development. Our results indicate that today stromatolites only proliferate in freshwater when Ca2+ levels are high. A microscopic inspection of the living stromatolite mat indicates stronger photosynthetic activity in the upper green layer associated with crypto/microcrystalline calcite (nanoglobules) compared to the lower beige‐white biofilm. This biofilm contains more low‐Mg calcite (rhombohedra) precipitates, which can form millimetre‐sized aggregates in the underlying anoxic layer. Although sulphate‐reducing bacteria are living in the entire mat, they appear more abundant and widely distributed in the lower beige‐white layer and are always associated with Mg calcite. Low salinity and low‐turbidity water along with microbial (photosynthetic and heterotrophic) activity are the most important factors promoting low‐Mg calcite precipitation in the Maquinchao Basin. These conditions are very different from those proposed for recently described lacustrine stromatolites at high altitude in the subtropical and tropical Andes as well as in Chilean Patagonia. Hence, all these observations in modern freshwater stromatolites show the importance of geomicrobiological studies in identifying proxies of the hydrological conditions prevailing during their formation.","application/pdf","10.3929/ethz-b-000116870",,"2055-4877",,"10.1002/dep2.7","http://hdl.handle.net/20.500.11850/116870","en","Wiley","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Bacterial fossils||Biomineralization||Extracellular polymeric substances||Freshwater microbialite||nanoglobules||stromatolites","Organomineralization processes in freshwater stromatolites: a living example from eastern Patagonia","Journal Article","Open access",,,"2017-06-12T06:43:36Z",,"pub:178759",,"yes",,,,,,,,,,"imp5936546e05ed538513",,,,"000374654400004",,"2","The Depositional Record","1","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03541 - Kretzschmar, Ruben / Kretzschmar, Ruben","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03541 - Kretzschmar, Ruben / Kretzschmar, Ruben","03541","03541",,"146","130","Chichester","published",,,,,,,,,"2017-07-17T12:13:45Z","2019-09-09T09:42:50Z","true",,"ECIT",,"publishedVersion"
"108243","20.500.11850/3","Ebrahimi, Ali||Or, Dani",,,"2017-06-11T21:51:15Z","2017-06-11T21:51:15Z","2015-12",,,,,,"0043-1397||1944-7973",,"10.1002/2015WR017565","http://hdl.handle.net/20.500.11850/108276","en","Wiley",,,,"Hydration and diffusion processes shape microbial community organization and function in model soil aggregates","Journal Article","Metadata only",,,"2017-06-11T21:51:44Z",,"pub:169073",,"yes",,,,,,,,,,"imp593653cb9057d29492","000004612","84956815922",,"000368421500024","Water Resour. Res.","12","Water Resources Research","51","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812","Received 19 May 2015, Accepted 21 November 2015, Accepted article online 25 November 2015, Published online 19 December 2015.","9827","9804","Malden","published",,,,,,,,,"2017-07-20T18:18:22Z","2021-02-14T13:40:18Z","true",,"ECIT",,
"110348","20.500.11850/3","Steinkamp, K.||Gruber, Nicolas",,,"2017-06-11T23:05:31Z","2017-06-11T23:05:31Z","2015-12",,,,,,"0886-6236||1944-9224",,"10.1002/2014GB004907","http://hdl.handle.net/20.500.11850/110381","en","American Geophysical Union",,,,"Decadal trends of ocean and land carbon fluxes from a regional joint ocean-atmosphere inversion","Journal Article","Metadata only",,,"2017-06-11T23:05:37Z",,"pub:171616",,"yes",,,,,,,,,,"imp593653f33f58a51960","000041178","84955400073",,"000368908200007","Glob. biogeochem. cycles","12","Global Biogeochemical Cycles","29","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","03731","03731","Published online 31 December 2015. Published online by Wiley.","2126","2108","Washington, DC","published",,,,,,,,,"2017-07-14T19:08:54Z","2021-02-14T13:49:22Z","true",,"ECIT",,
"108082","20.500.11850/3","Perz, Veronika||Zumstein, Michael T.||Sander, Michael||Zitzenbacher, Sabine||Ribitsch, Doris||Guebitz, Georg M.",,,"2017-06-11T21:45:05Z","2017-06-11T21:45:05Z","2015-12",,,,,,"1525-7797||1526-4602",,"10.1021/acs.biomac.5b01219","http://hdl.handle.net/20.500.11850/108115","en","American Chemical Society",,,,"Biomimetic Approach to Enhance Enzymatic Hydrolysis of the Synthetic Polyester Poly(1,4-butylene adipate): Fusing Binding Modules to Esterases","Journal Article","Metadata only",,,"2017-06-11T21:45:10Z",,"pub:168899",,"yes",,,,,,,,,,"imp593653c8b7b9810183","003899084","84949883012",,"000366616700018",,"12","Biomacromolecules","16","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","03850","03850","Published online 13 November 2015.","3896","3889","Washington, DC","published",,,,,,,,,"2017-07-12T16:10:16Z","2023-02-06T13:08:24Z","true",,"ECIT",,
"81401","20.500.11850/3","Johnson, David R.||Lee, Tae Kwon||Park, Joonhong||Fenner, Kathrin||Helbling, Damian E.",,,"2017-06-11T05:56:06Z","2017-06-11T05:56:06Z","2015-12",,,,,,"1462-2912||1462-2920",,"10.1111/1462-2920.12429","http://hdl.handle.net/20.500.11850/81434","en","Wiley-Blackwell",,,,"The functional and taxonomic richness of wastewater treatment plant microbial communities are associated with each other and with ambient nitrogen and carbon availability","Journal Article","Metadata only",,,"2017-06-11T05:58:59Z",,"pub:128218",,"yes",,,,,,,,,,"imp593651b3a5e6464935",,"84955746315",,"000368457800004","Environ. microbiol.","12","Environmental Microbiology","17","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03743 - Ackermann, Martin / Ackermann, Martin","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03743 - Ackermann, Martin / Ackermann, Martin","03743","03743","Article first published online 19 March 2014.","4860","4851","Oxford","published",,,,,,,,"true","2017-07-19T08:15:24Z","2021-02-14T11:28:12Z","true",,"ECIT",,
"104379","20.500.11850/3","Haghighi, Erfan||Or, Dani",,,"2017-06-11T19:25:49Z","2017-06-11T19:25:49Z","2015-11",,,,,,"0022-1694||1879-2707",,"10.1016/j.jhydrol.2015.09.048","http://hdl.handle.net/20.500.11850/104412","en","Elsevier",,,"Evaporation||Porous surface||Bluff-body obstacle||Turbulent airflow||Momentum partitioning","Interactions of bluff-body obstacles with turbulent airflows affecting evaporative fluxes from porous surfaces","Journal Article","Metadata only",,,"2017-06-11T19:26:23Z",,"pub:163392",,"yes",,,,,,,,,,"imp5936537d4896b92091","000049368","84943756368",,"000365050600009","J. Hydrol.",,"Journal of Hydrology","530","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812","Received 29 May 2015, Revised 5 September 2015, Accepted 21 September 2015, Available online 28 September 2015.","116","103","Amsterdam","published",,,,,,,,,"2017-07-31T15:43:22Z","2021-02-14T13:18:16Z","true",,"ECIT",,
