id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.relation.isnodouble,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.documents,ethz.relation.hasPart,ethz.relation.isDocumentedBy,ethz.relation.isNewVersionOf,ethz.relation.isOriginalFormOf,ethz.relation.isPartOf,ethz.relation.isReferencedBy,ethz.relation.isSupplementedBy,ethz.relation.isVariantFormOf,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"123653","20.500.11850/3","Poggenburg, Christine||Mikutta, Robert||Sander, Michael||Schippers, Axel||Marchanka, Alexander||Dohrmann, Reiner||Guggenberger, Georg",,,"2017-06-12T17:05:29Z","2017-06-12T17:05:29Z","2016-12",,,,,,"0009-2541||1872-6836",,"10.1016/j.chemgeo.2016.09.031","http://hdl.handle.net/20.500.11850/123686","en","Elsevier",,,,"Extracellular polymeric substances||Geobacter metallireducens||Iron oxyhydroxides||Mediated electrochemical reduction||Natural organic matter||Shewanella putrefaciens","Microbial reduction of ferrihydrite-organic matter coprecipitates by Shewanella putrefaciens and Geobacter metallireducens in comparison to mediated electrochemical reduction","Journal Article","Metadata only",,,"2017-06-12T17:05:57Z",,"pub:186113",,"yes",,,,,,,,,,"imp593654f07fa7b55456","000907050","84999851954",,,"Chem. geol.",,"Chemical Geology","447","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","03850","03850","Received 23 March 2016, Revised 21 September 2016, Accepted 22 September 2016, Published online 24 September 2016.","147","133","Amsterdam","published",,,,,,,,,,,"2017-07-15T17:43:03Z","2021-02-14T14:47:08Z","true",,"ECIT",,,
"122372","20.500.11850/3","Simmler, Michael||Suess, Elke||Christl, Iso||Kotsev, Tsvetan||Kretzschmar, Ruben",,,"2017-06-12T15:36:02Z","2017-06-12T15:36:02Z","2016-12",,,,,,"0048-9697||1879-1026",,"10.1016/j.scitotenv.2016.07.049","http://hdl.handle.net/20.500.11850/122405","en","Elsevier",,,,"Apera spica-venti||Food chain||Holcus lanatus||Plant uptake||Pollution||Trifolium repens","Soil-to-plant transfer of arsenic and phosphorus along a contamination gradient in the mining-impacted Ogosta River floodplain","Journal Article","Metadata only",,,"2017-06-12T15:39:17Z",,"pub:184709",,"yes",,,,,,,,,,"imp593654da30e0b79685","000054939","84993996055",,"000387807200072","Sci. Total Environ.",,"Science of The Total Environment","572","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03541 - Kretzschmar, Ruben / Kretzschmar, Ruben","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03541 - Kretzschmar, Ruben / Kretzschmar, Ruben","03541","03541","Received 7 March 2016, Revised 6 July 2016, Accepted 6 July 2016, Published online 7 September 2016.","754","742","Amsterdam","published",,,,,,,,,,,"2017-07-15T12:29:44Z","2022-03-28T15:16:07Z","true",,"ECIT",,,
"195745","20.500.11850/3","Zuijdgeest, Alissa||Baumgartner, Simon||Wehrli, Bernhard",,,"2017-11-20T12:52:48Z","2017-06-12T14:50:21Z||2017-07-27T11:59:07Z||2017-11-20T12:52:48Z","2016-12","2016-10-21","Tropical inland waters are increasingly recognized for their role in the global carbon cycle, but uncertainty about the effects of such systems on the transported organic matter remains. The seasonal interactions between river, floodplain, and vegetation result in highly dynamic systems, which can exhibit markedly different biogeochemical patterns throughout a flood cycle. In this study, we determined rates and governing processes of organic matter turnover. Multi-probes in the Barotse Plains, a pristine floodplain in the Upper Zambezi River (Zambia), provided a high-resolution data set over the course of a hydrological cycle. The concentrations of oxygen, carbon dioxide, dissolved organic carbon, and suspended particulate matter in the main channel showed clear hysteresis trends with expanding and receding water on the floodplain. Lower oxygen and suspended matter concentrations prevailed at longer travel times of water in the floodplain, while carbon dioxide and dissolved organic carbon concentrations were higher when the water spent more time on the floodplain. Maxima of particulate loads occurred before highest water levels, whereas the maximum in dissolved organic carbon load occurred during the transition of flooding and flood recession. Degradation of terrestrial organic matter occurred mainly on the floodplain at increased floodplain residence times. Our data suggest that floodplains become more intense hotspots at prolonged travel time of the flood pulse over the floodplain.","application/pdf","10.3929/ethz-b-000121909",,"0168-2563||1573-515X",,"10.1007/s10533-016-0263-z","http://hdl.handle.net/20.500.11850/121909","en","Springer",,"Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Organic matter||Floodplain||Inundation||Hysteresis||Flood pulse||Travel time","Hysteresis effects in organic matter turnover in a tropical floodplain during a flood cycle","Journal Article","Open access",,,"2017-06-12T14:54:11Z",,"pub:184172",,"yes",,,,,,,,,,"imp593654d08ee8493094","000028854","84992160336",,"000391423500004","Biogeochemistry (Dordrecht)","1-2","Biogeochemistry","131","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03328 - Wehrli, Bernhard (emeritus) / Wehrli, Bernhard (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03328 - Wehrli, Bernhard (emeritus) / Wehrli, Bernhard (emeritus)","03328","03328",,"63","49","Dordrecht","published",,,,,,,,,,,"2017-07-27T11:59:09Z","2023-02-06T14:51:26Z","true",,"ECIT",,"publishedVersion",
"125493","20.500.11850/3","Cheung, William W.L.||Reygondeau, Gabriel||Frölicher, Thomas L.",,,"2017-06-12T18:09:23Z","2017-06-12T18:09:23Z","2016-12",,,,,,"0036-8075||1095-9203",,"10.1126/science.aag2331","http://hdl.handle.net/20.500.11850/125526","en","AAAS",,,,,"Large benefits to marine fisheries of meeting the 1.5 degrees C global warming target","Journal Article","Metadata only",,,"2017-06-12T18:10:03Z",,"pub:188138",,"yes",,,,,,,,,,"imp59365511b6ad838736","000037526",,,"000390254300054",,"6319","Science","354","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","03731","03731","Published online 23 December 2016.","1594","1591","Washington, DC","published",,,,,,,,,,"true","2017-07-12T23:38:06Z","2022-03-28T15:25:33Z","true",,"ECIT",,,
"296180","20.500.11850/3","Oswald, Kirsten||Jegge, Corinne||Tischer, Jana||Berg, Jasmine||Brand, Andreas||Miracle, María R.||Soria, Xavier||Vicente, Eduardo||Lehmann, Moritz F.||Zopfi, Jakob||Schubert, Carsten J.",,,"2019-06-07T09:13:21Z","2017-06-12T17:22:44Z||2019-06-07T09:13:21Z","2016-11-11",,"Lakes represent a considerable natural source of methane to the atmosphere compared to their small global surface area. Methanotrophs in sediments and in the water column largely control methane fluxes from these systems, yet the diversity, electron accepting capacity, and nutrient requirements of these microorganisms have only been partially identified. Here, we investigated the role of electron acceptors alternative to oxygen and sulfate in microbial methane oxidation at the oxycline and in anoxic waters of the ferruginous meromictic Lake La Cruz, Spain. Active methane turnover in a zone extending well below the oxycline was evidenced by stable carbon isotope-based rate measurements. We observed a strong methane oxidation potential throughout the anoxic water column, which did not vary substantially from that at the oxic/anoxic interface. Both in the redox-transition and anoxic zones, only aerobic methane-oxidizing bacteria (MOB) were detected by fluorescence in situ hybridization and sequencing techniques, suggesting a close coupling of cryptic photosynthetic oxygen production and aerobic methane turnover. Additions of nitrate, nitrite and to a lesser degree iron and manganese oxides also stimulated bacterial methane consumption. We could not confirm a direct link between the reduction of these compounds and methane oxidation and we cannot exclude the contribution of unknown anaerobic methanotrophs. Nevertheless, our findings from Lake La Cruz support recent laboratory evidence that aerobic methanotrophs may be able to utilize alternative terminal electron acceptors under oxygen limitation.","application/pdf","10.3929/ethz-b-000124267",,"1664-302X",,"10.3389/fmicb.2016.01762","http://hdl.handle.net/20.500.11850/124267","en","Frontiers Media",,"Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Ferruginous||Meromixis||Oxycline||Anoxic hypolimnion||Methane oxidation||Aerobic methanotrophs","Methanotrophy under Versatile Conditions in the Water Column of the Ferruginous Meromictic Lake La Cruz (Spain)","Journal Article","Open access",,,"2017-06-12T17:23:24Z",,"pub:186736",,"yes",,,,,,,,,,"imp593654fa6955816341","010181524","85006699035",,"000388706800001","Front Microbiol",,"Frontiers in Microbiology","7","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03328 - Wehrli, Bernhard (emeritus) / Wehrli, Bernhard (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03328 - Wehrli, Bernhard (emeritus) / Wehrli, Bernhard (emeritus)","03328","03328",,,"1762","Lausanne","published",,,,,,,,,,"true","2017-07-13T10:39:08Z","2023-02-06T17:10:45Z","true","16 p.","ECIT",,"publishedVersion",
"257800","20.500.11850/3","Engels, Christina||Schwab, Clarissa||Zhang, Jianbo||Stevens, Marc J. A.||Bieri, Corinne||Ebert, Marc-Olivier||McNeill, Kristopher||Sturla, Shana J.||Lacroix, Christophe",,,"2018-10-12T15:42:18Z","2017-06-12T14:59:43Z||2018-10-12T15:42:18Z","2016-11-07",,"Glycerol/diol dehydratases catalyze the conversion of glycerol to 3-hydroxypropionaldehyde (3-HPA), the basis of a multi-component system called reuterin. Reuterin has antimicrobial properties and undergoes chemical conjugation with dietary heterocyclic amines (HCAs). In aqueous solution reuterin is in dynamic equilibrium with the toxicant acrolein. It was the aim of this study to investigate the extent of acrolein formation at various physiological conditions and to determine its role in biological and chemical activities. The application of a combined novel analytical approach including IC-PAD, LC-MS and NMR together with specific acrolein scavengers suggested for the first time that acrolein, and not 3-HPA, is the active compound responsible for HCA conjugation and antimicrobial activity attributed to reuterin. As formation of the HCA conjugate was observed in vivo, our results imply that acrolein is formed in the human gut with implications on detoxification of HCAs. We propose to re-define the term reuterin to include acrolein.","application/pdf","10.3929/ethz-b-000122015",,"2045-2322",,"10.1038/srep36246","http://hdl.handle.net/20.500.11850/122015","en","Nature Publishing Group",,"Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Biotechnology||Biochemistry","Acrolein contributes strongly to antimicrobial and heterocyclic amine transformation activities of reuterin","Journal Article","Open access",,,"2017-06-12T15:02:22Z",,"pub:184279",,"yes",,,,,,,,,,"imp593654d24e29d45923","006751867","84994684128",,"000387003300001","Sci Rep",,"Scientific Reports","6","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02020 - Dep. Chemie und Angewandte Biowiss. / Dep. of Chemistry and Applied Biosc.::02514 - Laboratorium für Organische Chemie / Laboratory of Organic Chemistry||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02070 - Dep. Gesundheitswiss. und Technologie / Dep. of Health Sciences and Technology::02701 - Inst.f. Lebensmittelwiss.,Ernährung,Ges. / Institute of Food, Nutrition, and Health::03853 - Sturla, Shana / Sturla, Shana||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02070 - Dep. Gesundheitswiss. und Technologie / Dep. of Health Sciences and Technology::02701 - Inst.f. Lebensmittelwiss.,Ernährung,Ges. / Institute of Food, Nutrition, and Health::03626 - Lacroix, Christophe / Lacroix, Christophe||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02020 - Dep. Chemie und Angewandte Biowiss. / Dep. of Chemistry and Applied Biosc.::02514 - Laboratorium für Organische Chemie / Laboratory of Organic Chemistry::08663 - NMR-Service LOC","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02070 - Dep. Gesundheitswiss. und Technologie / Dep. of Health Sciences and Technology::02701 - Inst.f. Lebensmittelwiss.,Ernährung,Ges. / Institute of Food, Nutrition, and Health::03853 - Sturla, Shana / Sturla, Shana||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02070 - Dep. Gesundheitswiss. und Technologie / Dep. of Health Sciences and Technology::02701 - Inst.f. Lebensmittelwiss.,Ernährung,Ges. / Institute of Food, Nutrition, and Health::03626 - Lacroix, Christophe / Lacroix, Christophe","02514||03850||03853||03626||08663","03850||03853||03626",,,"36246","London","published",,,,,,,,,,,"2017-07-13T03:30:14Z","2021-02-15T02:05:50Z","true","13 p.","ECIT",,"publishedVersion",
"123737","20.500.11850/3","Hoogland, Frouke||Lehmann, Peter||Or, Dani",,,"2017-06-12T17:08:16Z","2017-06-12T17:08:16Z","2016-11",,,,,,"0043-1397||1944-7973",,"10.1002/2016WR019477","http://hdl.handle.net/20.500.11850/123770","en","Wiley",,,,,"Drainage dynamics controlled by corner flow: Application of the foam drainage equation","Journal Article","Metadata only",,,"2017-06-12T17:08:53Z",,"pub:186202",,"yes",,,,,,,,,,"imp593654f1deacd45527","010838393",,,"000393318600001","Water Resour. Res.","11","Water Resources Research","52","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812","Published online 3 November.","8412","8402","Malden","published",,,,,,,,,,,"2017-07-20T18:17:45Z","2021-02-14T14:47:33Z","true",,"ECIT",,,
"123243","20.500.11850/3","Hoogland, Frouke||Lehmann, Peter||Mokso, Rajmund||Or, Dani",,,"2017-06-12T16:50:29Z","2017-06-12T16:50:29Z","2016-11",,,,,,"0043-1397||1944-7973",,"10.1002/2016WR019299","http://hdl.handle.net/20.500.11850/123276","en","Wiley",,,,,"Drainage mechanisms in porous media: From piston-like invasion to formation of corner flow networks","Journal Article","Metadata only",,,"2017-06-12T16:53:33Z",,"pub:185657",,"yes",,,,,,,,,,"imp593654e9e2bf869345","000004612","84996615345",,"000393318600002","Water Resour. Res.","11","Water Resources Research","52","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812","Published online 3 November 2016.","8436","8413","Malden","published",,,,,,,,,,,"2017-07-26T05:58:07Z","2021-02-14T14:45:51Z","true",,"ECIT",,,
"415768","20.500.11850/4","Goldberg, Caren S.||Turner, Cameron R.||Deiner, Kristy||Klymus, Katy E.||Thomsen, Philip Francis||Murphy, Melanie A.||Spear, Stephen F.||McKee, Anna||Oyler‐McCance, Sara J.||Cornman, Robert Scott||Laramie, Matthew B.||Mahon, Andrew R.||Lance, Richard F.||Pilliod, David S.||Strickler, Katherine M.||Waits, Lisette P.||Fremier, Alexander K.||Takahara, Teruhiko||Herder, Jelger E.||Taberlet, Pierre",,,"2021-08-26T12:33:10Z","2021-08-26T10:09:04Z||2021-08-26T12:33:10Z","2016-11","2016-05-26","Species detection using environmental DNA (eDNA) has tremendous potential for contributing to the understanding of the ecology and conservation of aquatic species. Detecting species using eDNA methods, rather than directly sampling the organisms, can reduce impacts on sensitive species and increase the power of field surveys for rare and elusive species. The sensitivity of eDNA methods, however, requires a heightened awareness and attention to quality assurance and quality control protocols. Additionally, the interpretation of eDNA data demands careful consideration of multiple factors. As eDNA methods have grown in application, diverse approaches have been implemented to address these issues. With interest in eDNA continuing to expand, supportive guidelines for undertaking eDNA studies are greatly needed. Environmental DNA researchers from around the world have collaborated to produce this set of guidelines and considerations for implementing eDNA methods to detect aquatic macroorganisms. Critical considerations for study design include preventing contamination in the field and the laboratory, choosing appropriate sample analysis methods, validating assays, testing for sample inhibition and following minimum reporting guidelines. Critical considerations for inference include temporal and spatial processes, limits of correlation of eDNA with abundance, uncertainty of positive and negative results, and potential sources of allochthonous DNA. We present a synthesis of knowledge at this stage for application of this new and powerful detection method.","application/pdf","10.3929/ethz-b-000502281",,"2041-210X||2041-2096",,"10.1111/2041-210x.12595","http://hdl.handle.net/20.500.11850/502281","en","Wiley",,"Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","biodiversity||eDNA||invasive species||non-destructive sampling||quantitative PCR||reporting guidelines","Critical considerations for the application of environmental DNA methods to detect aquatic species","Review Article","Open access",,,"2021-08-26T10:09:10Z",,,,"no",,,,,,,,,,,,,,,"Methods Ecol. Evol.","11","Methods in Ecology and Evolution","7","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::09719 - Deiner, Kristy / Deiner, Kristy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::09719 - Deiner, Kristy / Deiner, Kristy","09719","09719",,"1307","1299","Oxford","published",,,,,,,,,,,"2021-08-26T12:33:18Z","2022-03-29T11:19:38Z","true",,"FORM",,"publishedVersion",
"118078","20.500.11850/3","Oswald, Kirsten||Milucka, Jana||Brand, Andreas||Hach, Philipp||Littmann, Sten||Wehrli, Bernhard||Kuypers, Marcel M.M.||Schubert, Carsten J.",,,"2017-06-12T08:41:17Z","2017-06-12T08:41:17Z","2016-11",,,,,,"0024-3590||1939-5590",,"10.1002/lno.10312","http://hdl.handle.net/20.500.11850/118111","en","American Society of Limnology and Oceanography",,,,,"Aerobic gammaproteobacterial methanotrophs mitigate methane emissions from oxic and anoxic lake waters","Journal Article","Metadata only",,,"2017-06-12T08:49:17Z",,"pub:180052",,"yes",,,,,,,,,,"imp593654867932724877","000004529","84976878170",,"000388560900009","Limnol. oceanogr.","S1","Limnology and Oceanography","61","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03328 - Wehrli, Bernhard (emeritus) / Wehrli, Bernhard (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03328 - Wehrli, Bernhard (emeritus) / Wehrli, Bernhard (emeritus)","03328","03328","Published online 21 June 2016.","S118","S101","Waco, TX","published",,,,,,,,,,,"2017-07-15T01:54:20Z","2023-02-06T13:26:22Z","true",,"ECIT",,,
