id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.dataCollector,dc.contributor.editor,dc.contributor.producer,dc.contributor.projectLeader,dc.contributor.projectMember,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.created,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.collected,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.description.methods,ethz.description.software,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.geolocation.placename,ethz.geolocation.pointlat,ethz.geolocation.pointlong,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isContinuedBy,ethz.relation.isNewVersionOf,ethz.relation.isOriginalFormOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isReferencedBy,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.relation.isVariantFormOf,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"278375","20.500.11850/3","König, Daniela||Miller, Lisa A.||Simpson, Kyle G.||Vagle, Svein",,,,,,,,"2019-01-30T15:05:15Z","2019-01-05T03:23:30Z||2019-01-30T15:05:15Z",,"2018-12-18",,"Controlled laboratory experiments have shed new light on the potential importance of brine rejection during sea-ice formation for carbon dioxide sequestration in the ocean. We grew ice in an experimental seawater tank (1 m3) under abiotic conditions at three different air temperatures (−40°C, −25°C, −15°C) to determine how different ice growth rates affect the allocation of carbon to ice, water, or air. Carbonate system parameters were determined by discrete sampling of ice cores and water, as well as continuous measurements by multiple sensors deployed mainly in the water phase. A budgetary approach revealed that of the initial total inorganic carbon (TIC) content of the water converted to ice, only 28–29% was located in the ice phase by the end of the experiments run at the warmest temperature, whereas for the coldest ambient temperature, 46–47% of the carbon remained in the ice. Exchange with air appeared to be negligible, with the majority of the TIC remaining in the under-ice water (53–72%). Along with a good correlation between salinity and TIC in the ice and water samples, these observations highlight the importance of brine drainage to TIC redistribution during ice formation. For experiments without mixing of the under-ice water, the sensor data further suggested stronger stratification, likely related to release of denser brine, and thus potentially larger carbon sequestration for ice grown at a colder temperature and faster growth rate.","application/pdf","10.3929/ethz-b-000313822",,"2296-6463",,"10.3389/feart.2018.00234","http://hdl.handle.net/20.500.11850/313822","en","Frontiers Media","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","sea ice||growth rates||CO2 system||brine drainage||tank experiment","Carbon Dynamics During the Formation of Sea Ice at Different Growth Rates","Journal Article","Open access",,,,"2019-01-05T03:23:31Z",,,,,,"yes",,,,,,,,,,,,,,,"000454157000002","Front. Earth Sci.",,"Frontiers in Earth Science","6","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","02721||03731","03731",,,"234","Lausanne","published",,,,,,,,,,,,,,,"2019-01-30T15:05:36Z","2022-03-28T22:11:53Z","true","14 p.","WOS",,,"publishedVersion",
"288413","20.500.11850/41","Gruber, Nicolas",,,,,,,,"2019-04-01T16:25:39Z","2019-01-29T15:00:49Z||2019-03-22T13:59:02Z||2019-04-01T16:25:39Z",,"2018-12-13",,,,,,,,,"http://hdl.handle.net/20.500.11850/321005","en",,,,,"Extreme events in ocean acidifcation","Presentation","Metadata only",,,,"2019-01-29T15:00:56Z",,,,,,"yes","ESRIN European Space Research Institute","December 13, 2018","Frascati, Italy",,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","03731","03731",,,,,"unpublished",,,,,,,,,,,,,,"false","2019-04-01T16:26:08Z","2019-04-01T16:26:08Z","true",,"FORM",,,,
"282933","20.500.11850/10","Schroth, Martin Herbert||Zhu, Biqing||Kübler, Manuel||Ridoli, Melanie",,,,,,,,"2019-02-26T10:25:01Z","2019-01-23T17:25:10Z||2019-02-26T10:25:01Z",,"2018-12-13",,,,,,,,,"http://hdl.handle.net/20.500.11850/319116","en","American Geophysical Union",,,,"Inventory of Methane Entrapped in Sediments of Calcareous, Alpine Glacier Forefields in Switzerland","Other Conference Item","Metadata only",,,,"2019-01-23T17:25:30Z",,,,,,"yes","AGU Fall Meeting 2018","December 10-14, 2018","Washington, DC, USA",,,,"Methane entrapped in calcareous proglacial soils: abundance, origin, and fate","153571","10.13039/501100001711","SNF","Projekte MINT",,,"https://agu.confex.com/agu/fm18/meetingapp.cgi/Paper/353820",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","03850","03850","Conference lecture on 13 December 2018",,"B41H-2822","s.l.","published",,,,,,,,,,,,,,,"2019-02-26T10:25:03Z","2022-03-28T22:22:08Z","true","1 p.","FORM",,,,
"282941","20.500.11850/10","Zhu, Biqing||Schroth, Martin Herbert",,,,,,,,"2019-02-26T10:32:25Z","2019-01-23T17:15:52Z||2019-02-26T10:32:25Z",,"2018-12-13",,,,,,,,,"http://hdl.handle.net/20.500.11850/319113","en","American Geophysical Union",,,,"Fate of Methane Entrapped in Calcareous Alpine Proglacial Soils Under Variable Environmental Conditions","Other Conference Item","Metadata only",,,,"2019-01-23T17:15:59Z",,,,,,"yes","AGU Fall Meeting 2018","December 10-14, 2018","Washington, DC, USA",,,,"Methane entrapped in calcareous proglacial soils: abundance, origin, and fate","153571","10.13039/501100001711","SNF","Projekte MINT",,,"https://agu.confex.com/agu/fm18/meetingapp.cgi/Paper/406567",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","03850","03850","Conference lecture on 13 December 2018",,"B43F-09","s.l.","published",,,,,,,,,,,,,,,"2019-02-26T10:32:28Z","2022-03-28T22:22:09Z","true","1 p.","FORM",,,,
"269161","20.500.11850/31","Winton, R. Scott||Calamita, Elisa||Wehrli, Bernhard",,,,,,,,"2018-12-13T15:05:53Z","2018-12-13T13:54:41Z||2018-12-13T15:05:53Z",,"2018-12-13","2018-12-13",,"text/csv||application/vnd.openxmlformats-officedocument.wordprocessingml.document","10.3929/ethz-b-000310656",,,,,"http://hdl.handle.net/20.500.11850/310656","en","ETH Zurich","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Physical data for the 54 most voluminous low latitude reservoirs","Dataset","Open access",,,,"2018-12-13T13:54:43Z",,"indefinite","292278994-08-17T07:12:55Z",,,"yes",,,,,,,"Use of a Decision-Analytic Framework to explore the water-energy-food NExus in complex and trans-boundary...","690268-2","10.13039/501100007352","SBFI","H2020",,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03328 - Wehrli, Bernhard (emeritus) / Wehrli, Bernhard (emeritus)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03328 - Wehrli, Bernhard (emeritus) / Wehrli, Bernhard (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03328 - Wehrli, Bernhard (emeritus) / Wehrli, Bernhard (emeritus)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03328 - Wehrli, Bernhard (emeritus) / Wehrli, Bernhard (emeritus)","02350||03328||03328","03328||03328",,,,"Zurich",,"10.3929/ethz-b-000476521",,,,,,,,,,,,,,"2018-12-13T15:06:11Z","2023-02-06T16:42:11Z","true","0.03 MB","FORM",,,,
"270067","20.500.11850/3","Schinkel, Lena||Bogdal, Christian||Canonica, Elia||Cariou, Ronan||Bleiner, Davide||McNeill, Kristopher||Heeb, Norbert V.",,,,,,,,"2018-12-18T16:49:09Z","2018-12-05T12:09:33Z||2018-12-18T16:47:32Z||2018-12-18T16:49:09Z",,"2018-12-11","2018-11-13",,,,,"2328-8930",,"10.1021/acs.estlett.8b00537","http://hdl.handle.net/20.500.11850/308898","en","American Chemical Society",,,,"Analysis of Medium-Chain and Long-Chain Chlorinated Paraffins: The Urgent Need for More Specific Analytical Standards","Journal Article","Metadata only",,,,"2018-12-05T12:09:36Z",,,,,,"yes",,,,,,,,,,,,,"85057527616",,"000453489400002","Env Sci Tech Lett","12","Environmental Science & Technology Letters","5","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02020 - Dep. Chemie und Angewandte Biowiss. / Dep. of Chemistry and Applied Biosc.::02516 - Inst. f. Chemie- und Bioingenieurwiss. / Inst. Chemical and Bioengineering::03402 - Hungerbühler, Konrad (emeritus) / Hungerbühler, Konrad (emeritus)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02020 - Dep. Chemie und Angewandte Biowiss. / Dep. of Chemistry and Applied Biosc.::02516 - Inst. f. Chemie- und Bioingenieurwiss. / Inst. Chemical and Bioengineering::03402 - Hungerbühler, Konrad (emeritus) / Hungerbühler, Konrad (emeritus)","03402||03850","03850||03402",,"717","708","Washington, DC","published",,,,,,,,,,,,,,,"2018-12-18T16:47:37Z","2021-02-15T03:06:12Z","true",,"FORM",,,,
"286313","20.500.11850/10","Gruber, Nicolas",,,,,,,,"2019-03-20T08:16:25Z","2019-01-29T14:56:35Z||2019-03-20T08:16:25Z",,"2018-12-08",,,,,,,,,"http://hdl.handle.net/20.500.11850/321001","en",,,,,"New observational constraints on the global ocean uptake of anthropogenic CO2","Other Conference Item","Metadata only",,,,"2019-01-29T14:56:38Z",,,,,,"yes","OCB Ocean Carbon Uptake in CMIP6 Models Synthesis and Intercomparison Workshop","December 8-9, 2018","Washington, DC",,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","03731","03731",,,,,"unpublished",,,,,,,,,,,,,,,"2019-03-20T08:16:28Z","2019-03-20T08:16:28Z","true",,"FORM",,,,
"268944","20.500.11850/3","Mehlhorn, Judith||Besold, Johannes||Lezama Pacheco, Juan S.||Gustafsson, Jon P.||Kretzschmar, Ruben||Planer-Friedrich, Britta",,,,,,,,"2018-12-12T15:23:57Z","2018-12-12T08:02:36Z||2018-12-12T15:23:57Z",,"2018-12-04","2018-09-10",,,,,"0013-936X||1520-5851",,"10.1021/acs.est.8b02668","http://hdl.handle.net/20.500.11850/310209","en","American Chemical Society",,,,"Copper Mobilization and Immobilization along an Organic Matter and Redox Gradient—Insights from a Mofette Site","Journal Article","Metadata only",,,,"2018-12-12T08:02:46Z",,,,,,"yes",,,,,,,,,,,,,"85053826354",,"000452693500005","Environ. Sci. Technol.","23","Environmental Science & Technology","52","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03541 - Kretzschmar, Ruben / Kretzschmar, Ruben","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03541 - Kretzschmar, Ruben / Kretzschmar, Ruben","03541","03541",,"13707","13698","Washington, DC","published",,,,,,,,,,,,,,,"2018-12-12T15:24:19Z","2023-02-06T16:41:53Z","true",,"FORM",,,,
"286236","20.500.11850/41","Sander, Michael",,,,,,,,"2019-03-19T14:42:44Z","2019-01-24T09:49:59Z||2019-03-19T14:42:44Z",,"2018-12-03",,,,,,,,,"http://hdl.handle.net/20.500.11850/319228","en",,,,,"Plasticulture going underground: on the biodegradation of synthetic polyesters in agricultural soils","Presentation","Metadata only",,,,"2019-01-24T09:50:05Z",,,,,,"yes","Uni Hohenheim, Soil Chemistry Seminar Series","December 3, 2018","Hohenheim, Germany",,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","03850","03850",,,,,"unpublished",,,,,,,,,,,,,,,"2019-03-19T14:42:48Z","2019-03-19T14:42:48Z","true",,"FORM",,,,
"285691","20.500.11850/10","Lehmann, Peter||Merlin, Olivier||Gentine, Pierre||Or, Dani",,,,,,,,"2019-03-15T13:19:28Z","2019-01-22T11:15:07Z||2019-03-15T13:19:28Z",,"2018-12",,,,,,,,,"http://hdl.handle.net/20.500.11850/318483","en","American Geophysical Union",,,,"Soil texture effects on surface resistance to bare soil evaporation","Other Conference Item","Metadata only",,,,"2019-01-22T11:15:13Z",,,,,,"yes","AGU Fall Meeting 2018","December 10-14, 2018","Washington, DC, USA",,,,,,,,,,,"https://agu.confex.com/agu/fm18/meetingapp.cgi/Paper/404964",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812","Conference lecture on 10 December 2018.",,"H11B-03","s.l.","published",,,,,,,,,,,,,,,"2019-03-15T13:19:32Z","2022-03-28T22:33:14Z","true","1 p.","FORM",,,,
