id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.dataCollector,dc.contributor.editor,dc.contributor.producer,dc.contributor.projectLeader,dc.contributor.projectManager,dc.contributor.projectMember,dc.contributor.researchGroup,dc.contributor.researcher,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.collected,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.description.methods,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.geolocation.placename,ethz.geolocation.pointlat,ethz.geolocation.pointlong,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isDerivedFrom,ethz.relation.isOriginalFormOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isReferencedBy,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.relation.isVariantFormOf,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"330812","20.500.11850/8","Romero-Ruiz, Alejandro||Linde, Niklas||Baron, Ludovic||Solazzi, Santiago G.||Keller, Thomas||Or, Dani",,,,,,,,,,,"2020-01-21T11:03:05Z","2020-01-15T09:57:07Z||2020-01-21T11:03:05Z","2019-12-11",,,,,,,,,"http://hdl.handle.net/20.500.11850/390673","en","American Geophysical Union",,,,"Seismic characterization of soil structure - field observations and modeling",,"Conference Paper","Metadata only",,,,"2020-01-15T09:57:14Z",,,,,"yes","AGU Fall Meeting 2019","December 9-13, 2019","San Francisco, CA, USA",,,,,,,,,,,"https://agu.confex.com/agu/fm19/meetingapp.cgi/Paper/516562",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812","Poster abstract. Poster presented on December 11, 2019.",,"NS31A-0767","s.l.","published",,,,,,,,,,,,,,"2020-01-21T11:03:15Z","2022-03-29T00:48:17Z","true","1 p.","FORM",,,,
"327618","20.500.11850/10","Ruiz, Siul||Bickel, Samuel||Lehmann, Peter||Or, Dani",,,,,,,,,,,"2020-01-09T10:16:02Z","2020-01-09T03:41:41Z||2020-01-09T10:16:02Z","2019-12-10",,,,,,,,,"http://hdl.handle.net/20.500.11850/388724","en","American Geophysical Union",,,,"Soil, Climatic and Biophysical Constraints Determine Global Distribution and Activity Windows of Earthworms",,"Other Conference Item","Metadata only",,,,"2020-01-09T03:41:50Z",,,,,"yes","AGU Fall Meeting 2019","December 9-13, 2019","San Francisco, CA, USA",,,,,,,,,,,"https://agu.confex.com/agu/fm19/meetingapp.cgi/Paper/575107",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812","Poster presented on December 10, 2019.",,"B21G-2424","s.l.","published",,,,,,,,,,,,,,"2020-01-09T10:16:14Z","2022-03-29T00:32:52Z","true","1 p.","FORM",,,,
"327847","20.500.11850/10","Gupta, Surya||Hengl, Tomislav||Lehmann, Peter||Bonetti, Sara||Papritz, Andreas Jürg||Or, Dani",,,,,,,,,,,"2020-01-10T08:26:10Z","2019-12-02T12:27:09Z||2019-12-03T12:55:36Z||2020-01-10T08:26:10Z","2019-12-10",,,,,,,,,"http://hdl.handle.net/20.500.11850/381965","en","American Geophysical Union",,,,"Global Mapping of Soil Saturated Hydraulic Conductivity - Combining Legacy Data, Spatial Covariates and Ensemble Machine Learning",,"Other Conference Item","Metadata only",,,,"2019-12-02T12:27:17Z",,,,,"yes","AGU Fall Meeting 2019","December 9-13, 2019","San Francisco, CA, USA",,,,,,,,,,,"https://agu.confex.com/agu/fm19/meetingapp.cgi/Paper/515456",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812","Conference lecture on December 10, 2019.",,"H21A-05","s.l.","published",,,,,,,,,,,,,,"2019-12-03T12:55:45Z","2022-03-29T00:33:08Z","true","1 p.","FORM",,,,
"327886","20.500.11850/3","Gregor, Luke||Lebehot, Alice||Kok, Schalk||Scheel Monteiro, Pedro M.",,,,,,,,,,,"2020-01-10T09:57:35Z","2020-01-10T09:57:35Z","2019-12-10",,"Over the last decade, advanced statistical inference and machine learning have been used to fill the gaps in sparse surface ocean CO2 measurements (Rödenbeck et al., 2015). The estimates from these methods have been used to constrain seasonal, interannual and decadal variability in sea–air CO2 fluxes and the drivers of these changes (Landschützer et al., 2015, 2016; Gregor et al., 2018). However, it is also becoming clear that these methods are converging towards a common bias and root mean square error (RMSE) boundary: “the wall”, which suggests that pCO2 estimates are now limited by both data gaps and scale-sensitive observations. Here, we analyse this problem by introducing a new gap-filling method, an ensemble average of six machine-learning models (CSIR-ML6 version 2019a, Council for Scientific and Industrial Research – Machine Learning ensemble with Six members), where each model is constructed with a two-step clustering-regression approach. The ensemble average is then statistically compared to well-established methods. The ensemble average, CSIR-ML6, has an RMSE of 17.16 µatm and bias of 0.89 µatm when compared to a test dataset kept separate from training procedures. However, when validating our estimates with independent datasets, we find that our method improves only incrementally on other gap-filling methods. We investigate the differences between the methods to understand the extent of the limitations of gap-filling estimates of pCO2. We show that disagreement between methods in the South Atlantic, southeastern Pacific and parts of the Southern Ocean is too large to interpret the interannual variability with confidence. We conclude that improvements in surface ocean pCO2 estimates will likely be incremental with the optimisation of gap-filling methods by (1) the inclusion of additional clustering and regression variables (e.g. eddy kinetic energy), (2) increasing the sampling resolution and (3) successfully incorporating pCO2 estimates from alternate platforms (e.g. floats, gliders) into existing machine-learning approaches.","application/pdf","10.3929/ethz-b-000387134",,"1991-9603||1991-959X","http://hdl.handle.net/20.500.11850/387134||http://hdl.handle.net/20.500.11850/389142","10.5194/gmd-12-5113-2019","http://hdl.handle.net/20.500.11850/389172","en","Copernicus","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"A comparative assessment of the uncertainties of global surface ocean CO2 estimates using a machine-learning ensemble (CSIR-ML6 version 2019a) - have we hit the wall?",,"Journal Article","Open access",,,,"2019-12-25T03:17:10Z",,,,,"yes",,,,,,,,,,,,,"85076558978",,"000502280600001","Geosci. model dev.","12","Geoscientific Model Development","12","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","03731","03731",,"5136","5113","Göttingen","published",,,,,,,,,,,,,,"2020-01-10T09:57:43Z","2023-02-06T18:10:18Z","true","24 p.; 14 p.","SCOPUS||FORM",,,"publishedVersion",
"328674","20.500.11850/16","Manfrin, Alessandro",,,,,,,,,,"McNeill, Kristopher||Janssen, Elisabeth||Gademann, Karl","2020-01-14T09:16:17Z","2020-01-13T15:32:31Z||2020-01-14T09:16:17Z","2019-12-06","2020-01-14",,"application/pdf","10.3929/ethz-b-000389902",,,,,"http://hdl.handle.net/20.500.11850/389902","en","ETH Zurich","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Photochemical Processes of Natural and Anthropogenic Contaminants Relevant to the Environment",,"Doctoral Thesis","Open access",,"DDC - DDC::5 - Science::540 - Chemistry",,"2020-01-13T15:32:39Z",,,,,"yes",,,,,,,,,,,,"26402",,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","03850","03850",,,,"Zurich","published",,,,,,,,,,,,,,"2020-01-14T09:16:31Z","2021-02-15T07:17:22Z","true","259 p.","FORM",,,,
"338518","20.500.11850/41","Sander, Michael",,,,,,,,,,,"2020-03-03T11:10:30Z","2020-01-20T16:32:39Z||2020-03-03T11:10:30Z","2019-12-04",,,,,,,,,"http://hdl.handle.net/20.500.11850/392341","en",,,,,"Polymers in the Underground: On the biodegradation of synthetic polyesters in soils",,"Presentation","Metadata only",,,,"2020-01-20T16:32:46Z",,,,,"yes","SFB Microplastic Seminar","December 4, 2019","Bayreuth, Germany",,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03850 - McNeill, Kristopher / McNeill, Kristopher","03850","03850","Invited presentation.",,,,"unpublished",,,,,,,,,,,,,,"2020-03-03T11:10:40Z","2021-02-15T08:29:10Z","true",,"FORM",,,,
"328524","20.500.11850/3","Thomas Arrigo, Laurel K.||Kaegi, Ralf||Kretzschmar, Ruben",,,,,,,,,,,"2020-01-13T15:41:52Z","2019-12-25T03:07:18Z||2020-01-13T15:41:52Z","2019-12-03","2019-11-13",,,,,"0013-936X||1520-5851",,"10.1021/acs.est.9b03952","http://hdl.handle.net/20.500.11850/387126","en","American Chemical Society",,,,"Ferrihydrite Growth and Transformation in the Presence of Ferrous Iron and Model Organic Ligands",,"Journal Article","Metadata only",,,,"2019-12-25T03:07:22Z",,,,,"yes",,,,,,,,,,,,,"85075160177",,"000500838900010","Environ. Sci. Technol.","23","Environmental Science & Technology","53","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03541 - Kretzschmar, Ruben / Kretzschmar, Ruben","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03541 - Kretzschmar, Ruben / Kretzschmar, Ruben","03541","03541",,"13647","13636","Washington, DC","published",,,,,,,,,,,,,,"2020-01-13T15:42:02Z","2023-02-06T18:10:53Z","true",,"WOS",,,,
"345880","20.500.11850/41","Gruber, Nicolas",,,,,,,,,,,"2020-04-30T09:44:29Z","2020-01-29T08:26:21Z||2020-03-03T08:10:44Z||2020-04-30T09:44:29Z","2019-12",,,,,,,,,"http://hdl.handle.net/20.500.11850/395219","en",,,,,"Faszination Ozean - Ein Einblick in unsere Forschung",,"Presentation","Metadata only",,,,"2020-01-29T08:26:28Z",,,,,"yes","Escher Top 100 (ETH Zürich)",,"Switzerland, Zurich",,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03731 - Gruber, Nicolas / Gruber, Nicolas","03731","03731",,,,,"unpublished",,,,,,,,,,,,,"true",,,,,"FORM",,,,
"304904","20.500.11850/3","Simmler, Michael||Christl, Iso||Kretzschmar, Ruben",,,,,,,,,,,"2019-08-13T14:54:25Z","2019-08-13T02:37:11Z||2019-08-13T14:53:57Z||2019-08-13T14:54:25Z","2019-12","2019-08-09",,,,,"0929-1393||1873-0272",,"10.1016/j.apsoil.2019.07.022","http://hdl.handle.net/20.500.11850/358047","en","Elsevier",,,"Arsenic||Metals||Pollution||Microbial diversity||16S rRNA||PICRUSt","Effect of extreme metal(loid) concentrations on prokaryotic community structure in floodplain soils contaminated with mine waste",,"Journal Article","Metadata only",,,,"2019-08-13T02:37:17Z",,,,,"yes",,,,,,,,,,,,,"85070235745",,"000485174500023","Appl. soil ecol.",,"Applied Soil Ecology","144","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03541 - Kretzschmar, Ruben / Kretzschmar, Ruben","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03541 - Kretzschmar, Ruben / Kretzschmar, Ruben","03541","03541",,"195","182","Amsterdam","published",,,,,,,,,,,,,,"2019-08-13T14:54:05Z","2021-02-15T05:35:47Z","true",,"SCOPUS",,,,
"332296","20.500.11850/3","Bonetti, Sara||Richter, Daniel D.||Porporato, Amilcare",,,,,,,,,,,"2020-01-27T13:40:23Z","2019-12-13T10:04:38Z||2019-12-13T10:54:58Z||2020-01-27T13:40:23Z","2019-12","2019-06-29",,,,,"0197-9337||1096-9837",,"10.1002/esp.4694","http://hdl.handle.net/20.500.11850/385347","en","Wiley",,,"Calhoun CZO||Hillslope morphology||Land degradation||Soil erosion||Topographic slope","The effect of accelerated soil erosion on hillslope morphology",,"Journal Article","Metadata only",,,,"2019-12-13T10:04:43Z",,,,,"yes",,,,,,,,,,,,,"85073923444",,"000500671000001","Earth Surf Process Landforms","15","Earth Surface Processes and Landforms","44","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02721 - Inst. f. Biogeochemie u. Schadstoffdyn. / Inst. Biogeochem. and Pollutant Dynamics::03812 - Or, Dani (emeritus) / Or, Dani (emeritus)","03812","03812",,"3019","3007","Chichester","published",,,,,,,,,,,,,,"2020-01-27T13:40:38Z","2022-03-29T00:51:25Z","true",,"WOS",,,,
