id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.pubmed,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.isReferencedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"264227","20.500.11850/3","Soleymani, Ali||Pennekamp, Frank||Petchey, Owen L.||Weibel, Robert",,,"2018-11-15T15:26:55Z","2017-06-12T18:04:18Z||2018-11-15T15:26:55Z","2015-12-17",,"Recent advances in tracking technologies such as GPS or video tracking systems describe the movement paths of individuals in unprecedented details and are increasingly used in different fields, including ecology. However, extracting information from raw movement data requires advanced analysis techniques, for instance to infer behaviors expressed during a certain period of the recorded trajectory, or gender or species identity in case data is obtained from remote tracking. In this paper, we address how different movement features affect the ability to automatically classify the species identity, using a dataset of unicellular microbes (i.e., ciliates). Previously, morphological attributes and simple movement metrics, such as speed, were used for classifying ciliate species. Here, we demonstrate that adding advanced movement features, in particular such based on discrete wavelet transform, to morphological features can improve classification. These results may have practical applications in automated monitoring of waste water facilities as well as environmental monitoring of aquatic systems.","application/pdf","10.3929/ethz-b-000125394",,"1932-6203",,"10.1371/journal.pone.0145345","http://hdl.handle.net/20.500.11850/125394","en","Public Library of Science","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Developing and Integrating Advanced Movement Features Improves Automated Classification of Ciliate Species","Journal Article","Open access",,,"2017-06-12T18:04:26Z",,"pub:187995",,"yes",,,,,,,,,,"imp5936550f6dea137999","010850889",,,,,"PLoS ONE","12","PLoS ONE","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,,"e0145345","Lawrence, KS, USA","published","10.1371/journal.pone.0148592",,"2017-07-26T06:10:41Z","2021-02-15T02:32:07Z","true","15 p.","ECIT",,"publishedVersion",
"232117","20.500.11850/3","La Fortezza, Marco||La Fortezza, Marco||Ciccarone, Fabio||Caiafa, Paola||Zampieri, Michele||Caserta, Micaela",,,"2018-04-23T13:49:45Z","2018-01-26T12:54:55Z||2018-04-23T13:49:45Z","2015-12-04",,"Poly(ADP-ribosyl)ation (PARylation) is a posttranslational protein modification catalyzed by members of the poly(ADP-ribose) polymerase (PARP) enzyme family. PARylation regulates a wide variety of biological processes in most eukaryotic cells including energy metabolism and cell death, maintenance of genomic stability, chromatin structure and transcription. Inside the nucleus, cross-talk between PARylation and other epigenetic modifications, such as DNA and histone methylation, was already described. In the present work, using PJ34 or ABT888 to inhibit PARP activity or over-expressing poly(ADP-ribose) glycohydrolase (PARG), we show decrease of global histone H3 and H4 acetylation. This effect is accompanied by a reduction of the steady state mRNA level of p300, Pcaf, and Tnfα, but not of Dnmt1. Chromatin immunoprecipitation (ChIP) analyses, performed at the level of the Transcription Start Site (TSS) of these four genes, reveal that changes in histone acetylation are specific for each promoter. Finally, we demonstrate an increase of global deacetylase activity in nuclear extracts from cells treated with PJ34, whereas global acetyltransferase activity is not affected, suggesting a role for PARP in the inhibition of histone deacetylases. Taken together, these results show an important link between PARylation and histone acetylation regulated transcription.","application/pdf","10.3929/ethz-b-000235228",,"1932-6203",,"10.1371/journal.pone.0144287","http://hdl.handle.net/20.500.11850/235228","en","Public Library of Science","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Poly(ADP-Ribosyl)ation Affects Histone Acetylation and Transcription","Journal Article","Open access",,,"2018-01-26T12:54:56Z",,,,"no",,,,,,,,,,,,,,,,"PLoS ONE","12","PLoS ONE","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03939 - Velicer, Gregory J. / Velicer, Gregory J.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03939 - Velicer, Gregory J. / Velicer, Gregory J.","03939","03939",,,"e0144287","San Francisco, CA","published",,,"2018-04-23T13:49:49Z","2023-02-06T15:26:07Z","true","14 p.","FORM",,"publishedVersion",
"299003","20.500.11850/3","Novitsky, Vlad||Kühnert, Denise||Moyo, Sikhulile||Widenfelt, Erik||Okui, Lillian||Essex, Max",,,"2019-06-27T12:38:03Z","2017-06-11T22:11:23Z||2019-06-27T12:38:03Z","2015-12",,"Southern Africa continues to be the epicenter of the HIV/AIDS epidemic. This HIV-1 subtype C epidemic has a predominantly heterosexual mode of virus transmission and high (>15%) HIV prevalence among adults. The epidemiological dynamics of the HIV-1C epidemic in southern Africa are still poorly understood. Here, we aim at a better understanding of HIV transmission dynamics by analyzing HIV-1 subtype C sequences from Mochudi, a peri-urban village in Botswana.  HIV-1C env gene sequences (gp120 V1C5) were obtained through enhanced household-based HIV testing and counseling in Mochudi. More than 1200 sequences were generated and phylogenetically distinct sub-epidemics within Mochudi identified. The Bayesian birth-death skyline plot was used to estimate the effective reproductive number, R, and the timing of virus transmission, to classify sub-epidemics as “acute” (those with recent viral transmissions) or “historic” (those without recent viral transmissions).  We identified two of the 15 sub-epidemics as “acute.” The median estimates of R among the clusters ranged from 0.72 to 1.77. The majority of HIV lineages, 11 out of 15 clusters with 5+ members, appear to have been introduced to Mochudi between 1996 and 2002. The median peak duration of viral transmissions was 7.1 years (range 2.9–9.7 years). The median life span of identified HIV sub-epidemics, i.e., the time between the inferred epidemic origin and its most recent sample, was 13.1 years (range 10.2–22.1 years). Most viral transmissions within the sub-epidemics occurred between 1997 and 2007. The time period during which infected people are infectious appears to have decreased since the introduction of the national ART program in Botswana.  Real-time HIV genotyping and breaking down local HIV epidemics into phylogenetically distinct sub-epidemics may help to reveal the structure and dynamics of HIV transmission networks in communities, and aid in the design of targeted interventions for members of the acute sub-epidemics that likely fuel local HIV/AIDS epidemics.","application/pdf","10.3929/ethz-b-000108846",,"1878-0067||1755-4365",,"10.1016/j.epidem.2015.07.002","http://hdl.handle.net/20.500.11850/108846","en","Elsevier","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","HIV-1 subtype C||V1C5 sequences||HIV sub-epidemics||Effective reproductive number R||Botswana","Phylodynamic analysis of HIV sub-epidemics in Mochudi, Botswana","Journal Article","Open access",,,"2017-06-11T22:12:03Z",,"pub:169863",,"yes",,,,,,,,,,"imp593653d6c053e79971","010242500",,"8494162294",,"000365890900006",,,"Epidemics","13","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02060 - Dep. Biosysteme / Dep. of Biosystems Science and Eng.::09490 - Stadler, Tanja / Stadler, Tanja||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02060 - Dep. Biosysteme / Dep. of Biosystems Science and Eng.::09490 - Stadler, Tanja / Stadler, Tanja||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian","09490||03584","09490||03584",,"55","44","Amsterdam","published",,,"2017-07-15T08:45:19Z","2019-06-27T12:38:13Z","true",,"ECIT",,"publishedVersion",
"108674","20.500.11850/5","Baltisberger, Matthias",,,"2017-06-11T22:05:24Z","2017-06-11T22:05:24Z","2015-12",,,,,,"0040-0262",,"10.12705/646.42","http://hdl.handle.net/20.500.11850/108707","en","IAPT",,,,"IAPT/IOPB chromosome data 20: Lamiaceae","Other Journal Item","Metadata only",,,"2017-06-11T22:05:30Z",,"pub:169717",,"yes",,,,,,,,,,"imp593653d40f4fc24519","003862159",,,,,"Taxon","6","Taxon","64","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","03706","03706",,"1345","1344","Vienna","published",,,"2017-07-19T09:47:13Z","2019-02-02T07:14:57Z","true",,"ECIT",,,
"264107","20.500.11850/3","Kost, Thomas D.||Gessler, Cesare||Jänsch, Melanie||Flachowsky, Henryk||Patocchi, Andrea||Broggini, Giovanni A.L.",,,"2018-11-15T10:04:28Z","2017-06-11T22:11:22Z||2018-11-15T10:04:28Z","2015-12-01",,"The generation and selection of novel fire blight resistant apple genotypes would greatly improve the management of this devastating disease, caused by Erwinia amylovora. Such resistant genotypes are currently developed by conventional breeding, but novel breeding technologies including cisgenesis could be an alternative approach. A cisgenic apple line C44.4.146 was regenerated using the cisgene FB_MR5 from wild apple Malus ×robusta 5 (Mr5), and the previously established method involving A. tumefaciens-mediated transformation of the fire blight susceptible cultivar ‘Gala Galaxy’ using the binary vector p9-Dao-FLPi. The line C44.4.146 was shown to carry only the cisgene FB_MR5, controlled by its native regulatory sequences and no transgenes were detected by PCR or Southern blot following heat induced recombinase-mediated elimination of the selectable markers. Although this line contains up to 452 bp of vector sequences, it still matches the original definition of cisgenesis. A single insertion of T-DNA into the genome of 'Gala Galaxy' in chromosome 16 was identified. Transcription of FB_MR5 in line C44.4.146 was similar to the transcription in classically bred descendants of Mr5. Three independent shoot inoculation experiments with a Mr5 avirulent strain of Erwinia amylovora were performed using scissors or syringe. Significantly lower disease symptoms were detected on shoots of the cisgenic line compared to those of untransformed 'Gala Galaxy'. Despite the fact that the pathogen can overcome this resistance by a single nucleotide mutation, this is, to our knowledge, the first prototype of a cisgenic apple with increased resistance to fire blight.","application/pdf","10.3929/ethz-b-000108845",,"1932-6203",,"10.1371/journal.pone.0143980","http://hdl.handle.net/20.500.11850/108845","en","Public Library of Science","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Development of the First Cisgenic Apple with Increased Resistance to Fire Blight","Journal Article","Open access",,,"2017-06-11T22:12:03Z",,"pub:169862",,"yes",,,,,,,,,,"imp593653d6bae0575812","006206116",,"84955559620",,"000365891600083","PLoS ONE","12","PLoS ONE","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03516","03516",,,"e0143980","San Francisco, CA, USA","published",,,"2017-07-26T05:10:05Z","2021-02-15T02:30:39Z","true","17 p.","ECIT",,"publishedVersion",
"110883","20.500.11850/3","Klementová, Barbora R.||Kment, Petr||Svitok, Marek",,,"2017-06-11T23:22:06Z","2017-06-11T23:22:06Z","2015-12",,,,,,,,"10.11646/zootaxa.4058.2.5","http://hdl.handle.net/20.500.11850/110916","en","Magnolia Press",,,"Diversity||Species richness||Inventory||Corixa panzeri||Sigara distincta||Notonecta lutea||Notonecta maculata||Microvelia buenoi","Checklist of water bugs (Hemiptera: Heteroptera: Nepomorpha, Gerromorpha) of Slovakia","Journal Article","Metadata only",,,"2017-06-11T23:22:47Z",,"pub:172212",,"no",,,,,,,,,,"imp593653fcc626822139","005743062",,,,,,"2","Zootaxa","4058","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"243","227","Auckland","published",,,"2017-07-19T09:50:49Z","2018-11-02T21:43:43Z","true",,"ECIT",,,
"111579","20.500.11850/3","Oliveira, Samanta C. de||Castroagudín, Vanina L.||Nunes Maciel, João L.||dos Santos Pereira, Danilo A.||Ceresini, Paulo Cezar",,,"2017-06-11T23:40:32Z","2017-06-11T23:40:32Z","2015-12",,,,,,"0100-5405||1980-5454",,"10.1590/0100-5405/2072","http://hdl.handle.net/20.500.11850/111612","pt","Grupo Paulista de Fitopatologia",,,"Strobilurin||Cytochrome b||Quinone oxidoreductase inhibitors||EC50||Triticum aestivum||<br/>||Estrobilurina||Citocromo b||Inibidores de quinona oxidase||EC50||Triticum aestivum","Cross-resistance to QoI fungicides azoxystrobin and pyraclostrobin in the wheat blast pathogen Pyricularia oryzae in Brazil","Journal Article","Metadata only",,,"2017-06-11T23:40:59Z",,"pub:173058",,"no",,,,,,,,,,"imp59365408795d650892","000007627",,,,,"Summa Phytopathol.","4","Summa Phytopathologica","41","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03516","03516",,"304","298","São Paul","published",,,"2017-07-13T07:52:49Z","2021-02-14T13:54:06Z","true",,"ECIT",,,
"321252","20.500.11850/3","Letourneau, Deborah K.||Ando, Amy W.||Jedlicka, Julie A.||Narwani, Anita||Barbier, Edward",,,"2019-11-27T09:05:39Z","2017-06-11T23:22:08Z||2019-11-27T09:05:39Z","2015-12","2015-11-11",,,,,"0921-8009",,"10.1016/j.ecolecon.2015.10.015","http://hdl.handle.net/20.500.11850/110918","en","Elsevier",,,"Species richness||Functional diversity||Ecosystem services||Economic valuation||Natural enemy||Sustainable agriculture","Simple-but-sound methods for estimating the value of changes in biodiversity for biological pest control in agriculture","Journal Article","Metadata only",,,"2017-06-11T23:22:47Z",,"pub:172215",,"yes",,,,,,,,,,"imp593653fcd765f47606","000538256",,,,,,,"Ecological Economics","120","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"225","215","Oxford","published",,,"2017-07-13T07:00:29Z","2019-11-27T09:05:50Z","true",,"ECIT",,,
"107845","20.500.11850/3","Vaz, Pedro G.||Merten, Eric C.||Warren, Dana R.||Durscher, Kelsie||Tapp, Megan||Robinson, Christopher T.||Rego, Francisco C.||Pinto, Paulo",,,"2017-06-11T21:38:55Z","2017-06-11T21:38:55Z","2015-12",,,,,,,,"10.1086/684095","http://hdl.handle.net/20.500.11850/107878","en","University of Chicago Press",,,"Large woody debris||Disturbance||Stream restoration||Forest management||Eucalyptus||Cork oak||Maritime pine||Macroinvertebrates||Community structure","Fire meets inland water via burned wood: and then what?","Journal Article","Metadata only",,,"2017-06-11T21:39:25Z",,"pub:168636",,"yes",,,,,,,,,,"imp593653c42db4651455","007200910",,"84953742633",,"000364815000022",,"4","Freshwater Science","34","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705","Published online 23 September 2015.","1481","1468","Chicago, IL","published",,,"2017-07-15T09:44:53Z","2022-03-28T14:21:18Z","true",,"ECIT",,,
"109628","20.500.11850/3","Louhi, Katja-Riikka||Sundberg, Lotta-Riina||Jokela, Jukka||Karvonen, Anssi",,,"2017-06-11T22:46:09Z","2017-06-11T22:46:09Z","2015-12",,,,,,"0080-4649||0950-1193||1471-2954||0962-8452",,"10.1098/rspb.2015.2097","http://hdl.handle.net/20.500.11850/109661","en","The Royal Society",,,"Concomitant infection||Diplostomum pseudospathaceum||Epidemiology||Facilitation||Flavobacterium columnare||Multiple infection","Interactions among bacterial strains and fluke genotypes shape virulence of co-infection","Journal Article","Metadata only",,,"2017-06-11T22:46:28Z",,"pub:170780",,"yes",,,,,,,,,,"imp593653e68bad946304","000557240",,"84951787987",,"000368096900021","Proc R Soc Lond B Biol Sci","1821","Proceedings of the Royal Society B: Biological Sciences","282","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,,"20152097","London","published",,,"2017-07-19T08:39:53Z","2023-02-06T13:10:51Z","true","8 p.","ECIT",,,
