id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.other,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.orcidWorkCode,ethz.identifier.scopus,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit
"199463","20.500.11850/3","Castroagudín, Vanina L.||Moreira, Silvino I.||Pereira, Danilo A.S.||Moreira, Sávia S.||Brunner, Patrick C.||Maciel, João L.N.||Crous, Pedro W.||McDonald, Bruce A.||Alves, Eduardo||Ceresini, Paulo Cezar",,,,"2017-12-01T09:51:32Z","2017-11-30T12:28:13Z||2017-11-30T15:16:31Z||2017-06-12T13:47:10Z||2017-12-01T09:51:32Z","2016-12-28","2016-06-24","Pyricularia oryzae is a species complex that causes blast disease on more than 50 species of poaceous plants. Pyricularia oryzae has a worldwide distribution as a rice pathogen and in the last 30 years emerged as an important wheat pathogen in southern Brazil. We conducted phylogenetic analyses using 10 housekeeping loci for 128 isolates of P. oryzae sampled from sympatric populations of wheat, rice, and grasses growing in or near wheat fields. Phylogenetic analyses grouped the isolates into three major clades. Clade 1 comprised isolates associated only with rice and corresponds to the previously described rice blast pathogen P. oryzae pathotype Oryza (PoO). Clade 2 comprised isolates associated almost exclusively with wheat and corresponds to the previously described wheat blast pathogen P. oryzae pathotype Triticum (PoT). Clade 3 contained isolates obtained from wheat as well as other Poaceae hosts. We found that Clade 3 is distinct from P. oryzae and represents a new species, Pyricularia graminis-tritici (Pgt). No morphological differences were observed among these species, but a distinctive pathogenicity spectrum was observed. Pgt and PoT were pathogenic and highly aggressive on Triticum aestivum (wheat), Hordeum vulgare (barley), Urochloa brizantha (signal grass), and Avena sativa (oats). PoO was highly virulent on the original rice host (Oryza sativa), and also on wheat, barley, and oats, but not on signal grass. We conclude that blast disease on wheat and its associated Poaceae hosts in Brazil is caused by multiple Pyricularia species. Pyricularia graminis-tritici was recently found causing wheat blast in Bangladesh. This indicates that P. graminis-tritici represents a serious threat to wheat cultivation globally.","application/pdf","10.3929/ethz-b-000216111",,,"http://hdl.handle.net/20.500.11850/121273||http://hdl.handle.net/20.500.11850/215736","10.3767/003158516x692149","http://hdl.handle.net/20.500.11850/216111","en","Naturalis Biodiversity Center","Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported","http://creativecommons.org/licenses/by-nc-nd/3.0/","Triticum aestivum||Cryptic species||Host adaptation||Phylogenetics||Systematics","Pyricularia graminis-tritici, a new Pyricularia species causing wheat blast",,"Journal Article","Open access",,,"2017-06-12T13:54:25Z",,"pub:183367",,"yes",,,,,,,,,,"imp593654c3a48bf43803","010636982",,"85009822926","000391598000010",,,"Persoonia - Molecular Phylogeny and Evolution of Fungi","37","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03516||03516","03516||03516",,"216","199","Leiden","published",,,,"2017-12-01T09:45:33Z","2021-02-14T21:01:34Z","true",,"FORM||ECIT",,,"publishedVersion"
"464601","20.500.11850/3","Narwani, Anita||Lashaway, Aubrey R.||Hietala, David C.||Savage, Phillip E.||Cardinale, Bradley J.",,,,"2022-08-24T13:33:13Z","2017-06-12T18:04:14Z||2022-08-24T13:33:13Z","2016-12-06","2016-11-09","Algae-derived biocrude oil is a possible renewable energy alternative to fossil fuel based crude oil. Outdoor cultivation in raceway ponds is estimated to provide a better return on energy invested than closed photobioreactor systems. However, in these open systems, algal crops are subjected to environmental variation in temperature and irradiance, as well as biotic invasions which can cause costly crop instabilities. In this paper, we used an experimental approach to investigate the ability of species richness to maximize and stabilize biocrude production in the face of weekly temperature fluctuations between 17 and 27 °C, relative to a constant-temperature control. We hypothesized that species richness would lead to higher mean biocrude production and greater stability of biocrude production over time in the variable temperature environment. Counter to our hypothesis, species richness tended to cause a decline in mean biocrude production, regardless of environmental temperature variation. However, biodiversity did have stabilizing effects on biocrude production over time in the variable temperature environment and not in the constant temperature environment. Altogether, our results suggest that when the most productive and stable monoculture is unknown, inoculating raceway ponds with a diverse mixture of algae will tend to ensure stable harvests over time.","application/pdf","10.3929/ethz-b-000125388",,"0013-936X||1520-5851",,"10.1021/acs.est.6b03256","http://hdl.handle.net/20.500.11850/125388","en","American Chemical Society","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Power of Plankton: Effects of Algal Biodiversity on Biocrude Production and Stability",,"Journal Article","Open access",,,"2017-06-12T18:04:26Z",,"pub:187988",,"no",,,,,,,,,,"imp5936550f4c69940582",,,,,"Environ. Sci. Technol.","23","Environmental Science & Technology","50","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"13150","13142","Washington, DC","published",,,,"2017-07-26T06:19:06Z","2023-02-07T05:36:31Z","true",,"ECIT",,,"publishedVersion"
"124768","20.500.11850/3","Birtel, Julia||Matthews, Blake",,,,"2017-06-12T17:46:38Z","2017-06-12T17:46:38Z","2016-12",,,,,,"0012-9658||1939-9170",,"10.1002/ecy.1612","http://hdl.handle.net/20.500.11850/124801","en","Wiley",,,"Bacteria||Community assembly||Consumers||Daphnia||Metacommunities||Phylogenetic diversity||Phytoplankton","Grazers structure the bacterial and algal diversity of aquatic metacommunities",,"Journal Article","Metadata only",,,"2017-06-12T17:46:52Z",,"pub:187341",,"yes",,,,,,,,,,"imp593655049499c86583","000000129",,,"000389444800024","Ecol.","12","Ecology","97","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"3484","3472","Hoboken, NJ","published",,,,"2017-07-15T01:49:19Z","2020-02-14T17:42:23Z","true",,"ECIT",,,
"125343","20.500.11850/3","Gounand, Isabelle||Kéfi, Sonia||Mouquet, Nicolas||Gravel, Dominique",,,,"2017-06-12T18:04:06Z","2017-06-12T18:04:06Z","2016-12",,,,,,"1874-1746||1874-1738",,"10.1007/s12080-016-0299-7","http://hdl.handle.net/20.500.11850/125376","en","Springer",,,"Community assembly||Consumer–resource interactions||Bioenergetic model||Temperature||Size spectrum||Body mass||Metabolic theory of ecology","Trait selection during food web assembly: The roles of interactions and temperature",,"Journal Article","Metadata only",,,"2017-06-12T18:04:26Z",,"pub:187972",,"no",,,,,,,,,,"imp5936550f070ea31111","006388683",,,,,"4","Theoretical Ecology","9","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705","Published online 11 April 2016.","429","417","Dordrecht","published",,,,"2017-07-19T09:54:06Z","2018-11-03T01:18:41Z","true",,"ECIT",,,
"125352","20.500.11850/3","Salo, Tiina||Gustafsson, Camilla",,,,"2017-06-12T18:04:12Z","2017-06-12T18:04:12Z","2016-12",,,,,,"1432-9840||1435-0629",,"10.1007/s10021-016-0014-y","http://hdl.handle.net/20.500.11850/125385","en","Springer",,,"Allelic richness||Eelgrass||Genotypic diversity||Saltmarsh||SAV||Seagrass||Environmental stress||Wetland","The Effect of Genetic Diversity on Ecosystem Functioning in Vegetated Coastal Ecosystems",,"Journal Article","Metadata only",,,"2017-06-12T18:04:26Z",,"pub:187984",,"yes",,,,,,,,,,"imp5936550f3af0173935","001907184",,,,,"8","Ecosystems","19","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705","Published online 6 July 2016.","1444","1429","New York, NY","published",,,,"2017-07-26T06:37:05Z","2020-02-14T17:45:23Z","true",,"ECIT",,,
"123642","20.500.11850/3","Tellenbach, Christoph||Tardent, Nadine||Pomati, Francesco||Keller, Barbara C.||Hairston, Nelson G.||Wolinska, Justyna||Spaak, Piet",,,,"2017-06-12T17:05:21Z","2017-06-12T17:05:21Z","2016-12",,,,,,"0012-9658||1939-9170",,"10.1002/ecy.1576","http://hdl.handle.net/20.500.11850/123675","en","Wiley",,,"Caullerya mesnili||Epidemiology||Host-parasite interactions||Time series analysis||Toxins||Zooplankton","Cyanobacteria facilitate parasite epidemics in Daphnia",,"Journal Article","Metadata only",,,"2017-06-12T17:05:57Z",,"pub:186101",,"yes",,,,,,,,,,"imp593654f044c3879492","000000129",,"85000460261","000389444800019","Ecol.","12","Ecology","97","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705","Published online 2 December 2016.","3432","3422","Hoboken, NJ","published",,,,"2017-08-01T16:09:36Z","2020-02-14T17:35:43Z","true",,"ECIT",,,
"125551","20.500.11850/5","Schuurman, Derek||Razakamanarina, Ndranto||Hassold, Sonja||Zahner, Luke V.",,,,"2017-06-12T18:09:51Z","2017-06-12T18:09:51Z","2016-12",,,,,,"1662-2510",,"10.4314/mcd.v11i2.8","http://hdl.handle.net/20.500.11850/125584","en","Jane Goodall Institute Switzerland",,,,"Madagascar's rosewood stocks - which way to go? Interview",,"Other Journal Item","Metadata only",,,"2017-06-12T18:10:03Z",,"pub:188198",,"yes",,,,,,,,,,"imp593655129c7d924844",,,,,,"2","Madagascar Conservation & Development","11","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","03706","03706",,"99","96","Zurich","published",,,,"2017-07-13T11:19:28Z","2018-11-03T01:21:47Z","true",,"ECIT",,,
"125358","20.500.11850/3","De Laender, Frederik||Rohr, Jason R.||Ashauer, Roman||Baird, Donald J.||Berger, Uta||Eisenhauer, Nico||Grimm, Volker||Hommen, Udo||Maltby, Lorraine||Meliàn, Carlos J.||Pomati, Francesco||Roessink, Ivo||Radchuk, Viktoriia||Van den Brink, Paul J.",,,,"2017-06-12T18:04:16Z","2017-06-12T18:04:16Z","2016-12",,,,,,"0169-5347||1872-8383",,"10.1016/j.tree.2016.09.007","http://hdl.handle.net/20.500.11850/125391","en","Cell Press",,,"Biodiversity||Richness||Environmental change||Traits||Modeling||Food webs","Reintroducing Environmental Change Drivers in Biodiversity–Ecosystem Functioning Research",,"Journal Article","Metadata only",,,"2017-06-12T18:04:26Z",,"pub:187991",,"no",,,,,,,,,,"imp5936550f5d1ad87056","000036164",,,,"Trends Ecol Evol","12","Trends in Ecology & Evolution","31","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705","Published online 11 October 2016. Published online by Elsevier.","915","905","London","published",,,,"2017-07-24T09:46:06Z","2018-11-03T01:19:02Z","true",,"ECIT",,,
"124720","20.500.11850/3","Seppälä, Otto||Jokela, Jukka",,,,"2017-06-12T17:46:12Z","2017-06-12T17:46:12Z","2016-12",,,,,,,,"10.1016/j.pt.2016.08.010","http://hdl.handle.net/20.500.11850/124753","en","Elsevier Science",,,,"Do Coinfections Maintain Genetic Variation in Parasites?",,"Journal Article","Metadata only",,,"2017-06-12T17:46:52Z",,"pub:187287",,"yes",,,,,,,,,,"imp59365503c62ad82800","004067504",,,"000389733400006",,"12","Trends in Parasitology","32","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705","Published online 7 September 2016.","938","930","Oxford","published",,,,"2017-07-19T11:25:42Z","2021-02-14T14:49:56Z","true",,"ECIT",,,
"122174","20.500.11850/3","McDonald, Bruce A.||Stukenbrock, Eva H.",,,,"2017-06-12T15:17:11Z","2017-06-12T15:17:11Z","2016-12",,,,,,"0962-8436||1471-2970||0080-4622",,"10.1098/rstb.2016.0026","http://hdl.handle.net/20.500.11850/122207","en","Royal Society of London",,,"Agricultural ecosystems||Dynamic diversity||Fungal pathogens||Pathogen emergence||Pathogen evolution||Population genetics","Rapid emergence of pathogens in agro-ecosystems: Global threats to agricultural sustainability and food security",,"Journal Article","Metadata only",,,"2017-06-12T15:20:40Z",,"pub:184492",,"yes",,,,,,,,,,"imp593654d65762f47403","000558205",,"84992445975","000388923900016","Phil. Trans. R. Soc. B","1709","Philosophical Transactions of the Royal Society B: Biological Sciences","371","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03516","03516","Published online 24 October 2016.",,"20160026","London","published",,,,"2017-07-13T05:59:48Z","2022-03-28T15:15:23Z","true","9 p.","ECIT",,,
