id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.orcidWorkCode,ethz.identifier.pubmed,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.isCompiledBy,ethz.relation.isReferencedBy,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.version.deposit,ethz.version.edition
"193336","20.500.11850/4","Stapley, Jessica||Feulner, Philine G.D.||Johnston, Susan E.||Santure, Anna W.||Smadja, Carole M.",,,"2017-11-10T10:09:44Z","2017-11-09T15:01:16Z||2017-11-10T10:09:44Z","2017-12-19","2017-11-06","Recombination, the exchange of DNA between maternal and paternal chromosomes during meiosis, is an essential feature of sexual reproduction in nearly all multicellular organisms. While the role of recombination in the evolution of sex has received theoretical and empirical attention, less is known about how recombination rate itself evolves and what influence this has on evolutionary processes within sexually reproducing organisms. Here, we explore the patterns of, and processes governing recombination in eukaryotes. We summarize patterns of variation, integrating current knowledge with an analysis of linkage map data in 353 organisms. We then discuss proximate and ultimate processes governing recombination rate variation and consider how these influence evolutionary processes. Genome-wide recombination rates (cM/Mb) can vary more than tenfold across eukaryotes, and there is large variation in the distribution of recombination events across closely related taxa, populations and individuals. We discuss how variation in rate and distribution relates to genome architecture, genetic and epigenetic mechanisms, sex, environmental perturbations and variable selective pressures. There has been great progress in determining the molecular mechanisms governing recombination, and with the continued development of new modelling and empirical approaches, there is now also great opportunity to further our understanding of how and why recombination rate varies.","application/pdf","10.3929/ethz-b-000206765",,"0962-8436||1471-2970||0080-4622",,"10.1098/rstb.2016.0455","http://hdl.handle.net/20.500.11850/206765","en","The Royal Society","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Crossing over||Meiosis||Genetic linkage||Evolution||Adaptation||Genomic architecture","Variation in recombination frequency and distribution across eukaryotes: patterns and processes","Review Article","Open access",,"DDC - DDC::5 - Science::570 - Life sciences","2017-11-09T15:01:17Z",,,,"yes",,,,,,,,,,,,,,"85034070949",,"000414521900001","Phil. Trans. R. Soc. B","1736","Philosophical Transactions of the Royal Society B: Biological Sciences","372","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","03706","03706",,,"20160455","London","published",,,,,"2017-11-10T10:09:56Z","2022-03-28T18:02:27Z","true","18 p.","FORM","publishedVersion",
"206685","20.500.11850/3","Desnoues, Elsa||Ferreira de Carvalho, Julie||Zohner, Constantin M.||Crowther, Thomas W.",,,"2018-01-04T14:27:54Z","2018-01-03T02:31:29Z||2018-01-04T14:27:54Z","2017-12-12","2017-12-12","Background Leaf out times of temperate forest trees are a prominent determinant of global carbon dynamics throughout the year. Abiotic cues of leaf emergence are well studied but investigation of the relative roles of shared evolutionary history (phylogeny) and local adaptation to climate in determining the species-level responses to these cues is needed to better apprehend the effect of global change on leaf emergence. We explored the relative importance of phylogeny and climate in determining the innate leaf out phenology across the temperate biome.  Methods We used an extensive dataset of leaf-out dates of 1126 temperate woody species grown in eight Northern Hemisphere common gardens. For these species, information on the native climate and phylogenetic position was collected. Using linear regression analyses, we examine the relative effect of climate variables and phylogeny on leaf out variation among species.  Results Climate variables explained twice as much variation in leaf out timing as phylogenetic information, a process that was driven primarily by the complex interactive effects of multiple climate variables. Although the primary climate factors explaining species-level variation in leaf-out timing varied drastically across different families, our analyses reveal that local adaptation plays a stronger role than common evolutionary history in determining tree phenology across the temperate biome.  Conclusions In the long-term, the direct effects of physiological adaptation to abiotic effects of climate change on forest phenology are likely to outweigh the indirect effects mediated through changes in tree species composition.","application/pdf","10.3929/ethz-b-000224970",,,,"10.1186/s40663-017-0113-z","http://hdl.handle.net/20.500.11850/224970","en","Springer","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Leaf emergence||Temperate tree species||Phylogeny||Climate||Carbon cycling","The relative roles of local climate adaptation and phylogeny in determining leaf-out timing of temperate tree species","Journal Article","Open access",,,"2018-01-03T02:32:01Z",,,,"yes",,,,,,,,,,,,,,,,"000417753700001",,,"FOREST ECOSYSTEMS","4","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","09625","09625",,,"26","Berlin","published",,,,,"2018-01-04T14:27:57Z","2021-02-14T21:38:24Z","true","7 p.","WOS","publishedVersion",
"198932","20.500.11850/3","Potgieter, Luke J.||Gaertner, Mirijam||Kueffer, Christoph||Larson, Brendon M.H.||Livingstone, Stuart W.||O’Farrell, Patrick J.||Richardson, David M.",,,"2017-11-29T14:28:12Z","2017-10-30T03:31:41Z||2017-11-29T14:28:12Z","2017-12","2017-10-23",,,,,"1387-3547||1573-1464",,"10.1007/s10530-017-1589-8","http://hdl.handle.net/20.500.11850/202053","en","Springer",,,"Ailanthus altissima||Biological invasions||Developed and developing countries||Human health||Planning and management||Plant invasions||Tree invasions||Urbanisation||Urban ecosystems","Alien plants as mediators of ecosystem services and disservices in urban systems: a global review","Journal Article","Metadata only",,,"2017-10-30T03:31:43Z",,,,"yes",,,,,,,,,,,,,,"85031904578",,"000415814600009",,"12","Biological Invasions","19","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander",,"03706",,,"3588","3571","Dordrecht","published",,,,,"2017-11-29T14:28:15Z","2018-12-02T08:25:07Z","true",,"SCOPUS",,
"241309","20.500.11850/3","Lustenhouwer, Nicky||Moran, Emily V.||Levine, Jonathan M.",,,"2018-06-27T13:29:56Z","2017-10-31T12:56:33Z||2017-11-04T13:50:37Z||2018-06-27T13:29:56Z","2017-12","2017-10-20",,,,,"1466-822X||1466-8238",,"10.1111/geb.12662","http://hdl.handle.net/20.500.11850/202870","en","Wiley-Blackwell",,,,"Trait correlations equalize spread velocity across plant life histories","Journal Article","Metadata only",,,"2017-10-31T12:56:36Z",,,,"yes",,,,,,,,,,,,,,"85031750868",,"000418285700004","Glob. Ecol. Biogeogr.","12","Global Ecology and Biogeography","26","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03909 - Levine, Jonathan M. (ehemalig) / Levine, Jonathan M. (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03909 - Levine, Jonathan M. (ehemalig) / Levine, Jonathan M. (former)","03909","03909",,"1407","1398","Oxford","published",,,,,"2018-06-27T13:30:05Z","2021-02-15T00:33:18Z","true",,"BATCH",,
"204925","20.500.11850/3","Uecker, Hildegard||Bonhoeffer, Sebastian",,,"2017-12-20T10:55:15Z","2017-10-31T03:33:12Z||2017-12-20T10:55:15Z","2017-12","2017-09-28",,,,,"0025-5564||1879-3134",,"10.1016/j.mbs.2017.09.002","http://hdl.handle.net/20.500.11850/202513","en","Elsevier",,,"Antibiotic resistance||Hospital-acquired infections||Antimicrobial stewardship||Epidemic model","Modeling antimicrobial cycling and mixing: Differences arising from an individual-based versus a population-based perspective","Journal Article","Metadata only",,,"2017-10-31T03:33:16Z",,,,"yes",,,,,,,,,,,,,,"85032016759",,"000419414200008","Math Biosci",,"Mathematical Biosciences","294","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian","03584||03584","03584||03584",,"91","85","Amsterdam","published",,,,,"2017-12-20T10:55:17Z","2018-11-06T05:55:32Z","true",,"SCOPUS",,
"213688","20.500.11850/4","Kueffer, Christoph||Kinney, Kealohanuiopuna",,,"2018-01-24T14:01:09Z","2017-12-13T05:26:56Z||2018-01-24T14:01:09Z","2017-12","2017-11-24",,,,,"0376-8929||1469-4387",,"10.1017/S0376892917000479","http://hdl.handle.net/20.500.11850/220360","en","Cambridge University Press",,,"oceanic island||biocultural||biodiversity||sustainability||model system||networks||conservation||heritage||social innovation||insularity","What is the importance of islands to environmental conservation?","Review Article","Metadata only",,,"2017-12-13T05:26:58Z",,,,"yes",,,,,,,,,,,,,,,,"000416408300001","Environ. Conserv.","4","Environmental Conservation","44","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander",,"03706",,,"322","311","Cambridge","published",,,,,"2018-01-24T14:01:12Z","2022-03-28T18:59:28Z","true",,"WOS",,
"217801","20.500.11850/3","Gienapp, Phillip||Fior, Simone||Guillaume, Frédéric||Lasky, Jesse R.||Sork, Victoria L.||Csilléry, Katalin",,,"2018-02-05T12:23:27Z","2017-11-30T07:24:53Z||2017-12-15T15:10:29Z||2018-02-05T12:23:27Z","2017-12",,,,,,"0169-5347||1872-8383",,"10.1016/j.tree.2017.09.004","http://hdl.handle.net/20.500.11850/215445","en","Cell Press",,,,"Genomic Quantitative Genetics to Study Evolution in the Wild","Journal Article","Metadata only",,,"2017-11-30T07:24:56Z",,,,"yes",,,,,,,,,,,,,,"85031494915",,"000415306100010","Trends Ecol Evol","12","Trends in Ecology & Evolution","32","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","03706","03706",,"908","897","London","published",,,,,"2017-12-15T15:10:31Z","2022-03-28T19:07:03Z","true",,"FORM",,
"394261","20.500.11850/3","Freitas, Ana R.||Elghaieb, Houyem||Leon-Sampedro, Ricardo||Abbassi, Mohamed Salah||Novais, Carla||Coque, Teresa M.||Hassen, Abdennaceur||Peixe, Luísa",,,"2021-03-11T15:40:58Z","2021-03-08T16:04:54Z||2021-03-11T15:40:58Z","2017-12","2017-09-26","Objectives Oxazolidinone resistance is a serious limitation in the treatment of MDR Enterococcus infections. Plasmid-mediated oxazolidinone resistance has been strongly linked to animals where the use of phenicols might co-select resistance to both antibiotic families. Our goal was to assess the diversity of genes conferring phenicol/oxazolidinone resistance among diverse enterococci and to characterize the optrA genetic environment.  Methods Chloramphenicol-resistant isolates (>16 mg/L, n = 245) from different sources (hospitals/healthy humans/wastewaters/animals) in Portugal, Angola and Tunisia (1996–2016) were selected. Phenicol (eight cat variants, fexA, fexB) or phenicol + oxazolidinone [cfr, cfr(B), optrA] resistance genes were searched for by PCR. Susceptibility (disc diffusion/microdilution), filter mating, stability of antibiotic resistance (500 bacterial generations), plasmid typing (S1-PFGE/hybridization), MLST and WGS (Illumina-HiSeq) were performed for optrA-positive isolates.  Results Resistance to phenicols (n = 181, 74%) and phenicols + oxazolidinones (n = 2, 1%) was associated with the presence of cat(A-8) (40%, predominant in hospitals and swine), cat(A-7) (29%, predominant in poultry and healthy humans), cat(A-9) (2%), fexB (2%) and fexA + optrA (1%). fexA and optrA genes were co-located in a transferable plasmid (pAF379, 72 918 bp) of two ST86 MDR Tunisian Enterococcus faecalis (wastewaters) carrying several putative virulence genes. MICs of chloramphenicol, linezolid and tedizolid were stably maintained at 64, 4 and 1 mg/L, respectively. The chimeric pAF379 comprised relics of genetic elements from different Gram-positive bacteria and origins (human/porcine).  Conclusions To the best of our knowledge, we report the first detection of optrA in an African country (Tunisia) within a transferable mosaic plasmid of different origins. Its identification in isolates from environmental sources is worrisome and alerts for the need of a concerted global surveillance on the occurrence and spread of optrA.",,,,"0305-7453||1460-2091",,"10.1093/jac/dkx321","http://hdl.handle.net/20.500.11850/473478","en","Oxford University Press",,,,"Detection of optrA in the African continent (Tunisia) within a mosaic Enterococcus faecalis plasmid from urban wastewaters","Journal Article||Journal Article","Metadata only",,,"2021-03-08T16:05:04Z",,,,"no",,,,,,,,,,,,"42263591",,"2-s2.0-85040017229",,,"J Antimicrob Chemother","12","Journal of Antimicrobial Chemotherapy","72","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09497 - Hall, Alex / Hall, Alex","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09497 - Hall, Alex / Hall, Alex","09497","09497",,"3251","3245","Oxford","published",,,,,"2021-03-11T15:41:09Z","2022-03-29T05:43:59Z","true",,"FORM",,
"208027","20.500.11850/3","Bradford, Mark A.||Ciska Veen, G.F.||Bonis, Anne||Bradford, Ella M.||Classen, Aimee T.||Cornelissen, J. Hans C.||Crowther, Thomas W.||De Long, Jonathan R.||Freschet, Grégoire T.||Kardol, Paul||Manrubia-Freixa, Marta||Maynard, Daniel S.||Newman, Gregory S.||Logtestijn, Richard S.P.||Viketoft, Maria||Wardle, David A.||Wieder, William R.||Wood, Stephen A.||van der Putten, Wim H.",,,"2018-01-10T09:23:30Z","2018-01-10T09:23:30Z||2017-11-22T08:53:48Z||2017-12-18T16:29:03Z","2017-12","2017-11-13",,,,,"2397-334X","http://hdl.handle.net/20.500.11850/227006||http://hdl.handle.net/20.500.11850/211905","10.1038/s41559-017-0367-4","http://hdl.handle.net/20.500.11850/227035","en","Springer Nature",,,,"A test of the hierarchical model of litter decomposition","Journal Article","Metadata only",,,"2017-11-22T08:53:50Z",,,,"yes",,,,,,,,,,,,,,"85033563604",,"000417194600011","Nat Ecol Evol","12","Nature Ecology & Evolution","1","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","09625","09625",,"1845","1836","London","published",,,,"true","2018-01-10T10:07:17Z","2023-02-06T15:04:11Z","true",,"FORM||SCOPUS",,
"242088","20.500.11850/3","Kretschmer, Matthias||Croll, Daniel||Kronstad, James W.",,,"2018-07-03T14:09:30Z","2017-06-12T17:13:39Z||2017-08-14T15:49:19Z||2018-07-03T14:09:30Z","2017-12","2016-11-14",,,,,"1464-6722||1364-3703",,"10.1111/mpp.12485","http://hdl.handle.net/20.500.11850/123954","en","Wiley-Blackwell",,,"maize||photosynthesis||RNA‐Seq||smut||starch||transcription factor||Zea mays","Chloroplast-associated metabolic functions influence the susceptibility of maize to Ustilago maydis","Journal Article","Metadata only",,,"2017-06-12T17:14:21Z",,"pub:186394",,"yes",,,,,,,,,,"imp593654f4d63f420789",,,,"85006508573",,"000414766900003","Mol. plant pathol.","9","Molecular Plant Pathology","18","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03516","03516",,"1221","1210","Oxford","published",,,,"true","2018-07-03T14:09:35Z","2018-11-07T14:09:25Z","true",,"ECIT",,
