id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.orcidWorkCode,ethz.identifier.pubmed,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.isCitedBy,ethz.relation.isIdenticalTo,ethz.relation.isSupplementedBy,ethz.relation.isVariantFormOf,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit
"409173","20.500.11850/3","Zohner, Constantin M.||Rockinger, Alexander||Renner, Susanne S.",,,"2021-07-09T12:34:01Z","2018-10-11T12:16:09Z||2018-10-11T12:54:07Z||2018-12-20T14:25:00Z||2021-07-09T12:34:01Z","2018-12-20","2018-09-21",,,,,"0028-646X||1469-8137",,"10.1111/nph.15445","http://hdl.handle.net/20.500.11850/294696","en","Wiley-Blackwell",,,"Bud set||Climate warming||Forest trees||Frost damage||Leaf senescence||Phenology||Plant productivity||Spring frost","Increased autumn productivity permits temperate trees to compensate for spring frost damage","Journal Article","Metadata only",,,"2018-10-11T12:16:10Z",,,"yes",,,,,,,,,,,,,,"85053700395",,"000453883200023","New Phytol.","2","New Phytologist","221","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","09625","09625",,"795","789","Oxford","published",,,,,,,,"2018-12-20T14:25:18Z","2022-03-29T10:21:05Z","true",,"FORM",,
"275732","20.500.11850/22","Ma, Xin||Bologna, Nicolas||Palma-Guerrero, Javier",,,"2019-01-22T10:25:16Z","2019-01-10T14:16:16Z||2019-01-22T10:25:16Z","2018-12-19","2018-12-20",,,,,,,"10.1101/501593","http://hdl.handle.net/20.500.11850/314940","en","Cold Spring Harbor Laboratory",,,"Triticum  aestivum  L||Zymoseptoria tritici||small RNAs||RNAi||sRNA-seq||degradome analysis","Small RNA bidirectional crosstalk during the interaction between wheat and Zymoseptoria tritici","Working Paper","Metadata only",,,"2019-01-10T14:16:29Z",,,"yes",,,,,,,,,,,,,,,,,,,"bioRxiv",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03516","03516",,"23","1","Cold Spring Harbor, NY","published",,,,,,,,"2019-01-22T10:25:31Z","2022-03-28T22:07:29Z","true",,"FORM",,
"393881","20.500.11850/3","Botelho, João||Roberts, Adam P.||Leon-Sampedro, Ricardo||Grosso, Filipa||Peixe, Luísa",,,"2021-03-09T07:50:12Z","2021-03-09T07:41:14Z||2021-03-09T07:50:12Z","2018-12-19",,"Background The evolution and spread of antibiotic resistance is often mediated by mobile genetic elements. Integrative and conjugative elements (ICEs) are the most abundant conjugative elements among prokaryotes. However, the contribution of ICEs to horizontal gene transfer of antibiotic resistance has been largely unexplored.  Results Here we report that ICEs belonging to mating-pair formation (MPF) classes G and T are highly prevalent among the opportunistic pathogen Pseudomonas aeruginosa, contributing to the spread of carbapenemase-encoding genes (CEGs). Most CEGs of the MPFG class were encoded within class I integrons, which co-harbour genes conferring resistance to other antibiotics. The majority of the integrons were located within Tn3-like and composite transposons. Conserved attachment site could be predicted for the MPFG class ICEs. MPFT class ICEs carried the CEGs within composite transposons which were not associated with integrons.  Conclusions The data presented here provides a global snapshot of the different CEG-harbouring ICEs and sheds light on the underappreciated contribution of these elements to the evolution and dissemination of antibiotic resistance on P. aeruginosa.","application/pdf","10.3929/ethz-b-000473515",,"1759-8753","http://hdl.handle.net/20.500.11850/473475||http://hdl.handle.net/20.500.11850/473476","10.1186/s13100-018-0141-4","http://hdl.handle.net/20.500.11850/473515","en","BioMed Central","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Integrative and conjugative elements||Carbapenamases||Pseudomonas spp.||Anitbiotic resistance","Carbapenemases on the move: it's good to be on ICEs","Journal Article||Journal Article","Open access",,,"2021-03-08T16:02:09Z",,,"no",,,,,,,,,,,,"54557577","30574213",,,,"Mob DNA",,"Mobile DNA","9","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09497 - Hall, Alex / Hall, Alex","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09497 - Hall, Alex / Hall, Alex","09497","09497",,,"37","London","published",,,,,,,,"2021-03-09T07:50:23Z","2023-02-06T21:35:23Z","true","11 p.","FORM",,"publishedVersion"
"274395","20.500.11850/3","Lu, Yameng||Johnston, Paul R.||Dennis, Stuart R.||Monaghan, Michael T.||John, Uwe||Spaak, Piet||Wolinska, Justyna",,,"2019-01-17T11:58:22Z","2019-01-15T15:45:46Z||2019-01-17T11:58:22Z","2018-12-14","2018","Regulatory circuits of infection in the emerging experimental model system, water flea Daphnia and their microparasites, remain largely unknown. Here we provide the first molecular insights into the response of Daphnia galeata to its highly virulent and common parasite Caullerya mesnili, an ichthyosporean that infects the gut epithelium. We generated a transcriptomic dataset using RNAseq from parasite-exposed (vs. control) Daphnia, at two time points (4 and 48 h) after parasite exposure.","application/pdf","10.3929/ethz-b-000316085",,"1471-2164",,"10.1186/s12864-018-5312-7","http://hdl.handle.net/20.500.11850/316085","en","BioMed Central","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Daphnia||Differential expression||Host-parasite interaction||Immune response||RNAseq","Daphnia galeata responds to the exposure to an ichthyosporean gut parasite by down-regulation of immunity and lipid metabolism","Journal Article","Open access",,,"2019-01-15T15:45:47Z",,,"yes",,,,,,,,,,,,,,,,,"BMC Genomics","1","BMC Genomics","19","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,,"932","London","published",,,,,,,"true","2019-01-17T11:58:32Z","2020-02-15T16:40:04Z","true","10 p.","BATCH",,"publishedVersion"
"274051","20.500.11850/3","Govaert, Lynn",,,"2019-01-16T13:56:28Z","2019-01-15T15:38:52Z||2019-01-16T13:56:28Z","2018-12-11",,"It is well-known that ecological and evolutionary processes can occur on similar time scales resulting in eco-evolutionary dynamics. One of the main questions in eco-evolutionary dynamics involves the assessment of the relative contribution of evolution, ecology and their interaction in the eco-evolutionary change under study. This has led to the development of several methods aimed to quantify the contributions of ecology and evolution to observed trait change, here referred to as eco-evolutionary partitioning metrics. This study provides an overview on currently-used partitioning metrics with a focus on methods that can quantify evolutionary and non-evolutionary contributions to population and community trait change. I highlight key differences between these metrics found in previous studies. Additionally, I also provide a detailed comparison between the ‘Geber’ method and the reaction norm approach. Next, I provide a guideline for researchers to assess which metrics are best suited for their data, give an overview on the type of data needed for these metrics, and how this data can be collected with a focus on community data.","application/pdf","10.3929/ethz-b-000316056",,,,"10.26496/bjz.2018.25","http://hdl.handle.net/20.500.11850/316056","en","Koninklijke Belgische Vereniging voor Dierkunde","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/","Price equation||reaction norms||eco-evolutionary partitioning metrics||community ecology||trait change","Eco-evolutionary partitioning metrics: a practical guide for biologists","Journal Article","Open access",,,"2019-01-15T15:38:53Z",,,"yes",,,,,,,,,,,,,,,,,,"2","Belgian Jurnal of Zoology","148","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"202","167","Bruxelles","published",,,,,,,,"2019-01-16T13:56:37Z","2020-02-15T16:38:53Z","true",,"BATCH",,"publishedVersion"
"258207","20.500.11850/3","Walker, Donald M.||Crowther, Thomas W.||Talbert, Doug||Tinker, Paul||Graham, Sean P.",,,"2018-10-15T16:07:06Z","2018-10-15T14:07:22Z||2018-10-15T16:07:06Z","2018-12","2018-09-20",,,,,"0168-6496||1574-6941",,"10.1093/femsec/fiy168","http://hdl.handle.net/20.500.11850/295951","en","Oxford University Press",,,"biogeochemical cycling||carbon cycle||terrestrial mesopredator||Plethodon cinereus||red-backed salamander||saprophytic fungi","A salamander's top down effect on fungal communities in a detritivore ecosystem","Journal Article","Metadata only",,,"2018-10-15T14:07:24Z",,,"yes",,,,,,,,,,,,,,"85054372553",,"000453661900001","FEMS microbiol. ecol.","12","FEMS Microbiology Ecology","94","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","09625","09625",,,"fiy168","Oxford","published",,,,,,,,"2018-10-15T16:07:11Z","2020-02-15T15:25:47Z","true","9 p.","FORM",,
"267290","20.500.11850/3","Hilbeck, Angelika||Defarge, Nicolas||Bøhn, Thomas||Krautter, Michelle||Conradin, Constanze||Amiel, Caroline||Panoff, Jean-Michel||Trtikova, Miluse",,,"2018-12-03T16:11:23Z","2018-12-02T05:29:46Z||2018-12-03T16:11:23Z","2018-12","2018-11-23","The insecticidal crystal proteins from Bacillus thuringiensis (Bt) are widely-used biopesticides that are used both as Bt spore-crystal preparations in sprayable formulations and as activated toxins in genetically modified (GM) plants. Models for their modes of action have been proposed but many issues remain unresolved. Among those is the role of commensal gut bacteria in target insect death: previous studies showed that antibiotics attenuate the toxicity of Bt sprays. We tested whether antibiotics interfere with the effects of GM plant-produced Bt toxins in larvae of two Lepidopteran species, the European corn borer Ostrinia nubilalis and the cotton leafworm Spodoptera littoralis. The larvae were reared on artificial diet with or without antibiotics and, thereafter, fed two varieties of Bt GM maize in comparison to conventional non-Bt maize leaves sprayed with antibiotic solution and/or with a Bt formulation. Antibiotics significantly reduced or delayed the toxicity of Cry toxins, although to a lesser extent than previously reported for Bt-sprays. This supports the hypothesis that Cry toxins induce mortality by themselves in the absence of Bt bacteria and spores, and of commensal gut bacteria. However, larvae that were not treated with antibiotics died faster and at a higher rate which was further compounded by plant variety and species sensitivity. These findings support a hypothesis that toxicemia alone can inflict significant mortality. However, in the absence of antibiotics, the gut bacteria likely enhance the Cry toxin effect by inflicting, additionally, bacterial septicemia. This has important implications in field situations where antibiotic substances are present—e.g., from manure of animals from conventional production systems—and for ecotoxicological testing schemes of Bt toxins and nontarget organisms that are often using artificial diets enriched with high concentrations of antibiotics.","application/pdf","10.3929/ethz-b-000307936",,,,"10.3390/toxins10120489","http://hdl.handle.net/20.500.11850/307936","en","MDPI","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","ecotoxicology||Bacillus thuringiensis||Cry toxins||antibiotics||nontarget organisms||lepidoptera","Impact of Antibiotics on Efficacy of Cry Toxins Produced in Two Different Genetically Modified Bt Maize Varieties in Two Lepidopteran Herbivore Species, Ostrinia nubilalis and Spodoptera littoralis","Journal Article","Open access",,,"2018-12-02T05:29:47Z",,,"yes",,,,,,,,,,,,,,"85057176102",,"000455310000004",,"12","Toxins","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander::08696 - Gruppe Hilbeck","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander::08696 - Gruppe Hilbeck","08696","08696",,,"489","Basel","published",,,,,,,,"2018-12-03T16:11:28Z","2019-02-03T11:59:25Z","true","17 p.","SCOPUS",,"publishedVersion"
"222790","20.500.11850/4","Fouché, Simone||Plissonneau, Clémence||Croll, Daniel",,,"2018-03-02T14:00:05Z","2018-02-27T03:44:36Z||2018-03-02T14:00:05Z","2018-12","2018-02-22",,,,,"1369-5274||1879-0364",,"10.1016/j.mib.2018.01.020","http://hdl.handle.net/20.500.11850/244530","en","Elsevier",,,,"The birth and death of effectors in rapidly evolving filamentous pathogen genomes","Review Article","Metadata only",,,"2018-02-27T03:44:42Z",,,"yes",,,,,,,,,,,,,,"85042185938",,"000454967500008","Curr. opin. microbiol.",,"Current Opinion in Microbiology","46","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","02720||03516","03516",,"42","34","Amsterdam","published",,,,,,,,"2018-03-02T14:00:08Z","2019-02-02T15:48:13Z","true",,"SCOPUS",,
"390994","20.500.11850/3","San Millan, Alvaro||Toll Riera, Macarena||Qi, Qin||Betts, Alex||Hopkinson, Richard J.||McCullagh, James||MacLean, R. Craig",,,"2021-02-15T12:57:49Z","2021-02-12T15:05:31Z||2021-02-15T12:57:49Z","2018-12","2018-08-10","Horizontal gene transfer (HGT) mediated by the spread of plasmids fuels evolution in prokaryotes. Although plasmids provide bacteria with new adaptive genes, they also produce physiological alterations that often translate into a reduction in bacterial fitness. The fitness costs associated with plasmids represent an important limit to plasmid maintenance in bacterial communities, but their molecular origins remain largely unknown. In this work, we combine phenomics, transcriptomics and metabolomics to study the fitness effects produced by a collection of diverse plasmids in the opportunistic pathogen Pseudomonas aeruginosa PAO1. Using this approach, we scan the physiological changes imposed by plasmids and test the generality of some main mechanisms that have been proposed to explain the cost of HGT, including increased biosynthetic burden, reduced translational efficiency, and impaired chromosomal replication. Our results suggest that the fitness effects of plasmids have a complex origin, since none of these mechanisms could individually provide a general explanation for the cost of plasmid carriage. Interestingly, our results also showed that plasmids alter the expression of a common set of metabolic genes in PAO1, and produce convergent changes in host cell metabolism. These surprising results suggest that there is a common metabolic response to plasmids in P. aeruginosa PAO1.","application/pdf","10.3929/ethz-b-000469300",,"1751-7362||1751-7370",,"10.1038/s41396-018-0224-8","http://hdl.handle.net/20.500.11850/469300","en","Nature Publishing Group","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Integrative analysis of fitness and metabolic effects of plasmids in Pseudomonas aeruginosa PAO1","Journal Article","Open access",,,"2021-02-12T15:05:41Z",,,"no",,,,,,,,,,,,,,,,,"ISME J","12","The ISME Journal","12","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03939 - Velicer, Gregory J. / Velicer, Gregory J.",,"03939",,,"3024","3014","Basingstoke","published",,,,,,,,"2021-02-15T12:58:12Z","2022-03-29T05:13:28Z","true",,"FORM",,"publishedVersion"
"274282","20.500.11850/3","Kevic, Maja||Ortlepp, Johannes||Mürle, Uta||Robinson, Christopher T.",,,"2019-01-17T09:37:55Z","2019-01-17T09:37:55Z","2018-12-01","2018-12-05",,,,,"1863-9135||2363-7110","http://hdl.handle.net/20.500.11850/313386||http://hdl.handle.net/20.500.11850/316061","10.1127/fal/2018/1177","http://hdl.handle.net/20.500.11850/316641","en","Schweizerbart",,,"E-FLOWS||Ecohydrology||Macroinvertebrates||Phosphorus||SPÖL RIVER||Swiss National Park||TEMPORAL","Effects of experimental floods in two rivers with contrasting valley morphologies","Journal Article","Metadata only",,,"2018-12-30T03:43:27Z",,,"yes",,,,,,,,,,,,,,"85058659663",,"000458409200006",,"2","Fundamental and Applied Limnology","192","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"160","145","Stuttgart","published",,,,,,,,"2019-01-17T09:38:02Z","2023-02-06T16:45:15Z","true",,"SCOPUS||BATCH",,
