id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.editor,dc.contributor.researchGroup,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.orcidWorkCode,ethz.identifier.patent,ethz.identifier.pubmed,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.hasPart,ethz.relation.isPartOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.version.deposit
"331493","20.500.11850/3","Berry, Daniel||Mace, Wade||Grage, Katrin||Wesche, Frank||Gore, Sagar||Schardl, Christopher L.||Young, Carolyn A.||Dijkwel, Paul P.||Leuchtmann, Adrian||Bode, Helge B.||Scott, Barry",,,,,"2020-01-23T11:13:25Z","2019-12-29T15:54:43Z||2020-01-23T11:13:25Z","2019-12-17",,"Nonribosomal peptide synthetases (NRPSs) generate the core peptide scaffolds of many natural products. These include small cyclic dipeptides such as the insect feeding deterrent peramine, which is a pyrrolopyrazine (PPZ) produced by grass-endophytic Epichloë fungi. Biosynthesis of peramine is catalyzed by the 2-module NRPS, PpzA-1, which has a C-terminal reductase (R) domain that is required for reductive release and cyclization of the NRPS-tethered dipeptidyl-thioester intermediate. However, some PpzA variants lack this R domain due to insertion of a transposable element into the 3′ end of ppzA. We demonstrate here that these truncated PpzA variants utilize nonenzymatic cyclization of the dipeptidyl thioester to a 2,5-diketopiperazine (DKP) to synthesize a range of novel PPZ products. Truncation of the R domain is sufficient to subfunctionalize PpzA-1 into a dedicated DKP synthetase, exemplified by the truncated variant, PpzA-2, which has also evolved altered substrate specificity and reduced N-methyltransferase activity relative to PpzA-1. Further allelic diversity has been generated by recombination-mediated domain shuffling between ppzA-1 and ppzA-2, resulting in the ppzA-3 and ppzA-4 alleles, each of which encodes synthesis of a unique PPZ metabolite. This research establishes that efficient NRPS-catalyzed DKP biosynthesis can occur in vivo through nonenzymatic dipeptidyl cyclization and presents a remarkably clean example of NRPS evolution through recombinant exchange of functionally divergent domains. This work highlights that allelic variants of a single NRPS can result in a surprising level of secondary metabolite diversity comparable to that observed for some gene clusters.","application/pdf","10.3929/ethz-b-000387234","0027-8424||1091-6490",,"10.1073/pnas.1913080116","http://hdl.handle.net/20.500.11850/387234","en","National Academy of Sciences","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","Nonribosomal peptide synthetase||Secondary||Metabolism||Diketopiperazine||Pyrrolopyrazine||Allelic neofunctionalization","Efficient nonenzymatic cyclization and domain shuffling drive pyrrolopyrazine diversity from truncated variants of a fungal NRPS","Journal Article","Open access",,,"2019-12-29T15:54:53Z",,,,"yes",,,,,,,,,,,,,"85076670383",,"000503281500043","Proc Natl Acad Sci U S A","51","Proceedings of the National Academy of Sciences of the United States of America","116","::ETH Zürich::00002 - ETH Zürich||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung||::ETH Zürich::00002 - ETH Zürich||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander::08670 - Gruppe Biosystematik und Sammlungen","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander::08670 - Gruppe Biosystematik und Sammlungen||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","00002||00012||00012||00002||03706||03706||08670","08670||03706",,"25623","25614","Washington, DC","published",,,,,,,"2020-01-23T11:13:35Z","2023-02-06T18:13:16Z","true",,"SCOPUS",,"publishedVersion"
"321896","20.500.11850/3","Baena-Diaz, Fernanda||Zemp, Niklaus||Widmer, Alex",,,,,"2019-11-29T15:06:40Z","2019-11-16T03:27:30Z||2019-11-18T12:23:42Z||2019-11-29T15:06:40Z","2019-12","2019-10-12",,,,"0962-1083||1365-294X",,"10.1111/mec.15271","http://hdl.handle.net/20.500.11850/378030","en","Wiley",,,"QTL||Sex chromosomes||Sexual dimorphism||Silene","Insights into the genetic architecture of sexual dimorphism from an interspecific cross between two diverging Silene (Caryophyllaceae) species","Journal Article","Metadata only",,,"2019-11-16T03:27:34Z",,,,"yes",,,,,,,,,,,,,"85074758492",,"000494308600001","Mol Ecol","23","Molecular Ecology","28","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","03706","03706",,"5067","5052","Oxford","published",,,,,,,"2019-11-29T15:06:50Z","2020-02-15T22:49:25Z","true",,"WOS",,
"327862","20.500.11850/3","Mathé-Hubert, Hugo||Kaech, Heidi||Hertaeg, Corinne||Jaenike, John||Vorburger, Christoph",,,,,"2020-01-10T08:57:22Z","2020-01-03T03:44:36Z||2020-01-10T08:57:22Z","2019-12","2019-08-20",,,,"0962-1083||1365-294X",,"10.1111/mec.15206","http://hdl.handle.net/20.500.11850/387425","en","Wiley",,,"Coalescence||Drift||Symbiont‐symbiont interactions||Symbiotic community","Nonrandom associations of maternally transmitted symbionts in insects: The roles of drift versus biased cotransmission and selection","Journal Article","Metadata only",,,"2020-01-03T03:44:42Z",,,,"yes",,,,,,,,,,,,,"85073943861",,,"Mol Ecol","24","Molecular Ecology","28","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705||03705","03705",,"5346","5330","Oxford","published",,,,,,,"2020-01-10T08:57:32Z","2020-02-15T23:12:33Z","true",,"SCOPUS",,
"316331","20.500.11850/3","Leicht, Katja||Seppälä, Otto",,,,,"2019-10-30T14:23:58Z","2019-09-28T08:12:56Z||2019-09-30T10:15:50Z||2019-10-30T14:23:58Z","2019-12","2019-09-12","1. Global climate change imposes a serious threat to natural populations of many species. Estimates of the effects of climate change‐mediated environmental stresses are, however, often based only on their direct effects on organisms, and neglect the potential transgenerational (e.g. maternal) effects. 2. We tested whether high temperature (i.e. an experimental heatwave), which is known to reduce the performance of adult Lymnaea stagnalis snails, affects the produced offspring (eggs and hatchlings) through maternal effects, and how strong these effects are compared with the effects of direct exposure of offspring to high temperature. We examined the effect of maternal thermal environment (15°C versus 25°C) on per offspring investment (egg size), and the role of both maternal and offspring thermal environments (15°C versus 25°C) on hatching success and developmental time of eggs, offspring survival after hatching, and hatchling size at the age of 5 weeks. 3. Exposure of mothers to high temperature reduced the size of oviposited eggs, increased their hatching success, and also made the onset of hatching earlier. However, high maternal temperature reduced the survival and the final size of hatched juveniles. Direct exposure of offspring to high temperature reduced their survival (both eggs and hatchlings) but increased the developmental rate and growth of those individuals that survived. Interestingly, the magnitude of maternal effects on hatching success of eggs and hatchling survival were similar to the direct effects of high temperature. 4. Our results indicate that heatwaves can affect natural populations through transgenerational maternal effects and that the magnitude of those effects can be equally strong to the direct effects of temperature, although this depends on the trait considered. These findings highlight the importance of considering the transgenerational effects of climate warming when estimating its effects in the wild.","application/pdf","10.3929/ethz-b-000367062","0046-5070||1365-2427",,"10.1111/fwb.13401","http://hdl.handle.net/20.500.11850/367062","en","Wiley","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/","Climate change||Environmental stress||Global warming||Lymnaea stagnalis||Maternal effects","Direct and transgenerational effects of an experimental heatwave on early life stages in a freshwater snail","Journal Article","Open access",,,"2019-09-28T08:13:01Z",,,,"yes",,,,,,,,,,,,,"85073798752",,"000486272900001","Freshw. biol.","12","Freshwater Biology","64","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,"2140","2131","Oxford","published",,,,,,,"2019-10-30T14:24:19Z","2021-02-15T06:28:29Z","true",,"WOS",,"publishedVersion"
"322604","20.500.11850/16","Lürig, Moritz",,,,"Jokela, Jukka||Blake, Matthews||Plaistow, Stewart","2019-12-04T11:17:06Z","2019-12-04T09:13:46Z||2019-12-04T11:17:06Z","2019-12","2019-12-04","Interactions between species can structure populations and communities, affect the flow of energy and matter within and across ecosystem boundaries, and shape the biotic and abiotic environment. Thereby, species interactions can also feed back on the participating species themselves, and on other members of the community. Complex interaction networks can arise that may influence the stability of ecosystems and potentially make them resilient against external perturbation. However, species interactions are not static: through endlessly recurring interplay with their environment, species, and thus, their interactions with other species, are subject to evolutionary change. It is therefore widely acknowledged that species interactions are not only the foundation for the functioning of all ecosystems, but also contribute to the emergence and maintenance of biological diversity on earth. In the face of rapid global environmental change it is critical to learn more about the nature of species interactions, for example, in the context of their strength (effect sizes), temporal stability (variation, within and between generations) or dimensionality (number of, interactions per species). For this dissertation I have conducted a series of experiments to explore the role of species interactions within different levels of ecological organization and across a range of ecological contexts. Specifically, I investigated i) how species interactions can shape phenotypic distributions of populations, ii) how species interactions shape developmental trajectories of phenotypes, and iii) how species interactions affect resistance and resilience of ecosystems in response to external disturbance. In four chapters I addressed these questions with a series of outdoor and laboratory experiments, which provided compelling evidence for strong effects of species interactions on phenotypes, populations, communities and ecosystems.","application/pdf","10.3929/ethz-b-000382508",,,,"http://hdl.handle.net/20.500.11850/382508","en","ETH Zurich","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/","Ecology and evolution||Ecosystem processes||Evolution||Ecology","Species Interactions - From Phenotypes to Ecosystems","Doctoral Thesis","Open access",,"DDC - DDC::5 - Science::500 - Natural sciences||DDC - DDC::5 - Science::570 - Life sciences","2019-12-04T09:13:56Z",,,,"yes",,,,,,,,,"26145",,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,,,"Zurich","published",,,,,,,"2019-12-04T11:17:27Z","2021-02-15T06:56:27Z","true","197 p.","FORM",,
"379522","20.500.11850/3","Hofmann, Heike||Kahle-Zuber, Doris",,,,,"2020-12-10T12:26:12Z","2020-12-10T10:18:35Z||2020-12-10T12:26:12Z","2019-12",,"Die umfangreiche Moossammlung von Dr. J.Jules Amann, die „Bryotheca Helevti-ca“, ist im Besitz der Vereinigten Herbarien der Universität und der ETH Zürich. Sie umfasst ca. 29‘000 Belege von Moosen, die zu einem grossen Teil aus der Schweiz (20‘000) und zu einem kleineren Teil aus Europa (6‘000) und weiter entfernten Ländern (3‘000) stammen. Darunter befinden sich auch über 300 Typusbelege. Diese wichtige historische Sammlung kann nun dank der Unterstützung der ETH-Bibliothek digital erfasst werden.||The extensive bryophyte collection of Dr. J.Jules Amann, the “Bryotheca Helevti-ca”, is part of the collection of the United Herbaria of the University and the ETH Zurich. It comprises approximately 29,000 specimens from Switzerland (20,000), Europe (6,000), and more distant countries (3,000). Among these are more than 300  type  specimens.  This  important  historical  collection  will  now  be  digitised  thanks to support of the ETH Library.","application/pdf","10.3929/ethz-b-000455753","1018-8142",,,"http://hdl.handle.net/20.500.11850/455753","de","SVBL","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Die Bryotheca Helvetica von Dr. J.Jules Amann (1859- 1939) geht online","Journal Article","Open access",,,"2020-12-10T10:18:46Z",,,,"yes",,,,,,,,,,,,,,,,,,"Meylania","64","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander::08670 - Gruppe Biosystematik und Sammlungen",,"08670",,,"44","44","Chambésy-Genève","published",,,,,,,"2020-12-10T12:26:24Z","2021-02-15T21:43:54Z","true",,"FORM",,"publishedVersion"
"294585","20.500.11850/3","Yip, Eric C.||Tooker, John F.||Mescher, Mark C.||De Moraes, Consuelo M.",,,,,"2019-05-24T06:38:20Z","2019-05-24T06:31:09Z||2019-05-24T06:38:20Z","2019-12","2019-05-21","Background By sensing environmental cues indicative of pathogens or herbivores, plants can “prime” appropriate defenses and deploy faster, stronger responses to subsequent attack. Such priming presumably entails costs—else the primed state should be constitutively expressed—yet those costs remain poorly documented, in part due to a lack of studies conducted under realistic ecological conditions. We explored how defence priming in goldenrod (Solidago altissima) influenced growth and reproduction under semi-natural field conditions by manipulating exposure to priming cues (volatile emissions of a specialist herbivore, Eurosta solidaginis), competition between neighbouring plants, and herbivory (via insecticide application).  Results We found that primed plants grew faster than unprimed plants, but produced fewer rhizomes, suggesting reduced capacity for clonal reproduction. Unexpectedly, this effect was apparent only in the absence of insecticide, prompting a follow-up experiment that revealed direct effects of the pesticide esfenvalerate on plant growth (contrary to previous reports from goldenrod). Meanwhile, even in the absence of pesticide, priming had little effect on herbivore damage levels, likely because herbivores susceptible to the primed defences were rare or absent due to seasonality.  Conclusions Reduced clonal reproduction in primed plants suggest that priming can entail significant costs for plants. These costs, however, may only become apparent when priming cues fail to provide accurate information about prevailing threats, as was the case in this study. Additionally, our insecticide data indicate that pesticides or their carrier compounds can subtly, but significantly, affect plant physiology and may interact with plant defences.","application/pdf","10.3929/ethz-b-000343882","1471-2229",,"10.1186/s12870-019-1820-0","http://hdl.handle.net/20.500.11850/343882","en","BioMed Central","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Competition||Defence||Fitness||Gall||Goldenrod||Herbivory||Insecticide||Priming","Costs of plant defense priming: exposure tovolatile cues from a specialist herbivoreincreases short-term growth but reducesrhizome production in tall goldenrod(Solidago altissima)","Journal Article","Open access",,,"2019-05-24T06:31:16Z",,,,"yes",,,,"Exploring the ecology of plant eavesdropping on insect pheromonal communication","163145","10.13039/501100001711","SNF","Projekte Lebenswissenschaften",,,,,"85066410804",,"000468805100001","BMC plant biol.",,"BMC Plant Biology","19","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03970 - De Moraes, Consuelo / De Moraes, Consuelo||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03939 - Velicer, Gregory J. / Velicer, Gregory J.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03970 - De Moraes, Consuelo / De Moraes, Consuelo||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03939 - Velicer, Gregory J. / Velicer, Gregory J.","02350||03970||03939","03970||03939",,,"209","London","published",,,,,,,"2019-05-24T06:38:35Z","2022-03-28T22:58:42Z","true","12 p.","FORM",,"publishedVersion"
"375859","20.500.11850/5","Smith , Gabriel R.||Crowther, Thomas W.||Eisenhauer, Nico||van den Hoogen, Johan",,,,,"2020-11-13T08:55:08Z","2020-11-12T09:28:49Z||2020-11-13T08:55:08Z","2019-12","2019-12-15","Global analyses are emerging as valuable complements to local and regional scale studies in ecology and are useful for examining many of the major environmental issues that we face today. Soil ecology has significantly benefited from these developments, with recent syntheses unearthing interesting, unexpected biogeographic patterns in belowground biotic communities. However, some questions still remain unanswered, and the accuracy of these studies is inevitably limited by the extent of the data they draw upon. This is a particular problem in global ecology because most datasets used exhibit geographic bias in sample distribution. Here, we work towards addressing this problem with an open call for collaboration on a planned global analysis of soil phospholipid fatty acid and potential enzyme activity measurements. We summarize the current extent of our dataset, outline the planned analyses, and provide information for prospective collaborators who would like to contribute or learn more.",,,,,"10.25674/SO91ISS3PP140","http://hdl.handle.net/20.500.11850/450966","en","Senckenberg Museum of Natural History Görlitz",,,,"Building a global database of soil microbial biomass and function: a call for collaboration","Other Journal Item","Metadata only",,,"2020-11-12T09:28:58Z",,,,"yes",,,,,,,,,,,,,,,,,"3","Soil Organisms","91","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","09625","09625",,"142","139","Görlitz","published",,,,,,,"2020-11-13T08:55:22Z","2022-03-29T04:01:31Z","true",,"FORM",,
"332728","20.500.11850/3","Goehlich, Henry||Roth, Olivia||Wendling, Carolin Charlotte",,,,,"2020-01-28T12:34:46Z","2020-01-28T12:34:46Z","2019-12-01","2019-12-11","Being non-lytic, filamentous phages can replicate at high frequencies and often carry virulence factors, which are important in the evolution and emergence of novel pathogens. However, their net effect on bacterial fitness remains unknown. To understand the ecology and evolution between filamentous phages and their hosts, it is important to assess (i) fitness effects of filamentous phages on their hosts and (ii) how these effects depend on the environment. To determine how the net effect on bacterial fitness by filamentous phages changes across environments, we constructed phage–bacteria infection networks at ambient 15 practical salinity units (PSU) and stressful salinities (11 and 7 PSU) using the marine bacterium, Vibrio alginolyticus and its derived filamentous phages as model system. We observed no significant difference in network structure at 15 and 11 PSU. However, at 7 PSU phages significantly reduced bacterial growth changing network structure. This pattern was mainly driven by a significant increase in bacterial susceptibility. Our findings suggest that filamentous phages decrease bacterial growth, an indirect measure of fitness in stressful environmental conditions, which might impact bacterial communities, alter horizontal gene transfer events and possibly favour the emergence of novel pathogens in environmental Vibrios.","application/pdf","10.3929/ethz-b-000389494","2054-5703","http://hdl.handle.net/20.500.11850/394252||http://hdl.handle.net/20.500.11850/389494","10.1098/rsos.191669","http://hdl.handle.net/20.500.11850/389494","en","Royal Society Publishing","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","phage–bacteria infection network||Vibrio||filamentous phages||salinity changes","Filamentous phages reduce bacterial growth in low salinities","Journal Article","Open access",,,"2020-01-11T03:28:58Z",,,,"yes",,,,,,,,,,,,,"85077374171",,"000510010700023","R. Soc. Open Sci.","12","Royal Society Open Science","6","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09497 - Hall, Alex / Hall, Alex","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09497 - Hall, Alex / Hall, Alex","09497","09497",,,"191669","London","published",,,,,,,"2020-01-28T12:35:05Z","2023-02-06T18:14:31Z","true","8 p.","FORM||SCOPUS",,"publishedVersion"
"318137","20.500.11850/3","Jia, Juan||Cao, Zhenjiao||Liu, Chengzhu||Zhang, Zhenhua||Lin, Li||Wang, Yiyun||Haghipour, Negar||Wacker, Lukas||Bao, Hongyan||Dittmar, Thorston||Simpson, Myrna J.||Yang, Huan||Crowther, Thomas W.||Eglinton, Timothy I.||He, Jin-Sheng||Feng, Xiaojuan",,,,,"2019-11-08T15:57:35Z","2019-11-02T03:27:16Z||2019-11-04T13:00:03Z||2019-11-08T15:57:35Z","2019-12","2019-09-03",,,,"1354-1013||1365-2486",,"10.1111/gcb.14823","http://hdl.handle.net/20.500.11850/374873","en","Wiley",,,"Deep soil||Lignin decomposition||Physical fraction||Radiocarbon||Soil organic carbon||Warming","Climate warming alters subsoil but not topsoil carbon dynamics in alpine grassland","Journal Article","Metadata only",,,"2019-11-02T03:27:20Z",,,,"yes",,,,,,,,,,,,,"85073966877",,"000491594700001","Glob. Chang. Biol.","12","Global Change Biology","25","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02330 - Dep. Erdwissenschaften / Dep. of Earth Sciences::02704 - Geologisches Institut / Geological Institute::03868 - Eglinton, Timothy I. / Eglinton, Timothy I.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02010 - Dep. Physik / Dep. of Physics::02532 - Institut für Teilchen- und Astrophysik / Inst. Particle Physics and Astrophysics::08619 - Labor für Ionenstrahlphysik (LIP) / Laboratory of Ion Beam Physics (LIP)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02330 - Dep. Erdwissenschaften / Dep. of Earth Sciences::02704 - Geologisches Institut / Geological Institute::03868 - Eglinton, Timothy I. / Eglinton, Timothy I.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02010 - Dep. Physik / Dep. of Physics::02532 - Institut für Teilchen- und Astrophysik / Inst. Particle Physics and Astrophysics::08619 - Labor für Ionenstrahlphysik (LIP) / Laboratory of Ion Beam Physics (LIP)","03868||09625||08619","03868||09625||08619",,"4393","4383","Oxford","published",,,,,,"true","2020-02-15T22:27:15Z","2023-02-06T17:50:13Z","true",,"WOS",,
