id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.orcidWorkCode,ethz.identifier.pubmed,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.compiles,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isCompiledBy,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isReferencedBy,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version,ethz.version.deposit,ethz.version.edition
"383820","20.500.11850/3","Pande, Samay||Pérez Escriva, Pau||Yu, Yuen-Tsu Nicco||Sauer, Uwe||Velicer, Gregory J.",,,,"2021-01-08T18:11:58Z","2020-12-06T19:34:42Z||2020-12-07T12:59:27Z||2021-01-08T18:11:58Z","2020-12-07","2020-09-24","Many microbes produce stress-resistant spores to survive unfavorable conditions [1, 2, 3, 4] and enhance dispersal [1, 5]. Cooperative behavior is integral to the process of spore formation in some species [3, 6], but the degree to which germination of spore populations involves social interactions remains little explored. Myxococcus xanthus is a predatory soil bacterium that upon starvation forms spore-filled multicellular fruiting bodies that often harbor substantial diversity of endemic origin [7, 8]. Here we demonstrate that germination of M. xanthus spores formed during fruiting-body development is a social process involving at least two functionally distinct social molecules. Using pairs of natural isolates each derived from a single fruiting body that emerged on soil, we first show that spore germination exhibits positive density dependence due to a secreted “public-good” germination factor. Further, we find that a germination defect of one strain under saline stress in pure culture is complemented by addition of another strain that germinates well in saline environments and mediates cheating by the defective strain. Glycine betaine, an osmo-protectant utilized in all domains of life, is found to mediate saline-specific density dependence and cheating. Density dependence in non-saline conditions is mediated by a distinct factor, revealing socially complex spore germination involving multiple social molecules.","application/pdf","10.3929/ethz-b-000454827",,"0960-9822||1879-0445",,"10.1016/j.cub.2020.08.091","http://hdl.handle.net/20.500.11850/454827","en","Cell Press","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Density dependence||Osmotic stress||Public goods||Social evolution||Spore germination||Myxobacteria||Glycine Betaine","Cooperation and Cheating among Germinating Spores","Journal Article","Open access",,,"2020-12-06T19:34:48Z",,,,"yes",,,,"Experimental evolution of motile social bacteria","160005","10.13039/501100001711","SNF","Projekte Lebenswissenschaften",,,,"85092204800",,"000598868900005","Curr Biol","23","Current Biology","30","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03939 - Velicer, Gregory J. / Velicer, Gregory J.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02030 - Dep. Biologie / Dep. of Biology::02538 - Institut für Molekulare Systembiologie / Institute for Molecular Systems Biology::03713 - Sauer, Uwe / Sauer, Uwe","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03939 - Velicer, Gregory J. / Velicer, Gregory J.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02030 - Dep. Biologie / Dep. of Biology::02538 - Institut für Molekulare Systembiologie / Institute for Molecular Systems Biology::03713 - Sauer, Uwe / Sauer, Uwe","03939||03713","03939||03713",,"4752.e4","4745","Cambridge, MA","published",,,,,,,,,,,,,,"2021-01-08T18:12:09Z","2022-03-29T04:45:37Z","true",,"SCOPUS",,,,"publishedVersion",
"393051","20.500.11850/3","Feurtey, Alice||Guitton, Ellen||De Gracia Coquerel, Marie||Duvaux, Ludovic||Shiller, Jason||Bellanger, Marie‐Noëlle||Expert, Pascale||Sannier, Mélanie||Caffier, Valérie||Giraud, Tatiana||Le Cam, Bruno||Lemaire, Christophe",,,,"2021-03-02T07:58:38Z","2021-01-19T13:53:44Z||2021-03-02T07:58:38Z","2020-12","2020-10-08","Secondary contact between crops and their wild relatives poses a threat to wild species, not only through gene flow between plants, but also through the dispersal of crop pathogens and genetic exchanges involving these pathogens, particularly those that have become more virulent by indirect selection on resistant crops, a phenomenon known as “pestification.” Joint analyses of wild and domesticated hosts and their pathogens are essential to address this issue, but such analyses remain rare. We used population genetics approaches, demographic inference and pathogenicity tests on host–pathogen pairs of wild or domesticated apple trees from Central Asia and their main fungal pathogen, Venturia inaequalis, which itself has differentiated agricultural and wild‐type populations. We confirmed the occurrence of gene flow from cultivated (Malus domestica) to wild (Malus sieversii) apple trees in Asian forests, potentially threatening the persistence of Asian wild apple trees. Pathogenicity tests demonstrated the pestification of V. inaequalis, the agricultural‐type population being more virulent on both wild and domesticated trees. Single nucleotide polymorphism (SNP) markers and the demographic modelling of pathogen populations revealed hybridization following secondary contact between agricultural and wild‐type fungal populations, and dispersal of the agricultural‐type pathogen population in wild forests, increasing the threat of disease in the wild apple species. We detected an SNP potentially involved in pathogen pestification, generating an early stop codon in a gene encoding a small secreted protein in the agricultural‐type fungal population. Our findings, based on joint analyses of paired host and pathogen data sets, highlight the threat posed by cultivating a crop near its centre of origin, in terms of pestified pathogen invasions in wild plant populations and introgression in the wild‐type pathogen population.",,,,"0962-1083||1365-294X",,"10.1111/mec.15677","http://hdl.handle.net/20.500.11850/463762","en","Wiley",,,"apple||avirulence gene||crop‐to‐wild gene flow||hybridization||Malus||secondary contact||Venturia","Threat to Asian wild apple trees posed by gene flow from domesticated apple trees and their “pestified” pathogens","Journal Article","Metadata only",,,"2021-01-19T13:53:50Z",,,,"no",,,,,,,,,,,,,,,"Mol Ecol","24","Molecular Ecology","29","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03516","03516",,"4941","4925","Oxford","published",,,,,,,,,,,,,,"2021-03-02T07:58:47Z","2021-03-02T07:58:47Z","true",,"FORM",,,,,
"375609","20.500.11850/3","Willocquet, Laetitia||Savary, Serge||McDonald, Bruce A.||Mikaberidze, Alexey",,,,"2020-11-11T15:32:24Z","2020-08-23T02:36:36Z||2020-09-03T09:40:43Z||2020-11-11T15:32:24Z","2020-12","2020-08-01","Plant disease emergences have dramatically increased recently as a result of global changes, especially with respect to trade, host genetic uniformity, and climate change. A better understanding of the conditions and processes determining epidemic outbreaks caused by the emergence of a new pathogen, or pathogen strain, is needed to develop strategies and inform decisions to manage emerging diseases. A polyetic process-based model is developed to analyse conditions of disease emergence. This model simulates polycyclic epidemics during successive growing seasons, the yield losses they cause, and the pathogen survival between growing seasons. This framework considers one immigrant strain coming in a single event into a system where a resident strain is already established. Outcomes are formulated as probability of emergence, time to emergence, and yield loss, resulting from deterministic and stochastic simulations. An analytical solution to determine a threshold for emergence is also derived. Analyses focus on the effects of two fitness parameters on emergence: the relative rate of reproduction (epidemic speed), and the relative rate of mortality (decay of population between seasons). Analyses revealed that stochasticity is a critical feature of disease emergence. The simulations suggest that: (a) emergence may require a series of independent immigration events before a successful invasion takes place; (b) an explosion in the population size of the new pathogen (or strain) may be preceded by many successive growing seasons of cryptic presence following an immigration event; and (c) survival between growing seasons is as important as reproduction during the growing season in determining disease emergence. © 2020 British Society for Plant Pathology",,,,"0032-0862||1365-3059",,"10.1111/ppa.13249","http://hdl.handle.net/20.500.11850/432249","en","Wiley",,,"global change||pandemic||pathogen fitness||pathogen survival||polyetic epidemics||process-based model","A polyetic modelling framework for plant disease emergence","Journal Article","Metadata only",,,"2020-08-23T02:36:41Z",,,,"yes",,,,"Epidemiology of major wheat diseases: using eco-evolutionary models to learn from epidemic and genomic data","161453","10.13039/501100001711","SNF","Ambizione",,,,"85089290385",,"000558258800001","Plant pathol.","9","Plant Pathology","69","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03516","03516",,"1643","1630","Oxford","published",,,,,,,,,,,,,,"2020-11-11T15:32:36Z","2021-02-15T20:41:58Z","true",,"WOS",,,,,
"379523","20.500.11850/3","Hofmann, Heike||Jacksch, Josefine||Kahle-Zuber, Doris",,,,"2020-12-10T12:32:14Z","2020-12-10T10:21:58Z||2020-12-10T12:32:14Z","2020-12",,,"application/pdf","10.3929/ethz-b-000455755",,"1018-8142",,,"http://hdl.handle.net/20.500.11850/455755","de","SVBL","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Digitalisierung der Moossammlung von Dr. J.Jules Amann (1859-1939): erste Ergebnisse und Mithilfe bei der Georeferenzierung gesucht","Journal Article","Open access",,,"2020-12-10T10:22:13Z",,,,"yes",,,,,,,,,,,,,,,,,"Meylania","66","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander::08670 - Gruppe Biosystematik und Sammlungen",,"08670",,,"43","39","Chambésy-Genève","published",,,,,,,,,,,,,,"2020-12-10T12:32:24Z","2021-02-15T21:43:55Z","true",,"FORM",,,,"publishedVersion",
"383266","20.500.11850/3","Cardil, Adrian||de-Miguel, Sergio||Silva, Carlos A.||Reich, Peter B.||Calkin, David||Brancalion, Pedro H. S.||Vibrans, Alexander C.||Gamarra, Javier G. P.||Zhou, M.||Pijanowski, Bryan C.||Hui, Cang||Crowther, Thomas W.||Hérault, Bruno||Piotto, Daniel||Salas-Eljatib, Christian||Broadbent, Eben North||Almeyda Zambrano, Angelica M.||Picard, Nicolas||Aragão, Luiz E.O.C.||Bastin, Jean-François||Routh, Devin||van den Hoogen, Johan||Peri, Pablo L.||Liang, Jingjing",,,,"2021-01-07T10:46:33Z","2020-12-30T03:42:45Z||2021-01-07T10:46:33Z","2020-12","2020-12-11",,"application/pdf","10.3929/ethz-b-000458709",,"1748-9326||1748-9318",,"10.1088/1748-9326/abcac7","http://hdl.handle.net/20.500.11850/458709","en","Institute of Physics","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Deforestation||Fire||Amazon||Forest policy||Land-use change||Tropical moist forest","Recent deforestation drove the spike in Amazonian fires","Journal Article","Open access",,,"2020-12-30T03:42:49Z",,,,"yes",,,,,,,,,,,,,,"000598694200001","Environ. Res. Lett.","12","Environmental Research Letters","15","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","09625","09625",,,"121003","Bristol","published",,,,,,,,,,,,,,"2021-01-07T10:46:41Z","2022-03-29T04:43:17Z","true","5 p.","WOS",,,,"publishedVersion",
"387200","20.500.11850/3","Sethi, Meera||Theobald, Elli J.||Breckheimer, Ian||Hille Ris Lambers, Janneke",,,,"2021-01-22T15:38:58Z","2021-01-22T15:29:01Z||2021-01-22T15:38:58Z","2020-12","2020-08-27","Plant reproductive phenology—the timing of reproduction—is shifting rapidly with global climate change. Many studies focus on flowering responses to climate, but few investigate how postflowering processes, such as how quickly plants develop from flowering to seed dispersal, respond to environmental factors. We examined the climatic drivers of postflowering phenology in 28 species of western North American subalpine meadow plants over large spatial and temporal climate gradients. We took a Bayesian hierarchical approach to address whether and how climate influences the time it takes for wildflower populations to transition from flower to seed. Our previous work on the same species demonstrated that the initiation of flowering depends on snowmelt timing, with warmer temperatures and soil moisture also playing a role. Here, we found that for the majority of the flowering community, the same climate drivers also affected the time it takes to move from flowering to seed dispersal. Climate‐sensitive species shortened flower–seed transitions when snow melted earlier, temperatures were warmer, and/or soil dried down more quickly—conditions we expect with higher frequency under climate change. Our work underscores the fact that predicting the impact of climate change on plant reproductive phenology demands empirical data on phases beyond flowering. Additionally, it suggests that some species face a future in which multiple environmental factors will push them towards more rapid transitions from flowering to postflowering phases, with potential effects on plants themselves and the many animal associates that rely on them, including frugivores and seed predators.",,,,"0012-9658||1939-9170",,"10.1002/ecy.3171","http://hdl.handle.net/20.500.11850/464917","en","Wiley",,,"Climate change||forbs||global warming||phenology||seed dispersal||species interactions","Early snowmelt and warmer, drier summers shrink postflowering transition times in subalpine wildflowers","Journal Article","Metadata only",,,"2021-01-22T15:29:08Z",,,,"yes",,,,,,,,,,,,"85096719926",,"000589339600001","Ecol.","12","Ecology","101","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09716 - Hille Ris Lambers, Janneke / Hille Ris Lambers, Janneke","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09716 - Hille Ris Lambers, Janneke / Hille Ris Lambers, Janneke","09716","09716",,,"e03171","Hoboken, NJ","published",,,,,,,,,,,,,,"2021-01-22T15:39:06Z","2022-03-29T04:56:25Z","true","11 p.","BATCH",,,,,
"381376","20.500.11850/3","Pereira, Danilo||McDonald, Bruce||Croll, Daniel",,,,"2020-12-22T11:00:56Z","2020-12-22T03:42:38Z||2020-12-22T11:00:56Z","2020-12","2020-09-28","Containing fungal diseases often depends on the application of fungicidal compounds. Fungicides can rapidly lose effectiveness due to the rise of resistant individuals in populations. However, the lack of knowledge about resistance mutations beyond known target genes challenges investigations into pathways to resistance. We used whole-genome sequencing data and association mapping to reveal the multilocus genetic architecture of fungicide resistance in a global panel of 159 isolates of Parastagonospora nodorum, an important fungal pathogen of wheat. We found significant differences in azole resistance among global field populations. The populations evolved distinctive combinations of resistance alleles which can interact when co-occurring in the same genetic background. We identified 34 significantly associated single nucleotide polymorphisms located in close proximity to genes associated with fungicide resistance in other fungi, including a major facilitator superfamily transporter. Using fungal colony growth rates and melanin production at different temperatures as fitness proxies, we found no evidence that resistance was constrained by genetic trade-offs. Our study demonstrates how genome-wide association studies of a global collection of pathogen strains can recapitulate the emergence of fungicide resistance. The distinct complement of resistance mutations found among populations illustrates how the evolutionary trajectory of fungicide adaptation can be complex and challenging to predict.","application/pdf","10.3929/ethz-b-000457969",,"1759-6653",,"10.1093/gbe/evaa203","http://hdl.handle.net/20.500.11850/457969","en","Oxford University Press","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"The Genetic Architecture of Emerging Fungicide Resistance in Populations of a Global Wheat Pathogen","Journal Article","Open access",,,"2020-12-22T03:42:45Z",,,,"yes",,,,,,,,,,,,"85097486564",,"000606568300003","Genome Biol Evol","12","Genome Biology and Evolution","12","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce","03516","03516",,"2244","2231","Oxford","published",,,,,,,,,,,,,,"2020-12-22T11:01:05Z","2022-03-29T04:39:05Z","true",,"SCOPUS",,,,"publishedVersion",
"360812","20.500.11850/3","Bramon Mora, Bernat||Shin, Eura||CaraDonna, Paul J.||Stouffer, Daniel B.",,,,"2020-08-24T09:21:34Z","2020-08-22T02:57:04Z||2020-08-24T09:21:34Z","2020-12","2020-08-14","Ecological communities often show changes in populations and their interactions over time. To date, however, it has been challenging to effectively untangle the mechanisms shaping such dynamics. One approach that has yet to be fully explored is to treat the varying structure of empirical communities—i.e. their network of interactions—as time series. Here, we follow this approach by applying a network-comparison technique to study the seasonal dynamics of plant-pollinator networks. We find that the structure of these networks is extremely variable, where species constantly change how they interact with each other within seasons. Most importantly, we find the holistic dynamic of plants and pollinators to be remarkably coherent across years, allowing us to reveal general rules by which species first enter, then change their roles, and finally leave the networks. Overall, our results disentangle key aspects of species’ interaction turnover, phenology, and seasonal assembly/disassembly processes in empirical plant-pollinator communities.","application/pdf","10.3929/ethz-b-000432237",,"2041-1723",,"10.1038/s41467-020-17894-y","http://hdl.handle.net/20.500.11850/432237","en","Nature Publishing Group","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Untangling the seasonal dynamics of plant-pollinator communities","Journal Article","Open access",,,"2020-08-22T02:57:13Z",,,,"yes",,,,,,,,,,,,"85089426475",,"000564154300008","Nat Commun","1","Nature Communications","11","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)","09666","09666",,,"4086","London","published",,,,,,,,,,,,,,"2020-08-24T09:21:45Z","2023-02-06T20:22:47Z","true","9 p.","SCOPUS",,,,"publishedVersion",
"387210","20.500.11850/3","Manzanedo, Rubén D.||Hille Ris Lambers, Janneke||Rademacher, Tim T.||Pederson, Neil",,,,"2021-01-22T15:45:26Z","2021-01-22T15:26:41Z||2021-01-22T15:45:26Z","2020-12","2020-10-26","Changes in the temporal coherence between populations, which can influence their stability, resilience and persistence, remain a critical uncertainty of climate change. Recent studies have documented increasing spatial synchrony between populations at continental scales and linked it to anthropogenic climate change. However, the lack of long-term and global baseline perspectives on spatial synchrony presents a challenge to understanding the importance of these trends. Here, we show a steady rise in the spatial synchrony of annual tree growth from a global tree ring database over the past 50 years that is consistent across continents, species and environmental conditions and is unprecedented for the past millennium. Increasing growth synchrony coincided with warming trends and potentially rising synchrony in the temperature records. We discuss the potential driving mechanisms and the limitations in the interpretation of this trend, and we propose that increasing mutual dependency on external factors (also known as Moran’s effect) linked to rising global temperatures is the most likely driver of more homogeneous global growth dynamics.",,,,"2397-334X",,"10.1038/s41559-020-01306-x","http://hdl.handle.net/20.500.11850/464914","en","Nature Publishing Group",,,"Forest ecology||Macroecology||Palaeoecology||Population dynamics","Evidence of unprecedented rise in growth synchrony from global tree ring records","Journal Article","Metadata only",,,"2021-01-22T15:26:49Z",,,,"yes",,,,,,,,,,,,"85093971231",,"000583934400004","Nat Ecol Evol","12","Nature Ecology & Evolution","4","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09716 - Hille Ris Lambers, Janneke / Hille Ris Lambers, Janneke","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09716 - Hille Ris Lambers, Janneke / Hille Ris Lambers, Janneke","09716","09716",,"1629","1622","London","published",,,,,,,,,,,,,"true","2021-01-22T15:45:35Z","2022-03-29T04:56:26Z","true",,"BATCH",,,,,
"392775","20.500.11850/3","San Roman, Magdalena||Wagner, Andreas",,"Kiran Raosaheb Patil",,"2021-02-26T17:28:23Z","2021-01-27T10:34:44Z||2021-02-26T17:28:23Z","2020-11-30",,"The evolution of cross-feeding among individuals of the same species can help generate genetic and phenotypic diversity even in completely homogeneous environments. Cross-feeding Escherichia coli strains, where one strain feeds on a carbon source excreted by another strain, rapidly emerge during experimental evolution in a chemically minimal environment containing glucose as the sole carbon source. Genome-scale metabolic modeling predicts that cross-feeding of 58 carbon sources can emerge in the same environment, but only cross-feeding of acetate and glycerol has been experimentally observed. Here we use metabolic modeling to ask whether acetate and glycerol cross-feeding are especially likely to evolve, perhaps because they require less metabolic change, and thus perhaps also less genetic change than other cross-feeding interactions. However, this is not the case. The minimally required metabolic changes required for acetate and glycerol cross feeding affect dozens of chemical reactions, multiple biochemical pathways, as well as multiple operons or regulons. The complexity of these changes is consistent with experimental observations, where cross-feeding strains harbor multiple mutations. The required metabolic changes are also no less complex than those observed for multiple other of the 56 cross feeding interactions we study. We discuss possible reasons why only two cross-feeding interactions have been discovered during experimental evolution and argue that multiple new cross-feeding interactions may await discovery.","application/pdf","10.3929/ethz-b-000465966",,"1553-734X||1553-7358",,"10.1371/journal.pcbi.1008433","http://hdl.handle.net/20.500.11850/465966","en","Public Library of Science","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Acetate and glycerol are not uniquely suited for the evolution of cross-feeding in E. coli","Journal Article||Journal Article","Open access",,,"2021-01-27T10:34:52Z",,,,"no",,,,,,,,,,"84427218",,"85097148421",,"000595962300008","PLOS comput. biol.","11","PLoS Computational Biology","16","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian","03584","03584",,,"e1008433","San Francisco, CA","published",,,,,,,,,,,,,,"2021-02-26T17:28:40Z","2022-03-29T05:29:34Z","true","21 p.","FORM",,,,"publishedVersion",
