id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.editor,dc.contributor.projectLeader,dc.contributor.projectMember,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.created,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.code.jel,ethz.date.collected,ethz.date.deposited,ethz.date.retentionend,ethz.date.retentionendDate,ethz.doipreview,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.orcidWorkCode,ethz.identifier.pubmed,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.isNewVersionOf,ethz.relation.isOriginalFormOf,ethz.relation.isPartOf,ethz.relation.isVariantFormOf,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"473440","20.500.11850/3","Sillett, Stephen C.||Antoine, Marie E.||Carroll, Allyson L.||Graham, Mark E.||Chin, Alana R.O.||Van Pelt, Robert",,,,,,"2022-10-28T10:29:27Z","2022-10-28T03:21:18Z||2022-10-28T10:29:27Z",,"2022-12-15","2022-10-18","Heavily exploited for its reddish, decay-resistant heartwood, the tallest conifer, Sequoia sempervirens, is a major component of coastal forests from extreme southwestern Oregon to California's Santa Lucia Mountains. Primary Sequoia forests are now restricted to < 5 % of their former distribution, and mature secondary forests with trees over 60 m tall are even scarcer due to repeated logging. Leveraging allometric equations recently derived from intensive work in both forest types, we climbed, measured, and core-sampled 235 trees in 45 locations distributed across the species range to examine growth trends and understand how tall Sequoia are responding to recent environmental changes. Paired samples of sapwood and heartwood collected along the height gradient were used to quantify Sequoia investment in decay resistance. During the 20th century, trees in most locations began producing more wood than expected for their size with this growth surge becoming pronounced after 1970 and ending around 2000. Radial increments—ring widths—correlate with climatic variables related to water availability, and these relationships are strengthening as temperatures rise. Sensitivity to drought increased from north to south along a 6° latitudinal gradient of decreasing precipitation and summer fog frequency. Sequoia trees north of 40° were least sensitive to drought, producing similar biomass annually during dry and wet years, whereas trees farther south produced less biomass during individual drought years. Hotter 21st century drought barely affected Sequoia growth efficiency (biomass increment per unit leaf mass) north of 40° until the fourth consecutive year (2015), when growth efficiency dropped precipitously, recovering within two years. South of 40°, Sequoia trees exhibited steadily declining growth efficiency during the multi-year drought followed by recovery, but recovery did not occur south of 37° despite ample precipitation in 2017. Sequoia growth efficiency is currently highest in secondary forests north of 40°, where trees produce relatively small amounts of heartwood with the lowest decay resistance (least fungicide) while receiving the most nocturnal summer fog. Increasing sink limitations, whereby rising temperatures, drier air at night, and extreme tree height collectively lower turgor pressure to inhibit cambial activity, may reduce Sequoia growth efficiency while contributing to more durable biomass production. Heartwood and fungicide increments are higher in primary than secondary forests across the species range. Crown structural complexity promotes development of vascular epiphytes and arboreal soil habitats in Sequoia forests with sufficient moisture availability. These habitats are lacking in secondary forests and rare in primary forests south of 40°. After logging, restoration of tall Sequoia forests can be achieved via silviculture that maximizes height increments during early stand development and then retains some dominant trees in perpetuity, allowing them to gain full stature, produce increasingly decay-resistant heartwood, and support significant arboreal biodiversity.","application/pdf","10.3929/ethz-b-000578207",,"0378-1127||1872-7042",,"10.1016/j.foreco.2022.120573","http://hdl.handle.net/20.500.11850/578207","en","Elsevier","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/","Redwood||Growth efficiency||Hotter drought||Heartwood||Carbon sequestration||Biodiversity","Rangewide climatic sensitivities and non-timber values of tall Sequoia sempervirens forests",,"Journal Article","Open access",,,,,"2022-10-28T03:21:19Z",,,,"yes",,,,,,,,,,,,"85140143403",,"000887251500001","For. Ecol. Manag.",,"Forest Ecology and Management","526","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09716 - Hille Ris Lambers, Janneke / Hille Ris Lambers, Janneke","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09716 - Hille Ris Lambers, Janneke / Hille Ris Lambers, Janneke","09716","09716",,,"120573","Amsterdam","published",,,,,,,"2022-10-28T10:29:30Z","2023-02-07T07:23:41Z","true","36 p.","SCOPUS",,,"publishedVersion",
"495197","20.500.11850/41","Fischer, Martin C.||Reutimann, Oliver||Ulrich, Gabriel||Tschan, Jasmine Noëlle||Rayo, Enrique||Zemp, Niklaus||Ryffel, Andrea||Gugerli, Felix||Holderegger, Rolf||Widmer, Alex",,,,,,"2023-03-31T09:34:23Z","2022-12-20T09:57:02Z||2023-03-31T09:34:23Z",,"2022-12-13",,,,,,,,,"http://hdl.handle.net/20.500.11850/588352","en",,,,"Monitoring genetic diversity","Monitoring genetic diversity: A genomics-based pilot study for Switzerland",,"Presentation","Metadata only",,,,,"2022-12-20T09:57:02Z",,,,"yes","MEEGene: Museum Seminar für Evolutionäre und Umwelt-Genomik","December 13, 2022","Bonn, Deutschland",,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander","03706","03706","Zoologisches Forschungsmuseum Alexander Koenig am Leibniz Institute for the Analysis of Biodiversity Change",,,,"unpublished",,,,,,,"2023-03-31T09:34:24Z","2023-03-31T09:34:24Z","true",,"FORM",,,,
"481816","20.500.11850/3","Schaal, Kaitlin A.||Yu, Yuen-Tsu Nicco||Vasse, Marie||Velicer, Gregory J.",,,,,,"2022-12-23T09:09:59Z","2022-12-22T05:21:48Z||2022-12-23T09:09:59Z",,"2022-12-12",,"BACKGROUND: Social defectors may meet diverse cooperators. Genotype-by-genotype interactions may constrain the ranges of cooperators upon which particular defectors can cheat, limiting cheater spread. Upon starvation, the soil bacterium Myxococcus xanthus cooperatively develops into spore-bearing fruiting bodies, using a complex regulatory network and several intercellular signals. Some strains (cheaters) are unable to sporulate effectively in pure culture due to mutations that reduce signal production but can exploit and outcompete cooperators within mixed groups. RESULTS: In this study, interactions between a cheater disrupted at the signaling gene csgA and allopatrically diversified cooperators reveal a very small cheating range. Expectedly, the cheater failed to cheat on all natural-isolate cooperators owing to non-cheater-specific antagonisms. Surprisingly, some lab-evolved cooperators had already exited the csgA mutant's cheating range after accumulating fewer than 20 mutations and without experiencing cheating during evolution. Cooperators might also diversify in the potential for a mutation to reduce expression of a cooperative trait or generate a cheating phenotype. A new csgA mutation constructed in several highly diverged cooperators generated diverse sporulation phenotypes, ranging from a complete defect to no defect, indicating that genetic backgrounds can limit the set of genomes in which a mutation creates a defector. CONCLUSIONS: Our results demonstrate that natural populations may feature geographic mosaics of cooperators that have diversified in their susceptibility to particular cheaters, limiting defectors' cheating ranges and preventing them from spreading. This diversification may also lead to variation in the phenotypes generated by any given cooperation-gene mutation, further decreasing the chance of a cheater emerging which threatens the persistence of cooperation in the system.","application/pdf","10.3929/ethz-b-000588754",,,,"10.1186/s12862-022-02094-7","http://hdl.handle.net/20.500.11850/588754","en","BioMed Central","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Cheating||Cooperation||Social evolution||Allopatric divergence||Myxococcus xanthus","Allopatric divergence of cooperators confers cheating resistance and limits effects of a defector mutation",,"Journal Article","Open access",,,,,"2022-12-22T05:21:48Z",,,,"yes",,,,"Experimental evolution of motile social bacteria||Mechanisms and indirect effects of adaptation by actively motile populations of Myxococcus xanthus","160005||182830","10.13039/501100001711||10.13039/501100001711","SNF||SNF","Projekte Lebenswissenschaften||Exzellenzbeitrag in Lebenswissenschaften",,,,"85143993208",,"000897361500001",,"1","BMC Ecology and Evolution","22","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03939 - Velicer, Gregory J. / Velicer, Gregory J.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03939 - Velicer, Gregory J. / Velicer, Gregory J.","03939","03939",,,"141","London","published",,,,,,,"2022-12-23T09:10:00Z","2023-02-07T09:13:02Z","true","14 p.","SCOPUS",,,"publishedVersion",
"497196","20.500.11850/10","Ulrich, Gabriel||Rayo, Enrique||Guggisberg, Alessia||Fior, Simone||Fischer, Martin C.||Widmer, Alex",,,,,,"2023-04-20T10:49:48Z","2022-12-14T13:22:08Z||2023-04-20T10:49:48Z",,"2022-12-07",,,,,,,,,"http://hdl.handle.net/20.500.11850/587150","en","Zurich-Basel Plant Science Center",,,,"Sampling historical DNA to assess the impact of habitat loss on genetic diversity in a peatland-specialist",,"Other Conference Item","Metadata only","PSC Symposium 2022: From Place to Space - Tracing the Spatial Dimension of Plant Sciences",,,,"2022-12-14T13:22:08Z",,,,"yes","PSC Symposium 2022: From Place to Space - Tracing the Spatial Dimension of Plant Sciences","December 7, 2022","Zurich, Switzerland",,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander",,"03706",,"Poster abstract.","50","50","Zurich","published",,,"https://pscsymposium2022.ethz.ch/booklet/",,,,"2023-04-20T10:49:50Z","2023-04-20T10:49:50Z","true",,"FORM",,,,
"466566","20.500.11850/3","Somerville, Vincent||Schowing, Thibault||Chabas, Hélène||Schmidt, Remo S.||von Ah, Ueli||Bruggmann, Rémy||Engel, Philipp",,,,,,"2022-09-06T07:44:39Z","2022-09-04T05:24:14Z||2022-09-06T07:44:39Z",,"2022-12","2022-08-27","Background Phages are key drivers of genomic diversity in bacterial populations as they impose strong selective pressure on the evolution of bacterial defense mechanisms across closely related strains. The pan-immunity model suggests that such diversity is maintained because the effective immune system of a bacterial species is the one distributed across all strains present in the community. However, only few studies have analyzed the distribution of bacterial defense systems at the community-level, mostly focusing on CRISPR and comparing samples from complex environments. Here, we studied 2778 bacterial genomes and 188 metagenomes from cheese-associated communities, which are dominated by a few bacterial taxa and occur in relatively stable environments.  Results We corroborate previous laboratory findings that in cheese-associated communities nearly identical strains contain diverse and highly variable arsenals of innate and adaptive (i.e., CRISPR-Cas) immunity systems suggesting rapid turnover. CRISPR spacer abundance correlated with the abundance of matching target sequences across the metagenomes providing evidence that the identified defense repertoires are functional and under selection. While these characteristics align with the pan-immunity model, the detected CRISPR spacers only covered a subset of the phages previously identified in cheese, providing evidence that CRISPR does not enable complete immunity against all phages, and that the innate immune mechanisms may have complementary roles.  Conclusions Our findings show that the evolution of bacterial defense mechanisms is a highly dynamic process and highlight that experimentally tractable, low complexity communities such as those found in cheese, can help to understand ecological and molecular processes underlying phage-defense system relationships. These findings can have implications for the design of robust synthetic communities used in biotechnology and the food industry.","application/pdf","10.3929/ethz-b-000568693",,"2049-2618",,"10.1186/s40168-022-01328-6","http://hdl.handle.net/20.500.11850/568693","en","BioMed Central","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Bacteriophage-host interaction||Microbial ecology||Evolutionary dynamics||Shotgun metagenomics","Extensive diversity and rapid turnover of phage defense repertoires in cheese-associated bacterial communities",,"Journal Article","Open access",,,,,"2022-09-04T05:24:56Z",,,,"yes",,,,,,,,,,,,"85137075482",,"000845030900001",,"1","Microbiome","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03584 - Bonhoeffer, Sebastian / Bonhoeffer, Sebastian","03584","03584",,,"137","London","published",,,,,,,"2022-09-06T07:44:57Z","2023-02-07T05:59:19Z","true","13 p.","WOS",,,"publishedVersion",
"479119","20.500.11850/3","Piccardi, Philippe||Alberti, Géraldine||Alexander, Jake M.||Mitri, Sara",,,,,,"2022-12-07T12:59:58Z","2022-09-23T03:03:34Z||2022-09-27T08:18:38Z||2022-12-07T12:59:58Z",,"2022-12","2022-09-14","Predicting whether microbial invaders will colonize an environment is critical for managing natural and engineered ecosystems, and controlling infectious disease. Invaders often face competition by resident microbes. But how invasions play out in communities dominated by facilitative interactions is less clear. We previously showed that growth medium toxicity can promote facilitation between four bacterial species, as species that cannot grow alone rely on others to survive. Following the same logic, here we allowed other bacterial species to invade the four-species community and found that invaders could more easily colonize a toxic medium when the community was present. In a more benign environment instead, invasive species that could survive alone colonized more successfully when the residents were absent. Next, we asked whether early colonists could exclude future ones through a priority effect, by inoculating the invaders into the resident community only after its members had co-evolved for 44 weeks. Compared to the ancestral community, the co-evolved resident community was more competitive toward invaders and less affected by them. Our experiments show how communities may assemble by facilitating one another in harsh, sterile environments, but that arriving after community members have co-evolved can limit invasion success.","application/pdf","10.3929/ethz-b-000572437",,"1751-7362||1751-7370",,"10.1038/s41396-022-01314-8","http://hdl.handle.net/20.500.11850/572437","en","Nature","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Microbial ecology","Microbial invasion of a toxic medium is facilitated by a resident community but inhibited as the community co-evolves",,"Journal Article","Open access",,,,,"2022-09-23T03:03:41Z",,,,"yes",,,,"Novel`interactions and species’ responses to climate change","678841","10.13039/501100000780","EC","H2020",,,,"85138288386",,"000854686200001","ISME J","12","The ISME Journal","16","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)","09666","09666",,"2652","2644","London","published",,,,,,,"2022-12-07T12:59:59Z","2023-02-07T08:34:00Z","true",,"WOS",,,"publishedVersion",
"480766","20.500.11850/4","Tomanović, Željko||Kavallieratos, Nickolas G.||Ye, Zhengpei||Nika, Erifili P.||Petrović, Andjeljko||Vollhardt, Ines M.G.||Vorburger, Christoph",,,,,,"2022-12-16T11:22:31Z","2022-12-15T15:15:43Z||2022-12-16T11:19:41Z||2022-12-16T11:22:31Z",,"2022-12","2022-12-12","Cereals are very common and widespread crops in Europe. Aphids are a diverse group of herbivorous pests on cereals and one of the most important limiting factors of cereal production. Here, we present an overview of knowledge about the taxonomy, biodiversity, and ecology of cereal aphid parasitoids in Europe, an important group of natural enemies contributing to cereal aphid control. We review the knowledge obtained from the integrative taxonomy of 26 cereal aphid primary parasitoid species, including two allochthonous species (Lysiphlebus testaceipes and Trioxys sunnysidensis) and two recently described species (Lipolexis labialis and Paralipsis brachycaudi). We further review 28 hyperparasitoid species belonging to three hymenopteran superfamilies and four families (Ceraphronoidea: Megaspillidae; Chalcidoidea: Pteromalidae, Encyrtidae; Cynipoidea: Figitidae). We also compile knowledge on the presence of secondary endosymbionts in cereal aphids, as these are expected to influence the community composition and biocontrol efficiency of cereal aphid parasitoids. To study aphid–parasitoid–hyperparasitoid food webs more effectively, we present two kinds of DNA-based approach: (i) diagnostic PCR (mainly multiplex PCR), and (ii) DNA sequence-based methods. Finally, we also review the effects of landscape complexity on the different trophic levels in the food webs of cereal aphids and their associated parasitoids, as well as the impacts of agricultural practices and environmental variation.","application/pdf","10.3929/ethz-b-000587507",,"2075-4450",,"10.3390/insects13121142","http://hdl.handle.net/20.500.11850/587507","en","MDPI","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","integrated taxonomy||secondary endosymbionts||landscape complexity||trophic levels||hymenopteran parasitoids","Cereal Aphid Parasitoids in Europe (Hymenoptera: Braconidae: Aphidiinae): Taxonomy, Biodiversity, and Ecology",,"Review Article","Open access",,,,,"2022-12-15T15:15:43Z",,,,"yes",,,,,,,,,,,,"85144638804",,"000902533900001",,"12","Insects","13","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03705 - Jokela, Jukka / Jokela, Jukka","03705","03705",,,"1142","Basel","published",,,,,,,"2022-12-16T11:19:42Z","2023-02-07T08:54:34Z","true","25 p.","BATCH",,,"publishedVersion",
"482914","20.500.11850/3","Anderegg, Jonas||Kirchgessner, Norbert||Kronenberg, Lukas||McDonald, Bruce",,,,,,"2023-01-04T15:48:19Z","2023-01-03T04:41:52Z||2023-01-04T15:48:19Z",,"2022-12","2022-12-20","Many necrotrophic plant pathogens utilize host-selective toxins or necrotrophic effectors during the infection process. We hypothesized that the chlorotic yellow halos frequently observed around necrotic lesions caused by the wheat pathogen Zymoseptoria tritici could result from the activity of necrotrophic effectors interacting with the products of toxin sensitivity genes. As an initial step toward testing this hypothesis, we developed an automated image analysis (AIA) workflow that could quantify the degree of yellow halo formation occurring in wheat leaves naturally infected by a highly diverse pathogen population under field conditions. This AIA based on statistical learning was applied to more than 10,000 naturally infected leaves collected from 335 wheat cultivars grown in a replicated field experiment. We estimated a high heritability (h2 = 0.71) for the degree of yellow halo formation, suggesting that this quantitative trait has a significant genetic component. Using genome-wide association mapping, we identified six chromosome segments significantly associated with the yellow halo phenotype. Most of these segments contained candidate genes associated with targets of necrotrophic effectors in other necrotrophic pathogens. Our findings conform with the hypothesis that toxin sensitivity genes could account for a significant fraction of the observed variation in quantitative resistance to Septoria tritici blotch.",,,,"0031-949X||1943-7684",,"10.1094/PHYTO-11-21-0465-R","http://hdl.handle.net/20.500.11850/589641","en","American Phytopathological Society",,,"Automated image analysis||Host-selective toxin||Machine learning||Phenomics","Automated Quantitative Measurement of Yellow Halos Suggests Activity of Necrotrophic Effectors in Septoria tritici Blotch",,"Journal Article","Metadata only",,,,,"2023-01-03T04:41:54Z",,,,"yes",,,,,,,,,,,,"85144638471",,"000935036700005",,"12","Phytopathology","112","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03894 - Walter, Achim / Walter, Achim","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03516 - McDonald, Bruce / McDonald, Bruce||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03894 - Walter, Achim / Walter, Achim","03516||03894","03516||03894",,"2573","2560","St. Paul, MN","published",,,,,,"true","2023-01-04T15:48:20Z","2023-02-07T09:37:42Z","true",,"SCOPUS",,,,
"492635","20.500.11850/3","Majic, Paco||Erten, E. Yagmur||Payne, Joshua L.",,,,,,"2023-03-10T09:43:27Z","2022-11-04T06:46:17Z||2022-11-04T11:44:39Z||2023-03-10T09:43:27Z",,"2022-12","2022-10-07","The adaptive potential of nonheritable somatic mutations has received limited attention in traditional evolutionary theory because heritability is a fundamental pillar of Darwinian evolution. We hypothesized that the ability of a germline genotype to express a novel phenotype via nonheritable somatic mutations can be selectively advantageous and that this advantage will channel evolving populations toward germline genotypes that constitutively express the phenotype. We tested this hypothesis by simulating evolving populations of developing organisms with an impermeable germline-soma separation navigating a minimal fitness landscape. The simulations revealed the conditions under which nonheritable somatic mutations promote adaptation. Specifically, this can occur when the somatic mutation supply is high, when few cells with the advantageous somatic mutation are required to increase organismal fitness, and when the somatic mutation also confers a selective advantage at the cellular level. We therefore provide proof of principle that nonheritable somatic mutations can promote adaptive evolution via a process we call ""somatic genotypic exploration."" We discuss the biological plausibility of this phenomenon as well as its evolutionary implications.","application/pdf","10.3929/ethz-b-000579348",,"0003-0147||1537-5323",,"10.1086/721766","http://hdl.handle.net/20.500.11850/579348","en","University of Chicago Press","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/","somatic mutations||Weissman||evolutionary theory||development||adaptive landscape||multilevel selection","The Adaptive Potential of Nonheritable Somatic Mutations",,"Journal Article","Open access",,,,,"2022-11-04T06:46:37Z",,,,"yes",,,,"Regulatory logic and the evolution of promoter complexity","170604","10.13039/501100001711","SNF","SNF-Förderungsprofessuren Stufe 2",,,,"85142244578",,"000873937100001","Amer Natur","6","The American Naturalist","200","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09613 - Payne, Joshua / Payne, Joshua","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09613 - Payne, Joshua / Payne, Joshua","09613","09613",,"772","755","Chicago, IL","published",,,,,,"true","2023-03-10T09:43:28Z","2023-03-10T09:43:28Z","true",,"WOS",,,"publishedVersion",
"498984","20.500.11850/10","Reutimann, Oliver||Fischer, Martin C.||Ulrich, Gabriel||Gugerli, Felix||Holderegger, Rolf||Widmer, Alex",,,,,,"2023-05-08T14:22:58Z","2022-12-14T13:14:46Z||2022-12-16T07:56:21Z||2023-01-03T11:46:28Z||2023-05-08T14:22:58Z",,"2022-12",,,,,,,,,"http://hdl.handle.net/20.500.11850/587147","en","Zurich-Basel Plant Science Center",,,,"Developing a sampling design for a genetic diversity monitoring program in Switzerland",,"Other Conference Item","Metadata only","From Place to Space - Tracing the Spatial Dimension of Plant Sciences. PSC Symposium 2022",,,,"2022-12-14T13:14:46Z",,,,"yes","Plant Science Symposium 2022","December 7, 2022","Zurich, Switzerland",,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander",,"03706",,"Poster flash talk","44","44","Zurich","published",,,,,,"true","2022-12-16T07:56:22Z","2023-02-07T09:16:35Z","true",,"FORM",,,,
