id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.relation.isnodouble,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit
"103897","20.500.11850/4","Blumer, Yann B.||Moser, Corinne||Patt, Anthony||Seidl, Roman",,,"2017-06-11T19:11:41Z","2017-06-11T19:11:41Z","2015-12",,,,,,"1364-0321",,"10.1016/j.rser.2015.07.081","http://hdl.handle.net/20.500.11850/103930","en","Elsevier",,,,"Energy security||Energy transition||Energy system visions||Renewables||Switzerland","The precarious consensus on the importance of energy security: Contrasting views between Swiss energy users and experts","Review Article","Metadata only",,,"2017-06-11T19:12:07Z","pub:162476",,"yes",,,,,,,,,,"imp593653733870591180","001886907","84939824836",,"000367757800078","Renew. sustain. energy rev.",,"Renewable and Sustainable Energy Reviews","52","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","02351||09451","02351||09451","Received 7 January 2014, Revised 14 July 2015, Accepted 15 July 2015, Available online 25 August 2015.","936","927","Amsterdam","published",,,,,"2017-07-12T23:38:23Z","2018-11-02T19:51:47Z","true",,"ECIT",,,
"306434","20.500.11850/14","Garrett, Rachael||Latawiec, Agnieszka E.","Latawiec, Agnieszka E.||Agol, Dorice",,"2019-08-24T14:25:13Z","2019-08-21T14:12:52Z||2019-08-24T14:25:13Z","2015-12",,,,,"978-3-11-045050-7",,,"10.1515/9783110450507-006","http://hdl.handle.net/20.500.11850/359733","en","De Gruyter Open",,,,,"What are sustainability indicators for?","Book Chapter","Metadata only","Sustainability Indicators in Practice",,"2019-08-21T14:13:00Z",,,"no",,,,,,,,,,,,,,,,,"Sustainability Indicators in Practice",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","09659","09659",,"22","12","Warsaw, Poland","published",,,,,"2019-08-24T14:25:22Z","2019-08-24T14:25:22Z","true",,"FORM",,,
"464002","20.500.11850/4","Seidl, Roman",,,"2022-08-22T07:24:31Z","2017-06-11T17:39:16Z||2017-12-12T14:25:16Z||2017-12-12T16:00:03Z||2022-08-22T07:24:31Z","2015-12","2015-05-22","The participation of nonscientists in modeling projects/studies is increasingly employed to fulfill different functions. However, it is not well investigated if and how explicitly these functions and the dynamics of a participatory process are reflected by modeling projects in particular. In this review study, I explore participatory modeling projects from a functional-dynamic process perspective. The main differences among projects relate to the functions of participation—most often, more than one per project can be identified, along with the degree of explicit reflection (i.e., awareness and anticipation) on the dynamic process perspective. Moreover, two main approaches are revealed: participatory modeling covering diverse approaches and companion modeling. It becomes apparent that the degree of reflection on the participatory process itself is not always explicit and perfectly visible in the descriptions of the modeling projects. Thus, the use of common protocols or templates is discussed to facilitate project planning, as well as the publication of project results. A generic template may help, not in providing details of a project or model development, but in explicitly reflecting on the participatory process. It can serve to systematize the particular project’s approach to stakeholder collaboration, and thus quality management.","application/pdf","10.3929/ethz-b-000220340",,"0044-7447||1654-7209","http://hdl.handle.net/20.500.11850/220308||http://hdl.handle.net/20.500.11850/101194","10.1007/s13280-015-0670-8","http://hdl.handle.net/20.500.11850/220340","en","Royal Swedish Academy of Sciences",,"In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/","Modeling||Stakeholders||Review||Functions of participation||Transdisciplinarity||Interdisciplinarity","A functional-dynamic reflection on participatory processes in modeling projects","Review Article","Open access",,,"2017-06-11T17:40:12Z","pub:158848",,"yes",,,,,,,,,,"imp59365333a6de923812",,"84947494667",,"000365268600004","Ambio","8","Ambio","44","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351","It was possible to publish this article open access thanks to a Swiss National Licence with the publisher.","765","750","Stockholm","published",,,,,"2017-12-12T15:56:48Z","2023-02-07T05:27:41Z","true",,"ECIT||FORM",,,"publishedVersion"
"212814","20.500.11850/21","Zabel, Astrid||Lieberherr, Eva||Rappo, Antoinette",,,"2018-01-23T08:32:14Z","2018-01-22T15:25:43Z||2018-01-23T08:14:57Z||2018-01-23T08:22:50Z||2018-01-23T08:32:14Z","2015-11",,,"application/pdf","10.3929/ethz-b-000232551",,,,,"http://hdl.handle.net/20.500.11850/232551","de","ETH Zürich, Natural Resource Policy Group (NARP)","106650||125169","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Weiterentwicklung der Waldpolitik 2020: Analyse der Anliegen der Waldstakeholder","Report","Open access",,,"2018-01-22T15:25:43Z",,,"yes",,,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","08693","08693",,,,"Zürich","published",,,"10.3929/ethz-b-000232473",,"2018-01-23T08:22:55Z","2021-02-14T21:59:40Z","true","41 p.","FORM",,"Projektbericht im Auftrag des Bundesamts für Umwelt (BAFU)",
"105276","20.500.11850/3","Stechow, Christoph von||McCollum, David||Riahi, K.||Minx, Jan C.||Kriegler, Elmar||Vuuren, Detlef P. van||Jewell, Jessica||Robledo Abad, Carmenza||Hertwich, Edgar||Tavoni, Massimo||Mirasgedis, Sevastianos||Lah, Oliver||Roy, Joyashree||Mulugetta, Yacob||Dubash, Navroz K.||Bollen, Johannes||Ürge-Vorsatz, Diana||Edenhofer, Ottmar",,,"2017-06-11T19:54:01Z","2017-06-11T19:54:01Z","2015-11",,,,,,"1543-5938||1545-2050",,"10.1146/annurev-environ-021113-095626","http://hdl.handle.net/20.500.11850/105309","en","Annual Reviews",,,,"Welfare-theoretical framework||Multiple objectives||Cobenefits||Air quality||Energy security||Energy efficiency||Energy demand reduction","Integrating Global Climate Change Mitigation Goals with Other Sustainability Objectives","Journal Article","Metadata only",,,"2017-06-11T19:54:28Z","pub:164913",,"yes",,,,,,,,,,"imp5936538f6f68114889","004461593","84946828546",,"000364397100014","Annu. Rev. Environ. Resourc.",,"Annual Review of Environment and Resources","40","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","09451||02351","09451||02351","Published online 24 September 2015.","394","364","Palo Alto, CA","published",,,,,"2017-07-20T15:54:52Z","2022-03-28T14:10:14Z","true",,"ECIT",,"A Synthesis",
"103642","20.500.11850/3","Schmidt, Peter||Lilliestam, Johan",,,"2017-06-11T19:05:43Z","2017-06-11T19:05:43Z","2015-11",,,,,,"2214-6296",,"10.1016/j.erss.2015.07.003","http://hdl.handle.net/20.500.11850/103675","en","Elsevier",,,,"Cost-benefit analysis||Electricity transmission planning||Europe||Public opposition","Reducing or fostering public opposition? A critical reflection on the neutrality of pan-European cost-benefit analysis in electricity transmission planning","Journal Article","Metadata only",,,"2017-06-11T19:06:45Z","pub:162075",,"yes",,,,,,,,,,"imp5936536d5f5c629857","010152760","84939146975",,,,,"Energy Research & Social Science","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,"122","114","Amsterdam","published",,,,,"2017-07-18T08:25:15Z","2023-02-06T13:00:28Z","true",,"ECIT",,,
"463362","20.500.11850/3","McMahon, Rosemarie||Stauffacher, Michael||Knutti, Reto",,,"2022-08-17T07:57:46Z","2017-06-11T20:30:39Z||2022-08-17T07:57:46Z","2015-11","2015-07-25","The reports published by the Intergovernmental Panel on Climate Change (IPCC) are comprehensive assessments of the scientific knowledge and uncertainties surrounding climate projections. They combine well-formed language with supporting graphical evidence and have the objective to inform policymakers. One of the most discussed and widely distributed visual in these reports is the graph, showing the global surface temperature evolution for the 21st century as simulated by climate models for various emission scenarios, which is part of the Summary for Policymakers (SPM) and the Working Group I contribution to the Fourth Assessment Report (AR4). It displays two types of uncertainties, namely the socio-economic scenarios and response uncertainty due to imperfect knowledge and models. Through 43 in-depth interviews this graph and caption was empirically tested with a sample of people analogous to the SPM target audience. It was found that novice readers were unable to identify the two different types of uncertainties in this graph without substantial guidance. Instead they saw a great deal of uncertainty but falsely attributed it to the climate model(s) and ignored the scenario uncertainties. Our findings demonstrate how the choice of display can directly impact a reader’s perception of the scientific message. A failure to distinguish between these two types of uncertainties could lead to an overestimate of the response uncertainties, and an underestimation of socio-economic choices. We test this assumption and identify the difficulties non-technical audiences have with this graph and how this could inevitably impede its value as a decision support tool.","application/pdf","10.3929/ethz-b-000106219",,"0165-0009||1573-1480",,"10.1007/s10584-015-1473-4","http://hdl.handle.net/20.500.11850/106219","en","Springer",,"In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"The unseen uncertainties in climate change: reviewing comprehension of an IPCC scenario graph","Journal Article","Open access",,,"2017-06-11T20:30:53Z","pub:166322",,"yes",,,,,,,,,,"imp593653a29915756536","000040037","84951568661",,"000363483800002",,"2","Climatic Change","133","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","09451||03777||02351","09451||03777||02351","It was possible to publish this article open access thanks to a Swiss National Licence with the publisher.","154","141","Dordrecht","published",,,,,"2017-07-25T10:22:27Z","2023-02-07T05:21:34Z","true",,"ECIT",,,"publishedVersion"
"106159","20.500.11850/3","Tendall, Danielle||Jörin, Jonas||Kopainsky, B.||Edward, Peter||Shreck, Aimee||Le, Q.B.||Kruetli, Pius||Grant, Michelle||Six, Johan",,,"2017-06-11T20:30:23Z","2017-06-11T20:30:23Z","2015-10",,,,,,"2211-9124",,"10.1016/j.gfs.2015.08.001","http://hdl.handle.net/20.500.11850/106192","en","Elsevier",,,,"Resilience||Food system||Food security||Indicator||Participatory||Uncertainty","Food system resilience: Defining the concept","Journal Article","Metadata only",,,"2017-06-11T20:30:53Z","pub:166160",,"yes",,,,,,,,,,"imp593653a21f7a697461",,"84946737754",,"000368569500003",,,"Global Food Security","6","ETH Zürich::00002 - ETH Zürich, direkt::00012 - Lehre und Forschung, direkt::00007 - Departemente, direkt::02350 - Departement Umweltsystemwissenschaften / Department of Environmental Systems Science::02720 - Institut für Integrative Biologie (IBZ) / Institute of Integrative Biology (IBZ)::03393 - Edwards, Peter||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03982 - Six, Johan / Six, Johan||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich, direkt::00012 - Lehre und Forschung, direkt::00007 - Departemente, direkt::02350 - Departement Umweltsystemwissenschaften / Department of Environmental Systems Science::02720 - Institut für Integrative Biologie (IBZ) / Institute of Integrative Biology (IBZ)::03393 - Edwards, Peter||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03982 - Six, Johan / Six, Johan||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","03393||03982||02351||09451","03393||03982||02351||09451",,"23","17","Amsterdam","published",,,,,"2017-07-13T03:33:21Z","2021-02-14T13:28:24Z","true",,"ECIT",,,
"104817","20.500.11850/3","Perrone, Debra||Hornberger, George||van Vliet, Oscar||Velde, Marijn van der",,,"2017-06-11T19:39:46Z","2017-06-11T19:39:46Z","2015-10",,,,,,"1093-474X||1752-1688",,"10.1111/1752-1688.12301","http://hdl.handle.net/20.500.11850/104850","en","AWRA",,,,"Water allocation||Water resources management: planning||Water use||Water-use projections||Water-use trends","A Review of the United States' Past and Projected Water Use","Journal Article","Metadata only",,,"2017-06-11T19:39:52Z","pub:164137",,"yes",,,,,,,,,,"imp5936538668c3e14580","001752725","84942827051",,"000362369900003",,"5","Journal of the American Water Resources Association","51","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451","Published online 8 April 2015.","1191","1183","Middleburg, VA","published",,,,,"2017-07-13T18:16:16Z","2020-02-14T15:43:45Z","true",,"ECIT",,,
"101679","20.500.11850/3","Hirsch Hadorn, Gertrude||Brun, Georg||Soliva, Carla R.||Peter, Thomas",,,"2017-06-11T17:54:00Z","2017-06-11T17:54:00Z","2015-10",,,,,,"1462-9011||1873-6416",,"10.1016/j.envsci.2015.05.011","http://hdl.handle.net/20.500.11850/101712","en","Elsevier Science",,,,"Uncertainty||Decision making||Climate change||Timing strategy||Ruminant||Methane","Decision strategies for policy decisions under uncertainties: The case of mitigation measures addressing methane emissions from ruminants","Journal Article","Metadata only",,,"2017-06-11T17:54:46Z","pub:159671",,"yes",,,,,,,,,,"imp5936533f83b6a62781","001954517","84930211497",,"000358699600011","Environ. Sci. Policy",,"Environmental Science & Policy","52","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03428 - Kreuzer, Michael (emeritus) / Kreuzer, Michael (emeritus)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03517 - Peter, Thomas (emeritus) / Peter, Thomas (emeritus)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::08804 - Environmental Philosophy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03428 - Kreuzer, Michael (emeritus) / Kreuzer, Michael (emeritus)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03517 - Peter, Thomas (emeritus) / Peter, Thomas (emeritus)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::08804 - Environmental Philosophy","03428||03517||08804","03428||03517||08804","Received 29 January 2015, Revised 14 May 2015, Accepted 14 May 2015, Published online 28 May 2015.","119","110","Kidlington, Oxford","published",,,,,"2017-07-13T19:34:56Z","2023-02-06T12:56:16Z","true",,"ECIT",,,
