id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.relation.isnodouble,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.isCitedBy,ethz.relation.isPartOf,ethz.relation.isReferencedBy,ethz.relation.isSourceOf,ethz.relation.isVariantFormOf,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit
"306164","20.500.11850/3","Gil, Juliana D.B.||Garrett, Rachael||Berger, Thomas",,,"2019-08-22T11:11:58Z","2019-08-21T13:58:55Z||2019-08-22T11:11:58Z","2016-12-31","2016-10-08",,,,,"0264-8377||1873-5754",,"10.1016/j.landusepol.2016.09.022","http://hdl.handle.net/20.500.11850/359721","en","Elsevier",,,,"Integrated Systems||Sustainable intensification||Agricultural technology diffusion||Land cover change||Pasture degradation","Determinants of crop-livestock integration in Brazil: Evidence from the household and regional levels",,"Journal Article","Metadata only",,,"2019-08-21T13:59:05Z",,,,"no",,,,,,,,,,,,,,,"Land Use Policy",,"Land Use Policy","59","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","09659","09659",,"568","557","Amsterdam","published",,,,,,,,,"2019-08-22T11:12:09Z","2023-02-06T17:32:41Z","true",,"FORM",,,
"126909","20.500.11850/21","Souvignet, Maxime||Wieneke, Florian||Müller, Lea||Bresch, David N.",,,"2017-06-12T19:05:51Z","2017-06-12T19:05:51Z","2016-12",,"There is a growing consensus that climate change impacts should be considered in the development of adaptation strategies by decision makers at all levels. This requires identifying cost-efficient adaptation measures, resulting from a structured risk management approach. The Economics of Climate Adaptation (ECA) approach offers a unique contribution, which combines risk assessment, adaptation measures and risk transfer. Its results allow a flexible identification of cost-effective climate adaptation measures for a variety of projects and sectors. Recently, KfW decided to implement two pilot studies in Bangladesh and El Salvador using the ECA methodology. The main objectives were to support decision makers in developing their adaptation strategy and to develop a climate adaptation measures investment portfolio. Following the evaluation of these two pilot studies, the need to develop a document for practitioners has arisen. The ECA Guidebook aims at filling this gap while complementing the already existing ECA documentation and tools. This Guidebook is tailored for practitioners of developing projects, which promote resilience in developing countries. It aims also at 1) exploring whether ECA methodology is appropriate to the project’s goals and 2) offering step-by-step guidance while using the ECA methodology.",,,,,,,"http://hdl.handle.net/20.500.11850/126942","en","KfW Bankengruppe; United Nations University",,,,,"Economics of Climate Adaptation (ECA) - Guidebook for Practitioners",,"Report","Metadata only",,,"2017-06-12T19:06:12Z",,"pub:189736",,"yes",,,,,,,,,,"imp593655285c11e31419",,,,,,,"Materials on Development Financing","6","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576",,,,"Bonn, Germany","published",,,,,,,,,"2017-07-18T11:44:30Z","2018-11-03T01:57:22Z","true",,"ECIT",,,
"210679","20.500.11850/4","Scolobig, Anna||Lilliestam, Johan",,,"2018-01-17T13:41:05Z","2017-06-12T16:37:18Z||2018-01-17T13:41:05Z","2016-12","2016-11-08","Including stakeholder perspectives in environmental decision making is in many countries a legal requirement and is widely seen as beneficial as it can help increase decision legitimacy, likelihood of implementation, and quality of the outcome. Whereas the theoretical literature on stakeholder engagement is large, less attention has been devoted to comparing and discussing different methodological approaches. Here, we compare three approaches—multi-criteria analysis, plural rationality theory, and scenario construction—that include stakeholders’ perspectives in environmental decision making. We find differences between the approaches concerning the assumptions about stakeholder rationality and whether experts and/or stakeholders are in charge of framing the problem. Further differences concern the type of data input from stakeholders and how it is used by the experts, as well as the role of stakeholders and whether they are involved early—already for identifying options—or later in the process, for evaluating or ranking alternatives analyzed by the experts. The choice of approach thus predetermines the type and depth of stakeholder engagement. No approach is “better” than another, but they are suited for different problems and research aims: the choice of the approach, however, has a large impact on the results.","application/pdf","10.3929/ethz-b-000123133",,"2079-9276",,"10.3390/resources5040037","http://hdl.handle.net/20.500.11850/123133","en","MDPI",,"Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Multi-criteria analysis||Plural rationality theory||Scenario analysis||Knowledge co-production||Stakeholder engagement||Participatory processes||Environmental decisions","Comparing Approaches for the Integration of Stakeholder Perspectives in Environmental Decision Making",,"Review Article","Open access",,,"2017-06-12T16:37:49Z",,"pub:185509",,"yes",,,,,,,,,,"imp593654e72403a83663","010200998",,,"000388105700009",,"4","Resources","5","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,,"37","Basel","published",,,,,,,,,"2017-07-14T13:46:15Z","2021-02-14T21:53:01Z","true","16 p.","ECIT",,,"publishedVersion"
"221329","20.500.11850/3","Cisar, Sasha||Brumaud, Coralie||Habert, Guillaume||Hertzog, Alice",,,"2018-02-23T14:11:51Z","2017-11-22T13:49:07Z||2018-02-23T14:11:51Z||2017-11-23T08:38:47Z||2017-11-24T09:53:31Z","2016-12",,,,,,,"http://hdl.handle.net/20.500.11850/212344||http://hdl.handle.net/20.500.11850/212569",,"http://hdl.handle.net/20.500.11850/243706","fr","École d'architecture",,,,,"Grounded Materials ou de la matière ancrée",,"Journal Article","Metadata only",,,"2017-11-22T13:49:09Z",,,,"yes",,,,,,,,,,,,,,,,,"Le Philotope","12","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02604 - Inst. für Bau- & Infrastrukturmanagement / Inst. Construction&Infrastructure Manag.::03972 - Habert, Guillaume / Habert, Guillaume||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02100 - Dep. Architektur / Dep. of Architecture::02655 - Netzwerk Stadt und Landschaft D-ARCH","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02604 - Inst. für Bau- & Infrastrukturmanagement / Inst. Construction&Infrastructure Manag.::03972 - Habert, Guillaume / Habert, Guillaume||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","03972||02351||02655","03972||02351","MaT[i]erre[s]","286","279","Clermont-Ferrand","published",,,,,,,,,"2018-02-23T14:16:09Z","2022-03-28T19:16:22Z","true",,"FORM",,"Retour sur une expérience pédagogique zurichoise",
"116197","20.500.11850/3","Wissen Hayek, Ulrike||von Wirth, Timo||Neuenschwander, Noemi||Grêt-Regamey, Adrienne",,,"2017-06-12T05:48:09Z","2017-06-12T05:48:09Z","2016-12",,,,,,"0169-2046||1872-6062",,"10.1016/j.landurbplan.2016.05.015","http://hdl.handle.net/20.500.11850/116230","en","Elsevier",,,,"Collaborative planning||Geodesign||Societal values||GIS-based tools||Systems thinking||Regional and urban planning","Organizing and facilitating Geodesign processes: Integrating tools into collaborative design processes for urban transformation",,"Journal Article","Metadata only",,,"2017-06-12T05:50:12Z",,"pub:178087",,"yes",,,,,,,,,,"imp59365462f145342188","000034638",,,"000390969000010","Landsc. urban plan.",,"Landscape and Urban Planning","156","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02656 - Inst. f. Raum- und Landschaftsentw. / Inst Spatial and Landscape Development::03823 - Grêt-Regamey, Adrienne / Grêt-Regamey, Adrienne||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02100 - Dep. Architektur / Dep. of Architecture::02655 - Netzwerk Stadt und Landschaft D-ARCH::02226 - NSL - Netzwerk Stadt und Landschaft / NSL - Network City and Landscape||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02100 - Dep. Architektur / Dep. of Architecture::02655 - Netzwerk Stadt und Landschaft D-ARCH","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02656 - Inst. f. Raum- und Landschaftsentw. / Inst Spatial and Landscape Development::03823 - Grêt-Regamey, Adrienne / Grêt-Regamey, Adrienne","02351||03823||02226||02655","02351||03823","Published online 20 June 2016.","70","59","Amsterdam","published",,,,,,,,,"2017-07-31T16:13:48Z","2023-02-06T13:23:00Z","true",,"ECIT",,,
"125163","20.500.11850/3","Komendantova, Nadejda||Battaglini, Antonella",,,"2017-06-12T17:59:23Z","2017-06-12T17:59:23Z","2016-12",,,,,,"2214-6296",,"10.1016/j.erss.2016.10.001","http://hdl.handle.net/20.500.11850/125196","en","Elsevier",,,,"Energy transition||Public and social acceptance||Deployment of electricity transmission lines","Beyond Decide-Announce-Defend (DAD) and Not-in-My-Backyard (NIMBY) models? Addressing the social and public acceptance of electric transmission lines in Germany",,"Journal Article","Metadata only",,,"2017-06-12T17:59:30Z",,"pub:187777",,"yes",,,,,,,,,,"imp5936550bded5e74492","010152760",,,"000396395100021",,,"Energy Research & Social Science","22","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451","Received 27 April 2016, Revised 2 October 2016, Accepted 6 October 2016, Published online 24 October 2016.","231","224","Amsterdam","published",,,,,,,,,"2017-07-12T11:31:49Z","2023-02-06T13:37:43Z","true",,"ECIT",,,
"468635","20.500.11850/21","Steimer, Nora||Hansmann, Ralph",,,"2022-09-21T06:47:32Z","2017-06-12T19:05:42Z||2022-09-21T06:47:32Z","2016-11-17",,,,,,,,,"http://hdl.handle.net/20.500.11850/126923","de","ETH Zürich",,,,,"Raumpatenschaften für Sauberkeit im öffentlichen Raum zur Bekämpfung von Littering",,"Report","Metadata only",,,"2017-06-12T19:06:12Z",,"pub:189716",,"yes",,,,,,,,,,"imp593655281a72522196",,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,,,"Zurich","published",,,,,,,,,"2017-07-15T02:24:23Z","2023-02-07T06:26:58Z","true","71 p.","ECIT",,"Erarbeitung wissenschaftlicher Grundlagen zur Erstellung eines Leitfadens für die Realisierung von Raumpatenschaften in der Praxis",
"228047","20.500.11850/10","Schweizer, Rémi",,,"2018-03-28T14:06:10Z","2017-06-12T17:22:29Z||2018-03-28T14:06:10Z","2016-11",,,,,,,,,"http://hdl.handle.net/20.500.11850/124244","en","ETH Zurich",,,,,"""Environmental management situations"", new arenas for old dynamics? Thoughts from two cases in Switzerland",,"Other Conference Item","Metadata only",,,"2017-06-12T17:23:24Z",,"pub:186700",,"yes","Resource Lab Workshop on Water Governance Through Functional Regulatory Spaces (2016)","November 2-3, 2016","Chexbres, Switzerland",,,,,,,"imp593654f9f01ed10569",,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","08693","08693",,,,"Zurich","unpublished",,,,,,,,,"2018-03-28T14:06:14Z","2018-03-28T14:06:14Z","true",,"ECIT",,,
"323149","20.500.11850/3","Staffell, Iain||Pfenninger, Stefan",,,"2019-12-06T10:53:27Z","2017-06-12T11:59:08Z||2019-12-06T10:53:27Z","2016-11-01","2016-09-02","Reanalysis models are rapidly gaining popularity for simulating wind power output due to their convenience and global coverage. However, they should only be relied upon once thoroughly proven. This paper reports the first international validation of reanalysis for wind energy, testing NASA's MERRA and MERRA-2 in 23 European countries. Both reanalyses suffer significant spatial bias, overestimating wind output by 50% in northwest Europe and underestimating by 30% in the Mediterranean. We derive national correction factors, and show that after calibration national hourly output can be modelled with R2 above 0.95. Our underlying data are made freely available to aid future research.  We then assess Europe's wind resources with twenty-year simulations of the current and potential future fleets. Europe's current average capacity factor is 24.2%, with countries ranging from 19.5% (Germany) to 32.4% (Britain). Capacity factors are rising due to improving technology and locations; for example, Britain's wind fleet is now 23% more productive than in 2005. Based on the current planning pipeline, we estimate Europe's average capacity factor could increase by nearly a third to 31.3%. Countries with large stakes in the North Sea will see significant gains, with Britain's average capacity factor rising to 39.4% and Germany's to 29.1%.","application/pdf","10.3929/ethz-b-000120087",,"0360-5442||1873-6785",,"10.1016/j.energy.2016.08.068","http://hdl.handle.net/20.500.11850/120087","en","Elsevier",,"Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Capacity factor||Energy yield||Europe||Reanalysis||Wind farm||Wind power","Using bias-corrected reanalysis to simulate current and future wind power output",,"Journal Article","Open access",,,"2017-06-12T12:07:02Z",,"pub:182137",,"yes",,,,"Desertection - Social challenges of trans-Mediterranean renewable power cooperation","313553","10.13039/501100000780","EC","FP7",,"imp593654add0a5176832","000010764","84985910644",,"000387194800100","Energy",,"Energy","114","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,"1239","1224","Amsterdam","published",,,,,,,,,"2017-07-12T22:44:47Z","2019-12-06T10:53:46Z","true",,"ECIT",,,"publishedVersion"
"322665","20.500.11850/3","Pfenninger, Stefan||Staffell, Iain",,,"2019-12-04T12:47:57Z","2017-06-12T13:23:45Z||2019-12-04T12:47:57Z","2016-11","2016-09-06","Solar PV is rapidly growing globally, creating difficult questions around how to efficiently integrate it into national electricity grids. Its time-varying power output is difficult to model credibly because it depends on complex and variable weather systems, leading to difficulty in understanding its potential and limitations. We demonstrate how the MERRA and MERRA-2 global meteorological reanalyses as well as the Meteosat-based CM-SAF SARAH satellite dataset can be used to produce hourly PV simulations across Europe. To validate these simulations, we gather metered time series from more than 1000 PV systems as well as national aggregate output reported by transmission network operators. We find slightly better accuracy from satellite data, but greater stability from reanalysis data. We correct for systematic bias by matching our simulations to the mean bias in modeling individual sites, then examine the long-term patterns, variability and correlation with power demand across Europe, using thirty years of simulated outputs. The results quantify how the increasing deployment of PV substantially changes net power demand and affects system adequacy and ramping requirements, with heterogeneous impacts across different European countries. The simulation code and the hourly simulations for all European countries are available freely via an interactive web platform, www.renewables.ninja.","application/pdf","10.3929/ethz-b-000121026",,"0360-5442||1873-6785",,"10.1016/j.energy.2016.08.060","http://hdl.handle.net/20.500.11850/121026","en","Elsevier",,"Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Solar energy||Meteorological reanalysis||Satellite irradiance estimation||Renewables||Grid integration of renewables","Long-term patterns of European PV output using 30 years of validated hourly reanalysis and satellite data",,"Journal Article","Open access",,,"2017-06-12T13:27:27Z",,"pub:183110",,"yes",,,,,,,,,,"imp593654bed66f214330","000010764","84988369428",,"000387194800102","Energy",,"Energy","114","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,"1265","1251","Amsterdam","published",,,,,,,,,"2017-07-13T13:46:50Z","2019-12-04T12:48:10Z","true",,"ECIT",,,"publishedVersion"
