id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.code.jel,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.isCitedBy,ethz.relation.isNewVersionOf,ethz.relation.isOriginalFormOf,ethz.relation.isPartOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"202938","20.500.11850/3","Luederitz, Christopher||Schäpke, Niko||Wiek, Arnim||Lang, Daniel J.||Bergmann, Matthias||Bos, Joannette J.||Burch, Sarah||Davies, Anna||Evans, James||König, Ariane||Farrelly, Megan A.||Forrest, Nigel||Frantzeskaki, Niki||Gibson, Robert B.||Kay, Braden||Loorbach, Derk||McCormick, Kes||Parodi, Oliver||Rauschmayer, Felix||Schneidewind, Uwe||Stauffacher, Michael||Stelzer, Franziska||Trencher, Gregory||Venjakob, Johannes||Vergragt, Philip J.||von Wehrden, Henrik||Westley, Frances R.",,,"2017-12-13T13:52:23Z","2017-10-28T02:42:24Z||2017-12-13T13:52:23Z","2017-12-15","2016-09-03",,,,,"0959-6526",,"10.1016/j.jclepro.2016.09.005","http://hdl.handle.net/20.500.11850/201972","en","Elsevier",,,"Sustainability transformations||Analytical-evaluative framework||Transition labs||Real-world laboratories||Sustainability assessment||Sustainability transition experiments","Learning through evaluation – A tentative evaluative scheme for sustainability transition experiments",,"Journal Article","Metadata only",,,,"2017-10-28T02:42:26Z",,,,,,"yes",,,,,,,,,,,,"84995542947",,"000413377200007","J Cleaner Prod.",,"Journal of Cleaner Production","169","::ETH Zürich::00009 - ETH-nahe Einheiten||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","00009||02351","02351",,"76","61","Amsterdam","published",,,,,,,,"2017-12-13T13:52:26Z","2020-02-15T10:23:12Z","true",,"SCOPUS",,,,
"234846","20.500.11850/3","Scolobig, Anna",,,"2018-05-11T14:42:27Z","2017-11-21T14:21:25Z||2018-05-11T14:37:23Z||2018-05-11T14:42:27Z","2017-12-12",,,,,,,,"10.1142/S2345737617500105","http://hdl.handle.net/20.500.11850/211493","en","World Scientific",,,"Disaster risk reduction||small scale high impact events||legal conflicts||institutional and social processes||disaster root causes||unintended side effects","Understanding institutional deadlocks in disaster risk reduction: the financial and legal risk root causes in Genova, Italy",,"Journal Article","Metadata only",,,,"2017-11-21T14:21:27Z",,,,,,"yes",,,,,,,,,,,,,,,,"2","Journal of Extreme Events","4","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,,"1750010","Singapore","published",,,,,,,"true","2018-05-11T14:37:26Z","2018-05-11T14:42:33Z","true","26 p.","FORM",,,,
"242503","20.500.11850/3","Lieberherr, Eva||Leiren, Merethe Dotterud",,,"2018-07-06T14:09:40Z","2017-10-19T14:05:54Z||2017-10-26T09:06:33Z||2018-07-06T14:09:40Z","2017-12","2017-08-03",,,,,"2213-624X||2213-6258",,"10.1016/j.cstp.2017.07.007","http://hdl.handle.net/20.500.11850/198336","en","Elsevier",,,"Privatization||Outsourcing||Public service objectives||Transport||Water","Privatization, outsourcing and public service objectives: An explorative analysis of two network industries",,"Journal Article","Metadata only",,,,"2017-10-19T14:05:55Z",,,,,,"yes",,,,,,,,,,,,"85027407866",,,,"4","Case Studies on Transport Policy","5","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","08693","08693",,"689","681","Amsterdam","published",,,,,,,,"2018-07-06T14:09:42Z","2020-02-15T13:52:12Z","true",,"FORM",,,,
"213531","20.500.11850/3","Frick, Vivian||Seidl, Roman||Stauffacher, Michael||Moser, Corinne",,,"2018-01-24T11:23:19Z","2017-10-06T04:51:47Z||2017-11-21T16:10:57Z||2017-12-12T14:23:26Z||2018-01-24T11:23:19Z","2017-12","2017-07-16",,,,,"1570-646X||1570-6478","http://hdl.handle.net/20.500.11850/192301||http://hdl.handle.net/20.500.11850/220307","10.1007/s12053-017-9543-2","http://hdl.handle.net/20.500.11850/233579","en","Springer",,,"Intervention||Energy-saving behaviour||Social influence||Formal social group||Middle actor||Behaviour change","Promoting energy-saving behaviour: formal social groups as promising middle actors for municipal interventions",,"Journal Article","Metadata only",,,,"2017-10-06T04:51:48Z",,,,,,"yes",,,,,,,,,,,,"85024389012",,"000418070900013",,"6","Energy Efficiency","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,"1551","1539","Dordrecht","published",,,,,,,,"2018-01-24T11:23:23Z","2019-02-02T14:10:53Z","true",,"SCOPUS||FORM",,,,
"243638","20.500.11850/3","Skelton, Maurice||Porter, James J.||Dessai, Suraje||Bresch, David N.||Knutti, Reto",,,"2018-07-16T07:29:53Z","2017-06-12T21:00:23Z||2017-07-13T12:49:07Z||2018-07-16T07:29:53Z","2017-12","2017-04-26","This paper seeks to understand why climate information is produced differently from country to country. To do this, we critically examined and compared the social and scientific values that shaped the production of three national climate scenarios in the Netherlands, Switzerland and the UK. A comparative analysis of documentary materials and expert interviews linked to the climate scenarios was performed. Our findings reveal a new typology of use-inspired research in climate science for decision-making: (i) innovators, where the advancement of science is the main objective; (ii) consolidators, where knowledge exchanges and networks are prioritised; and (iii) collaborators, where the needs of users are put first and foremost. These different values over what constitutes ‘good’ science for decision-making are mirrored in the way users were involved in the production process: (i) elicitation, where scientists have privileged decision-making power; (ii) representation, where multiple organisations mediate on behalf of individual users; and (iii) participation, where a multitude of users interact with scientists in an equal partnership. These differences help explain why climate knowledge gains its credibility and legitimacy differently even when the information itself might not be judged as salient and usable. If the push to deliberately co-produce climate knowledge is not sensitive to the national civic epistemology at play in each country, scientist–user interactions may fail to deliver more ‘usable’ climate information.","application/pdf","10.3929/ethz-b-000130748",,"1436-3798||1436-378X",,"10.1007/s10113-017-1155-z","http://hdl.handle.net/20.500.11850/130748","en","Springer","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Climate scenarios||Adaptation||Decision-making||Co-production||Civic epistemology","The social and scientific values that shape national climate scenarios: a comparison of the Netherlands, Switzerland and the UK",,"Journal Article","Open access",,,,"2017-06-12T21:01:11Z",,,,"pub:193779",,"yes",,,,,,,,,,"imp5936556e348df33266","003869201","85018257377",,"000415136200012","Reg Environ Change","8","Regional Environmental Change","17","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","09576||03777","09576||03777",,"2338","2325","Heidelberg","published",,,,,,,,"2018-07-16T07:30:07Z","2022-03-28T20:39:44Z","true",,"ECIT",,,"publishedVersion",
"198620","20.500.11850/5","Patt, Anthony",,,"2017-11-27T10:55:31Z","2017-11-27T10:55:31Z||2017-10-06T05:25:52Z||2017-11-20T13:59:51Z","2017-12","2017-05-27","The tragedy of the commons provides a powerful narrative for a class of environmental problems, and serves to frame them in a way that allows people to identify effective solution strategies. But the problem frame also rests on a set of factual and value-based assumptions, and is inappropriate to guide decision-making when these assumptions are violated. The climate change mitigation challenge – reducing greenhouse gas emissions, mainly from the energy sector, to limit global warming to less than 1.5 or 2 °C – violates these assumptions. Climate change requires us not to reduce, but to completely prohibit greenhouse gas emissions. Before any such prohibition is feasible, it is first essential to develop a clean energy system that can meet our basic needs. The main barriers to this are not economic, but rather are associated with evolving knowledge, networks, and institutions. Framing climate change in evolutionary terms can help us to appraise policy options more effectively, and ultimate identify those that get us where we need to go.","application/pdf","10.3929/ethz-b-000192697",,"2214-6296","http://hdl.handle.net/20.500.11850/192697||http://hdl.handle.net/20.500.11850/213943","10.1016/j.erss.2017.05.023","http://hdl.handle.net/20.500.11850/214800","en","Elsevier","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Climate policy||Tragedy of the commons||Global commons problem||Technological transitions","Beyond the tragedy of the commons: Reframing effective climate change governance",,"Other Journal Item","Open access",,,,"2017-10-06T05:25:52Z",,,,,,"yes",,,,"Desertection - Social challenges of trans-Mediterranean renewable power cooperation","313553","10.13039/501100000780","EC","FP7",,,,"85019963198",,"000417468600001",,,"Energy Research & Social Science","34","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,"3","1","Amsterdam","published",,,,,,,,"2017-11-28T15:16:43Z","2023-02-06T14:55:08Z","true",,"FORM||SCOPUS",,,"publishedVersion",
"177110","20.500.11850/3","Stefanelli, Annalisa||Seidl, Roman||Siegrist, Michael",,,"2017-09-07T12:36:07Z","2017-09-06T07:50:29Z||2017-09-07T12:36:07Z","2017-12","2017-06-21",,,,,"2214-6296",,"10.1016/j.erss.2017.05.042","http://hdl.handle.net/20.500.11850/183183","en","Elsevier",,,"Nuclear waste||Risks and benefits perception||Longitudinal||Arguments||Participatory processes","The discursive politics of nuclear waste: Rethinking participatory approaches and public perceptions over nuclear waste storage repositories in Switzerland",,"Journal Article","Metadata only",,"DDC - DDC::3 - Social sciences::333.7 - Natural resources, energy and environment||DDC - DDC::3 - Social sciences::300 - Social sciences",,"2017-09-06T07:50:30Z",,,,,,"yes",,,,"Integration of sustainable multi-energy-hub systems from a societal perspective (IMES-SE)","154028","10.13039/501100001711","SNF","NFP 70: Gesuch",,,,"85021110258",,"000417468600009",,,"Energy Research & Social Science","34","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02070 - Dep. Gesundheitswiss. und Technologie / Dep. of Health Sciences and Technology::03780 - Siegrist, Michael / Siegrist, Michael||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02070 - Dep. Gesundheitswiss. und Technologie / Dep. of Health Sciences and Technology::03780 - Siegrist, Michael / Siegrist, Michael||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","03780||02351","03780||02351",,"81","72","Amsterdam","published",,,,,,,,"2017-09-07T12:36:09Z","2023-02-06T14:32:20Z","true",,"FORM",,,,
"230019","20.500.11850/10","Baumberger, Christoph",,,"2018-04-10T13:10:17Z","2017-11-23T19:25:53Z||2018-04-10T13:10:17Z","2017-11-25",,,,,,,,,"http://hdl.handle.net/20.500.11850/213288","de",,,,,"Verstehen anhand von Theorien. Ein Explikationsvorschlag",,"Other Conference Item","Metadata only",,,,"2017-11-23T19:25:55Z",,,,,,"yes","Workshop Wissen - Verstehen - Erklärung","November 24-26, 2017","Dresden, Germany",,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::08804 - Environmental Philosophy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::08804 - Environmental Philosophy","08804","08804","Conference lecture on November 25, 2017",,,,"unpublished",,,,,,,,"2018-04-10T13:10:21Z","2018-11-06T17:42:55Z","true",,"FORM",,,,
"238859","20.500.11850/10","Wilkes-Allemann, Jerylee||Lieberherr, Eva||Baerlocher, Bianca",,,"2018-06-12T10:22:35Z","2018-01-03T09:14:33Z||2018-06-12T10:22:35Z","2017-11",,,,,,,,,"http://hdl.handle.net/20.500.11850/225074","en",,,,,"Governing peri-urban forestry: filling the regulation gap with Swiss “Nature-discovery-parks”?",,"Other Conference Item","Metadata only","6th Symposium for Research in Protected Area 2017",,,"2018-01-03T09:14:35Z",,,,,,"yes","6th Symposium for Research in Protected Areas 2017","November 2-3, 2017","Salzburg, Austria",,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","08693","08693",,,,,"published",,,,,,,,"2018-06-12T10:22:41Z","2020-02-15T13:30:12Z","true",,"FORM",,,,
"192568","20.500.11850/3","Denjean, Benjamin||Altamirano, Mónica A.||Graveline, Nina||Giordano, Raffaele||Moncoulon, David||Weinberg, Josh||Máñez Costa M.||Kozinc, Zdravko||Mulligan, Mark||Pengal, Polona||Matthews, John||Van Cauwenbergh, Nora||López Gunn, Elena||Bresch, David N.",,,"2017-11-07T15:52:26Z","2017-10-06T05:25:47Z||2017-11-07T15:52:26Z","2017-11","2017-07-29",,,,,"0013-9351||1096-0953",,"10.1016/j.envres.2017.07.006","http://hdl.handle.net/20.500.11850/192689","en","Elsevier",,,"Nature-based solutions||Adaptation||Resilience||Insurance value||Green infrastructure","Natural Assurance Scheme: A level playing field framework for Green-Grey infrastructure development",,"Journal Article","Metadata only",,,,"2017-10-06T05:25:52Z",,,,,,"yes",,,,,,,,,,,,"85026462261",,"000413280500004","Environ. Res.",,"Environmental Research","159","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576",,"38","24","San Diego, CA","published",,,,,,,,"2017-11-07T15:52:31Z","2022-03-28T18:00:33Z","true",,"SCOPUS",,,,
