id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.editor,dc.contributor.rightsHolder,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.code.jel,ethz.date.collected,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.description.methods,ethz.description.software,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.internal,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.hasPart,ethz.relation.isPartOf,ethz.relation.isReferencedBy,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"338493","20.500.11850/21","Kohli, Anik||Steinemann, Myriam||Guyer, Madeleine||Pérus, Marine||Füssler, Jürg||Bresch, David N.||Ragettli, Martina||Röösli, Martin||Neu, Urs",,,,,"2020-03-03T10:18:08Z","2020-03-03T10:07:32Z||2020-03-03T10:18:08Z","2018-12-19",,,"application/pdf","10.3929/ethz-b-000402697",,,,,"http://hdl.handle.net/20.500.11850/402697","de","INFRAS","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Auswirkungen des Klimawandels im Ausland – Risiken und Chancen für die Schweiz",,"Report","Open access",,,,,"2020-03-03T10:07:40Z",,,,,,,,"yes",,,,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576","Diese Studie/dieser Bericht wurde im Auftrag des Bundesamtes für Umwelt (BAFU) verfasst.",,,"Zürich","published",,,,,,,"2020-03-03T10:18:19Z","2021-02-15T08:28:58Z","true","151 p.","FORM","Schlussbericht",,
"270330","20.500.11850/3","Reyhanloo, Tony||Baumgärtner, Stefan||Haeni, Matthias||Quatrini, Simone||Saner, Philippe||von Lindern, Eike",,,,,"2018-12-19T14:56:47Z","2018-12-19T14:07:07Z||2018-12-19T14:56:47Z","2018-12-13",,"Private-sector investors could be key players in combatting global land degradation and realising the emerging concept of Land Degradation Neutrality (LDN). To better understand how to incentivize private-sector investors for LDN, we conducted an online-survey of 68 private-sector investors. Structural equation modelling based on the theory of planned behavior was performed to investigate how cognitive, social, emotional, motivational and financial determinants influence their intention and motivation to invest in LDN. Good knowledge and a positive attitude towards both LDN and investing sustainably were found to be main predictors for intention. In contrast, perceived social pressure had little effect on the intention to invest towards combating land degradation. The general motivation to invest sustainably was mainly triggered by a consciousness for sustainability and emotional attachment, less by the desire for short-term profit maximisation whilst prospects of long-term financial return are important. Overall, strong homogeneity in psychological determinants was found for both traditional and impact investors. As the determinants of the intention and the motivation to invest sustainably do not substantially differ across different investor types, our study implies that investors should be targeted as a uniform group when mobilising interest for LDN. Emphasis should be placed on the psychological determinants traditional and impact investors commonly share, rather than on the type-specific characteristics that may distinguish different investor types.","application/pdf","10.3929/ethz-b-000312089",,"1932-6203",,"10.1371/journal.pone.0208813","http://hdl.handle.net/20.500.11850/312089","en","Public Library of Science","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Private-sector investor’s intention and motivation to invest in Land Degradation Neutrality",,"Journal Article","Open access",,,,,"2018-12-19T14:07:11Z",,,,,,,,"yes",,,,,,,,,,,,,"85058470644",,"000453247500042","PLoS ONE","12","PLoS ONE","13","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","08693","08693",,,"e0208813","San Francisco, CA","published",,,,,,,"2018-12-19T14:56:58Z","2021-02-15T03:08:49Z","true","18 p.","FORM",,"publishedVersion",
"271082","20.500.11850/3","Knoblauch, Theresa A.K.||Trutnevyte, Evelina",,,,,"2018-12-21T15:38:16Z","2018-11-09T06:02:21Z||2018-11-16T15:57:14Z||2018-12-21T15:38:16Z","2018-12-01","2018-04-24",,,,,"0360-5442||1873-6785",,"10.1016/j.energy.2018.04.129","http://hdl.handle.net/20.500.11850/302570","en","Elsevier",,,"Enhanced geothermal systems||Deep geothermal||Induced seismicity||Cost-benefit analysis||Private investor and social perspective","Siting enhanced geothermal systems (EGS): Heat benefits versus induced seismicity risks from an investor and societal perspective",,"Journal Article","Metadata only",,,,,"2018-11-09T06:02:23Z",,,,,,,,"yes",,,,"Risk governance of electricity portfolios (RIGOROuS): Cross-technology and spatial tradeoffs of multiple risks","160563","10.13039/501100001711","SNF","Ambizione Energie",,,,,"85054832868",,"000448098600097","Energy",,"Energy","164","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,"1325","1311","Amsterdam","published",,,,,,,"2018-12-21T15:38:19Z","2021-02-15T03:12:14Z","true",,"SCOPUS",,,
"275588","20.500.11850/3","Baerlocher, Bianca||Stuber, Martin||Lieberherr, Eva",,,,,"2019-01-21T16:34:29Z","2019-01-10T21:34:38Z||2019-01-21T16:34:29Z","2018-12",,,,,,"0036-7818||2235-1469",,"10.3188/szf.2018.0315","http://hdl.handle.net/20.500.11850/315033","de","Schweizerischer Forstverein",,,"Swiss Forestry Society||Associations||Federalism||voluntary engagement||Solidarity","«Zurück in die Zukunft» – Rolle und Bedeutung des Schweizerischen Forstvereins","«Retour vers le futur» – rôle et signification de la Société forestière suisse||“Back to the future” – role and meaning of the Swiss Forestry Society","Journal Article","Metadata only",,,,,"2019-01-10T21:34:50Z",,,,,,,,"yes",,,,,,,,,,,,,,,,"Schweiz. Z. Forstwes.","6","Schweizerische Zeitschrift für Forstwesen","169","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","08693","08693","The Abstract is also published in English and French.","322","315","Zürich","published",,,,,,,"2019-01-21T16:34:36Z","2022-03-28T22:07:15Z","true",,"FORM",,,
"298635","20.500.11850/16","Labordena Mir, Mercè",,,,"Patt, Anthony||Lilliestam, Johan||Stauffacher, Michael","2019-06-25T11:28:23Z","2019-06-25T08:16:02Z||2019-06-25T11:28:23Z","2018-12","2019-06-25",,"application/pdf","10.3929/ethz-b-000349573",,,,,"http://hdl.handle.net/20.500.11850/349573","en","ETH Zurich","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Accelerating the energy transition: assessing ambitious scenarios to make solar power a global solution",,"Doctoral Thesis","Open access",,"DDC - DDC::3 - Social sciences::333.7 - Natural resources, energy and environment||DDC - DDC::3 - Social sciences::330 - Economics",,,"2019-06-25T08:16:09Z",,,,,,,,"yes",,,,,,,,,"25714",,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,,,"Zurich","published",,,,,,,"2019-06-25T11:29:15Z","2023-02-06T17:19:50Z","true","153 p.","FORM",,,
"268549","20.500.11850/3","Meylan, Grégoire||Lai, Adelene||Hensley, John||Stauffacher, Michael||Krütli, Pius",,,,,"2018-12-11T09:57:23Z","2018-06-08T07:00:11Z||2018-06-21T08:15:42Z||2018-06-21T08:17:40Z||2018-09-27T15:59:58Z||2018-11-06T17:22:55Z||2018-12-11T09:57:23Z","2018-12","2018-05-15",,,,,"0944-1344||1614-7499",,"10.1007/s11356-018-2139-3","http://hdl.handle.net/20.500.11850/268475","en","Springer",,,"Anaerobic digestion||Landfilling||Policy||Recycling||Seychelles||Small island developing state||Transdisciplinary case study||Waste management","Solid waste management of small island developing states—the case of the Seychelles: a systemic and collaborative study of Swiss and Seychellois students to support policy",,"Journal Article","Metadata only",,,,,"2018-06-08T07:00:17Z",,,,,,,,"yes",,,,,,,,,,,,,"85046889837",,"000452489500004","Environ Sci Pollut Res","36","Environmental Science and Pollution Research","25","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,"35804","35791","Landsberg","published",,,,,,"true","2018-06-21T08:15:47Z","2019-02-03T12:07:43Z","true",,"SCOPUS",,,
"306174","20.500.11850/3","Carlson, Andrew K.||Zaehringer, Julie G.||Garrett, Rachael||Felipe Bicudo Silva, Ramon||Furumo, Paul R.||Raya Rey, Andrea N.||Torres, Aurora||Gon Chung, Min||Li, Yingjie||Liu, Jianguo",,,,,"2019-08-22T11:08:02Z","2019-08-21T13:12:45Z||2019-08-22T11:08:02Z","2018-11-27",,"Telecoupled flows of people, organisms, goods, information, and energy are expanding across the globe. Causes are integral components of the telecoupling framework, yet the rigor with which they have been identified and evaluated to date is unknown. We address this knowledge gap by systematically reviewing causal attribution in the telecoupling literature (n = 89 studies) and developing a standardized causal terminology and typology for consistent use in telecoupling research. Causes are defined based on six criteria: sector (e.g., environmental, economic), system of origin (i.e., sending, receiving, spillover), agent, distance, response time (i.e., time lapse between cause and effect), and direction (i.e., producing positive or negative effects). Using case studies from the telecoupling literature, we demonstrate the need to enhance the rigor of telecoupling causal attribution by combining qualitative and quantitative methods via process-tracing, counterfactual analysis, and related approaches. Rigorous qualitative-quantitative causal attribution is critical for accurately assessing the social-ecological causes and consequences of telecouplings and thereby identifying leverage points for informed management and governance of telecoupled systems.","application/pdf","10.3929/ethz-b-000359681",,"2071-1050",,"10.3390/su10124426","http://hdl.handle.net/20.500.11850/359681","en","MDPI","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Telecoupling||Causality||Effect||Coupled human||Natural systems","Toward Rigorous Telecoupling Causal Attribution: A Systematic Review and Typology",,"Journal Article","Open access",,,,,"2019-08-21T13:12:53Z",,,,,,,,"yes",,,,"SNF R4D","152167","10.13039/501100001711","SNF","NFP 60: Gesuch",,,,,,,,,"12","Sustainability","10","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","09659","09659",,,"4426","Basel","published",,,,,,,"2019-08-22T11:08:13Z","2023-02-06T17:32:44Z","true","17 p.","FORM",,"publishedVersion",
"269630","20.500.11850/9","Creutzburg, Leonard",,,,,"2018-12-17T12:36:21Z","2018-12-14T15:39:39Z||2018-12-17T12:36:21Z","2018-11-22","2018-12-17",,"application/pdf","10.3929/ethz-b-000310990",,,,,"http://hdl.handle.net/20.500.11850/310990","de","ETH Zürich, Gruppe Politik Natürlicher Ressourcen (NARP)","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Zielkonflikte in einer nachhaltigen Wirtschaft im Schweizer Wald (ATREE)",,"Conference Poster","Open access",,,,,"2018-12-14T15:40:01Z",,,,,,,,"yes","7. ""QualiZüri"" Networking Day für qualitativ Sozialforschende","November 22, 2018","Zurich, Switzerland",,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","08693","08693",,,,"Zürich","published",,,,,,,"2018-12-17T12:36:27Z","2018-12-17T12:36:27Z","true","1 p.","FORM",,"publishedVersion",
"279495","20.500.11850/3","Dupuis, Johann||Schweizer, Rémi",,,,,"2019-02-04T15:19:04Z","2019-01-25T08:44:44Z||2019-02-04T15:19:04Z","2018-11-21",,,,,,"0964-4016||1743-8934",,"10.1080/09644016.2019.1521947","http://hdl.handle.net/20.500.11850/319724","en","Routledge",,,"Climate policy||Corporate climate leadership||Voluntary instruments||Food retailing industry||Switzerland||Polycentric governance","Climate pushers or symbolic leaders? The limits to corporate climate leadership by food retailers",,"Journal Article","Metadata only",,,,,"2019-01-25T08:44:45Z",,,,,,,,"yes",,,,,,,,,,,,,,,,,"1","Environmental Politics","28","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","08693","08693","Issue 1: Pioneers, Leaders and Followers in Multilevel and Polycentric Climate Governance","86","64","Abingdon","published",,,,,,"false","2019-02-04T15:19:09Z","2019-02-04T15:19:09Z","true",,"FORM",,,
"265659","20.500.11850/21","Golnaraghi, Maryam||Nunn, Paul||Muir-Wood, Robert||Guin, Jayanta||Whitaker, Dickie||Slingo, Julia||Asrar, Ghassem||Branagan, Ian||Lemcke, Gerry||Souch, Claire||Jean, Michel||Allmann, Alexandre||Jahn, Molly||Bresch, David N.||Khalil, Patrick||Beck, Michael",,,,,"2018-11-26T13:41:24Z","2018-11-26T13:16:53Z||2018-11-26T13:41:24Z","2018-11-20",,"As the effects of climate change become more severe, catastrophe risk modelling is more relevant than ever. Few sectors of the economy play a role as intense in catastrophe recovery as insurance; therefore, the industry should strive to continually strengthen the predictive power of its catastrophe modelling capabilities.",,,,,,,"http://hdl.handle.net/20.500.11850/306048","en","The Geneva Association—International Association for the Study of Insurance Economics.",,,,"Managing Physical Climate Risk: Leveraging Innovations in Catastrophe Risk Modelling",,"Report","Metadata only",,,,,"2018-11-26T13:17:05Z",,,,,,,,"yes",,,,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576",,,,"Zurich","published",,,,,,"false","2018-11-26T13:41:41Z","2018-11-26T13:41:41Z","true","48 p.","FORM","Research Brief",,
