id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.editor,dc.contributor.researchGroup,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.created,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.description.methods,ethz.description.software,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.geolocation.placename,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.internal,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isDerivedFrom,ethz.relation.isDocumentedBy,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"325124","20.500.11850/14","Ruetz, Bernhard||Bresch, David N.",,"Ruetz, Bernhard||Streiff, Thomas",,,"2019-12-17T07:45:20Z","2019-12-10T10:30:12Z||2019-12-12T08:12:58Z||2019-12-16T14:57:50Z||2019-12-17T07:45:20Z",,"2019-12-03",,,,,"978-3-9524652-9-5",,,,"http://hdl.handle.net/20.500.11850/384283","de","Ars Biographica",,,,"Innovatives Unternehmertum für wirksamen Klimaschutz",,"Book Chapter","Metadata only","Innovativ. Nachhaltig. Erfolgreich. Zehn Schweizer Unternehmen und ihre Geschichten",,"2019-12-10T10:30:23Z",,,,,,"yes",,,,,,,,,,,,,,,,,,"2","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576","Prof. Dr. David N. Bresch im Interview.","61","58","Humlikon","published",,,,,,,,,,,"false","2019-12-16T14:58:02Z","2019-12-17T07:45:33Z","true",,"FORM",,,,
"324405","20.500.11850/3","Brunner, Lukas||Lorenz, Ruth||Zumwald, Marius||Knutti, Reto",,,,,"2019-12-12T10:18:50Z","2019-12-11T14:41:26Z||2019-12-12T10:18:50Z",,"2019-12","2019-11-22","Uncertainty in model projections of future climate change arises due to internal variability, multiple possible emission scenarios, and different model responses to anthropogenic forcing. To robustly quantify uncertainty in multi-model ensembles, inter-dependencies between models as well as a models ability to reproduce observations should be considered. Here, a model weighting approach, which accounts for both independence and performance, is applied to European temperature and precipitation projections from the CMIP5 archive. Two future periods representing mid- and end-of-century conditions driven by the high-emission scenario RCP8.5 are investigated. To inform the weighting, six diagnostics based on three observational estimates are used to also account for uncertainty in the observational record. Our findings show that weighting the ensemble can reduce the interquartile spread by more than 20% in some regions, increasing the reliability of projected changes. The mean temperature change is most notably impacted by the weighting in the Mediterranean, where it is found to be 0.35 °C higher than the unweighted mean in the end-of-century period. For precipitation the largest differences are found for Northern Europe, with a relative decrease in precipitation of 2.4% and 3.4% for the two future periods compared to the unweighted case. Based on a perfect model test, it is found that weighting the ensemble leads to an increase in the investigated skill score for temperature and precipitation while minimizing the probability of overfitting.","application/pdf","10.3929/ethz-b-000384838",,"1748-9326||1748-9318",,"10.1088/1748-9326/ab492f","http://hdl.handle.net/20.500.11850/384838","en","Institute of Physics","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/","Model weighting||Climate models||CMIP5||Europe||EUCP||Temperature||Precipitation","Quantifying uncertainty in European climate projections using combined performance-independence weighting",,"Journal Article","Open access",,,"2019-12-11T14:41:36Z",,,,,,"yes",,,,,"European Climate Prediction System||Coordinated Research in Earth Systems and Climate: Experiments, kNowledge, Dissemination and Outreach","776613||641816","10.13039/501100000780||10.13039/501100007352","EC||SBFI","H2020||H2020",,,"85081654925",,"000499948800001","Environ. Res. Lett.","12","Environmental Research Letters","14","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","03777||09576","03777||09576",,,"124010","Britstol","published",,,,,,,,,,,,"2019-12-12T10:19:01Z","2021-02-15T07:03:56Z","true","10 p.","FORM",,,"publishedVersion",
"339154","20.500.11850/3","Metz, Florence||Leifeld, Philip||Ingold, Karin",,,,,"2020-03-06T09:44:38Z","2018-12-18T15:47:52Z||2019-03-11T11:45:22Z||2019-04-02T12:02:10Z||2019-12-05T12:49:37Z||2020-03-06T09:44:38Z",,"2019-12","2018-07-30",,,,,"0141-814X||0143-814X",,"10.1017/s0143814x18000181","http://hdl.handle.net/20.500.11850/311757","en","Cambridge University Press",,,"Public Policy||Actors' instrument preferences||Collaboration||Exponential random graph models||Policy instruments||Policy instrument preferences||Policy networks||Two-model networks","Interdependent policy instrument preferences: a two-mode network approach",,"Journal Article","Metadata only",,,"2018-12-18T15:47:54Z",,,,,,"yes",,,,,,,,,,,,,,"000512672800004",,"4","Journal of Public Policy","39","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","08693","08693",,"636","609","Cambridge","published",,,,,,,,,,,,"2020-03-06T09:44:52Z","2021-02-15T08:34:43Z","true",,"FORM",,,,
"324024","20.500.11850/28","Banfi Frost, Silvia||Betz, Regina||Bresch, David N.||Bruchez, Pierre-Alain||Bucher, Rafael||Faust, Anne-Kathrin||Fussen, Denise||Hintermann, Beat||Iten, Rolf||Mathys, Nicole A.||Michaelowa, Axel||Schleiniger, Reto||Thalmann, Philippe||Weigt, Hannes",,,,,"2019-12-11T08:08:21Z","2019-12-10T14:19:41Z||2019-12-11T08:08:21Z",,"2019-12","2019-11-14","Derzeit werden im politischen Prozess der Schweiz die Weichen für die zukünftige Klima- und Energiepolitik gestellt. Die Schweiz will aus der Kernenergie aussteigen und gleichzeitig die Treibhausgasemissionen mindern. Dazu braucht es eine koordinierte und breit abgestützte Klima- und Energiepolitik mit einem wirksamen und effizienten Mix aus politischen Instrumenten wie beispielsweise Lenkungsabgaben oder Emissionsgrenzwerten. Dieses Faktenblatt bietet eine Übersicht über die verschiedenen Instrumente und zeigt auf, für welchen Zweck sie sich am besten eignen, welche Wirkung sie erzielen können und welche Vor- und Nachteile sie haben.","application/pdf","10.3929/ethz-b-000384389",,,,"10.5281/zenodo.3541537","http://hdl.handle.net/20.500.11850/384389.1||http://hdl.handle.net/20.500.11850/384389","de","Akademien der Wissenschaften Schweiz","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Energiepolitik||Climate Action||Affordable and clean energy||Responsible consumption and production","Instrumente für eine wirksame und effiziente Klima- und Energiepolitik",,"Other Publication","Open access",,,"2019-12-10T14:19:54Z",,,,,,"yes",,,,,,,,,,,,,,,,"4","Swiss Academies Factsheets","14","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576",,,,"Bern","published",,,,,,,,,,,,"2019-12-11T08:08:34Z","2019-12-11T08:08:34Z","true||true","6 p.","FORM",,,,
"324023","20.500.11850/28","Baranzini, Andrea||Bresch, David N.||Bruchez, Pierre-Alain||Mathys, Nicole A.||Thalmann, Philippe",,,,,"2019-12-11T07:58:06Z","2019-12-10T14:25:28Z||2019-12-11T07:52:56Z||2019-12-11T07:58:06Z",,"2019-12","2019-11-24","Eine CO2-Lenkungsabgabe auf Treibstoffe ist ein marktwirtschaftliches Politikinstrument zur Minderung der CO2-Emissionen. Sie stärkt das Verursacherprinzip im Hinblick auf die Kosten durch Umweltauswirkungen des Verkehrs. Sie ist volkswirtschaftlich sinnvoll, da die Massnahmen vorzugsweise dort ergriffen werden, wo sie am günstigsten sind. Und sie ist im Falle einer Rückerstattung der Einnahmen an die Bevölkerung auch sozialverträglich: Die untersten Einkommensschichten werden nicht zusätzlich belastet, sondern sie profitieren zum Teil sogar davon. Dies scheint auch in Randregionen mit geringer ÖV-Erschliessung so zu sein. CO2-Abgaben mit nur teilweiser Rückerstattung der Einnahmen erlauben die Finanzierung von Massnahmen zur Verbesserung der Klimaverträglichkeit des Verkehrs. Eine entsprechende Zweckbindung der Einnahmen erhöht auch die Akzeptanz einer Abgabe in der Bevölkerung.","application/pdf","10.3929/ethz-b-000384390",,,,"10.5281/zenodo.3541549","http://hdl.handle.net/20.500.11850/384390.1||http://hdl.handle.net/20.500.11850/384390","de","Akademien der Wissenschaften Schweiz","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","CO2-Lenkungsabgabe||CO2-Emissionen||Climate Action||Responsible consumption and production||Affordable and clean energy","Chancen und Auswirkungen einer CO2-Lenkungsabgabe auf Treibstoffe",,"Other Publication","Open access",,,"2019-12-10T14:25:47Z",,,,,,"yes",,,,,,,,,,,,,,,,"5","Swiss Academies Factsheets","14","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576",,,,"Bern","published",,,,,,,,,,,,"2019-12-11T07:53:08Z","2021-02-15T07:02:35Z","true||true","6 p.","FORM",,,"publishedVersion",
"313986","20.500.11850/4","Hoffmann, Sabine||Thompson Klein, Julie||Pohl, Christian",,,,,"2019-10-15T11:46:40Z","2019-10-12T04:23:53Z||2019-10-15T11:46:40Z",,"2019-12","2019-10-07",,,,,"1462-9011||1873-6416",,"10.1016/j.envsci.2019.08.011","http://hdl.handle.net/20.500.11850/370203","en","Elsevier",,,"Transdisciplinary research||Socially robust knowledge||Knowledge dissemination||Knowledge utilization||Conceptual model||Sustainability","Linking transdisciplinary research projects with science and practice at large: Introducing insights from knowledge utilization",,"Review Article","Metadata only",,,"2019-10-12T04:23:59Z",,,,,,"yes",,,,,,,,,,,,"85071942187",,"000497593200005","Environ. Sci. Policy",,"Environmental Science & Policy","102","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,"42","36","Amsterdam","published",,,,,,,,,,,"true","2019-10-15T11:46:51Z","2022-03-28T23:52:36Z","true",,"SCOPUS",,,,
"322144","20.500.11850/28","InsuResilience Solutions Fund",,,,,"2019-12-02T13:36:49Z","2019-12-02T12:54:25Z||2019-12-02T13:36:49Z",,"2019-11-25",,"The need for climate adaptation and risk management is most pressing in low-income countries. Without rapid action climate risks will threaten development gains already achieved and affect future economic growth potential.  Climate risk modelling and analysis can provide decision-makers with the information they need to turn policies into action. These tools are already available today and can be implemented globally enabling decision makers to answer the most pressing questions they are facing today.  Results of a San Salvador case study illustrate climate risk analysis as essential instrument of comprehensive climate risk management:      25% of potential damages from flooding could be prevented by implementing the two most cost-effective physical adaptation measures.     Climate risk insurance sends a strong price signal. Risk reduction by implementing the identified adaptation measures can lower the insurance premium by 35%, thus giving a strong incentive to turn adaptation policies into action.     Additionally climate risk insurance represents an effective measure to cap future losses and provide much needed funds for post-disaster relief.  The case study reveals the complementarity of risk prevention and risk reduction. Physical adaptation investments are key to adapt to climate change. However, not all risks can be avoided. Additional financial adaptation measures such as climate risk insurance offer an effective instrument for climate risk management.",,,,,,,"http://hdl.handle.net/20.500.11850/381984","en","Oasis Loss Modelling Framework Ltd",,,,"Understanding Climate Risks",,"Other Publication","Metadata only",,,"2019-12-02T12:54:32Z",,,,,,"yes",,,,,,,,,,,,,"https://oasislmf.org/news/understanding-climate-risks-what-does-it-mean-san-salvador",,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576","Co-author Prof. Dr. David N. Bresch",,,"London","published",,,,,,,,,,,"false","2019-12-02T13:36:58Z","2019-12-02T13:36:58Z","true","6 p.","FORM",,"What does it mean for San Salvador?",,
"335732","20.500.11850/3","Duygan, Mert||Stauffacher, Michael||Meylan, Grégoire",,,,,"2020-02-12T12:24:08Z","2019-03-29T08:39:38Z||2019-03-29T08:48:25Z||2019-03-29T09:16:30Z||2020-02-12T12:24:08Z",,"2019-11","2019-03-21",,"application/pdf","10.3929/ethz-b-000334668",,"2210-4224",,"10.1016/j.eist.2019.02.002","http://hdl.handle.net/20.500.11850/334668","en","Elsevier","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","Agency||Institutional work||Institutional entrepreneurship||Social networks||Discourses||Resources","A heuristic for conceptualizing and uncovering the determinants of agency in socio-technical transitions",,"Journal Article","Open access",,,"2019-03-29T08:39:48Z",,,,,,"yes",,,,,,,,,,,,"85063077610",,"000496451100002",,,"Environmental Innovation and Societal Transitions","33","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,"29","13","Amsterdam","published",,,,,,,,,,,,"2020-02-12T12:24:20Z","2021-02-15T08:00:35Z","true","17 p.; accepted version 30 p.","FORM",,,"acceptedVersion",
"428351","20.500.11850/22","Tröndle, Tim||Süsser, Diana||Lilliestam, Johan",,,,,"2021-12-06T17:09:11Z","2021-12-02T13:49:05Z||2021-12-06T17:09:11Z",,"2019-11",,"Wir zeigen, wie die vorgeschlagene 1000 m-Abstandsregelung zwischen Windkraftanlagen und Wohngebäude den Ausbau der Windkraft an Land in Deutschland praktisch stoppen würde. Wir zeigen auch, dass ein Abstand von 600 m gleichzeitig den Schutz der Anwohner und der Ausbau der Windkraft möglich machen kann.",,,,,,"10.2312/IASS.2019.052","http://hdl.handle.net/20.500.11850/518249","de","Institute for Advanced Sustainability Studies (IASS)",,,,"Ohne Windenergie keine Energiewende",,"Working Paper","Metadata only",,,"2021-12-02T13:49:10Z",,,,,,"no",,,,,,,,,,,,,,,,,"IASS Discussion Paper",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,,,"Potsdam","published",,,,,,,,,,,,"2021-12-06T17:09:17Z","2022-03-29T16:27:00Z","true","18 p.","FORM",,"Die 1000 Meter-Abstandsregelung macht Windenergieausbau unmöglich und stellt damit den Kohleausstieg in Deutschland in Frage",,
"302934","20.500.11850/3","Skelton, Maurice||Porter, James J.||Dessai, Suraje||Bresch, David N.||Knutti, Reto",,,,,"2019-07-29T12:15:48Z","2019-07-26T14:16:16Z||2019-07-29T12:15:48Z",,"2019-11","2019-07-25","Countries differ markedly in their production of climate science. While richer nations are often home to a variety of climate models, data infrastructures and climate experts, poorer sovereigns often lack these attributes. However, less is known about countries’ capacity to use global climate science and customise it into products informing national adaptation. We use a unique global dataset, the UNFCCC National Communications, to perform a global documentary analysis of scientific submissions from individual countries (n = 189). Comparing countries’ climate projections with their competence in publishing climate science, our research examines the existence of geographical divides. Although countries proficient in publishing climate science use more complex climate modelling techniques, key characteristics of climate projections are highly similar around the globe, including multi-model ensembles of Global Circulation Models (GCMs). This surprising result is made possible because of the use of pre-configured climate modelling software packages. One concern is that these tools restrict customisation, such as country-specific observations, modelling information, and visualisation. Such tools may therefore hide a new geographical divide where countries with higher scientific capacities are able to inform what goes into these software packages, whereas lower scientific capacity countries are dependent upon these choices – whether beneficial for them or not. Our research suggests that free-to-use modelling and training efforts may unwittingly restrict, rather than foster, countries’ capacity to customise global climate science into nationally relevant and legitimate climate information.","application/pdf","10.3929/ethz-b-000355462",,"1462-9011||1873-6416",,"10.1016/j.envsci.2019.07.015","http://hdl.handle.net/20.500.11850/355462","en","Elsevier","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Climate projections||Climate scenarios||Climate information||Adaptation||Geographical imbalance||Customisation of climate science","Customising global climate science for national adaptation: A case study of climate projections in UNFCCC’s National Communications",,"Journal Article","Open access",,,"2019-07-26T14:16:23Z",,,,,,"yes",,,,,,,,,,,,"85069694785",,"000497600400003","Environ. Sci. Policy",,"Environmental Science & Policy","101","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto","09576||03777","09576||03777",,"23","16","Kidlington","published",,,,,,,,,,,,"2019-07-29T12:16:02Z","2021-02-15T05:23:48Z","true",,"FORM",,,"publishedVersion",
