id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.dataCollector,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.date.updated,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.code.jel,ethz.date.collected,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.description.software,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.geolocation.placename,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.orcidWorkCode,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.documents,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isCompiledBy,ethz.relation.isDerivedFrom,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isSourceOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.relation.references,ethz.repository,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"385371","20.500.11850/3","Tiseo, Katie||Huber, Laura||Gilbert, Marius||Robinson, Timothy P.||Van Boeckel, Thomas P.",,,,,"2021-01-14T15:55:30Z","2021-01-14T15:55:30Z","2020-12-17",,,"Demand for animal protein is rising globally and has been facilitated by the expansion of intensive farming. However, intensive animal production relies on the regular use of antimicrobials to maintain health and productivity on farms. The routine use of antimicrobials fuels the development of antimicrobial resistance, a growing threat for the health of humans and animals. Monitoring global trends in antimicrobial use is essential to track progress associated with antimicrobial stewardship efforts across regions. We collected antimicrobial sales data for chicken, cattle, and pig systems in 41 countries in 2017 and projected global antimicrobial consumption from 2017 to 2030. We used multivariate regression models and estimated global antimicrobial sales in 2017 at 93,309 tonnes (95% CI: 64,443, 149,886). Globally, sales are expected to rise by 11.5% in 2030 to 104,079 tonnes (95% CI: 69,062, 172,711). All continents are expected to increase their antimicrobial use. Our results show lower global antimicrobial sales in 2030 compared to previous estimates, owing to recent reports of decrease in antimicrobial use, in particular in China, the world’s largest consumer. Countries exporting a large proportion of their production are more likely to report their antimicrobial sales data than countries with small export markets. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","application/pdf","10.3929/ethz-b-000458853",,"2079-6382","http://hdl.handle.net/20.500.11850/458853||http://hdl.handle.net/20.500.11850/462586","10.3390/antibiotics9120918","http://hdl.handle.net/20.500.11850/462711","en","MDPI","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Antibiotics||Livestock||Animal products||Sales||Exports","Global trends in antimicrobial use in food animals from 2017 to 2030",,"Journal Article","Open access",,,,,"2021-01-03T03:36:55Z",,,,,"yes",,,,,,,,,,,,"85098138184",,"000601897800001",,"12","Antibiotics","9","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09673 - Van Boeckel, Thomas (ehemalig) / Van Boeckel, Thomas (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09673 - Van Boeckel, Thomas (ehemalig) / Van Boeckel, Thomas (former)","02723||09673","09673",,,"918","Basel","published",,,,,,,,,,,,,,,"2021-01-14T15:55:40Z","2023-02-06T21:17:02Z","true","14 p.","SCOPUS||FORM",,,"publishedVersion",
"383605","20.500.11850/3","Pohl, Christian||Pearce, BinBin||Mader, Marlene||Senn, Lisette||Krütli, Pius",,,,,"2021-01-08T10:11:53Z","2021-01-01T04:22:09Z||2021-01-08T10:11:53Z","2020-12-16",,,"Umweltproblemlosen (Tackling environmental problems) is a Bachelor-level course that carries on a long tradition of transdisciplinary (td) case studies in the Environmental Sciences curriculum at ETH Zurich. Td case studies introduce students to key features of transdisciplinarity. Two corresponding learning goals of the case studies are 1. to not only analyse problems, but to also suggest solutions, and 2. to take the complexity of the tackled socio-ecological system into account. In the new course we address both learning goals by integrating systems and design thinking. We present this approach in detail to show how features of transdisciplinarity are transferred to learning contexts. We compare it to the approaches of other td case studies by asking how each interprets and addresses the two learning goals. The comparison shows that the case study approaches implicitly impart different ideas about how a td environmental scientist should support societal problem solving. A key difference to previous approaches is that the new course asks students to enter deeply into the world of practice and the stakeholders' divergent needs.","application/pdf","10.3929/ethz-b-000458794",,"0940-5550",,"10.14512/gaia.29.4.11","http://hdl.handle.net/20.500.11850/458794","en","Oekom Verlag","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","case study||design thinking||systems thinking||teaching||transdisciplinarity||transformation knowledge||Umweltproblemlosen","Integrating systems and design thinking in transdisciplinary case studies",,"Journal Article","Open access",,,,,"2021-01-01T04:22:16Z",,,,,"yes",,,,,,,,,,,,"85098721877",,"000599833500010","Gaia","4","GAIA - Ecological Perspectives for Science and Society","29","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,"266","258","München","published",,,,,,,,,,,,,,,"2021-01-08T10:12:01Z","2022-03-29T04:44:10Z","true","9 p.","WOS",,,"publishedVersion",
"383946","20.500.11850/3","Ström Hallenberg, Gunilla||Jiwakanon, Jatesada||Angkititrakul, Sunpetch||Kang-air, Seri||Osbjer, Kristina||Lunha, Kamonwan||Sunde, Marianne||Järhult, Josef D.||Van Boeckel, Thomas P.||Rich, Karl M.||Magnusson, Ulf",,,,,"2021-01-11T07:49:08Z","2020-12-24T03:42:34Z||2021-01-11T07:49:08Z","2020-12-11",,,"Understanding the patterns and drivers of antibiotic use in livestock is crucial for tailoring efficient incentives for responsible use of antibiotics. Here we compared routines for antibiotic use between pig farms of two different levels of intensification in Khon Kaen province in Thailand. Among the 113 family-owned small-scale farms (up to 50 sows) interviewed did 76% get advice from the pharmacy about how to use the antibiotics and 84% used it primarily for treating disease. Among the 51 medium-scale-farms (100–500 sows) belonging to two companies did 100% get advice about antibiotic use from the company’s veterinarian (P<0.0001) and 94% used antibiotics mostly as disease preventive measure (P<0.0001). In 2 small scale farms 3rd generation cephalosporins, tylosin or colistin were used; antibiotics belonging to the group of highest priority critically important antimicrobials for human medicine. Enrofloxacin, belonging to the same group of antimicrobials, was used in 33% of the small-scale and 41% of the medium-scale farms. In the latter farms, the companies supplied 3–4 antibiotics belonging to different classes and those were the only antibiotics used in the farms. The median and mean estimated expenditure on antibiotics per sow was 4.8 USD (IQR = 5.8) for small-scale farms and 7 USD and 3.4 USD for the medium-scale farms belonging to the two respective companies. Our observations suggest to target the following areas when pig farming transitions from small-scale to medium-scale: (i) strengthening access to professional animal health services for all farmers, (ii) review of the competence and role of veterinary pharmacies in selling antibiotics and (iii) adjustment of farming company animal health protocols towards more medically rational use of antibiotics. © 2020 Hallenberg et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","application/pdf","10.3929/ethz-b-000458498",,"1932-6203",,"10.1371/journal.pone.0243099","http://hdl.handle.net/20.500.11850/458498","en","Public Library of Science","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Antibiotic use in pig farms at different levels of intensification—Farmers’ practices in northeastern Thailand",,"Journal Article","Open access",,,,,"2020-12-24T03:42:39Z",,,,,"yes",,,,,,,,,,,,"85097750219",,"000600144200060","PLoS ONE","12 December","PLoS ONE","15","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09673 - Van Boeckel, Thomas (ehemalig) / Van Boeckel, Thomas (former)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09673 - Van Boeckel, Thomas (ehemalig) / Van Boeckel, Thomas (former)","09673","09673",,,"e0243099","San Francisco, CA","published",,,,,,,,,,,,,,,"2021-01-11T07:49:17Z","2023-02-06T21:15:05Z","true","14 p.","SCOPUS",,,"publishedVersion",
"370781","20.500.11850/3","Schueller, Lynn||Booth, Laura||Fleming, Kevin||Abad, Jaime",,,,,"2020-10-05T16:43:09Z","2020-10-05T16:41:26Z||2020-10-05T16:43:09Z","2020-12","2020-08-14",,"The asymmetric policy and science domains, face a number of challenges when it comes to managing disaster risk. On the one hand, policy stakeholders require reliable, high-quality information in order to make well-informed decisions in a timely manner, while on the other, creation of sound scientific information upon which such decisions can and should be made, requires time and thoroughness. As a result, uncertainty plays a crucial role when it comes to integrating scientific information into the decision-making process.  To explore further the ways in which uncertainty affects decision-making, the ESPREssO Project developed a serious game for disaster risk reduction (DRR) stakeholders to “play,” termed RAMSETE III. It aims to assess how uncertainty impacts processing of early warning information and subsequent decision-making (such as ordering evacuations), embedded within a fictitious geographic, policy and practice setting. Serious gaming can serve as an useful tool to allow stakeholders with very different backgrounds to work closer together in a simulated environment. Different operational timescales and misunderstandings arising from differing perceptions of risk and uncertainty between policy stakeholders and scientists, are identified as key barriers hindering effective integration of policy and science in disaster management. Hence, RAMSETE III was employed to initiate open discourse between DRR stakeholders across the science-policy spectrum.  The main outcome of this game emphasizes that to overcome these identified barriers, a collaborative, interdisciplinary, and inclusive approach is needed as a first-step foundation, with enhanced efforts in communication and development of common terminologies to assist strengthening of mutual understanding.",,,,"2212-4209",,"10.1016/j.ijdrr.2020.101802","http://hdl.handle.net/20.500.11850/444639","en","Elsevier",,,"Uncertainty||Decision-making||Disaster risk reduction||Serious games||Science-policy Divide","Using serious gaming to explore how uncertainty affects stakeholder decision-making across the science-policy divide during disasters",,"Journal Article","Metadata only",,,,,"2019-12-10T09:14:28Z",,,,,"yes",,,,,"Enhancing Synergies for disaster PRevention in the EurOpean Union","700342||700342","10.13039/501100007352||10.13039/501100007352","SBFI||SBFI","H2020||H2020",,,"85090025444",,"000599711000008",,,"International Journal of Disaster Risk Reduction","51","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451","Special Issue on Enhancing Synergies for Disaster Prevention in the European Union: integrating Disaster Risk Reduction and Climate Change Adaptation policy and research perspectives (the findings from H2020 ESPREssO project)",,"101802","Amsterdam","published",,,,,,,,,,,,,,,"2020-10-05T16:41:37Z","2021-02-15T17:50:44Z","true","7 p.","FORM||SCOPUS",,,,
"381409","20.500.11850/3","Milojevic-Dupont, Nikola||Hans, Nicolai||Kaack, Lynn H.||Zumwald, Marius||Andrieux, François||de Barros Soares, Daniel||Lohrey, Steffen||Pichler, Peter-Paul||Creutzig, Felix",,,,,"2020-12-22T12:51:14Z","2020-12-22T10:05:02Z||2020-12-22T12:51:14Z","2020-12","2020-12-09",,"Understanding cities as complex systems, sustainable urban planning depends on reliable high-resolution data, for example of the building stock to upscale region-wide retrofit policies. For some cities and regions, these data exist in detailed 3D models based on real-world measurements. However, they are still expensive to build and maintain, a significant challenge, especially for small and medium-sized cities that are home to the majority of the European population. New methods are needed to estimate relevant building stock characteristics reliably and cost-effectively. Here, we present a machine learning based method for predicting building heights, which is based only on open-access geospatial data on urban form, such as building footprints and street networks. The method allows to predict building heights for regions where no dedicated 3D models exist currently. We train our model using building data from four European countries (France, Italy, the Netherlands, and Germany) and find that the morphology of the urban fabric surrounding a given building is highly predictive of the height of the building. A test on the German state of Brandenburg shows that our model predicts building heights with an average error well below the typical floor height (about 2.5 m), without having access to training data from Germany. Furthermore, we show that even a small amount of local height data obtained by citizens substantially improves the prediction accuracy. Our results illustrate the possibility of predicting missing data on urban infrastructure; they also underline the value of open government data and volunteered geographic information for scientific applications, such as contextual but scalable strategies to mitigate climate change.","application/pdf","10.3929/ethz-b-000458056",,"1932-6203",,"10.1371/journal.pone.0242010","http://hdl.handle.net/20.500.11850/458056","en","Public Library of Science","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Learning from urban form to predict building heights",,"Journal Article","Open access",,,,,"2020-12-22T10:05:09Z",,,,,"yes",,,,,,,,,,,,"85097840599",,"000598626100003","PLoS ONE","12","PLoS ONE","15","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02045 - Dep. Geistes-, Sozial- u. Staatswiss. / Dep. of Humanities, Social and Pol.Sc.::09550 - Schmidt, Tobias / Schmidt, Tobias","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02045 - Dep. Geistes-, Sozial- u. Staatswiss. / Dep. of Humanities, Social and Pol.Sc.::09550 - Schmidt, Tobias / Schmidt, Tobias","09576||09550","09576||09550",,,"e0242010","San Francisco, CA","published",,,,,,,,,,,,,,,"2020-12-22T12:51:23Z","2021-02-15T22:48:27Z","true","22 p.","FORM",,,"publishedVersion",
"377090","20.500.11850/3","Knüsel, Benedikt||Baumberger, Christoph",,,,,"2020-11-24T08:52:26Z","2020-09-17T15:00:32Z||2020-10-02T09:23:33Z||2020-10-02T09:25:07Z||2020-11-24T08:52:26Z","2020-12","2020-08-23",,"In climate science, climate models are one of the main tools for understanding phenomena. Here, we develop a framework to assess the fitness of a climate model for providing understanding. The framework is based on three dimensions: representational accuracy, representational depth, and graspability. We show that this framework does justice to the intuition that classical process-based climate models give understanding of phenomena. While simple climate models are characterized by a larger graspability, state-of-the-art models have a higher representational accuracy and representational depth. We then compare the fitness-for-providing understanding of process-based to data-driven models that are built with machine learning. We show that at first glance, data-driven models seem either unnecessary or inadequate for understanding. However, a case study from atmospheric research demonstrates that this is a false dilemma. Data-driven models can be useful tools for understanding, specifically for phenomena for which scientists can argue from the coherence of the models with background knowledge to their representational accuracy and for which the model complexity can be reduced such that they are graspable to a satisfactory extent.","application/pdf","10.3929/ethz-b-000441066",,"0039-3681",,"10.1016/j.shpsa.2020.08.003","http://hdl.handle.net/20.500.11850/441066","en","Elsevier","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","Understanding||Climate models||Machine learning||Data-driven models||Representation||Grasping","Understanding climate phenomena with data-driven models",,"Journal Article","Open access",,,,,"2020-09-17T15:00:42Z",,,,,"yes",,,,,"Combining theory with Big Data? The case of uncertainty in prediction of trends in extreme weather and impacts","167215","10.13039/501100001711","SNF","NFP 75: Gesuch",,,"85089754721",,"000591503900006",,,"Studies in History and Philosophy of Science Part A","84","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03777 - Knutti, Reto / Knutti, Reto||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","03777||09576","03777||09576",,"56","46","Amsterdam","published",,,,,,,,,,,,,,,"2020-10-02T09:23:43Z","2021-02-15T20:56:17Z","true",,"FORM",,,"publishedVersion",
"367310","20.500.11850/3","Xexakis, Georgios||Hansmann, Ralph||Volken, Sandra P.||Trutnevyte, Evelina",,,,,"2020-09-10T15:14:05Z","2020-09-10T05:50:00Z||2020-09-10T15:14:05Z","2020-12","2020-09-03",,"Model-based scenarios have become the key method to explore uncertainties in the electricity supply transition of many countries. While retrospective scenario studies show that multi-organization, multi-model scenario ensembles increase the diversity of considered uncertainties, it remains unclear whether such ensembles align with the perspectives of transition stakeholders, including the wider public. This study compares a multi-organization, multi-model ensemble of 82 Swiss electricity supply scenarios for 2035 from a review of 19 studies between 2011 and 2018 with preferred scenarios from three samples of stakeholders: citizens from an online survey (N=61), informed citizens from participatory workshops (N=46), and energy experts from another online survey (N=60). The results show that most informed citizens and experts preferred an almost 100% domestic renewable electricity supply in Switzerland in 2035. On the contrary, most model-based scenarios relied significantly on fossil fuel-based generation and net electricity imports. Possible reasons for this misalignment include the lack of broad stakeholder participation in the development of such scenarios and the modeling choices such as cost-optimization models that are known to underrepresent renewable electricity. For both scenario developers and users, this study offers a word of caution that even a rich scenario ensemble could focus on alternatives that are not preferred by stakeholders and that diverse stakeholder and public perspectives can enrich scenario ensembles. For the Swiss electricity supply transition, the results indicate that a large-scale deployment of renewable electricity before 2035 is preferred by the expert and citizen samples and, therefore, such scenarios should be modeled more in the future. © 2020 Elsevier Ltd",,,,"1364-0321",,"10.1016/j.rser.2020.110297","http://hdl.handle.net/20.500.11850/439501","en","Elsevier",,,"Scenarios||Electricity supply||Stakeholder perspectives||Scenario choice||Energy system models||Public preferences","Models on the wrong track: Model-based electricity supply scenarios in Switzerland are not aligned with the perspectives of energy experts and the public",,"Journal Article","Metadata only",,,,,"2020-09-10T05:50:04Z",,,,,"yes",,,,,"Risk governance of electricity portfolios (RIGOROuS): Cross-technology and spatial tradeoffs of multiple risks","160563","10.13039/501100001711","SNF","Ambizione Energie",,,"85090166568",,"000582927200040","Renew. sustain. energy rev.",,"Renewable and Sustainable Energy Reviews","134","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,,"110297","Amsterdam","published",,,,,,,,,,,,,,,"2020-09-10T15:14:17Z","2021-02-15T17:09:39Z","true","14 p.","SCOPUS",,,,
"358645","20.500.11850/3","Hansmann, Ralph||Baur, Ivo||Binder, Claudia R.",,,,,"2020-07-31T14:47:49Z","2020-07-30T07:36:01Z||2020-07-31T14:47:49Z","2020-12-01",,,"A survey of 620 Swiss households was conducted to investigate the determinants of purchases of organic fruits and vegetables and identify subjectively perceived requirements for more environmentally friendly and healthier food consumption. An integrative behavior model incorporating various psychological and socio-structural variables was applied to explain the ratio of organic vs. non-organic purchases. The theory of planned behavior was considered fundamental for the development of this integrative model, and supplementary variables were included, accounting for moral justifications, education level, income, and further aspects. The resulting model accounted for 42% of the variance of organic food consumption. Financial and environmental justifications for purchasing non-organic food resulted as the most important predictors, followed by recent consumption changes, health-related aspects of attitudes and social norms, perceived behavioral control, environmental values, income, and education level. The participants considered more knowledge and information and having more money at their disposal to be important requirements for achieving more environmentally friendly and healthier food consumption. Furthermore, they considered having more time to prepare meals oneself as particularly important to achieving healthier food consumption.","application/pdf","10.3929/ethz-b-000429178",,"0959-6526",,"10.1016/j.jclepro.2020.123058","http://hdl.handle.net/20.500.11850/429178","en","Elsevier","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Organic food||Healthy nutrition||Sustainable food consumption||Environmental awareness||Behavioral decision-making","Increasing organic food consumption: An integrating model of drivers and barriers",,"Journal Article","Open access",,,,,"2020-07-30T07:36:21Z",,,,,"yes",,,,,,,,,,,,"85088382759",,"000579495100087","J Cleaner Prod.",,"Journal of Cleaner Production","275","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,,"123058","Amsterdam","published",,,,,,,,,,,,,,,"2020-07-31T14:48:06Z","2021-02-15T15:47:07Z","true","18 p.","SCOPUS",,,"publishedVersion",
"366677","20.500.11850/3","Abad, Jaime||Booth, Laura||Baills, Audrey||Fleming, Kevin||Leone, Mattia||Schueller, Lynn||Petrovic, Bojana",,,,,"2020-09-07T12:56:43Z","2020-03-25T12:33:50Z||2020-03-25T12:35:36Z||2020-09-07T12:56:43Z","2020-12","2020-08-27",,"The ESPREssO Project set out to propose ways to inform more coherent national and European approaches on Disaster Risk Reduction (DRR) and Climate Change Adaptation (CCA). A critical step in this process is the identification of existing barriers to effective collaboration, finding new areas of common ground, and ways to enhance co-operation with regards to CCA and DRR policymaking in Europe. This is particularly important considering the potential relationships between CCA and DRR activities at the regional, national, European and global levels.  Serious games have emerged as a valuable tool to communicate information and catalyse discussion in many policy arenas. The games have the power to inform, mainly by exposing strengths and weaknesses of a system but not necessarily create policy choices. This paper presents the development process and rationale behind creation of RAMSETE I, a serious game developed by and for the ESPREssO Project to elicit information from its stakeholders in aiming to inform synergies between CCA and DRR sectors. The results assess its application as a device to frame discussions during an international Think Tank workshop. The serious game focused on three particular aspects of CCA and DRR policy interactions: (1) separation of administrative responsibilities and the use of different terminology, (2) the ongoing competition for funding and political will as well as (3) difficulties regarding the top-down implementation of policies.  The rules and design process are presented briefly, before going in-depth into the information gleaned during its application in the workshop.","application/pdf","10.3929/ethz-b-000406584",,"2212-4209","http://hdl.handle.net/20.500.11850/384246||http://hdl.handle.net/20.500.11850/298241","10.1016/j.ijdrr.2020.101782","http://hdl.handle.net/20.500.11850/406584","en","Elsevier","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/",,"Assessing policy preferences amongst climate change adaptation and disaster risk reduction stakeholders using serious gaming",,"Journal Article","Open access",,,,,"2018-10-23T13:09:52Z",,,,,"yes",,,,,,,,,,,,"85090026013",,"000599711000005",,,"International Journal of Disaster Risk Reduction","51","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,,"101782","Amsterdam","published",,,,,,,,,,,,,,,"2020-09-07T12:56:53Z","2021-02-15T17:02:54Z","true","9 p.","FORM",,,"publishedVersion",
"414428","20.500.11850/3","Binder, Claudia R.||Fritz, Livia||Hansmann, Ralph||Balthasaar, Andreas||Roose, Zilla",,,,,"2021-08-12T06:11:45Z","2021-07-15T10:28:10Z||2021-08-12T06:11:45Z","2020-12","2020-12-25",,"We present results of a survey conducted with researchers and practitioners involved in a Swiss National Research Programme on steering energy consumption. We analyse what motivates practitioners and researchers to engage in a collaborative research project, their perception of the collaboration intensity in different project phases, and the extent to which the research project provided useful results for practitioners. Our analyses demonstrate that the intensity of collaboration is a key driver of successful collaboration as it fosters trust between researchers and practitioners. Thereby, it increases the usefulness of the research project for practitioners and their perceived contribution to the success of the research project. Research programmes should thus (1) foster trust through incentivising collaboration between research and practice; (2) facilitate the development of a shared understanding of researchers' and practitioners' respective roles; and (3) support the inclusion of practitioners in the project development phase through financial support during the proposal-writing phase.",,,,"0302-3427||1471-5430",,"10.1093/scipol/scaa066","http://hdl.handle.net/20.500.11850/494898","en","Oxford University Press",,,"science policy||transdisciplinary research||collaboration||participation||research programme||trust","Increasing the relevance of science for practice and practice for science: Quantitative empirical insights",,"Journal Article","Metadata only",,,,,"2021-07-15T10:29:34Z",,,,,"yes",,,,,,,,,,,,,,"000649372700003","Sci public policy","6","Science and Public Policy","47","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,"787","772","Oxford","published",,,,,,,,,,,,,,,"2021-08-12T06:11:51Z","2022-03-29T11:01:27Z","true",,"WOS",,,,
