id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.editor,dc.contributor.projectLeader,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.code.jel,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.arxiv,ethz.identifier.diss,ethz.identifier.orcidWorkCode,ethz.identifier.pubmed,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.compiles,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isCompiledBy,ethz.relation.isPartOf,ethz.relation.isSourceOf,ethz.relation.isSupplementTo,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"450826","20.500.11850/18","Vaterlaus, Lisa",,,,"Kropf, Chahan Michael||Bresch, David N.","2022-05-13T08:23:23Z","2022-05-06T10:24:59Z||2022-05-06T12:18:01Z||2022-05-13T08:23:23Z","2021-12-20",,"Natural hazards are a driver of ecological dynamics as they alter individual species, community structure and entire ecosystems. Their ecological impact can be highly variable over space and time: perceived by some species as disastrous but vital for the survival of others. The ability of a system to cope with such events is called ecological resilience and depends on biotic and abiotic factors, as well as the disturbance legacies. With global climate change, intensity, frequency, and spatial distribution of natural hazards will change. As a result, understanding the ecological resilience is crucial to analyse implications of future changes. So far, studies investigated mainly the impact of one natural hazard on specific species, regions, or ecosystem services but an approach to investigate global patterns is still missing. In this thesis, the impact modelling platform CLIMADA was used to assess the current impact of four natural hazards (tropical cyclones, river floods, wildfires, European winter storms) on ecoregions on a global scale. For each natural hazard type, distinct patterns of a hazard’s impact on ecoregions were found with large differences among and within ecological realms and biomes. Based on the current hazard-ecosystem interactions, the relative change of hazard activity over the next 60 years was quantified by comparing current and future hazard patterns. Results indicated global changes in hazard activity with new patterns of tropical cyclone activity and river flood events for most ecoregions. To identify the implications of changing hazard regimes for ecoregions, recovery times of experimental field studies were analysed and linked to local return periods of tropical cyclones. Differences between modelled return periods and measured recovery times were found between the analysed sites, but a global scientific link was difficult to prove because of differences in site and hazard characteristics. The knowledge about hazard-ecosystem interactions combined with the implications of recovery times yields great potential to investigate upcoming changes through climate change for specific regions. Lastly, the findings of this thesis were applied on a set of ecologically important areas. Here again, all regions experienced natural hazards to some extent so far, but future intensities and frequencies will change radically for some areas. Additionally, the statistical tests imply a link between hazard occurrence and ecological status which has great potential for further application.","application/pdf","10.3929/ethz-b-000545628",,,,,"http://hdl.handle.net/20.500.11850/545628","en","ETH Zurich","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Impact of natural hazards on global ecosystems",,"Master Thesis","Open access",,,,"2022-05-06T10:25:05Z",,,,"yes",,,,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576",,,,"Zurich","published",,,,,,,,,,,"2022-05-13T08:23:30Z","2022-05-13T08:23:30Z","true","86 p.","FORM",,,
"434845","20.500.11850/21","Hecht, Susanna||Schmink, Marianne||Abers, Rebecca||Assad, Eduardo||Humphreys Bebbington, Denise||Eduaro, Brondizio||Costa, Francisco||Durán Calisto, Ana María||Fearnside, Philip M.||Garrett, Rachael||Heilpern, Sebastian||McGrath, David||Oliveira, Gustavo||Pereira, Henrique||Pinedo-Vazquez, Miguel",,"Nobre, Carlos||Encalada, Andrea||Anderson, Elizabeth||et al.",,,"2022-01-18T07:29:43Z","2022-01-17T10:34:18Z||2022-01-17T11:52:38Z||2022-01-18T07:29:43Z","2021-12-06",,"This chapter reviews the often-invisible, powerful processes that drive social and ecological change in the Amazon, and the diverse peoples who inhabit its landscapes. It explores the large-scale development ideologies of modernization, and the policy tools that were deployed to carry them out. Outlining general periods of macro policy shifts, it shows the evolution of the framework for today’s complex interactions between large-scale agroindustry, mining, and hydrocarbons; diverse small-scale livelihoods; the clandestine and illicit economies of land grabbing, gold, coca and timber; and their operation in globalized and regional economies. While Pan-Amazonian governments have oscillated between authoritarian and more or less democratic forms of governance since the mid-20th century, more democratic transformations and trade have led to interactions among a wide array of new civil society actors; including non-governmental organizations (NGOs), social movements, rural syndicates, and urban social movements; and powerful actors such as national and international technical, financial, and corporate groups and international conservation organizations. New international sources of funding expanded well beyond multilateral or traditional bilateral aid; this includes financing from China and hedge funds, and new forms of both informal and corporate production lending. Integration into numerous globalized markets and finance have had enormous effects on Amazonian politics and economies at all scales. These dynamics have generated new kinds of policies, political framings, institutions, and economies, and restructured old ones; reshaped forms of urbanization, settlements, and land regimes; and stimulated extensive and controversial infrastructure development. On the ground, diverse Amazonian peoples have largely suffered the impacts of these processes, and have continued to adapt to changing circumstances while fighting to advance their own proposals for alternative forms of Amazon conservation and development.","application/pdf","10.3929/ethz-b-000526184",,,,,"http://hdl.handle.net/20.500.11850/526184","en","United Nations Sustinable Development Solutions Network","Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International","http://creativecommons.org/licenses/by-nc-sa/4.0/","Development policy||globalization||urbanization||settlement||clandestine economy||deforestation||roads||dams||social movements","The Amazon in motion: Changing politics, development strategies, peoples, landscapes, and livelihoods",,"Report","Open access","Amazon Assessment Report 2021, Part II",,,"2022-01-17T10:34:24Z",,,,"yes",,,,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","09659","09659",,"14.65","14.2","New York, NY","published",,,,,,"https://www.theamazonwewant.org/amazon-assessment-report-2021/",,,,,"2022-01-18T07:29:53Z","2023-02-06T23:50:41Z","true",,"FORM",,,
"436222","20.500.11850/3","Schröter, Kai||Barendrecht, Marlies||Bertola, Miriam||Ciullo, Alessio||da Costa, Ricardo||Cumiskey, Lydia||Curran, Alex||Diederen, Dirk||Farrag, Mostafa||Holz, Friederike||Khanal, Sonu||Manocsoc, Maya||Metin, Duha||Sairam, Nivedita||Shustikova, Iuliia||Sosa, Jeison",,,,,"2022-01-24T14:04:33Z","2021-12-06T17:32:22Z||2022-01-24T14:04:33Z","2021-12","2021-11-25","Fluvial flood risk systems are characterized by complex interactions and feedbacks as well as subject to changes of hazard, exposure and vulnerability. Disregarding spatial and temporal dependencies and changes in the components of risk introduces biases to risk estimates. A systems approach to large-scale flood risk assessment and management is proposed to account for the complexity and dynamic nature of flood risk. The systems approach provides methods and tools that offer a more comprehensive view to flood risk, reveal the relevant interactions, and quantify feedbacks in flood risk systems. Policymakers and flood risk managers can benefit from the systems approach in the development of comprehensive risk reduction strategies.",,,,,,"10.1016/j.wasec.2021.100109","http://hdl.handle.net/20.500.11850/518949","en","Elsevier",,,"Flood risk assessment||Systems approach||Upstream–downstream interaction||Feedback in human–flood systems||Changes of flood risk drivers","Large-scale flood risk assessment and management: Prospects of a systems approach",,"Journal Article","Metadata only",,,,"2021-12-06T17:32:32Z",,,,"yes",,,,,,,,,,,,,"85119926923",,,,,"Water Security","14","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576",,,"100109","Amsterdam","published",,,,,,,,,,,"2022-01-24T14:04:41Z","2022-01-24T14:04:41Z","true","8 p.","SCOPUS",,,
"429222","20.500.11850/3","Zischg, Andreas Paul||Röthlisberger, Veronika||Mosimann, Markus||Profico-Kaltenrieder, Rahel||Bresch, David N.||Fuchs, Sven||Kauzlaric, Martina||Keiler, Margreth",,,,,"2021-12-09T18:06:52Z","2021-09-16T02:30:23Z||2021-10-22T17:23:29Z||2021-12-09T18:06:52Z","2021-12","2021-09-07","In flood risk management, the choice of vulnerability functions has a remarkable impact on the overall uncertainty of modelling flood damage. The spatial transferability of empirical vulnerability functions is limited, leading to the need for computation and validation of region-specific vulnerability functions. In data-scarce regions however, this option is not feasible. In contrast, the physical processes of flood impact model chains can be developed in these regions because of the availability of global datasets. Here we evaluated the implementation of a synthetic vulnerability function into a flood impact model. The function bases on expert heuristics on a targeted sample of representative buildings (targeted heuristics). We applied the vulnerability function in a meso-scale river basin and evaluated the new function by comparing the resulting flood damage with the damage computed by other approaches, (1) an ensemble of vulnerability functions available from the literature, (2) an individual vulnerability function calibrated with region-specific data, and (3) the vulnerability function used in flood risk management by the Swiss government. The results show that targeted heuristics can be a valuable alternative for developing flood impact models in regions without any data or only few data on flood damage.","application/pdf","10.3929/ethz-b-000505651",,,,"10.1111/jfr3.12736","http://hdl.handle.net/20.500.11850/505651","en","Wiley","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","extreme events||flood damages||floodplain||vulnerability","Evaluating targeted heuristics for vulnerability assessment in flood impact model chains",,"Journal Article","Open access",,,,"2021-09-16T02:30:39Z",,,,"yes",,,,,,,,,,,,,"85114345084",,"000693379400001",,"4","Journal of Flood Risk Management","14","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576",,,"e12736","Oxford","published",,,,,,,,,,,"2021-12-09T18:06:58Z","2022-03-29T16:32:03Z","true","16 p.","WOS",,"publishedVersion",
"427762","20.500.11850/21","Wenger, Ariane",,,,,"2021-12-02T06:36:58Z","2021-12-01T16:09:21Z||2021-12-02T06:36:58Z","2021-12-01",,,"application/pdf","10.3929/ethz-b-000518035",,,,,"http://hdl.handle.net/20.500.11850/518035","en","ETH Zurich, Transdisciplinary Lab & Air Travel Project “Stay grounded, keep connected”","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","ETH Zurich air travel project||air travel emissions||academic air travel||impact Covid-19 pandemic||attitudes towards air travel","Air travel at ETH – Results from a survey among students",,"Report","Open access",,,,"2021-12-01T16:09:26Z",,,,"yes",,,,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||ETH Zürich::00002 - ETH Zürich::00003 - Schulleitung und Dienste::00025 - Bereich VP Infrastruktur / Domain VP Infrastructure","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351||00025","02351",,,,"Zurich","published",,,,,,"10.3929/ethz-b-000553239",,,,,"2021-12-02T06:37:03Z","2023-02-06T23:23:02Z","true","41 p.","FORM",,,
"449854","20.500.11850/3","Wilkes-Allemann, Jerylee||Deuffic, Philippe||Jandl, Robert||Westin, Kerstin||Lieberherr, Eva||Foldal, Cecilie||Lidestav, Gun||Weiss, Gerhard||Zabel, Astrid||Živojinović, Ivana||Pecurul-Botines, Mireia||Koller, Nancy||Haltia, Emmi||Sarvašová, Zuzana||Sarvaš, Milan||Curman, Marta||Riedl, Marcel||Jarský, Vilém",,,,,"2022-05-06T11:55:19Z","2021-11-11T03:51:40Z||2021-11-11T05:49:35Z||2022-05-06T11:55:19Z","2021-12","2021-11-01","In Europe, private forest owners play an important role in achieving sustainability goals, such as those set by the European Green Deal. Efficient communication and coordination with these actors is therefore central. However, ongoing structural changes in forest ownership have in many cases silenced traditional communication channels, especially those involving owners of small forests. Their economic performance is often negligible at an individual level, yet collectively their forests play a pivotal role in a context of increasing demand for wood products. In this article, we analyse and compare forest campaigns in nine European countries. Specifically, we assess one-way and two-way communication models applying different techniques to engage (non-traditional) forest owners. Our analysis of 34 campaigns shows that (i) one-way communication models are still more widely used in the forest sector to engage non-traditional forest owners than two-way communication models; (ii) one-way communication aims at informing and is effective for short-term awareness raising, while two-way communication aims at persuading and is essential to trigger forest management activities over the long-term, (iii) interactive learning tools can play a crucial role for reaching and engaging (non-traditional) forest owners. We further conclude that campaigns could be improved by having 1) joint campaigns with public and private actors, 2) convincing narratives developed based on a good understanding of forest owners' motivations, 3) adapting the timing of campaigns to windows of opportunities and 4) developing intermediary associations (e.g. non-traditional forest owner associations) as connectors and trust builders between different actors as they play a crucial role in providing information to forest owners and supporting their engagement.","application/pdf","10.3929/ethz-b-000514697",,"1389-9341",,"10.1016/j.forpol.2021.102621","http://hdl.handle.net/20.500.11850/514697","en","Elsevier","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","Campaigns||Small-scale forest owners||Communication channels","Communication campaigns to engage (non-traditional) forest owners: A European perspective",,"Journal Article","Open access",,,,"2021-11-11T03:51:49Z",,,,"yes",,,,,,,,,,,,,"85118360636",,,,,"Forest Policy and Economics","133","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","02723||08693","08693",,,"102621","Amsterdam","published",,,,,,,,,,,"2021-11-11T05:49:47Z","2023-02-07T02:02:52Z","true","13 p.","SCOPUS",,"publishedVersion",
"427761","20.500.11850/21","Wenger, Ariane",,,,,"2021-12-02T06:34:14Z","2021-11-30T10:11:31Z||2021-11-30T10:57:11Z||2021-11-30T14:44:16Z||2021-12-02T06:34:14Z","2021-11-30",,,"application/pdf","10.3929/ethz-b-000517746",,,,,"http://hdl.handle.net/20.500.11850/517746","en","ETH Zurich, Transdisciplinary Lab & Air Travel Project “Stay grounded, keep connected”","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/","impact Covid-19 pandemic||Air travel project ETH Zurich||air travel emissions||academic air travel","Air travel at ETH – Results from a survey among professors",,"Report","Open access",,,,"2021-11-30T10:11:37Z",,,,"yes",,,,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab||ETH Zürich::00002 - ETH Zürich::00003 - Schulleitung und Dienste::00025 - Bereich VP Infrastruktur / Domain VP Infrastructure","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351||00025","02351",,,,"Zurich","published",,,"20.500.11850/409317||20.500.11850/409316||10.3929/ethz-b-000476594",,,"10.3929/ethz-b-000553239",,,,,"2021-11-30T10:57:29Z","2023-02-06T23:23:01Z","true","46 p.","FORM",,,
"435187","20.500.11850/3","Lüthi, Samuel||Aznar-Siguan, Gabriela||Fairless, Christopher||Bresch, David N.",,,,,"2022-01-19T08:07:45Z","2021-12-04T04:50:34Z||2022-01-19T08:07:45Z","2021-11-25",,"In light of the dramatic increase in economic impacts due to wildfires over recent years, the need for globally consistent impact modelling of wildfire damages is ever increasing. Insurance companies, individual households, humanitarian organizations, governmental authorities, and investors and portfolio owners are increasingly required to account for climate-related physical risks. In response to these societal challenges, we present an extension to the open-source and open-access risk modelling platform CLIMADA (CLImate ADAptation) for modelling economic impacts of wildfires in a globally consistent and spatially explicit approach. All input data are free, public and globally available, ensuring applicability in data-scarce regions of the Global South. The model was calibrated at resolutions of 1, 4 and 10 km using information on past wildfire damage reported by the disaster database EM-DAT. Despite the large remaining uncertainties, the model yields sound damage estimates with a model performance well in line with the results of other natural catastrophe impact models, such as for tropical cyclones. To complement the global perspective of this study, we conducted two case studies on the recent megafires in Chile (2017) and Australia (2020). The model is made available online as part of a Python package, ready for application in practical contexts such as disaster risk assessment, near-real-time impact estimates or physical climate risk disclosure.","application/pdf","10.3929/ethz-b-000518607",,"1991-9603||1991-959X",,"10.5194/gmd-14-7175-2021","http://hdl.handle.net/20.500.11850/518607","en","Copernicus","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Globally consistent assessment of economic impacts of wildfires in CLIMADA v2.2",,"Journal Article","Open access",,,,"2021-12-04T04:52:22Z",,,,"yes",,,,,,,,,,,,,"85120669307",,"000723037300001","Geosci. model dev.","11","Geoscientific Model Development","14","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576",,"7187","7175","Göttingen","published",,,,,,,,,,,"2022-01-19T08:07:51Z","2023-02-06T23:51:16Z","true",,"WOS",,"publishedVersion",
"434481","20.500.11850/3","Wohland, Jan||Folini, Doris||Pickering, Bryn",,,,,"2022-01-16T10:56:25Z","2021-11-29T12:53:41Z||2021-11-30T08:57:07Z||2021-11-30T09:04:11Z||2022-01-16T10:56:25Z","2021-11-24",,"Near-surface winds affect many processes on planet Earth, ranging from fundamental biological mechanisms such as pollination to man-made infrastructure that is designed to resist or harness wind. The observed systematic wind speed decline up to around 2010 (stilling) and its subsequent recovery have therefore attracted much attention. While this sequence of downward and upwards trends and good connections to well-established modes of climate variability suggest that stilling could be a manifestation of multidecadal climate variability, a systematic investigation is currently lacking. Here, we use the Max Planck Institute Grand Ensemble (MPI-GE) to decompose internal variability from forced changes in wind speeds. We report that wind speed changes resembling observed stilling and its recovery are well in line with internal climate variability, both under current and future climate conditions. Moreover, internal climate variability outweighs forced changes in wind speeds on 20-year timescales by 1 order of magnitude, despite the fact that smaller, forced changes become relevant in the long run as they represent alterations of mean states. In this regard, we reveal that land use change plays a pivotal role in explaining MPI-GE ensemble-mean wind changes in the representative concentration pathways 2.6, 4.5, and 8.5. Our results demonstrate that multidecadal wind speed variability is of greater relevance than forced changes over the 21st century, in particular for wind-related infrastructure like wind energy.","application/pdf","10.3929/ethz-b-000517538",,"2190-4987||2190-4979",,"10.5194/esd-12-1239-2021","http://hdl.handle.net/20.500.11850/517538","en","Copernicus","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Wind speed stilling and its recovery due to internal climate variability",,"Journal Article","Open access",,,,"2021-11-29T12:53:46Z",,,,"yes",,,,,,,,,,,,,"85120529002",,,,"4","Earth System Dynamics","12","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03360 - Schär, Christoph / Schär, Christoph","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02717 - Institut für Atmosphäre und Klima / Inst. Atmospheric and Climate Science::03360 - Schär, Christoph / Schär, Christoph","09451||03360","09451||03360",,"1251","1239","Göttingen","published",,,,,,,,,,,"2021-11-30T09:04:18Z","2022-03-29T17:37:53Z","true",,"FORM",,"publishedVersion",
"485169","20.500.11850/22","Stigler, Matthieu||Lobell, David",,,,,"2023-01-17T09:17:12Z","2023-01-16T12:42:19Z||2023-01-17T09:17:12Z","2021-11-16",,"Index insurance is a promising tool to reduce the risk faced by farmers, but high basis risk, which arises from imperfect correlation between the index and individual farm yields, has limited its adoption to date. Basis risk arises from two fundamental sources: the intrinsic heterogeneity within an insurance zone (zonal risk), and the lack of predictive accuracy of the index (design risk). Whereas previous work has focused almost exclusively on design risk, a theoretical and empirical understanding of the role of zonal risk is still lacking. Here we investigate the relative roles of zonal and design risk, using the case of maize yields in Kenya. Our first contribution is to derive a formal decomposition of basis risk, providing a simple upper bound on the insurable basis risk that any index can reach within a given zone. Our second contribution is to provide the first large-scale empirical analysis of the extent of zonal versus design risk. To do so, we use satellite estimates of yields at 10m resolution across Kenya, and investigate the effect of using smaller zones versus using different indices. Our results show a strong local heterogeneity in yields, underscoring the challenge of implementing index insurance in smallholder systems, and the potential benefits of low-cost yield measurement approaches that can enable more local definitions of insurance zones.","application/pdf","10.3929/ethz-b-000592677",,,,"10.48550/arXiv.2111.08601","http://hdl.handle.net/20.500.11850/592677","en","Cornell University","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","Index insurance||agricultural risk management basis risk||risk decomposition||satellite data","Optimal index insurance and basis risk decomposition: an application to Kenya",,"Working Paper","Open access",,,"JEL - JEL::G - Financial Economics::G2 - Financial Institutions and Services::G22 - Insurance; Insurance Companies; Actuarial Studies||JEL - JEL::O - Economic Development, Innovation, Technological Change, and Growth::O1 - Economic Development::O16 - Financial Markets; Saving and Capital Investment; Corporate Finance and Governance||JEL - JEL::Q - Agricultural and Natural Resource Economics; Environmental and Ecological Economics::Q1 - Agriculture::Q14 - Agricultural Finance","2023-01-16T12:42:19Z",,,,"no",,,,,,,,,"2111.08601",,,,,,,,,"arXiv",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","09659","09659",,,"2111.08601","Ithaca, NY","published",,,,,,,,,,,"2023-01-17T09:17:13Z","2023-01-17T09:17:13Z","true","28 p.","FORM",,,"v1"
