id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.dataCollector,dc.contributor.editor,dc.contributor.projectLeader,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.created,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.collected,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.description.methods,ethz.description.software,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.geolocation.placename,ethz.geolocation.pointlat,ethz.geolocation.pointlong,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isDerivedFrom,ethz.relation.isPartOf,ethz.relation.isReferencedBy,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit,ethz.version.edition
"480431","20.500.11850/31","Riedel, Lukas","Riedel, Lukas",,,,,"2022-12-15T06:46:30Z","2022-12-14T15:44:29Z||2022-12-15T06:46:30Z",,"2022-12-15",,,".nc||application/netcdf","10.3929/ethz-b-000587207",,,,,"http://hdl.handle.net/20.500.11850/587207","en","ETH Zurich","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Gumbel distribution fit parameters for historical GloFAS river discharge data",,"Dataset","Open access",,,,"2022-12-14T15:44:29Z",,"10 years","2032-12-15T06:46:30Z","For the historical GloFAS river discharge from 1979 to 2021, the yearly maximum was calculated for every grid cell. Then, the time series of yearly maxima for every cell was used to fit a right-skewed Gumbel distribution using the maximum likelihood estimtation method. The fitted parameters were saved as ""loc"" and ""scale"" variables in a NetCDF dataset with the same grid configuration as the GloFAS historical data. Generated using Copernicus Emergency Management Service information 2022.","Python, scipy, xarray, dask, CLIMADA","yes",,,,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions",,"02723",,,,,"Zurich",,,,,"10.24381/cds.a4fdd6b9",,,,,,,"2022-12-15T06:46:51Z","2022-12-15T06:46:51Z","true","27.25 MB","FORM",,,,
"473614","20.500.11850/3","Corona, Blanca||Hoefnagels, Ric||Vural Gürsel, Iris||Moretti, Christian||van Veen, M.||Junginger, Martin",,,,,,"2022-10-31T08:24:46Z","2022-10-31T07:40:12Z||2022-10-31T08:24:46Z",,"2022-12-15","2022-10-26","Achieving a circular economy (CE) is seen by society and policymakers as crucial to achieving a sustainable, resource-efficient, renewable and competitive economy. Given the current threat of climate change, we must develop new products that not only maximise the circularity of resources but also minimise climate change impacts. While these two goals are usually aligned, trade-offs exist. For instance, recycling biobased asphalt is a better end-of-life option than landfilling from a resource efficiency perspective. However, landfilling of biogenic non-biodegradable material leads to permanent carbon storage and, therefore, climate benefits. To fully understand the potential benefits and impacts of biobased circular innovations, we need metrics to capture their complexity from both a circular and climate point of view. This study explores the use of different circularity and sustainability metrics to understand the impacts and trade-offs of lignin-based versus bitumen-based asphalts. The analysis is done by calculating the Material Circularity Index (MCI) and two newly developed indicators quantifying the biogenic carbon storage (BCS) of products (BCS100 and c-BCS) while following the CE principles. In addition, the impacts regarding climate change, life cycle costs and ECI (environmental costs indicator) are also provided. Based on the MCI, it can be concluded that lignin-based asphalt roads have slightly higher material circularity than their bitumen-based counterparts. The BCS analysis indicated that the least circular lignin-based alternative sequesters the highest amount of carbon in the long term due to permanent storage in foundations. Despite these trade-offs, the results from the newly developed BCS indicators allowed to align both climate and circularity goals, guiding policymakers and industry actors to implement circular biobased strategies where the value of biobased materials is optimised. Finally, this article discusses the use of different circularity and environmental metrics for decision making in the context of a circular biobased economy.","application/pdf","10.3929/ethz-b-000578523",,"0959-6526",,"10.1016/j.jclepro.2022.134829","http://hdl.handle.net/20.500.11850/578523","en","Elsevier","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Circular economy||Lignin||Asphalt||Biobased||Biogenic carbon||Metrics","Metrics for minimising environmental impacts while maximising circularity in biobased products: The case of lignin-based asphalt",,"Journal Article","Open access",,,,"2022-10-31T07:40:13Z",,,,,,"yes",,,,,,,,,,,,,"85140808394",,"000880808900006","J Cleaner Prod.","Part 2","Journal of Cleaner Production","379","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.",,"09451",,,,"134829","Amsterdam","published",,,,,,,,,,,"2022-10-31T08:24:48Z","2023-02-07T07:24:28Z","true","10 p.","FORM",,,"publishedVersion",
"480381","20.500.11850/30","Riedel, Lukas","Riedel, Lukas",,,,,"2022-12-14T15:55:21Z","2022-12-14T15:33:28Z||2022-12-14T15:55:21Z",,"2022-12-14",,"Dataset containing flood hazard maps for the entire world for flood return periods of 10, 20, 50, 100, 200, and 500 years. The dataset describes the inundation depth of a flood with the given return period on a latitude/longitude grid with a resolution of 30 arc seconds.",".nc||application/netcdf","10.3929/ethz-b-000587202",,,,,"http://hdl.handle.net/20.500.11850/587202","en","ETH Zurich","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Flood hazard map of the World",,"Data Collection","Open access",,,,"2022-12-14T15:33:29Z",,"10 years","2032-12-14T15:55:22Z","Concatenate flood hazard maps of the world for different return periods into a NetCDF dataset.","Python, xarray, rioxarray, netcdf, CLIMADA","yes",,,,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions",,"02723",,"Dottori, Francesco; Alfieri, Lorenzo; Salamon, Peter; Bianchi, Alessandra; Feyen, Luc; Hirpa, Feyera (2016): Flood hazard map of the World - 10-year return period. European Commission, Joint Research Centre (JRC) [Dataset] PID: http://data.europa.eu/89h/jrc-floods-floodmapgl_rp10y-tif Dottori, Francesco; Alfieri, Lorenzo; Salamon, Peter; Bianchi, Alessandra; Feyen, Luc; Hirpa, Feyera (2016): Flood hazard map of the World - 20-year return period. European Commission, Joint Research Centre (JRC) [Dataset] PID: http://data.europa.eu/89h/jrc-floods-floodmapgl_rp20y-tif Dottori, Francesco; Alfieri, Lorenzo; Salamon, Peter; Bianchi, Alessandra; Feyen, Luc; Hirpa, Feyera (2016): Flood hazard map of the World - 50-year return period. European Commission, Joint Research Centre (JRC) [Dataset] PID: http://data.europa.eu/89h/jrc-floods-floodmapgl_rp50y-tif Dottori, Francesco; Alfieri, Lorenzo; Salamon, Peter; Bianchi, Alessandra; Feyen, Luc; Hirpa, Feyera (2016): Flood hazard map of the World - 100-year return period. European Commission, Joint Research Centre (JRC) [Dataset] PID: http://data.europa.eu/89h/jrc-floods-floodmapgl_rp100y-tif Dottori, Francesco; Alfieri, Lorenzo; Salamon, Peter; Bianchi, Alessandra; Feyen, Luc; Hirpa, Feyera (2016): Flood hazard map of the World - 200-year return period. European Commission, Joint Research Centre (JRC) [Dataset] PID: http://data.europa.eu/89h/jrc-floods-floodmapgl_rp200y-tif Dottori, Francesco; Alfieri, Lorenzo; Salamon, Peter; Bianchi, Alessandra; Feyen, Luc; Hirpa, Feyera (2016): Flood hazard map of the World - 500-year return period. European Commission, Joint Research Centre (JRC) [Dataset] PID: http://data.europa.eu/89h/jrc-floods-floodmapgl_rp500y-tif",,,"Zurich",,,,,"10.1016/j.advwatres.2016.05.002",,,,,,,"2022-12-14T15:55:29Z","2022-12-14T15:55:29Z","true","253.13 MB","FORM",,,,
"488140","20.500.11850/3","Sampaio Neto, Oscar||Biasi, Lilian Caroline Kramer||Cravo Ferreira, Marcela||Gonçalves, Daniel||Silva Neto, Antonio Carlos||Caldas Batista, Eduardo Augusto||de Almeida Meirelles, Antonio José",,,,,,"2023-01-31T16:25:38Z","2023-01-16T12:45:02Z||2023-01-31T16:25:38Z",,"2022-12","2022-05-28","Solid-liquid extraction (SLE), in which a solute is transferred from a fixed bed of solids with different porosities into a liquid phase, involves solid matrix diffusivity or intra-particle porosity (εp) to reflect the mass transfer resistance within the solid phase and mass transfer coefficients to describe the resistance within the liquid phase. Models that consider intra-particle porosity do not adequately describe the overall mass transfer, especially when the porosity values are low. For such cases, it is common to employ models based on solid matrix diffusivity. However, such models do not describe the non-linear solute concentration profiles commonly encountered in the liquid loading zone of extractors. A new mathematical model based on a control volume that moves along with the liquid phase is proposed to describe the solute concentration within the particle and liquid phases. Such an approach also enables calculation of the transient and local solute concentrations in the loading zone. The model parameter sets were fitted to the experimental results from the porous systems (soybean layer). The global mean deviation (11.6%) between the model and experimental results demonstrates that the proposed model is consistent and can be used to simulate solid-liquid extraction operations for porous and low-porosity solids.",,,,"0260-8774||1873-5770",,"10.1016/j.jfoodeng.2022.111154","http://hdl.handle.net/20.500.11850/592679","en","Elsevier",,,"Computational simulation||Mathematical modelling||Particle porosity||Loading zone||Mass transfer","Implementation of the moving control volume and filling front concepts in modelling solid-liquid extraction of vegetable oil from porous and non-porous solids in a fixed bed",,"Journal Article","Metadata only",,,,"2023-01-16T12:45:02Z",,,,,,"no",,,,,,,,,,,,,,,,"J. food eng.",,"Journal of Food Engineering","334","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","09659","09659",,,"111154","Amsterdam","published",,,,,,,,,,,"2023-01-31T16:25:39Z","2023-01-31T16:25:39Z","true","16 p.","FORM",,,,
"471495","20.500.11850/3","Keshavarzzadeh, Amir H.||Thut, Caspar||Andersen, Daniel||Lingsch, Levi||Patt, Anthony",,,,,,"2022-10-13T08:15:20Z","2022-10-13T03:08:18Z||2022-10-13T08:15:20Z",,"2022-12","2022-10-01","In the present study, a novel approach for calculating optimal quota and tax regimes is investigated. A meta-heuristic framework has been developed to find the optimal quota regime for the national or worldwide aviation industry. The minimization of ticket prices and CO2 emissions are considered to be objective functions. The results of the current study indicate that implementing optimized quotas is more effective than intensive tax regimes. To elaborate, much more important than the value of the carbon price is the shape (convexity or concavity) of the tax regime. The optimal tax regime shape is also obtained. Based on the optimal quota and tax regime, the concept of golden time and value is introduced. In the golden time window, investing in Sustainable Aviation Fuels (SAFs) will be the most cost-effective. Furthermore, the results demonstrate that neither the sole introduction of quotas nor the imposition of high carbon taxes are beneficial from an economic and decarbonization standpoint. Thus, an optimized quota regime should be employed. These quotas should be introduced as soon as possible, and their implementation should be combined with political efforts to introduce a carbon tax and policies supporting the development of an alternative jet fuel industry.","application/pdf","10.3929/ethz-b-000575680",,"0301-4215",,"10.1016/j.enpol.2022.113263","http://hdl.handle.net/20.500.11850/575680","en","Elsevier","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/","Sustainable aviation fuels||Metaheuristic optimization||Tax||Quota","Novel quota and tax regime design approach for green transition: A case study on Switzerland's aviation industry",,"Journal Article","Open access",,,,"2022-10-13T03:08:18Z",,,,,,"yes",,,,,,,,,,,,,"85139070173",,"000868976300002","Energy Policy",,"Energy Policy","171","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,,"113263","Oxford","published",,,,,,,,,,,"2022-10-13T08:15:21Z","2023-02-07T07:06:12Z","true","16 p.","SCOPUS",,,"publishedVersion",
"476586","20.500.11850/3","Dallo, Irina||Marti, Michèle||Clinton, John Francis||Böse, Maren||Massin, Frédérick||Zaugg, Simone",,,,,,"2022-11-22T13:28:05Z","2022-11-22T04:08:12Z||2022-11-22T13:28:05Z",,"2022-12","2022-11-11","Earthquake Early Warning (EEW) systems can trigger actions just before the shaking hits and hence mitigate the impact of damaging earthquakes. Recent studies have mainly focused on technical challenges, performance or on the attitudes of the public towards EEW systems in countries where EEW systems are already in operation or where damaging earthquakes are frequent. Building on these efforts, from the societal perspective we assess how different message elements influence the intention to take action and ability to grasp relevant information within a few seconds. Further, we explore the public attitudes towards EEW systems in a country where damaging earthquakes are expected less frequently. In a survey (N = 596, between-subjects experiment) targeting the Swiss public, we assess EEW system preferences and test different versions of EEW messages to identify elements which trigger people to take immediate actions and can be correctly recalled. Our main findings are that i) the public attitudes in countries with moderate seismic hazard are similar to attitudes in countries with high seismic hazard; ii) pictograms trigger people to protect themselves on the spot whereas maps prompt the public to look for further information or to warn others; iii) the designs preferred by the public are not always those that actually trigger them to take action; and iv) people tend to react proportionally to the hazard level. We show that insights from studies focusing on societal issues related to EEW systems can help operators define technical settings and to address specific concerns or likely misconceptions in education campaigns.","application/pdf","10.3929/ethz-b-000582240",,"2212-4209",,"10.1016/j.ijdrr.2022.103441","http://hdl.handle.net/20.500.11850/582240","en","Elsevier","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Earthquake early warning||Public reaction||Message design||System preferences||Information recall","Earthquake early warning in countries where damaging earthquakes only occur every 50 to 150 years – The societal perspective",,"Journal Article","Open access",,,,"2022-11-22T04:08:12Z",,,,,,"yes",,,,,,,"Real-time Earthquake Risk Reduction for Europe","821115","10.13039/501100000780","EC","H2020",,"85141814249",,"000892342100003",,,"International Journal of Disaster Risk Reduction","83","ETH Zürich::00002 - ETH Zürich::00003 - Schulleitung und Dienste::00022 - Bereich VP Forschung / Domain VP Research::02818 - Schweiz. Erdbebendienst (SED) / Swiss Seismological Service (SED)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00003 - Schulleitung und Dienste::00022 - Bereich VP Forschung / Domain VP Research::02818 - Schweiz. Erdbebendienst (SED) / Swiss Seismological Service (SED)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02818||02351","02818||02351",,,"103441","Amsterdam","published",,,,,,,,"10.3929/ethz-b-000569144",,,"2022-11-22T13:28:10Z","2023-02-07T08:00:14Z","true","18 p.","SCOPUS",,,"publishedVersion",
"453638","20.500.11850/3","Rübsamen, Nicole||Garcia Voges, Benno||Castell, Stefanie||Klett-Tammen, Carolina Judith||Oppliger, Jérôme||Krütli, Pius||Smieszek, Timo||Mikolajczyk, Rafael||Karch, André",,,,,,"2022-06-03T12:49:21Z","2022-04-03T03:13:49Z||2022-06-03T12:49:21Z",,"2022-12","2022-03-23","Background Allocation of scarce medical resources can be based on different principles. It has not yet been investigated which allocation schemes are preferred by medical laypeople in a particular situation of medical scarcity like an emerging infectious disease and how the choices are affected by providing information about expected population-level effects of the allocation scheme based on modelling studies. We investigated the potential benefit of strategic communication of infectious disease modelling results.  Methods In a two-way factorial experiment (n = 878 participants), we investigated if prognosis of the disease or information about expected effects on mortality at population-level (based on dynamic infectious disease modelling studies) influenced the choice of preferred allocation schemes for prevention and treatment of an unspecified sexually transmitted infection. A qualitative analysis of the reasons for choosing specific allocation schemes supplements our results.  Results Presence of the factor “information about the population-level effects of the allocation scheme” substantially increased the probability of choosing a resource allocation system that minimized overall harm among the population, while prognosis did not affect allocation choices. The main reasons for choosing an allocation scheme differed among schemes, but did not differ among those who received additional model-based information on expected population-level effects and those who did not.  Conclusions Providing information on the expected population-level effects from dynamic infectious disease modelling studies resulted in a substantially different choice of allocation schemes. This finding supports the importance of incorporating model-based information in decision-making processes and communication strategies.","application/pdf","10.3929/ethz-b-000540640",,"1471-2458",,"10.1186/s12889-022-13000-7","http://hdl.handle.net/20.500.11850/540640","en","BioMed Central","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Allocation strategies||Factorial design||STI","Providing laypeople with results from dynamic infectious disease modelling studies affects their allocation preference for scarce medical resources – a factorial experiment",,"Journal Article","Open access",,,,"2022-04-03T03:14:05Z",,,,,,"yes",,,,,,,,,,,,,"85126842382",,"000772425600007","BMC public health","1","BMC Public Health","22","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,,"572","London","published",,,,,,,,,,,"2022-06-03T12:49:27Z","2023-02-07T03:24:40Z","true","9 p.","SCOPUS",,,"publishedVersion",
"485486","20.500.11850/3","da Silva, Elizabete Maria||Sampaio Neto, Oscar||dos Reis Santos, Elenice",,,,,,"2023-01-18T10:16:58Z","2023-01-16T12:53:32Z||2023-01-17T11:41:36Z||2023-01-17T14:23:46Z||2023-01-18T10:16:58Z",,"2022-12",,"A pesquisa e extensão são desafios para os professores e técnicos do ensino superior. O presente trabalho é um estudo de caso da ação de pesquisadores de três instituições de ensino superior,  (IFMT,  UFMT  e  UNEMAT),  que  por  meio  da  metodologia  da  pesquisa-ação  desenvolve, além da pesquisa, a extensão, junto ao Fórum Territorial de Segurança Alimentar e Nutricional e Economia Solidária da Baixada Cuiabana, o (FTSANES-BC). Por meio de projetos gestados e de senvolvidos junto a esse coletivo, esses pesquisadores têm mantido a animação e mobilização dos participantes mesmo em tempos de pandemia, contribuindo com inovações na área da comercialização, incluindo os empreendimentos urbanos e rurais no comércio delivery. Também tem sido criado possibilidades para o consumo responsável e mitigação de queimadas por meio da capacita ção e organização. Há, ainda, a organização para a inclusão digital, visando favorecer a participação bem  como  a  melhoria  na  vida  cotidiana  desses  empreendedores  da  economia  solidária,  que  tem  enfrentado graves retrocessos nas políticas públicas que os beneficiam. Conclui-se que a atuação dos profissionais das instituições de ensino superior tem contribuído para a manutenção da animação, organização e mobilização desse coletivo, mesmo com todas as perdas políticas sofridas pelos empreendimentos da economia solidária nos últimos anos e principalmente nesse período pandêmico.   Esse fator evidencia as possibilidades de fortalecimento e desenvolvimento da economia local por meio da atuação das instituições de ensino superior, um subsídio para os formuladores de políticas públicas voltadas para o segmento da economia solidária.","application/pdf","10.3929/ethz-b-000592689",,,,,"http://hdl.handle.net/20.500.11850/592689","pt","Instituto Federal de Educação, Ciência e Tecnologia de Brasília","Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International","http://creativecommons.org/licenses/by-nc-sa/4.0/",,"Pesquisa e extensão na inclusão socioprodutiva de  empreendedores da economia solidária em tempos de pandemia","Research and extension in the socio-productive inclusion of solidarity economy entrepreneurs in times of pandemic","Journal Article","Open access",,,,"2023-01-16T12:53:33Z",,,,,,"no",,,,,,,,,,,,,,,,,"4","Revista eixo","11","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09659 - Garrett, Rachael / Garrett, Rachael","09659","09659",,"33","23","Brasília","published",,,,,"http://revistaeixo.ifb.edu.br/index.php/RevistaEixo",,,,,,"2023-01-18T10:17:07Z","2023-02-07T09:57:41Z","true",,"FORM",,,"publishedVersion",
"490538","20.500.11850/3","Nienkerke, Inga||Patt, Anthony",,,"Nienkerke, Inga||Patt, Anthony",,,"2023-02-21T09:49:52Z","2022-12-05T07:57:37Z||2023-02-21T09:49:52Z",,"2022-12","2022-07-24","In face of today's alarming trend of resource degradation and reversal of poverty reduction, path-breaking strategies are needed. However, there is limited evidence to inform the design of policies. We scrutinized an agricultural development program that follows a holistic approach and includes the cultivation of fruit trees, to tackle this natural resource degradation and human vulnerability nexus. Can it transform so-called wastelands and lift marginalized smallholders out of poverty? The geographic rollout of the program produced a natural experiment that allowed for an evaluation design with treatment and control groups and a survey of 2000 households randomly sampled from 188,231 participants in four Indian states, covering geographically diverse areas. This is the first time that the livelihood impacts of such farming systems have been analyzed on such a large scale and over a 23-year period. Our results show that degraded farmland can be transformed into green assets if poverty alleviation and environmental regeneration are tackled in a holistic manner. We find a clear and significant trend in the improvement of socio-economic factors, including higher income and positive life changes, as well as ecological benefits. By assessing the potential of trees to reverse environmental degradation and alleviate chronic poverty, this study provides much-needed evidence for the science-policy dialog of development programs. This video (3 minutes) gives an impression of the context of the study (Video S1).","application/pdf","10.3929/ethz-b-000584779",,"1085-3278||1099-145X","http://hdl.handle.net/20.500.11850/584294||http://hdl.handle.net/20.500.11850/582763","10.1002/ldr.4422","http://hdl.handle.net/20.500.11850/584779","en","Wiley","Creative Commons Attribution-NonCommercial 4.0 International","http://creativecommons.org/licenses/by-nc/4.0/","Fruit trees||Integrated farming system||Land degradation||Poverty||Smallholders||Sustainable intensification","From wasteland to oasis: Transformative effects of trees on farmland and livelihoods",,"Journal Article","Open access",,,,"2022-11-24T04:01:04Z",,,,,,"yes",,,,,,,,,,,,,"85141836489",,"000882580500001","Land Degrad. Dev.","18","Land Degradation & Development","33","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,"3785","3773","Chichester","published",,,,,,,,,,"true","2023-02-21T09:49:53Z","2023-02-21T09:49:53Z","true",,"FORM||WOS",,,"publishedVersion",
"482747","20.500.11850/5","Pärli, Rea||Fischer, Manuel||Späth, Leonhard||Lieberherr, Eva",,,,,,"2023-01-04T09:50:17Z","2023-01-03T09:30:35Z||2023-01-04T09:48:28Z||2023-01-04T09:50:17Z",,"2022-12","2022-12-21","Transdisciplinary research (TDR) projects integrate several disciplines as well as non-academic actors. Researchers claim that TDR projects are key for tackling complex sustainability issues. We study the effects and the factors influencing the effects of TDR projects in transnational research for development between the global North and the global South (North-South), as well as TDR projects conducted within the global North. This article explains our conceptual approach and presents selected findings.","application/pdf","10.3929/ethz-b-000589741",,"0940-5550",,"10.14512/gaia.31.4.9","http://hdl.handle.net/20.500.11850/589741","en","Oekom","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","evaluation||project effects||research impact||research projects||social networks||sustainable development||transdisciplinary research","Transdisciplinary research for sustainable development ‐ doing research about research",,"Other Journal Item","Open access",,,,"2023-01-03T09:30:36Z",,,,,,"yes",,,,,,,,,,,,,,,"000913693300011","Gaia","4","GAIA - Ecological Perspectives for Science and Society","31","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03982 - Six, Johan / Six, Johan","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03982 - Six, Johan / Six, Johan","08693||03982","08693||03982",,"242","238","München","published",,,,,,,,,,"true","2023-01-04T09:48:30Z","2023-02-07T09:36:50Z","true",,"FORM",,,"publishedVersion",
