id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit
"104199","20.500.11850/3","Sánchez-Salguero, Raul||Linares, Juan C.||Camarero, J. Julio||Madrigal-González, Jaime||Hevia, Andrea||Sánchez-Miranda, Ángela||Ballesteros-Cánovas, Juan A.||Alfaro-Sánchez, Raquel||García-Cervigón, Ana I.||Bigler, Christof||Rigling, Andreas",,,"2017-06-11T19:20:09Z","2017-06-11T19:20:09Z","2015-12",,,,,,"0378-1127||1872-7042","10.1016/j.foreco.2015.08.034","http://hdl.handle.net/20.500.11850/104232","en","Elsevier",,,"Basal area increment||Climatic change||Competition index||Dendroecology||Pinus sylvestris||Tree growth","Disentangling the effects of competition and climate on individual tree growth: A retrospective and dynamic approach in Scots pine","Journal Article","Metadata only",,,"2017-06-11T19:20:32Z",,"pub:163069",,"yes",,,,,,,,,,"imp593653797e94214042","000000961","84941204007",,,"For. Ecol. Manag.",,"Forest Ecology and Management","358","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535","Published online 8 September.","25","12","Amsterdam","published",,"2017-07-18T13:45:32Z","2020-02-14T15:39:45Z","true",,"ECIT",,
"92028","20.500.11850/3","Bouriaud, Laura||Bouriaud, Olivier B.||Elkin, Ché M.||Temperli, Christian||Reyer, Christopher P.O.||Duduman, Gabriel||Barnoaiea, Ionuţ||Nichiforel, Liviu||Zimmermann, Niklaus E.||Bugmann, Harald",,,"2017-06-11T13:36:22Z","2017-06-11T13:36:22Z","2015-12",,,,,,"1436-3798||1436-378X","10.1007/s10113-014-0717-6","http://hdl.handle.net/20.500.11850/92061","en","Springer",,,"Adaptive forest management||Landscape model||Scenario analysis||Forest biomass||Forest planning","Age-class disequilibrium as an opportunity for adaptive forest management in the Carpathian Mountains, Romania","Journal Article","Metadata only",,,"2017-06-11T13:36:41Z",,"pub:144935",,"yes",,,,,,,,,,"imp59365280db05a16265","003869201","84947048246",,"000365082400007","Reg Environ Change","8","Regional Environmental Change","15","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535","Received 9 April 2014, Accepted 27 October 2014, Published online 15 November 2014.","1568","1557","Heidelberg","published",,"2017-07-15T06:21:36Z","2022-03-28T13:17:21Z","true",,"ECIT",,
"164300","20.500.11850/3","Scheytt, Traugott||von Freyberg, Jana",,,"2017-06-19T16:01:02Z","2017-06-19T16:01:02Z","2015-12",,,,,,"1432-1165||1430-483X","10.1007/s00767-015-0306-8","http://hdl.handle.net/20.500.11850/164399","de","Springer",,,"Direct push technology||Micro beads||Tracer||Cross contamination||Water saturated zone","Vergleich unterschiedlicher Methoden zur Entnahme von Feststoffproben für mikrobielle Untersuchungen = A comparison of different methods for sampling of solid material for microbial studies","Journal Article","Metadata only",,,"2017-06-19T16:02:58Z",,"pub:167629",,"yes",,,,,,,,,,"imp593653b6823c667187","001618143",,,"000365097600003","Grundwasser","4","Grundwasser","20","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798",,"261","253","Berlin","published",,"2017-07-31T16:12:41Z","2022-03-28T17:02:31Z","true",,"ECIT",,
"110842","20.500.11850/2","Reyer, Christopher P.O.||Bugmann, Harald||Nabuurs, Gert-Jan||Hanewinkel, Marc",,,"2017-06-11T23:19:48Z","2017-06-11T23:19:48Z","2015-12",,,,,,"1436-3798||1436-378X",,"http://hdl.handle.net/20.500.11850/110875","en","Springer",,,,"Special Issue: Models for adaptive forest management - The MOTIVE project","Journal Issue","Metadata only",,,"2017-06-11T23:19:54Z",,"pub:172162",,"yes",,,,,,,,,,"imp593653fc182e835019","003869201",,,,"Reg Environ Change","8","Regional Environmental Change","15","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535",,"1609","1483","Heidelberg","published",,"2017-07-18T10:24:01Z","2022-03-28T14:34:32Z","true",,"ECIT",,
"499550","20.500.11850/10","Beer, Alexander R.||Turowski, Jens Martin||Kirchner, James W.",,,"2023-05-12T09:06:44Z","2017-06-11T21:10:08Z||2023-05-12T09:06:44Z","2015-12",,,,,,,,"http://hdl.handle.net/20.500.11850/106869","en","American Geophysical Union",,,,"Spatial bedrock erosion distribution in a natural gorge","Other Conference Item","Metadata only",,,"2017-06-11T21:10:47Z",,"pub:167285",,"yes","AGU Fall Meeting 2015","December 14-18, 2015","San Francisco, CA, USA",,,,,,,"imp593653afc8e4d97022",,,"https://agu.confex.com/agu/fm15/meetingapp.cgi/Paper/71973",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798","Conference lecture held on December 18, 2015.",,"EP52A-05","s.l.","published","true","2017-07-13T15:27:43Z","2018-11-02T20:33:12Z","true","1 p.","ECIT",,
"499548","20.500.11850/10","Kirchner, James W.||Jasechko, Scott",,,"2023-05-12T09:03:43Z","2017-06-11T21:10:09Z||2023-05-12T09:03:43Z","2015-12",,,,,,,,"http://hdl.handle.net/20.500.11850/106871","en","American Geophysical Union",,,,"Tracer cycles and water ages in heterogeneous catchments and aquifers","Other Conference Item","Metadata only",,,"2017-06-11T21:10:47Z",,"pub:167287",,"yes","AGU Fall Meeting 2015","December 14-18, 2015","San Francisco, CA, USA",,,,,,,"imp593653afcd13b44566",,,"https://agu.confex.com/agu/fm15/meetingapp.cgi/Paper/86552",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798","Poster abstract. Poster presentation on December 15, 2015.",,"H21F-1432","s.l.","published","true","2017-07-13T15:27:38Z","2018-11-02T20:33:15Z","true","1 p.","ECIT",,
"108627","20.500.11850/3","Haase, Josephine||Castagneyrol, Bastien||Cornelissen, J.H.C.||Ghazoul, Jaboury||Kattge, Jens||Koricheva, Julia||Scherer-Lorenzen, Michael||Morath, Simon||Jactel, Hervé",,,"2017-06-11T22:04:57Z","2017-06-11T22:04:57Z","2015-12",,,,,,"0030-1299||1600-0706","10.1111/oik.02090","http://hdl.handle.net/20.500.11850/108660","en","Wiley-Blackwell",,,,"Contrasting effects of tree diversity on young tree growth and resistance to insect herbivores across three biodiversity experiments","Journal Article","Metadata only",,,"2017-06-11T22:05:30Z",,"pub:169654",,"yes",,,,,,,,,,"imp593653d31258b57195",,"84955212853",,"000366406200015","Oikos","12","Oikos","124","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","03723","03723","Published online 8 April 2015.","1685","1674","Oxford","published","true","2017-07-19T09:17:31Z","2020-02-14T16:06:30Z","true",,"ECIT",,
"104029","20.500.11850/3","Lourenço, Wilson R.||Wilmé, Lucienne||Waeber, Patrick O.",,,"2017-06-11T19:15:25Z","2017-06-11T19:15:25Z","2015-11",,,,,,"1631-0691||1768-3238","10.1016/j.crvi.2015.08.001","http://hdl.handle.net/20.500.11850/104062","en","Elsevier",,,"Geographical distribution||Madagascar||Neogrosphus||New species||Scorpion||Vicariance","More about the geographical distribution of the Malagasy genus Neogrosphus Lourenço, 1995 (Scorpiones: Buthidae) and description of a vicariant new species","Journal Article","Metadata only",,,"2017-06-11T19:15:29Z",,"pub:162754",,"yes",,,,,,,,,,"imp59365375ce85128390","004269821","84947017000",,"000365375500007",,"11","Comptes rendus. Biologies","338","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury::08697 - Gruppe Forest Management & Development / Forest Management & Development Group||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury::08697 - Gruppe Forest Management & Development / Forest Management & Development Group||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","08697||03723","08697||03723","Published online 2 September 2015.","776","768","Paris","published",,"2017-07-13T09:02:45Z","2020-02-14T15:38:33Z","true",,"ECIT",,
"106389","20.500.11850/3","Tito de Morais, Claire||Ghazoul, Jaboury||Maycock, Colin R.||Bagchi, Robert||Burslem, David F.R.P.||Khoo, Eyen||Itoh, Akira||Nanami, Satoshi||Matsuyama, Shuhei||Finger, Aline||Ismail, Sascha A.||Kettle, Chris J.",,,"2017-06-11T20:46:53Z","2017-06-11T20:46:53Z","2015-11",,,,,,"0378-1127||1872-7042","10.1016/j.foreco.2015.07.023","http://hdl.handle.net/20.500.11850/106422","en","Elsevier",,,"Dipterocarpaceae||Flower size||Fragmentation||Inbreeding||Spatial genetic structure||Tropical rain forest||Wood density","Understanding local patterns of genetic diversity in dipterocarps using a multi-site, multi-species approach: Implications for forest management and restoration","Journal Article","Metadata only",,,"2017-06-11T20:47:07Z",,"pub:166532",,"yes",,,,,,,,,,"imp593653a70d94470468","000000961","84945461385",,"000364885100017","For. Ecol. Manag.",,"Forest Ecology and Management","356","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","03723","03723","Published online 8 August 2015.","165","153","Amsterdam","published",,"2017-07-13T09:22:09Z","2020-02-14T15:52:56Z","true",,"ECIT",,
"107830","20.500.11850/3","Petritan, Ion C.||Commarmot, Brigitte||Hobi, Martina L.||Petritan, Any M.||Bigler, Christof||Abrudan, Ioan V.||Rigling, Andreas",,,"2017-06-11T21:38:45Z","2017-06-11T21:38:45Z","2015-11",,,,,,"0378-1127||1872-7042","10.1016/j.foreco.2015.07.015","http://hdl.handle.net/20.500.11850/107863","en","Elsevier",,,"Primeval forest||Tree spatial pattern||Fagus sylvatica||Abies alba||Species coexistence||Small-scale disturbances","Structural patterns of beech and silver fir suggest stability and resilience of the virgin forest Sinca in the Southern Carpathians, Romania","Journal Article","Metadata only",,,"2017-06-11T21:39:25Z",,"pub:168615",,"yes",,,,,,,,,,"imp593653c3c090b86748","000000961",,,"000364885100020","For. Ecol. Manag.",,"Forest Ecology and Management","356","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535","Published online 29 July 2015.","195","184","Amsterdam","published",,"2017-07-26T14:34:57Z","2020-02-14T16:01:51Z","true",,"ECIT",,
"124715","20.500.11850/3","Huber, Barbara||Zischg, Andreas||Frehner, Monika||Carraro, Gabriele||Burnand, Jacques",,,"2017-06-12T17:46:09Z","2017-06-12T17:46:09Z","2015-11",,,,,,"0036-7818||2235-1469","10.3188/szf.2015.0432","http://hdl.handle.net/20.500.11850/124748","en","Schweizerischer Forstverein",,,,"Neu entwickelte Klimakarten für den Wald im Klimawandel","Journal Article","Metadata only",,,"2017-06-12T17:46:52Z",,"pub:187282",,"yes",,,,,,,,,,"imp59365503ae0a535109","000026980",,,,"Schweiz. Z. Forstwes.","6","Schweizerische Zeitschrift für Forstwesen","166","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems",,"02722",,,"438","432","Zürich","published",,"2017-07-12T18:04:39Z","2022-03-28T15:22:34Z","true",,"ECIT",,
"105644","20.500.11850/3","Kleckova, I.||Cesanek, M.||Fric, Z.||Pellissier, Loïc",,,"2017-06-11T20:15:05Z","2017-06-11T20:15:05Z","2015-11",,,,,,"1055-7903||1095-9513","10.1016/j.ympev.2015.06.012","http://hdl.handle.net/20.500.11850/105677","en","Elsevier",,,"Molecular systematics||Lepidoptera||Temperate||Quaternary||Niche evolution||Satyrinae","Diversification of the cold-adapted butterfly genus Oeneis related to Holarctic biogeography and climatic niche shifts","Journal Article","Metadata only",,,"2017-06-11T20:15:48Z",,"pub:165449",,"yes",,,,,,,,,,"imp59365397712d052452","000649323",,,"000362381700022","Mol. Phylogenet. Evol.",,"Molecular Phylogenetics and Evolution","92","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc","09553","09553",,"265","255","Amsterdam","published",,"2017-07-13T14:11:51Z","2023-02-06T13:04:11Z","true",,"ECIT",,
"105709","20.500.11850/3","Magrach, Ainhoa||Rodríguez-Pérez, Javier||Piazzon, Martín||Santamaría, Luís",,,"2017-06-11T20:15:45Z","2017-06-11T20:15:45Z","2015-11",,,,,,"0022-0477","10.1111/1365-2745.12472","http://hdl.handle.net/20.500.11850/105742","en","Wiley-Blackwell",,,"Dromiciops gliroides||Tristerix corymbosus||Campsidium valdivianum||Edge effects||Habitat fragmentation||Host-parasite interaction||Seed dispersal||Trophic interactions","Divergent effects of forest edges on host distribution and seed disperser activity influence mistletoe distribution and recruitment","Journal Article","Metadata only",,,"2017-06-11T20:15:48Z",,"pub:165535",,"yes",,,,,,,,,,"imp59365398ede0f10256",,"84944446762",,"000363339300011","J. Ecol.","6","Journal of Ecology","103","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","03723","03723","Published online 21 September 2015.","1486","1475","Oxford","published","true","2017-07-15T07:25:32Z","2023-02-06T13:04:16Z","true",,"ECIT",,
