id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.hasPart,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.version.deposit,ethz.version.edition
"499405","20.500.11850/10","Schneider, Johannes Martin||Kirchner, James W.||Turowski, Jens Martin||Rickenman, Dieter",,,"2023-05-11T12:14:16Z","2017-06-12T19:03:34Z||2023-05-11T12:14:16Z","2016-12-16",,,,,,,,,"http://hdl.handle.net/20.500.11850/126868","en","American Geophysical Union",,,,"Equilibrium of graded mountain streams maintained by adjustment of bed roughness","Other Conference Item","Metadata only",,,"2017-06-12T19:03:39Z",,,,"pub:189660",,"yes","AGU Fall Meeting 2016","December 12-16, 2016","San Francisco, CA, USA",,,,,,,"imp59365527384f364214",,,"https://agu.confex.com/agu/fm16/meetingapp.cgi/Paper/140293",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798","Poster abstract. Poster presentation on December 16, 2016.",,"EP51A-0861","s.l.","published",,,,,,"true","2017-07-20T15:31:02Z","2022-03-28T15:30:32Z","true","1 p","ECIT",,
"293994","20.500.11850/3","Beer, Alexander R.||Kirchner, James W.||Turowski, Jens M.",,,"2019-05-20T08:41:43Z","2017-06-12T17:53:02Z||2019-05-20T08:41:43Z","2016-12-15",,"Spatially distributed detection of bedrock erosion is a long-standing challenge. Here we show how the spatial distribution of surface erosion can be visualized and analysed by observing the erosion of paint from natural bedrock surfaces. If the paint is evenly applied, it creates a surface with relatively uniform erodibility, such that spatial variability in the erosion of the paint reflects variations in the erosivity of the flow and its entrained sediment. In a proof-of-concept study, this approach provided direct visual verification that sediment impacts were focused on upstream-facing surfaces in a natural bedrock gorge. Further, erosion painting demonstrated strong cross-stream variations in bedrock erosion, even in the relatively narrow (5m wide) gorge that we studied. The left side of the gorge experienced high sediment throughput with abundant lateral erosion on the painted wall up to 80cm above the bed, but the right side of the gorge only showed a narrow erosion band 15–40cm above the bed, likely due to deposited sediment shielding the lower part of the wall. This erosion pattern therefore reveals spatial stream bed aggradation that occurs during flood events in this channel. The erosion painting method provides a simple technique for mapping sediment impact intensities and qualitatively observing spatially distributed erosion in bedrock stream reaches. It can potentially find wide application in both laboratory and field studies.","application/pdf","10.3929/ethz-b-000124944",,"2196-632X||2196-6311",,"10.5194/esurf-4-885-2016","http://hdl.handle.net/20.500.11850/124944","en","Copernicus","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/",,"Graffiti for science - erosion painting reveals spatially variable erosivity of sediment-laden flows","Journal Article","Open access",,,"2017-06-12T17:53:47Z",,,,"pub:187504",,"yes",,,,,,,,,,"imp593655078a50236483",,"85006454852",,"000391564400001","Earth Surf. Dynam.","4","Earth Surface Dynamics","4","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798",,"894","885","Göttingen","published",,,,,,,"2017-07-12T22:23:41Z","2022-03-28T22:57:23Z","true","10 p.","ECIT","publishedVersion",
"258930","20.500.11850/10","Kirchner, James W.",,,"2018-10-18T09:10:00Z","2017-06-12T18:37:43Z||2018-10-18T09:10:00Z","2016-12-13",,,,,,,,,"http://hdl.handle.net/20.500.11850/126695","en","American Geophysical Union",,,,"Exploring landscapes and ecosystems by studying their streams","Other Conference Item","Metadata only",,,"2017-06-12T18:38:31Z",,,,"pub:189463",,"yes","AGU Fall Meeting 2016","December 12-16, 2016","San Francisco, CA, USA",,,,,,,"imp59365524354ca35385",,,"https://agu.confex.com/agu/fm16/meetingapp.cgi/Paper/119951",,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798","Hydrology Awards and Walter B. Langbein Lecture. Conference lecture on 13 December 2016.",,"H22A-01","s.l.","published",,,,,,"false","2018-10-18T09:10:04Z","2018-10-18T09:10:04Z","true","1 p.","ECIT",,
"123224","20.500.11850/3","Hülsmann, Lisa||Bugmann, Harald||Commarmot, Brigitte||Meyer, Peter||Zimmermann, Stephan||Brang, Peter",,,"2017-06-12T16:48:58Z","2017-06-12T16:48:58Z","2016-12",,,,,,"1051-0761||1939-5582",,"10.1002/eap.1388","http://hdl.handle.net/20.500.11850/123257","en","Wiley",,,"Fagus sylvatica||Climate change||Dynamic vegetation models||External validation||Forest inventory data||Forest reserves||Generalized logistic regression||Individual tree mortality","Does one model fit all? Patterns of beech mortality in natural forests of three European regions","Journal Article","Metadata only",,,"2017-06-12T16:53:33Z",,,,"pub:185638",,"yes",,,,,,,,,,"imp593654e97a30a19219","000580756","84997076990",,"000389316400010","Ecol. Appl.","8","Ecological Applications","26","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535","Published online 27 October 2016.","2477","2463","Hoboken, NJ","published",,,,,,,"2017-07-18T15:05:00Z","2020-02-14T17:33:49Z","true",,"ECIT",,
"126672","20.500.11850/3","Schneider, Johannes M.||Rickenmann, Dieter||Turowski, Jens M.||Schmid, Bastian||Kirchner, James W.",,,"2017-06-12T18:37:50Z","2017-06-12T18:37:50Z","2016-12",,,,,,"0043-1397||1944-7973",,"10.1002/2016WR019308","http://hdl.handle.net/20.500.11850/126705","en","Wiley",,,,"Bed load transport in a very steep mountain stream (Riedbach, Switzerland): measurement and prediction","Journal Article","Metadata only",,,"2017-06-12T18:38:31Z",,,,"pub:189475",,"yes",,,,,,,,,,"imp59365524674fa90300","000004612",,,"000393321000020","Water Resour. Res.","12","Water Resources Research","52","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798","First published 23 December 2016.","9541","9522","Malden","published",,,,,,,"2017-07-12T19:09:57Z","2021-02-14T14:57:17Z","true",,"ECIT",,
"122805","20.500.11850/3","Vanoni, Marco||Bugmann, Harald||Nötzli, Magdalena||Bigler, Christof",,,"2017-06-12T16:15:16Z","2017-06-12T16:15:16Z","2016-12",,,,,,"0378-1127||1872-7042",,"10.1016/j.foreco.2016.10.001","http://hdl.handle.net/20.500.11850/122838","en","Elsevier",,,"Distributed lag non-linear models||Lagged effects||Tree rings||Breakpoint analysis","Drought and frost contribute to abrupt growth decreases before tree mortality in nine temperate tree species","Journal Article","Metadata only",,,"2017-06-12T16:15:52Z",,,,"pub:185170",,"yes",,,,,,,,,,"imp593654e23d58825450","000000961",,,"000387519700006","For. Ecol. Manag.",,"Forest Ecology and Management","382","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535","Received 22 June 2016, Revised 26 September 2016, Accepted 2 October 2016, Published online 7 October 2016.","63","51","Amsterdam","published",,,,,,,"2017-07-15T06:14:58Z","2020-02-14T17:31:45Z","true",,"ECIT",,
"120906","20.500.11850/3","Fasel, M.||Bréthaut, C.||Rouholahnejad, Elham||Lacayo-Emery, M.A.||Lehmann, A.",,,"2017-06-12T13:12:09Z","2017-06-12T13:12:09Z","2016-12",,,,,,"1462-9011||1873-6416",,"10.1016/j.envsci.2016.09.004","http://hdl.handle.net/20.500.11850/120939","en","Elsevier Science",,,"Ecosystems||Energy||Food||Nexus||Scarcity||Water","Blue water scarcity in the Black Sea catchment: Identifying key actors in the water-ecosystem-energy-food nexus","Journal Article","Metadata only",,,"2017-06-12T13:15:15Z",,,,"pub:183022",,"yes",,,,,,,,,,"imp593654bd357f035515","001954517","84988810068",,"000389089300015","Environ. Sci. Policy",,"Environmental Science & Policy","66","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798","Received 18 February 2016, Revised 2 August 2016, Accepted 10 September 2016, Published online 28 September 2016.","150","140","Kidlington","published",,,,,,,"2017-07-14T17:32:49Z","2021-02-14T14:35:13Z","true",,"ECIT",,
"125125","20.500.11850/3","Bose, Arshiya||Vira, Bhaskar||Garcia, Claude",,,"2017-06-12T17:59:04Z","2017-06-12T17:59:04Z","2016-12",,,,,,"0044-7447||1654-7209",,"10.1007/s13280-016-0796-3","http://hdl.handle.net/20.500.11850/125158","en","Royal Swedish Academy of Sciences",,,"Agroforestry||Asia||Certification||Incentives||Perceptions","Does environmental certification in coffee promote “business as usual”? A case study from the Western Ghats, India","Journal Article","Metadata only",,,"2017-06-12T17:59:30Z",,,,"pub:187735",,"yes",,,,,,,,,,"imp5936550b232f217838","000042006",,,,"Ambio","8","Ambio","45","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury::08697 - Gruppe Forest Management & Development / Forest Management & Development Group","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury::08697 - Gruppe Forest Management & Development / Forest Management & Development Group","08697","08697","Published online 21 June 2016. Published online by Springer.","955","946","Stockholm","published",,,,,,,"2017-07-20T15:16:44Z","2022-03-28T15:24:29Z","true",,"ECIT",,
"411859","20.500.11850/3","Stoudmann, Natasha||Garcia, Claude||Randriamalala, Ihoby H.||Rakotomalala, Vanessa A.G.||Ramamonjisoa, Bruno",,,"2021-07-23T06:20:54Z","2017-06-12T18:16:55Z||2021-07-23T06:20:54Z","2016-12",,,,,,"1662-2510",,"10.4314/mcd.v11i2.3","http://hdl.handle.net/20.500.11850/125869","en","Jane Goodall Institute Switzerland",,,,"Two sides to every coin: farmers’ perceptions of mining in the Maningory watershed, Madagascar","Journal Article","Metadata only",,,"2017-06-12T18:17:12Z",,,,"pub:188518",,"yes",,,,,,,,,,"imp593655170b85048151",,,,,,"2","Madagascar Conservation & Development","11","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury::08697 - Gruppe Forest Management & Development / Forest Management & Development Group","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury::08697 - Gruppe Forest Management & Development / Forest Management & Development Group","08697","08697",,"95","91","Zürich","published",,,,,,,"2017-07-13T07:07:55Z","2022-03-29T10:37:01Z","true",,"ECIT",,
"119607","20.500.11850/3","Descombes, Patrice||Petitpierre, Blaise||Morard, Eric||Berthoud, Michael||Guisan, Antoine||Vittoz, Pascal",,,"2017-06-12T11:10:52Z","2017-06-12T11:10:52Z","2016-12",,,,,,"1387-3547||1573-1464",,"10.1007/s10530-016-1257-4","http://hdl.handle.net/20.500.11850/119640","en","Springer",,,"Buddleja davidii||Ecological niche modelling||Fine resolution||Floodplain||Helianthus tuberosus||Impatiens glandulifera||Population size||Prunus laurocerasus||Reynoutria japonica||Species distribution models||Switzerland","Monitoring and distribution modelling of invasive species along riverine habitats at very high resolution","Journal Article","Metadata only",,,"2017-06-12T11:15:32Z",,,,"pub:181665",,"yes",,,,,,,,,,"imp593654a53a49f51365","003860660","84982313695",,"000388579500022",,"12","Biological Invasions","18","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc","09553","09553","Published online 18 August 2016.","3679","3665","Dordrecht","published",,,,,,,"2017-07-14T12:36:44Z","2023-02-06T13:28:51Z","true",,"ECIT",,
