id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.dataCollector,dc.contributor.editor,dc.contributor.producer,dc.contributor.projectLeader,dc.contributor.projectManager,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.ecitpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.isNewVersionOf,ethz.relation.isPreviousVersionOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.version.deposit
"222071","20.500.11850/3","Eugster, Werner||Emmel, Carmen||Wolf, Sebastian||Buchmann, Nina||McFadden, Joseph P.||Whiteman, Charles D.",,,,,,,,"2018-02-28T06:35:13Z","2018-01-23T16:01:27Z||2018-01-24T06:28:00Z||2017-12-29T03:42:44Z||2018-01-19T13:55:55Z||2018-01-19T13:59:23Z||2018-02-28T06:35:13Z","2017-12-18","2017-12-18","The vernal equinox total solar eclipse of 20 March 2015 produced a maximum occultation of 65.8–70.1 % over Switzerland during the morning hours (09:22 to 11:48 CET). Skies were generally clear over the Swiss Alps due to a persistent high-pressure band between the UK and Russia associated with a rather weak pressure gradient over the continent. To assess the effects of penumbral shading on near-surface meteorology across Switzerland, air temperature data measured at 10 min intervals at 184 MeteoSwiss weather stations were used. Wind speed and direction data were available from 165 of these stations. Additionally, six Swiss FluxNet eddy covariance flux (ECF) sites provided turbulent measurements at 20 Hz resolution. During maximum occultation, the temperature drop was up to 5.8 K at a mountain site where cold air can pool in a topographic depression. The bootstrapped average of the maximum temperature drops of all 184 MeteoSwiss sites during the solar eclipse was 1.51 ± 0.02 K (mean ± SE). A detailed comparison with literature values since 1834 showed a temperature decrease of 2.6 ± 1.7 K (average of all reports), with extreme values up to 11 K. On fair weather days under weak larger-scale pressure gradients, local thermo-topographic wind systems develop that are driven by small-scale pressure and temperature gradients. At one ECF site, the penumbral shading delayed the morning transition from down-valley to up-valley wind conditions. At another site, it prevented this transition from occurring at all. Data from the 165 MeteoSwiss sites measuring wind direction did not show a consistent pattern of wind direction response to the passing of the penumbral shadow. These results suggest that the local topographic setting had an important influence on the temperature drop and the wind flow patterns during the eclipse. A significant cyclonic effect of the passing penumbral shadow was found in the elevation range ≈ 1700–2700 m a. s. l., but not at lower elevations of the Swiss Plateau. This contrasts with an earlier theory that the anticyclonic outflow should reach as far as ≈ 2400 km from the center of the eclipse, which would have included all of Switzerland during the 2015 eclipse. Thus, measurable effects of penumbral shading on the local wind system could be even found at ≈ 2000 km from the path of the eclipse (that is, Switzerland during the 2015 eclipse), and our results tend to lend support to a newer theory that the anticyclonic cold-air outflow from the center of the eclipse only extends ≈ 1600 km outwards, with cyclonic flow beyond that distance.","application/pdf","10.3929/ethz-b-000224845",,"1680-7375||1680-7367","http://hdl.handle.net/20.500.11850/233300||http://hdl.handle.net/20.500.11850/224845","10.5194/acp-17-14887-2017","http://hdl.handle.net/20.500.11850/244783","en","Copernicus","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/",,"Effects of vernal equinox solar eclipse on temperature and wind direction in Switzerland","Journal Article","Open access",,,"2017-12-29T03:42:45Z",,,,,"yes",,,,,,,,,,,,"85038615661",,"000418198000001","Atmos. chem. phys.","24","Atmospheric Chemistry and Physics","17","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03648||03798","03648||03798",,"14904","14887","Göttingen","published",,"10.3929/ethz-b-000211219",,,,,"2018-02-28T06:32:31Z","2023-02-06T15:14:21Z","true",,"FORM||SCOPUS",,"publishedVersion"
"330678","20.500.11850/3","Paul-Limoges, Eugénie||Wolf, Sebastian||Eugster, Werner||Hörtnagl, Lukas||Buchmann, Nina",,,,,,,,"2020-01-21T08:11:56Z","2017-10-28T02:42:23Z||2017-11-16T14:13:47Z||2017-11-22T14:00:02Z||2017-12-06T11:34:12Z||2019-09-19T13:25:52Z||2019-09-20T06:30:00Z||2019-10-30T15:32:44Z||2019-10-31T14:38:52Z||2020-01-21T08:11:56Z","2017-12-15","2017-10-25",,"application/pdf","10.3929/ethz-b-000218558",,"0168-1923||1873-2240","http://hdl.handle.net/20.500.11850/201971||http://hdl.handle.net/20.500.11850/212359","10.1016/j.agrformet.2017.08.011","http://hdl.handle.net/20.500.11850/218558","en","Elsevier","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/",,"Below-canopy contributions to ecosystem CO2  fluxes in a temperate mixed forest in Switzerland","Journal Article","Open access",,,"2017-10-28T02:42:26Z",,,,,"yes",,,,,,,,,,,,"85031748560",,"000416186700054","Agric. for. meteorol.",,"Agricultural and Forest Meteorology","247","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798||03648","03648||03798",,"596","582","Amsterdam","published",,,,,,,"2017-12-06T15:49:47Z","2020-01-21T08:12:07Z","true","53 p. accepted version","SCOPUS||FORM",,"acceptedVersion"
"208193","20.500.11850/10","Manoli, Gabriele||Meijide, Ana||Huth, Neil||Knohl, Alexander||Kosugi, Yoshiko||Burlando, Paolo||Ghazoul, Jaboury||Fatichi, Simone",,,,,,,,"2018-01-10T14:25:14Z","2017-12-13T15:43:53Z||2018-01-10T14:25:14Z","2017-12",,,,,,,,,"http://hdl.handle.net/20.500.11850/220757","en","American Geophysical Union",,,,"Mature oil palm plantations are thirstier than tropical forests","Other Conference Item","Metadata only",,,"2017-12-13T15:43:54Z",,,,,"yes","AGU Fall Meeting 2017","December 11-15, 2017","New Orleans, LA, USA",,,,,,,,,,,,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","03473||03723","03473||03723",,,"GC54A-04","S.l.","published",,,,,,,"2018-01-10T14:25:18Z","2018-11-06T06:29:33Z","true",,"FORM",,
"221742","20.500.11850/3","Schmid, Ueli||Zürcher, Samuel||Gordon, Riet",,,,,,,,"2018-02-26T16:27:12Z","2017-12-20T09:35:04Z||2018-02-26T16:27:12Z","2017-12",,,,,,"1422-8084",,,"http://hdl.handle.net/20.500.11850/223269","de","Gasser",,,,"Einfluss der Erschliessung auf die nachhaltige Schutzwaldpflege","Journal Article","Metadata only",,,"2017-12-20T09:35:05Z",,,,,"yes",,,,,,,,,,,,,,,,"6","Bündnerwald","70","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535",,"28","23","Chur","published",,,,,,,"2018-02-26T16:27:15Z","2018-02-26T16:27:15Z","true",,"FORM",,
"204053","20.500.11850/3","Lexer, Manfred J.||Bugmann, Harald",,,,,,,,"2017-12-18T13:17:05Z","2017-11-22T08:54:14Z||2017-12-18T13:17:05Z","2017-12","2017-11-07",,,,,"1612-4677||1612-4669",,"10.1007/s10342-017-1082-z","http://hdl.handle.net/20.500.11850/211921","en","Springer",,,,"Mountain forest management in a changing world","Journal Article","Metadata only",,,"2017-11-22T08:54:21Z",,,,,"yes",,,,,,,,,,,,"85033384987",,"000417160500015","Eur J Forest Res","5-6","European Journal of Forest Research","136","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535",,"982","981","Heidelberg","published",,,,,,,"2017-12-18T13:17:06Z","2022-03-28T18:40:33Z","true",,"SCOPUS",,
"237404","20.500.11850/3","Klopčič, Jure||Mina, Marco||Bugmann, Harald||Bončina, Andrej",,,,,,,,"2018-06-04T10:43:58Z","2017-07-04T11:10:01Z||2017-07-04T12:28:49Z||2017-07-10T10:30:40Z||2018-06-04T10:43:58Z","2017-12","2017-05-18",,,,,"1612-4677||1612-4669",,"10.1007/s10342-017-1052-5","http://hdl.handle.net/20.500.11850/167911","en","Springer",,,"ForClim||Stand dynamics||Tree species composition||Decline||Dinaric Mountains","The prospects of silver fir (Abies alba Mill.) and Norway spruce (Picea abies (L.) Karst) in mixed mountain forests under various management strategies, climate change and high browsing pressure","Journal Article","Metadata only",,"DDC - DDC::6 - Technology, medicine and applied sciences::630 - Agriculture","2017-07-04T11:10:01Z",,,,,"yes",,,,,,,,,,,,"85019609487",,"000417160500022","Eur J Forest Res","5-6","European Journal of Forest Research","136","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535",,"1090","1071","Heidelberg","published",,,,,,,"2018-06-04T10:44:01Z","2022-03-28T20:21:19Z","true",,"FORM","ForClim||Stand dynamics||Tree species composition||Forest science||Dinaric Mountains",
"233714","20.500.11850/3","Morgan, Emma J.||Kaiser-Bunbury, Christopher N.||Edwards, Peter J.||Fleischer-Dogley, Frauke||Kettle, Chris James",,,,,,,,"2018-05-03T14:55:15Z","2017-10-06T04:26:42Z||2017-10-10T12:22:02Z||2017-10-10T13:17:33Z||2018-05-03T14:55:15Z","2017-12","2017-05-22",,,,,"1572-9737||1566-0621",,"10.1007/s10592-017-0982-2","http://hdl.handle.net/20.500.11850/192056","en","Springer",,,"Coco de mer||Dioecy||Fine-scale spatial genetic structure||Inbreeding||Limited seed dispersal||Seychelles islands","Keeping it in the family: strong fine-scale genetic structure and inbreeding in Lodoicea maldivica, the largest-seeded plant in the world","Journal Article","Metadata only",,,"2017-10-06T04:26:49Z",,,,,"yes",,,,,,,,,,,,"85019865278",,"000414148900008","Conserv Genet","6","Conservation Genetics","18","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","03723","03723",,"1329","1317","Dordrecht","published",,,,,,,"2018-05-03T14:55:18Z","2022-03-28T20:00:15Z","true",,"SCOPUS",,
"186325","20.500.11850/3","Rimle, Andrina||Heiri, Caroline||Bugmann, Harald",,,,,,,,"2017-10-16T17:22:49Z","2017-10-06T05:23:33Z||2017-10-16T17:22:49Z","2017-11-15","2017-09-19",,,,,"0378-1127||1872-7042",,"10.1016/j.foreco.2017.08.036","http://hdl.handle.net/20.500.11850/192651","en","Elsevier",,,"Deadwood||Natural forest reserve||Biodiversity policy||Target values","Deadwood in Norway spruce dominated mountain forest reserves is characterized by large dimensions and advanced decomposition stages","Journal Article","Metadata only",,,"2017-10-06T05:23:35Z",,,,,"yes",,,,,,,,,,,,"85028587590",,"000413384000017","For. Ecol. Manag.",,"Forest Ecology and Management","404","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535",,"183","174","Amsterdam","published",,,,,,,"2017-10-16T17:22:51Z","2020-02-15T08:02:22Z","true",,"SCOPUS",,
"225886","20.500.11850/39","Rudow, Andreas",,,,,,,,"2018-03-16T10:10:42Z","2018-01-10T09:59:23Z||2018-01-10T10:40:25Z||2018-03-16T10:10:42Z","2017-11-14","2018-01-10",,"application/pdf","10.3929/ethz-b-000227032",,,,,"http://hdl.handle.net/20.500.11850/227032","de","ETH Zürich","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"80 Bäume & Sträucher: Bestimmungshilfe für 80 häufige einheimische und eingeführte Gehölzarten","Educational Material","Open access",,,"2018-01-10T09:59:24Z",,,,,"yes","BSc Umweltnaturwissenschaften - Einführung in die Dendrologie (Dendrologie 1), ETH Zürich",,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Departement Umweltsystemwissenschaften / Department of Environmental Systems Science::02720 - Institut für Integrative Biologie (IBZ) / Institute of Integrative Biology (IBZ)::03297 - Holdenrieder, Ottmar (emeritus)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03297||03535","03535",,,,"Zürich","published",,,,,,,"2018-01-10T10:40:38Z","2018-03-16T10:10:56Z","true","133 p.","FORM",,
"258818","20.500.11850/3","Chalmandrier, Loic||Albouy, Camille||Pellissier, Loïc",,,,,,,,"2018-10-17T16:47:59Z","2017-12-05T05:45:32Z||2017-12-11T13:46:49Z||2018-10-17T16:47:59Z","2017-11-13","2017-11-13","Grasslands deliver the resources for food production and are among the most biologically diverse ecosystems. These characteristics are often in conflict as increasing yield through fertilization can lead to biodiversity loss. Thus, the challenge in grassland management is to sustain both yield and diversity. Biodiversity–ecosystem functioning experiments typically reveal a positive relationship between manipulated species diversity and productivity. In contrast, observations of the effect of increasing productivity via fertilization suggest a negative association with biodiversity. Using a mathematical model simulating species co-existence along a resource gradient, we show that trade-offs and species pool structure (size and trait distribution) determines the shape of the productivity-diversity relationship. At a constant resource level, over-yielding drives a positive relationship between biodiversity and productivity. In contrast, along a resource gradient, the shape of the productivity-diversity relationship is determined by the distribution of species along trade-off axes and often resulted in a bell-shaped relationship. In accordance to this theoretical result, we then explain the general trend of plant biodiversity loss with fertilisation in the European flora, by showing empirical evidence that trait distribution of plant species pools throughout Europe is biased toward species preferring poorer soils.","application/pdf","10.3929/ethz-b-000217112",,"2045-2322",,"10.1038/s41598-017-15334-4","http://hdl.handle.net/20.500.11850/217112","en","Nature Publishing Group","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Theoretical ecology||Grassland ecology||Community ecology","Species pool distributions along functional trade-offs shape plant productivity-diversity relationships","Journal Article","Open access",,,"2017-12-05T05:45:36Z",,,,,"yes",,,,"Lif3web: The present and future spatial structure of tri-trophic networks","162604","10.13039/501100001711","SNF","Projekte Lebenswissenschaften",,,,"85034069088",,"000415022900041","Sci Rep",,"Scientific Reports","7","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc","09553","09553",,,"15405","London","published",,,,,,,"2017-12-11T13:46:50Z","2023-02-06T16:03:41Z","true","11 p.","SCOPUS",,"publishedVersion"
