id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.dataCollector,dc.contributor.editor,dc.contributor.projectLeader,dc.contributor.projectMember,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.description.software,ethz.ecitpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.geolocation.placename,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.internal,ethz.identifier.nebis,ethz.identifier.orcidWorkCode,ethz.identifier.scopus,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.hasPart,ethz.relation.isDerivedFrom,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isReferencedBy,ethz.relation.isSourceOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit
"333452","20.500.11850/3","Burri, Susanne||Haeler, Elena||Eugster, Werner||Haeni, Matthias||Etzold, Sophia||Walthert, Lorenz||Braun, Sabine||Zweifel, Roman",,,,,,,"2020-01-30T10:57:22Z","2020-01-05T03:32:04Z||2020-01-30T10:57:22Z","2019-12-20",,"Central Europe experienced an exceptionally hot summer in 2015. The area of investigation in the Central Alps in Switzerland faced the second warmest summer since the beginning of measurements in 1864. As a consequence, agriculture suffered from considerable production losses. But how were forests affected by the hot summer? We analyzed stem growth data, measured by automated point dendrometers, from 50 trees across nine sites covering the four main Swiss tree species spruce (Picea abies), fir (Abies alba), beech (Fagus sylvatica) and oak (Quercus spp.) in the years 2014 (relatively wet and cool) and 2015 (hot and dry). Annual growth and environmental conditions were determined by, and related to, the growing period based on daily resolved growth data. Our multi-species approach revealed a wide range of responses. Radial growth of spruce was largely reduced during the hot summer 2015 for sites located below 1500 m a.s.l.. Growth of beech responded even positively at several sites on the Swiss Plateau. Fir and oak did not significantly deviate from their respective average growth rate. We conclude that one hot summer actually matters for stem growth, but its effect is not a priori negative. The timing of the heat wave is of highest importance. A relatively wet previous year, a wet spring and the relatively late occurrence of the heat wave in the wood growth period led to a less strong growth reduction than what could have been expected from agricultural plants. Endogenous effects like mast fruiting and legacy effects from past conditions are suggested to further play an important role for stem growth.","application/pdf","10.3929/ethz-b-000387504",,"0013-9998",,"10.12854/erde-2019-420","http://hdl.handle.net/20.500.11850/387504","en","Gesellschaft für Erdkunde zu Berlin","Creative Commons Attribution-ShareAlike 4.0 International","http://creativecommons.org/licenses/by-sa/4.0/","Climate change||Tree growth||Heat wave 2015||Swiss forests||Point dendrometer||Stem radius changes||Picea abies||Abies alba||Fagus sylvatica||Quercus spp","How did Swiss forest trees respond to the hot summer 2015?",,"Journal Article","Open access",,,"2020-01-05T03:32:11Z",,,,,,"yes",,,,,"ICOS-CH: Integrated Carbon Observation System in Switzerland","148992","10.13039/501100001711","SNF","Projektförderung in Mathematik, Natur- und Ingenieurwissenschaften (Abteilung II)",,,,,,"85077634201","000503866300002","Erde","4","Die Erde","150","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02703 - Institut für Agrarwissenschaften / Institute of Agricultural Sciences::03648 - Buchmann, Nina / Buchmann, Nina","09553||03648","09553||03648",,"229","214","Berlin","published",,,,,,,,,,"2020-01-30T10:57:33Z","2023-02-06T18:14:57Z","true",,"WOS",,"publishedVersion"
"325313","20.500.11850/5","Berghuijs, Wouter R.||Allen, Scott T.",,,,,,,"2019-12-17T13:26:56Z","2019-12-15T03:25:22Z||2019-12-17T13:26:56Z","2019-12-15","2019-08-14",,,,,"0885-6087||1099-1085",,"10.1002/hyp.13569","http://hdl.handle.net/20.500.11850/385684","en","Wiley",,,,"Waters flowing out of systems are younger than the waters stored in those same systems",,"Other Journal Item","Metadata only",,,"2019-12-15T03:25:27Z",,,,,,"yes",,,,,,,,,,,,,,,"85071614078","000500186000010","Hydrol. Process.","25","Hydrological Processes","33","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798||03798","03798",,"3254","3251","Oxford","published",,,,,,,,,,"2019-12-17T13:27:07Z","2022-03-29T00:29:58Z","true",,"WOS",,
"336343","20.500.11850/14","Knaus, Florian",,,"Mieg, Harald A.||Häfeli, Ueli",,,,"2020-02-15T14:28:11Z","2020-01-14T13:44:02Z||2020-02-15T14:28:11Z","2019-12",,,,,"978-3-03810-290-8",,,,"http://hdl.handle.net/20.500.11850/390372","de","NZZ Libro",,,,"Naturschutz: Wie der Schutz der Singvögel von 1335 mit der Biodiversitätsstrategie von 2012 zusammenhängt",,"Book Chapter","Metadata only","Umweltpolitik in der Schweiz: Von der Forstpolizei zur Ökobilanzierung",,"2020-01-14T13:44:11Z",,,,,,"yes",,,,,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","03723","03723",,"91","72","Basel","published",,,,,,,,,,"2020-02-15T14:28:22Z","2020-02-15T14:28:22Z","true",,"FORM",,
"336290","20.500.11850/3","Haynes, Katherine D.||Baker, Ian T.||Denning, A. Scott||Wolf, Sebastian||Wohlfahrt, Georg||Kiely, Gerard||Minaya, Renee C.||Haynes, John M.",,,,,,,"2020-02-14T17:48:44Z","2019-12-06T23:53:45Z||2019-12-09T08:08:54Z||2020-02-14T17:48:44Z","2019-12","2019-12-05","Grasslands are one of the most widely distributed and abundant vegetation types globally, and land surface models struggle to accurately simulate grassland carbon dioxide, energy, and water fluxes. Here we hypothesize that this is due to land surface models having difficulties in reproducing grassland phenology, in particular in response to the seasonal and interannual variability of precipitation. Using leaf area index (LAI), net primary productivity, and flux data at 55 sites spanning climate zones, the aim of this study is to evaluate a novel prognostic phenology model (Simple Biosphere Model, SiB4) while simultaneously illustrating grassland relationships across precipitation gradients. Evaluating from 2000 to 2014, SiB4 predicts daily LAI, carbon, and energy fluxes with root‐mean‐square errors < 15% and individual biases <10%; however, not including management likely reduces its performance. Grassland mean annual LAI increases linearly with mean annual precipitation, with both SiB4 and the Moderate Resolution Imaging Spectroradiometer (MODIS) showing a 0.13 increase in LAI per 100‐mm increase in precipitation. Both gross primary production and ecosystem respiration increase with growing season length by ∼8.5 g C m−2 per day, with SiB4 and Fluxnet estimates within 18%. Despite differences in mean annual precipitation and growing season length, all grassland sites shift to seasonal carbon sinks one month prior to peak uptake. During a U.S. drought, MODIS and SiB4 had nearly identical LAI responses, and the LAI change due to drought was less than the LAI change across the precipitation gradient, indicating that grassland drought response is not as strong as the overlying climate response.","application/pdf","10.3929/ethz-b-000383556",,"1942-2466",,"10.1029/2018ms001541","http://hdl.handle.net/20.500.11850/383556","en","American Geophysical Union","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Grassland ecology||Terrestrial carbon cycle||Prognostic phenology||Land surface model","Representing grasslands using dynamic prognostic phenology based on biological growth stages: Part 2. Carbon cycling",,"Journal Article","Open access",,,"2019-12-06T23:53:58Z",,,,,,"yes",,,,,"Farm-scale Methane Fluxes (FasMeF)||Robust models for assessing the effectiveness of technologies and managements to reduce N2O emissions from grazed pastures (Models4Pastures)","129866||154245","10.13039/501100001711||10.13039/501100001711","SNF||SNF","Projektförderung in Mathematik, Natur- und Ingenieurwissenschaften (Abteilung II)||FACCE-JPI",,,,,,"85076768424","000503224200001",,"12","Journal of Advances in Modeling Earth Systems","11","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798",,"4465","4440","Hoboken, NJ","published",,,,,,,,,,"2020-02-14T17:48:55Z","2021-02-15T08:04:51Z","true",,"FORM",,"publishedVersion"
"316744","20.500.11850/3","Liu, Yu||Huang, Ping||Lin, Furong||Yang, Wenyun||Gaisberger, Hannes||Kettle, Chris J.||Zheng, Yongqi",,,,,,,"2019-11-01T06:24:09Z","2019-11-01T03:34:53Z||2019-11-01T06:24:09Z","2019-12","2019-10-25",,,,,,,"10.1016/j.ecoleng.2019.105612","http://hdl.handle.net/20.500.11850/374459","en","Elsevier",,,"Climate change||Dalbergia cultrata||MaxEnt||Habitats suitability simulation","MaxEnt modelling for predicting the potential distribution of a near threatened rosewood species (Dalbergia cultrata Graham ex Benth)",,"Journal Article","Metadata only",,,"2019-11-01T03:35:02Z",,,,,,"yes",,,,,,,,,,,,,,,"85073957716","000497646300006",,,"Ecological Engineering","141","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","03723","03723",,,"105612","Amsterdam","published",,,,,,,,,,"2019-11-01T06:24:20Z","2021-02-15T06:31:01Z","true","10 p.","SCOPUS",,
"325414","20.500.11850/3","Donati, Giulia Francesca Azzurra||Parravicini, Valeriano||Leprieur, Fabien||Hagen, Oskar||Gaboriau, Théo||Heine, Christian||Kulbicki, Michel||Rolland, Jonathan||Salamin, Nicolas||Albouy, Camille||Pellissier, Loïc",,,,,,,"2019-12-17T16:44:43Z","2019-10-10T09:53:38Z||2019-10-10T13:15:04Z||2019-11-28T14:28:41Z||2019-12-17T16:44:43Z","2019-12","2019-09-26","Habitat dynamics interacting with species dispersal abilities could generate gradients in species diversity and prevalence of species traits when the latter are associated with species dispersal potential. Using a process‐based model of diversification constrained by a dispersal parameter, we simulated the interplay between reef habitat dynamics during the past 140 million years and dispersal, shaping lineage diversification history and assemblage composition globally. The emerging patterns from the simulations were compared to current prevalence of species traits related to dispersal for 6315 tropical reef fish species. We found a significant spatial congruence between the prevalence of simulated low dispersal values and areas with a large proportion of species characterized by small adult body size, narrow home range mobility behaviour, pelagic larval duration shorter than 21 days and diurnal activity. Species characterized by such traits were found predominantly in the Indo‐Australian Archipelago and the Caribbean Sea. Furthermore, the frequency distribution of the dispersal parameter was found to match empirical distributions for body size, PLD and home range mobility behaviour. Also, the dispersal parameter in the simulations was associated to diversification rates and resulted in trait frequency matching empirical distributions. Overall, our findings suggest that past habitat dynamics, in conjunction with dispersal processes, influenced diversification in tropical reef fishes, which may explain the present‐day geography of species traits.","application/pdf","10.3929/ethz-b-000369741",,"0906-7590||1600-0587",,"10.1111/ecog.04537","http://hdl.handle.net/20.500.11850/369741","en","Wiley","Creative Commons Attribution 3.0 Unported","http://creativecommons.org/licenses/by/3.0/","Biodiversity||Dispersal||Diversification||Mechanistic models||Reef fish||Traits","A process‐based model supports an association between dispersal and the prevalence of species traits in tropical reef fish assemblages",,"Journal Article","Open access",,,"2019-10-10T09:53:47Z",,,,,,"yes",,,,,,,,,,,,,,,"85073969080","000487946300001",,"12","Ecography","42","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc","09553","09553",,"2106","2095","Oxford","published",,,,,,,,,,"2019-12-17T16:44:57Z","2023-02-06T17:59:10Z","true",,"WOS",,"publishedVersion"
"345302","20.500.11850/3","Huber, Barbara||Gubelmann, Päivi||Zischg, Andreas||Augustin, Sabine||Frehner, Monika",,,,,,,"2020-04-24T14:15:46Z","2020-04-22T14:03:24Z||2020-04-22T16:40:45Z||2020-04-24T14:15:46Z","2019-12",,,,,,"0036-7818||2235-1469",,"10.3188/szf.2019.0326","http://hdl.handle.net/20.500.11850/411117","de","Schweizerischer Forstverein",,,,"Modellierung der Vegetationshöhenstufen und der Areale von Buche und Tanne für die Schweiz",,"Journal Article","Metadata only",,,"2020-04-22T14:03:32Z",,,,,,"yes",,,,,,,,,,,,,,,,,"Schweiz. Z. Forstwes.","6","Schweizerische Zeitschrift für Forstwesen","170","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald::08701 - Gruppe Waldbau / Group Silviculture","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald::08701 - Gruppe Waldbau / Group Silviculture","08701","08701",,"337","326","Zürich","published",,,,,,,,,"true","2020-04-24T14:15:56Z","2022-03-29T01:53:42Z","true","12 p.","FORM",,
"335389","20.500.11850/5","Löfqvist, Sara||Ghazoul, Jaboury",,,,,,,"2020-02-11T10:30:09Z","2020-01-07T04:53:13Z||2020-02-11T10:30:09Z","2019-12","2019-11-11",,,,,"2397-334X",,"10.1038/s41559-019-1031-y","http://hdl.handle.net/20.500.11850/387868","en","Nature Publishing Group",,,,"Private funding is essential to leverage forest and landscape restoration at global scales",,"Other Journal Item","Metadata only",,,"2020-01-07T04:53:16Z",,,,,,"yes",,,,,,,,,,,,,,,,"000500728800004","Nat Ecol Evol","12","Nature Ecology & Evolution","3","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","03723","03723",,"1615","1612","London","published",,,,,,,,,"true","2020-02-11T10:30:20Z","2022-03-29T00:57:59Z","true",,"WOS",,
"318109","20.500.11850/3","Godsey, Sarah E.||Hartmann, Jens||Kirchner, James W.",,,,,,,"2019-11-08T15:01:06Z","2019-10-01T02:34:12Z||2019-10-01T09:38:32Z||2019-11-08T15:01:06Z","2019-11-30","2019-09-11",,,,,"0885-6087||1099-1085",,"10.1002/hyp.13554","http://hdl.handle.net/20.500.11850/367422","en","Wiley-Blackwell",,,"chemostasis||climate–weathering feedback||concentration–discharge||dissolved load||water quality","Catchment chemostasis revisited: Water quality responds differently to variations in weather and climate",,"Journal Article","Metadata only",,,"2019-10-01T02:34:17Z",,,,,,"yes",,,,,,,,,,,,,,,,"000486205700001","Hydrol. Process.","24","Hydrological Processes","33","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798",,"3069","3056","Chichester","published",,,,,,,,,,"2020-02-15T22:26:51Z","2022-03-29T00:14:44Z","true","14 p.","WOS",,
"323611","20.500.11850/5","Bastin, Jean-François||Finegold, Yelena||Garcia, Claude||Mollicone, Danilo||Rezende, Marcelo||Routh, Devin||Zohner, Constantin M.||Crowther, Thomas W.",,,,,,,"2019-12-09T12:40:23Z","2019-12-08T03:35:32Z||2019-12-09T12:40:23Z","2019-11-29",,,,,,"0036-8075||1095-9203",,"10.1126/science.aaz0493","http://hdl.handle.net/20.500.11850/383636","en","AAAS",,,,"Response to Comment on ""The global tree restoration potential""",,"Other Journal Item","Metadata only",,,"2019-12-08T03:35:57Z",,,,,,"yes",,,,,,,,,,,,,,,"85075785788","000500039200002",,"6469","Science","366","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury::08697 - Gruppe Forest Management & Development / Forest Management & Development Group||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury::08697 - Gruppe Forest Management & Development / Forest Management & Development Group||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09625 - Crowther, Thomas Ward / Crowther, Thomas Ward","08697||09625","08697||09625",,,"eaaz0493","Washington, DC","published",,,,,,,,,,"2019-12-09T12:40:36Z","2022-03-29T00:27:15Z","true","3 p.","SCOPUS",,
