id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.internal,ethz.identifier.orcidWorkCode,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.urn,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.isCitedBy,ethz.relation.isDerivedFrom,ethz.relation.isNewVersionOf,ethz.relation.isOriginalFormOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isSourceOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit
"397085","20.500.11850/5","Berghuijs, Wouter Reinier||Gnann, Sebastian J.||Woods, Ross A.",,,,"2021-04-07T09:00:18Z","2020-11-18T12:35:59Z||2020-11-25T12:50:54Z||2021-04-07T09:00:18Z","2020-12-30","2020-10-31",,,,,"0885-6087||1099-1085",,"10.1002/hyp.13958","http://hdl.handle.net/20.500.11850/451858","en","Wiley",,,,"Unanswered questions on the Budyko framework","Other Journal Item","Metadata only",,,"2020-11-18T12:36:03Z",,,,"yes",,,,,,,,,,,,,,,"000585650900001","Hydrol. Process.","26","Hydrological Processes","34","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798",,"5703","5699","Chichester","published",,,,,,,,,,,,"2021-04-07T09:00:29Z","2021-04-07T09:00:29Z","true",,"WOS",,,
"455757","20.500.11850/22","Wilken, Florian||Fiener, Peter||Ketterer, Michael||Meusburger, Katrin||Muhindo, Daniel Iragi||Van Oost, Kristof||Doetterl, Sebastian",,,,"2022-06-22T06:54:30Z","2021-01-13T12:31:13Z||2021-02-22T14:00:09Z||2021-07-20T07:39:40Z||2022-06-22T06:54:30Z","2020-12-28",,"Due to the rapidly growing population in tropical Africa, a substantial rise in food demand is predicted in upcoming decades, which will result in higher pressure on soil resources. However, there is limited knowledge on soil redistribution dynamics following land conversion to arable land in tropical Africa that is partly caused by challenging local conditions for long-term landscape scale monitoring. In this study, fallout radionuclides 239+240Pu are used to assess soil redistribution along topographic gradients at two cropland sites and at three nearby pristine forest sites located in the DR Congo, Uganda and Rwanda. In the study area, a relatively high 239+240Pu baseline inventory is found (mean forest inventory 41 Bq m−2). Pristine forests show no indication for soil redistribution based on 239+240Pu along topographical gradients. In contrast, soil erosion and sedimentation on cropland reached up to 37 and 40 cm within the last 55 years, respectively. Cropland sites show high intra-slope variability with locations showing severe soil erosion located in direct proximity to sedimentation sites. This study shows the applicability of a valuable method to assess tropical soil redistribution and provides insight on soil degradation rates and patterns in one of the most vulnerable regions of the World.","application/pdf","10.3929/ethz-b-000462098",,,,"10.5194/soil-2020-95","http://hdl.handle.net/20.500.11850/462098","en","Copernicus","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Assessing soil erosion of forest and cropland sites in wet tropical Africa using 239+240 Pu fallout radionuclides","Working Paper","Open access",,,"2021-01-13T12:31:20Z",,,,"yes",,,,,,,,,,,,,,,,,,"Soil Discussions",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09646 - Dötterl, Sebastian / Dötterl, Sebastian","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09646 - Dötterl, Sebastian / Dötterl, Sebastian","09646","09646",,,,"Göttingen","published",,,,,,,"10.3929/ethz-b-000495626",,,,,"2021-02-22T14:00:23Z","2023-02-07T03:41:04Z","true","22 p.","FORM",,,
"389263","20.500.11850/3","Descombes, Patrice||Pitteloud, Camille||Defossez, Emmanuel||Kergunteuil, Alan||Allard, Pierre-Marie||Rasmann, Sergio||Pellissier, Loïc",,,,"2021-02-02T11:51:13Z","2021-01-12T06:32:21Z||2021-01-28T12:20:35Z||2021-02-02T11:51:13Z","2020-12-18","2020-12-18","Herbivory and plant defenses exhibit a coupled decline along elevation gradients. However, the current ecological equilibrium could be disrupted under climate change, with a faster upward range shift of animals than plants. Here, we experimentally simulated this upward herbivore range shift by translocating low-elevation herbivore insects to alpine grasslands. We report that the introduction of novel herbivores and increased herbivory disrupted the vertical functional organization of the plant canopy. By feeding preferentially on alpine plants with functional traits matching their low-elevation host plants, herbivores reduced the biomass of dominant alpine plant species and favored encroachment of herbivore-resistant small-stature plant species, inflating species richness. Supplementing a direct effect of temperature, novel biotic interactions represent a neglected but major driver of ecosystem modifications under climate change.",,,,"0036-8075||1095-9203","http://hdl.handle.net/20.500.11850/459683||http://hdl.handle.net/20.500.11850/459684","10.1126/science.abd7015","http://hdl.handle.net/20.500.11850/461483","en","AAAS",,,,"Novel trophic interactions under climate change promote alpine plant coexistence","Journal Article","Metadata only",,,"2021-01-06T03:34:47Z",,,,"yes",,,,"Lif3web: The present and future spatial structure of tri-trophic networks","162604","10.13039/501100001711","SNF","Projekte Lebenswissenschaften",,,,"85098676392",,,"000599959400047",,"6523","Science","370","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc","09553||02722","09553",,"1473","1469","Washington, DC","published",,,,,,,,,,,"true","2021-01-12T06:32:35Z","2023-02-06T21:23:28Z","true",,"WOS",,,
"371977","20.500.11850/3","Ma, Siyan||Eichelmann, Elke||Wolf, Sebastian||Rey-Sanchez, Camilo||Baldocchi, Dennis D.",,,,"2020-10-15T11:20:43Z","2020-10-07T15:25:23Z||2020-10-15T11:20:43Z","2020-12-15","2020-10-03","As the eddy-covariance technique enables intensive measurements of evapotranspiration (ET) at the ecosystem level, the interest in further partitioning ET into two main process-based components transpiration (T) and surface evaporation (E) □ is increasing. Although models for partitioning tower-measured ET have been developed, their reliability for different types of ecosystems still requires extensive validations. From 2001 to 2019, we measured CO2 and H2O vapor fluxes over an oak-grass savanna landscape from three eddy-covariance towers (i.e., one over an oak woodland; the other two over annual grasslands under tree canopy and in open area). Annual ET (± standard deviation) from the oak woodland, understory grassland, and open grassland was 419±85 mm, 167±36 mm, 324±43 mm, respectively. The differences between the above- and below-canopy ET indicated that oak canopy transpiration (Toak) was 281±48 mm year−1, accounting for 67±8% of the total ET of the woodland. The Toak/ET ratio varied in seasons, similar to the pattern of oak's leaf area index but opposite to that of soil moisture. We then tested two ET-partitioning models: Scott's long-term-regression-interception (LTRI) model (Scott and Biederman, 2017) and Zhou's quantile-regression-maximum-slope (QRMS) model (Zhou et al., 2016). Even though we expected that the two models would give divergent results since theiremo working principles, both models captured reasonable magnitudes and seasonal patterns of the T/ET ratio, as suggested by tower measurements. The study confirms that the LTRI and QRMS models are applicable for savanna ecosystems, but some modifications are necessary for tree dominated areas. In combination with field and modeling approaches, this study improves our understanding on the contributions of transpiration and evaporation to total ET from ecosystems with vertical vegetation layers.",,,,"0168-1923||1873-2240",,"10.1016/j.agrformet.2020.108204","http://hdl.handle.net/20.500.11850/444957","en","Elsevier",,,"Mediterranean climate||Dry summers||Water use efficiency||Gas exchange||Photosynthesis||Latent heat flux","Transpiration and evaporation in a Californian oak-grass savanna: Field measurements and partitioning model results","Journal Article","Metadata only",,,"2020-10-07T15:25:34Z",,,,"yes",,,,,,,,,,,,"85091986501",,,"000582305500036","Agric. for. meteorol.",,"Agricultural and Forest Meteorology","295","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798",,,"108204","Amsterdam","published",,,,,,,,,,,,"2020-10-15T11:20:54Z","2021-02-15T18:23:45Z","true","13 p.","FORM",,,
"488551","20.500.11850/18","Andre, Jessica Tanja Laila",,,"Bugmann, Harald||Signer, Claudio","2023-02-03T07:44:12Z","2023-02-02T19:13:14Z||2023-02-03T07:44:12Z","2020-12-07",,"Forests are multifunctional and provide diverse ecosystem services. For example, it offers protection from natural hazards and is among other things a habitat for plants and animals. The increasing recreational use of forests leads to a steady decline of refuges for wild animals. This influences the spatial use of red deer (Cervus elaphus). So far, there are only few studies that deal with the effects of changing spatial use of ungulates on vegetation. In Switzerland the red deer populations are increasing. The dense population already has a noticeable impact on forest regeneration in the Aletsch Forest. Since there is currently no sophisticated basis for the proper handling of red deer in the Aletsch-Goms region, therefore the red deer project was launched. In addition to the habitat use, the influence of this species on forests should also be better understood in order to be able to derive measures for improved forest, wildlife and habitat management. The aim of this work was to investigate the density of natural regeneration and the frequency of damage caused by ungulates depending on hiking trails, their intensity of use and visibility in the Aletsch Forest. The following three questions were raised: 1. Does the human intensity of use of the trails or the distance to the nearest hiking trail have an impact on the density of natural regeneration in the Aletsch Forest? 2. Does the human intensity of use of the trails or the distance to the nearest hiking trail have an impact on the frequency of browsing damages? 3. How do the influences of visibility of the hiking trail and distance to the hiking trail differ on forest regeneration? Random plots were distributed within four distance classes along the hiking trails. 149 plots were surveyed. The density of natural regeneration was determined using the “Nearest Tree Method”. Generalized Linear Mixed Models were created to answer the research questions. On 14% of the plots was no regeneration. The density of natural regeneration decreases with the distance and increases with the intensity of use of the hiking trails. In contrast bark stripping increases with the distance and decreases with the intensity of use of the hiking trails. There were no significant results with buck rubbing. The visibility showed no effect on the density of natural regeneration or browsing. Since literature already attached significance to the visibility, further investigations with different methods are suggested. In order to check the results obtained, a space use habitat selection of the red deer and the creation of control fences near and far from the trails are recommended.","application/pdf","10.3929/ethz-b-000596856",,,,,"http://hdl.handle.net/20.500.11850/596856","de","ETH Zürich","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/","Cervus elaphus||Browsing damage||forest regeneration||Recreation||ALETSCHWALD (CANTON OF VALAIS)||Valais||Switzerland||Hiking Trails||Red deer (Cervus elaphus)","Wald, Wild & Wanderwege: Eine Fallstudie im Aletschwald","Master Thesis","Open access",,"DDC - DDC::5 - Science::570 - Life sciences||DDC - DDC::5 - Science::500 - Natural sciences","2023-02-02T19:13:14Z",,,,"yes",,,,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535",,,,"Zürich","published",,,,,,,,,,,"true","2023-02-03T07:44:13Z","2023-02-07T10:11:57Z","true","78 S.","FORM",,,
"378906","20.500.11850/3","Yanai, Ruth D.||Wayson, Craig||Lee, Donna||Espejo, Andres||Campbell, John Law||Green, Mark B.||Zukswert, Jenna M.||Yoffe, Shira||Aukema, Juliann||Lister, Andrew||Kirchner, James W.||Gamarra, Javier G. P.",,,,"2020-12-07T12:49:17Z","2020-12-06T19:35:28Z||2020-12-07T12:49:17Z","2020-12","2020-11-17","Reductions in atmospheric concentrations of greenhouse gases are urgently needed to avoid the most catastrophic consequences of warming. Reducing deforestation and forest degradation presents a climate change mitigation opportunity critical to meeting Paris Agreement goals. One strategy for decreasing carbon emissions from forests is to provide developing countries with results-based financial incentives for reducing deforestation: nearly two billion dollars are currently committed to finance such programs, referred to as REDD+ (Reducing Emissions from Deforestation and forest Degradation, conservation, sustainable management of forests, and enhancement of forest carbon stocks). Countries participating in these programs must document the uncertainty in their estimates of emissions and emission reductions, and payments are reduced if uncertainties are high. Our examination of documentation submitted to date to the United Nations Framework Convention on Climate Change (UNFCCC) and the Forest Carbon Partnership Facility (FCPF) reveals that uncertainties are commonly underestimated, both by omitting important sources of uncertainty and by incorrectly combining uncertainties. Here, we offer recommendations for addressing common problems in estimating uncertainty in emissions and emission reductions. Better uncertainty estimates will enable countries to improve forest carbon accounting, contribute to better informed forest management, and support efforts to track global greenhouse gas emissions. It will also strengthen confidence in markets for climate mitigation efforts. Demand by companies for nature-based carbon credits is growing and if such credits are used for offsets, in exchange for fossil fuel emissions, it is essential that they represent accurately quantified emissions reductions.","application/pdf","10.3929/ethz-b-000454830",,"1748-9326||1748-9318",,"10.1088/1748-9326/abb96f","http://hdl.handle.net/20.500.11850/454830","en","Institute of Physics","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","REDD+||Carbon credit||Tropical deforestation||Forest carbon||Monte Carlo||Uncertainty estimation","Improving uncertainty in forest carbon accounting for REDD+ mitigation efforts","Journal Article","Open access",,,"2020-12-06T19:35:35Z",,,,"yes",,,,,,,,,,,,"85096934697",,,"000591804000001","Environ. Res. Lett.","12","Environmental Research Letters","15","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798",,,"124002","Britstol","published",,,,,,,,,,,,"2020-12-07T12:49:37Z","2021-02-15T21:29:16Z","true","12 p.","SCOPUS",,,"publishedVersion"
"391750","20.500.11850/3","Jansen, Merel||Guariguata, Manuel R.||Raneri, Jessica, E.||Ickowitz, Amy||Chiriboga-Arroyo, Fidel||Quaedvlieg, Julia||Kettle, Chris J.",,,,"2021-02-19T14:59:33Z","2020-11-05T13:59:23Z||2020-11-06T06:49:18Z||2021-02-19T14:59:33Z","2020-12","2020-11-04","1. The global food system is causing large-scale environmental degradation and is a major contributor to climate change. Its low diversity and failure to produce enough fruits and vegetables is contributing to a global health crisis. 2. The extraordinary diversity of tropical tree species is increasingly recognized to be vital to planetary health and especially important for supporting climate change mitigation. However, they are poorly integrated into food systems. Tropical tree diversity offers the potential for sustainable production of many foods, providing livelihood benefits and multiple ecosystem services including improved human nutrition. 3. First, we present an overview of these environmental, nutritional and livelihood benefits and show that tree-sourced foods provide important contributions to critical fruit and micronutrient (vitamin A and C) intake in rural populations based on data from sites in seven countries. 4. Then, we discuss several risks and limitations that must be taken into account when scaling-up tropical tree-based food production, including the importance of production system diversity and risks associated with supply to the global markets. 5. We conclude by discussing several interventions addressing technical, financial, political and consumer behaviour barriers, with potential to increase the consumption and production of tropical tree-sourced foods, to catalyse a transition towards more sustainable global food systems.","application/pdf","10.3929/ethz-b-000449894",,"2575-8314",,"10.1002/pan3.10159","http://hdl.handle.net/20.500.11850/449894","en","John Wiley & Sons","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Food for thought: The underutilized potential of tropical tree‐sourced foods for 21st century sustainable food systems","Journal Article","Open access",,,"2020-11-05T13:59:32Z",,,,"yes",,,,,,,,,,,,"85105177913",,,"000657243300003",,"S 4","People and Nature","2","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","02722||03723","03723",,"1020","1006","s.l.","published",,,,,,,,,,,,"2021-02-19T14:59:44Z","2022-03-29T05:19:30Z","true","15 p. accepted version","FORM",,,"publishedVersion"
"368357","20.500.11850/3","Petter, Gunnar||Mairota, Paola||Albrich, Katharina||Bebi, Peter||Brůna, Josef||Bugmann, Harald||Haffenden, Austin||Scheller, Robert M.||Schmatz, Dirk R.||Seidl, Rupert||Speich, Matthias||Vacchiano, Giorgio||Lischke, Heike",,,,"2020-09-18T12:35:12Z","2020-09-12T03:06:23Z||2020-09-18T12:35:12Z","2020-12","2020-08-29","Projections of landscape dynamics are uncertain, partly due to uncertainties in model formulations. However, quantitative comparative analyses of forest landscape models are lacking. We conducted a systematic comparison of all forest landscape models currently applied in temperate European forests (LandClim, TreeMig, LANDIS-II, iLand). We examined the uncertainty of model projections under several future climate, disturbance, and dispersal scenarios, and quantified uncertainties by variance partitioning. While projections under past climate conditions were in good agreement with observations, uncertainty under future climate conditions was high, with between-model biomass differences of up to 200 t ha−1. Disturbances strongly influenced landscape dynamics and contributed substantially to uncertainty in model projections (~25–40% of observed variance). Overall, model differences were the main source of uncertainty, explaining at least 50% of observed variance. We advocate a more rigorous and systematic model evaluation and calibration, and a broader use of ensemble projections to quantify uncertainties in future landscape dynamics.","application/pdf","10.3929/ethz-b-000440162",,"1364-8152||1873-6726",,"10.1016/j.envsoft.2020.104844","http://hdl.handle.net/20.500.11850/440162","en","Elsevier","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/","Forest landscape models||Model comparison||Variance partitioning||Disturbances||Dispersal||Future projections","How robust are future projections of forest landscape dynamics? Insights from a systematic comparison of four forest landscape models","Journal Article","Open access",,,"2020-09-12T03:06:30Z",,,,"yes",,,,"Advanced Tree MOrtality MOdeling (ATMO^2)","163250","10.13039/501100001711","SNF","Projekte Lebenswissenschaften",,,,"85090288221",,,"000591374100003","Environ. Model. Softw.",,"Environmental Modelling & Software","134","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535",,,"104844","Kidlington","published",,,,,,,,,,,,"2020-09-18T12:35:28Z","2022-03-29T03:10:20Z","true","13 p.","SCOPUS",,,"publishedVersion"
"383777","20.500.11850/3","Polanco Fernandez, Andrea||Fopp, Fabian||Albouy, Camille||Brun, Philipp||Boschman, Lydian||Pellissier, Loïc",,,,"2021-01-08T16:31:12Z","2020-11-19T03:48:54Z||2020-11-19T10:32:57Z||2021-01-08T16:31:12Z","2020-12","2020-10-28","Aim Tropical America, including the Tropical Eastern Pacific and the Caribbean Sea, presents a high level of marine biodiversity, but its fish fauna has been poorly documented. In early studies marine species distributions were interpreted based on tectonic activity during the late Cenozoic, while more recent studies have highlighted a link with the present-day environment. Here, we described the assemblage richness and composition of fishes in Tropical America and related these properties to both the past evolution of marine environmental conditions and current environmental gradients. Location Tropical America. Taxon Demersal and benthic fishes. Methods We mapped the distribution of 2,216 demersal and benthic fish species of Tropical America using existing occurrence data. We computed three assemblage indicators: species richness, composition and nestedness, which we explained by environmental gradients. We linked compositional distance to environmental differences using distance-based redundancy analysis, species richness and nestedness using a generalized linear model. We ran simulations of a mechanistic model in which three processes determine the spatial dynamics of biodiversity: speciation, dispersal and extinction. This model yielded estimates for species assemblage properties following palaeogeographic changes in the region that shaped the current coastal habitat configuration. Results Fish species richness in Tropical America peaks around the Florida Peninsula, Bahamas and Greater Antilles. Fish composition varies along a depth gradient, between the Tropical Eastern Pacific and the Caribbean Sea, and forms distinct domains within the Caribbean region. The nestedness component of beta-diversity is lower in shallower assemblages, especially those along the outer section of the Greater Caribbean. Species richness and nestedness are partly explained by current environmental conditions, but model simulations illustrate how this may be further explained by the tectonic history of the region. Main conclusions Species richness peaks in the Greater Caribbean, coinciding with generally favourable current environmental conditions for demersal and benthic fishes. The high species richness and the low nestedness of fish assemblages in the Cuba region are compatible with the results of palaeo-environmental changes that have occurred in that area. Effects of the plate tectonic history might still be present in the organization of fish fauna in this region.",,,,"0305-0270||1365-2699",,"10.1111/jbi.13985","http://hdl.handle.net/20.500.11850/451922","en","Wiley",,,"environment||Greater Caribbean||marine fish diversity||tectonics","Marine fish diversity in Tropical America associated with both past and present environmental conditions","Journal Article","Metadata only",,,"2020-11-19T03:48:59Z",,,,"yes",,,,"Relative importance of ecological and evolutionary determinants of coral reef fish biodiversity","164294||164294","10.13039/501100001711||10.13039/501100001711","SNF||SNF","Projekte Lebenswissenschaften||Projekte Lebenswissenschaften",,,,"85094157760",,,"000585870300001","J. biogeogr.","12","Journal of Biogeography","47","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc","09553||02722","09553",,"2610","2597","Oxford","published",,,,,,,,,,,,"2021-01-08T16:31:21Z","2023-02-06T21:14:49Z","true",,"WOS",,,
"455797","20.500.11850/22","Kidinda, Laurent K.||Olagoke, Folasade K.||Vogel, Cordula||Kalbitz, Karsten||Doetterl, Sebastian",,,,"2022-06-22T08:20:56Z","2021-01-13T10:30:07Z||2021-03-09T10:59:28Z||2022-06-22T08:20:56Z","2020-12-01",,"Microbial processes are one of the key factors driving carbon (C) and nutrient cycling in terrestrial ecosystems, and are strongly driven by the equilibrium between resource availability and demand. In deeply weathered tropical rainforest soils of Africa, it remains unclear whether patterns of microbial processes differ between soils developed from geochemically contrasting parent materials. Here we show that resource availability across soil depths and regions from mafic to felsic geochemistry shape patterns of soil microbial processes. During a 120-day incubation experiment, we found that microbial biomass C and extracellular enzyme activity were highest in the mafic region. Microbial C limitation was highest in the mixed sedimentary region and lowest in the felsic region, which we propose is related to the strength of contrasting C stabilization mechanisms and varying C quality. None of the investigated regions and soil depths showed signs of nitrogen (N) limitation for microbial processes. Microbial phosphorus (P) limitation increased with soil depth but was similar across geochemical regions, indicating that subsoils in the investigated soils were depleted in rock-derived nutrients and are therefore dependent on efficient biological recycling of nutrients. Microbial C limitation was lowest in subsoils, indicating that subsoil microbes can significantly participate in C cycling and limit C storage if increased oxygen availability is prevalent. Using multivariable regressions, we demonstrate that microbial biomass C normalized to soil organic C content (MBCSOC) is controlled by soil geochemistry and substrate quality, while microbial biomass C normalized to soil weight (MBCSoil) is predominantly driven by resource distribution. We conclude that due to differences in resource availability, microbial processes in deeply weathered tropical rainforest soils greatly vary across geochemical regions which must be considered when assessing soil microbial processes in organic matter turnover models.","application/pdf","10.3929/ethz-b-000462030",,,,"10.5194/soil-2020-80","http://hdl.handle.net/20.500.11850/462030","en","Copernicus","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Extracellular enzymes||Microbial biomass||Carbon limitation||Nutrient limitation","Patterns of microbial processes shaped by parent material and soil depth in tropical rainforest soils","Working Paper","Open access",,,"2021-01-13T10:30:14Z",,,,"yes",,,,,,,,,,,,,,,,,,"Soil Discussions",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09646 - Dötterl, Sebastian / Dötterl, Sebastian","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09646 - Dötterl, Sebastian / Dötterl, Sebastian","09646","09646","This preprint has been withdrawn by the authors.",,,"Göttingen","published",,,,,,,,,,,,"2021-03-09T10:59:41Z","2023-02-07T03:41:27Z","true","25 p.","FORM",,,
