id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.code.jel,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.eth,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.orcidWorkCode,ethz.identifier.scopus,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.isNewVersionOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.title.subtitle,ethz.version.deposit
"494279","20.500.11850/3","Lingua, Federico||Coops, Nicholas C.||Griess, Verena",,,,"2023-03-24T07:18:02Z","2023-03-23T14:46:14Z||2023-03-24T07:18:02Z","2023-05","2023-03-22","Conventionally, forest management plans have focused on ensuring a continuous provision of wood. In recent years, political agendas worldwide have recognized the importance of forests’ cultural ecosystem services, such as recreation. However, the inclusion of such values in management plans is challenging, and forest managers require novel methodologies and indicators to characterize forest recreation demand and provision. To this end, in this study, we combine remote sensing technologies and crowdsourced social media data to map and value the forest recreational potential of BC’s provincial parks system. We trained and deployed convolutional neural networks to automatically classify the content of over 60,000 Flickr images, we then created a random forest model to identify the variables that influence the visitors’ choice of recreational activity. These models allowed us to map the most likely recreational activities to occur in BC’s provincial parks and perform a spatially explicit assessment of the consumer surplus that these activities generate with a benefit transfer approach. Our findings suggest that the most influential variables in determining the choice of forest recreational activities are topographic, while anthropogenic impacts and forest biometrics variables have less effect. Furthermore, the outcomes of our study support the proposition that the integration of social media and remote sensing technologies allow, in the future, park managers to tailor the management of recreational services to forest visitors’ needs.","application/pdf","10.3929/ethz-b-000604746",,"1470-160X||1872-7034","10.1016/j.ecolind.2023.110165","http://hdl.handle.net/20.500.11850/604746","en","Elsevier","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Forest recreation||Cultural ecosystem services||Flickr||Big data||Remote sensing","Assessing forest recreational potential from social media data and remote sensing technologies data",,"Journal Article","Open access",,,,"2023-03-23T14:46:14Z",,,,"yes",,,,,,,,"85150752694",,,,"Ecological Indicators","149","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09723 - Griess, Verena C. / Griess, Verena C.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09723 - Griess, Verena C. / Griess, Verena C.","09723","09723",,,"110165","Amsterdam","published",,,,"true","2023-03-24T07:18:04Z","2023-03-24T07:18:04Z","true","10 p.","FORM",,"publishedVersion"
"493728","20.500.11850/31","Schaub, Sergei||Ghazou, Jaboury||Huber, Robert||Zhang, Wei||Sander, Adelaide||Rees, Charles||Banerjee, Simanti||Finger, Robert","Schaub, Sergei",,,"2023-03-20T11:16:11Z","2023-03-20T08:44:17Z||2023-03-20T11:16:11Z","2023-03-20",,"This dataset contains information about the papers used in the systematic review: “The role of behavioural factors and opportunity costs in farmers' participation in voluntary agri-environmental schemes: A systematic review” by Sergei Schaub, Jaboury Ghazoul, Robert Huber, Wei Zhang, Adelaide Sander, Charles Rees, Simanti Banerjee, and Robert Finger.","text/csv","10.3929/ethz-b-000603921",,,,"http://hdl.handle.net/20.500.11850/603921","en","ETH Zurich","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Dataset: The role of behavioural factors and opportunity costs in farmers' participation in voluntary agri-environmental schemes: A systematic review",,"Dataset","Open access",,,,"2023-03-20T08:44:18Z",,"10 years","2033-03-20T11:16:12Z","yes",,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02120 - Dep. Management, Technologie und Ökon. / Dep. of Management, Technology, and Ec.::09564 - Finger, Robert / Finger, Robert||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02120 - Dep. Management, Technologie und Ökon. / Dep. of Management, Technology, and Ec.::09564 - Finger, Robert / Finger, Robert","09564||03723","09564",,,,"Zurich",,,"10.3929/ethz-b-000604818",,"true","2023-03-20T11:16:12Z","2023-03-20T11:16:12Z","true","584.9 Kb","FORM",,
"483280","20.500.11850/3","Sharma, Kavita||Walters, Gretchen||Metzger, Marc J.||Ghazoul, Jaboury",,,,"2023-01-06T13:07:53Z","2023-01-04T04:58:12Z||2023-01-06T13:07:53Z","2023-03","2022-12-28","As a response to global crises of climate change and biodiversity loss, the UN has called for restoring a billion hectares of land. In recognition, both governments and the private sector have pledged to restore landscapes through planting millions of hectares of forests. Private sector investment is to play a critical role in meeting these goals, through instruments such as biodiversity offsetting, philanthropy, voluntary carbon markets, sustainability funds, and climate bonds. Such instruments allow for the value of place-based ecosystems, such as standing forests, to be circulated globally. No longer are forests horizontal (in terms of their extent on a map); they are also vertical, in terms of their entanglements with institutions, and actors, operating at various scales. An overarching emphasis on the private sector however obscures the role of state institutions in engaging these multi-scalar institutions and actors. Bringing the dimension of scale to tree planting, we examine the ways in which woodland creation, a ‘national’ policy priority for the Scottish government, brings together actors, both ‘local’ and ‘global’, in an unequal context. Our analysis uncovers that in retreating from directly creating and managing woodlands to playing a supportive regulatory role, Scottish Government's forest policies increasingly rescale forest and landscape governance to private and non-profit sectors, and to individual landowners and communities. These actors, who are differently endowed in terms of resources, participate in forestry developments on an uneven playing field. Moreover, questions around power and distribution of benefits arise as woodland expansion increasingly becomes part of green investment portfolios, environmental, social, and corporate governance (ESG) commitments, offsetting, and individual philanthropy. A relational view of scale that examines prevailing relations of power and resources in given socio-political contexts can both animate and inform current discourses and policies on tree planting for climate change mitigation.","application/pdf","10.3929/ethz-b-000589994",,"0264-8377||1873-5754","10.1016/j.landusepol.2022.106524","http://hdl.handle.net/20.500.11850/589994","en","Elsevier","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Rescaling||Scotland||Natural capital||Tree planting||Restoration||Forestry","Glocal woodlands – The rescaling of forest governance in Scotland",,"Journal Article","Open access",,,,"2023-01-04T04:58:12Z",,,,"yes",,,,,,,,"85144946272",,"Land Use Policy",,"Land Use Policy","126","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","03723","03723",,,"106524","Amsterdam","published",,,,,"2023-01-06T13:07:54Z","2023-02-07T09:39:06Z","true","10 p.","SCOPUS",,"publishedVersion"
"484921","20.500.11850/3","Zhang, Weijie||Jung, Martin||Migliavacca, Mirco||Poyatos, Rafael||Miralles, Diego G.||El-Madany, Tarek S.||Galvagno, Marta||Carrara, Arnaud||Arriga, Nicola||Ibrom, Andreas||Mammarella, Ivan||Papale, Dario||Cleverly, James R.||Liddell, Michael||Wohlfahrt, Georg||Markwitz, Christian||Mauder, Matthias||Paul-Limoges, Eugenie||Schmidt, Marius||Wolf, Sebastian||et al.",,,,"2023-01-16T11:07:14Z","2023-01-14T04:19:49Z||2023-01-16T11:06:15Z||2023-01-16T11:07:14Z","2023-03-01","2023-01-05","While the eddy covariance (EC) technique is a well-established method for measuring water fluxes (i.e., evaporation or 'evapotranspiration’, ET), the measurement is susceptible to many uncertainties. One such issue is the potential underestimation of ET when relative humidity (RH) is high (>70%), due to low-pass filtering with some EC systems. Yet, this underestimation for different types of EC systems (e.g. open-path or closed-path sensors) has not been characterized for synthesis datasets such as the widely used FLUXNET2015 dataset. Here, we assess the RH-associated underestimation of latent heat fluxes (LE, or ET) from different EC systems for 163 sites in the FLUXNET2015 dataset. We found that the LE underestimation is most apparent during hours when RH is higher than 70%, predominantly observed at sites using closed-path EC systems, but the extent of the LE underestimation is highly site-specific. We then propose a machine learning based method to correct for this underestimation, and compare it to two energy balance closure based LE correction approaches (Bowen ratio correction, BRC, and attributing all errors to LE). Our correction increases LE by 189% for closed-path sites at high RH (>90%), while BRC increases LE by around 30% for all RH conditions. Additionally, we assess the influence of these corrections on ET-based transpiration (T) estimates using two different ET partitioning methods. Results show opposite responses (increasing vs. slightly decreasing T-to-ET ratios, T/ET) between the two methods when comparing T based on corrected and uncorrected LE. Overall, our results demonstrate the existence of a high RH bias in water fluxes in the FLUXNET2015 dataset and suggest that this bias is a pronounced source of uncertainty in ET measurements to be considered when estimating ecosystem T/ET and WUE.",,,,"0168-1923||1873-2240","10.1016/j.agrformet.2022.109305","http://hdl.handle.net/20.500.11850/592371","en","Elsevier",,,"Evapotranspiration||Energy balance closure||Latent energy||FLUXNET||Eddy covariance","The effect of relative humidity on eddy covariance latent heat flux measurements and its implication for partitioning into transpiration and evaporation",,"Journal Article","Metadata only",,,,"2023-01-14T04:19:49Z",,,,"yes",,,,,,,,"85145820336","000922693400001","Agric. for. meteorol.",,"Agricultural and Forest Meteorology","330","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09732 - Carminati, Andrea / Carminati, Andrea","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09732 - Carminati, Andrea / Carminati, Andrea","03798||09732","03798||09732",,,"109305","Amsterdam","published",,,,"true","2023-01-16T11:06:16Z","2023-02-07T09:53:02Z","true","11 p.","SCOPUS",,
"493808","20.500.11850/19","Zweifel, Samuel",,,"Hiltner, Ulrike||Lévesque, Mathieu","2023-03-20T15:10:03Z","2023-03-20T14:56:23Z||2023-03-20T15:10:03Z","2023-03",,"Understorey vegetation plays an important role in forest succession. After stand replacing events (e.g., wind storm, forest fire), understorey vegetation can expand very quickly and compete with tree regeneration. This can severely reduce and retard tree regeneration due to competition for resources (e.g., light, water, nutrients). However, understorey vegetation is often not explicitly taken into account in forest succession models. The forest succession model ForClim was developed to study forest succession dynamics in Central Europe, but it has never been tested with regard to the effects of understorey vegetation on tree regeneration. This bachelor’s thesis investigates whether ForClim is able to reproduce the dynamics of a secondary forest succession with competition from understorey vegetation after a stand replacing disturbance event. For the evaluation of the model performance, inventory data from the Habsburg Forest 20 years after the wind storm Lothar were used. ForClim has eight model variants with two different establishment routines for tree ingrowth. For each model variant, a simulation was initialized, and the results were compared to observed stand characteristics. For both establishment routines, the model variant with the smallest deviation from the observed stem number and basal area was selected for the further analyses.  The old establishment routine E0 reproduced the observed stand characteristics better than the new routine. Within the two establishment routines, model variants 02 and 12 had the lowest deviation from the observed stand characteristics. By adjusting the model parameter for the establishment probability of young trees, the simulation performance of model variants 02 and 12 could be improved by 2 % and 208 %, respectively. Despite the large improvement of model variant 12, model variant 02 still reproduced the observed data more accurately by 12 %. Subsequently, the simulated succession dynamics were compared with the expected forest development using long-term simulations. Model variant 02 and 12 simulated the expected successional phases of the long-term succession well, but they both overestimated the time span for a full succession cycle and the maximum basal area. Overall, model variant 12 reproduced the expected long-term forest succession better. Additionally, the impact of implementing a plant functional type for understorey vegetation into ForClim’s species list was tested. It could be shown that it is technically possible to implement a plant functional type to qualitatively emulate competition from understorey vegetation. The results of this bachelor’s thesis show that ForClim can be adapted to the observed forest succession, with competition from herbaceous and shrubby understorey vegetation. Additionally, the results indicate that the implementation of understorey vegetation could be a promising approach to improve ForClim’s succession dynamics.","application/pdf","10.3929/ethz-b-000604119",,,,"http://hdl.handle.net/20.500.11850/604119","en","ETH Zurich","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/","ForClim||sensitivity analysis||tree establishment probability||forest gap model||forest succession||Habsburg Forest||wind throw||wind storm Lothar","Analyses of tree regeneration after wind throw in a central Swiss forest: testing a forest succession model’s abilities",,"Bachelor Thesis","Open access",,"DDC - DDC::6 - Technology, medicine and applied sciences::600 - Technology (applied sciences)",,"2023-03-20T14:56:24Z",,,,"yes",,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535",,,,"Zurich","published",,,,"true","2023-03-20T15:10:05Z","2023-03-20T15:10:05Z","true","46 p.","FORM",,
"494057","20.500.11850/3","Floriancic, Marius||Allen, Scott Thomas||Meier, Raphael||Truniger, Lucas||Kirchner, James W.||Molnar, Peter",,,,"2023-03-22T07:47:49Z","2022-11-22T04:02:32Z||2022-12-06T12:45:19Z||2022-12-09T10:48:46Z||2023-03-22T07:47:49Z","2023-03","2022-10-17","The forest-floor litter layer can retain substantial volumes of water, thus affecting evaporation and soil-moisture dynamics. However, litter layer wetting/drying dynamics are often overlooked when estimating forest water budgets. Here, we present field and laboratory experiments characterizing water cycling in the forest-floor litter layer and outline its implications for subcanopy microclimatic conditions and for estimates of transpiration and recharge. Storage capacities of spruce needle litter and beech broadleaf litter averaged 3.1 and 1.9 mm, respectively, with drainage/evaporation timescales exceeding 2 days. Litter-removal experiments showed that litter reduced soil water recharge, reduced soil evaporation rates, and insulated against ground heat fluxes that impacted snowmelt. Deadwood stored similar to 0.7 mm of water, increasing with more advanced states of decomposition, and retained water for >7 days. Observed daily cycles in deadwood weight revealed decreasing water storage during daytime as evaporation progressed and increasing storage at night from condensation or absorption. Water evaporating from the forest-floor litter layer modulates the subcanopy microclimate by increasing humidity, decreasing temperature, and reducing VPD. Despite the relatively small litter storage capacity (<3.1 mm in comparison to similar to 10(2) mm for typical forest soil rooting zones), the litter layer alone retained and cycled 18% of annual precipitation, or 1/3 of annual evapotranspiration. These results suggest that overlooking litter interception may lead to substantial overestimates of recharge and transpiration in many forest ecosystems.","application/pdf","10.3929/ethz-b-000582214",,"1936-0592||1936-0584","10.1002/eco.2493","http://hdl.handle.net/20.500.11850/582214","en","Wiley","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","deadwood||evaporation||forest||interception||litter||precipitation partitioning||storage||water cycle","Potential for significant precipitation cycling by forest-floor litter and deadwood",,"Journal Article","Open access",,,,"2022-11-22T04:02:35Z",,,,"yes",,,,,,,,"85141588620","000880360000001",,"2","Ecohydrology","16","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo","03798||03473","03798||03473",,,"e2493","Chichester","published",,,,"true","2023-03-22T07:47:50Z","2023-03-22T07:47:50Z","true","16 p.","WOS",,"publishedVersion"
"490914","20.500.11850/3","Wasner, Daniel||Prommer, Judith||Zezula, David||Mooshammer, Maria||Hu, Yuntao||Wanek, Wolfgang",,,,"2023-02-23T11:25:05Z","2023-02-23T10:07:10Z||2023-02-23T11:25:05Z","2023-02-23",,"Introduction: Organic phosphorus (Po) compounds constitute an important pool in soil P cycling, but their decomposition dynamics are poorly understood. Further, it has never been directly tested whether low molecular weight Po compounds are taken up by soil microbes in an intact form, which reduces the dependence of their P acquisition on extracellular phosphatases.   Methods: We investigated the short-term fate (24 h) of five 33P-labelled Po compounds (teichoic acids, phospholipids, DNA, RNA and soluble organophosphates) and 33P-labelled inorganic P (Pi) in two soils.   Results: We found indications that soil microbial breakdown of phosphodiesters was limited by the depolymerization step, and that direct microbial uptake of Po occurred to a substantial extent.   Discussion: We postulate a trade-off between direct Po uptake and complete extracellular Po mineralization. These findings have profound consequences for our understanding of microbial P cycling in soils.","application/pdf","10.3929/ethz-b-000600210",,"2673-8619","10.3389/fsoil.2023.1097965","http://hdl.handle.net/20.500.11850/600210","en","Frontiers Media","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Organic phosphorus||Soil microbes||Phosphorus uptake||Decomposition||Depolymerization||Microbial activity||Phosphatase||Soil phosphorus cycle","Tracing 33P-labelled organic phosphorus compounds in two soils: New insights into decomposition dynamics and direct use by microbes",,"Journal Article||Journal Article","Open access",,,,"2023-02-23T10:07:10Z",,,,"yes",,,,,,,"129487631",,,"Front. Soil Sci.",,"Frontiers in Soil Science","3","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09646 - Dötterl, Sebastian / Dötterl, Sebastian||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09646 - Dötterl, Sebastian / Dötterl, Sebastian",,"09646||09646",,,,"1097965","Lausanne","published",,,,"true","2023-02-23T11:25:06Z","2023-02-23T11:25:06Z","true","16 p.","FORM",,"publishedVersion"
"490276","20.500.11850/3","Visakorpi, Kristiina||Block, Sebastián||Pellissier, Loïc||Levine, Jonathan M.||Alexander, Jake",,,,"2023-02-18T10:47:24Z","2022-12-17T08:54:26Z||2022-12-19T07:28:05Z||2023-02-18T10:47:24Z","2023-02","2022-11-10","Understanding the traits mediating species' responses to climate change is a cornerstone for predicting future community composition and ecosystem function. Although species' eco-physiological properties determine their response to environmental change, most trait-based studies focus on a small subset of easily measured morphological traits as proxies for physiology. This choice may limit our ability to predict the impacts of climate change on species' demography, and obscure the underlying mechanisms. We conducted a transplantation experiment along a 1000-m elevation gradient in the Alps to quantify the degree to which changes in plant abundance due to climate warming were predicted by eco-physiological performance versus common morphological traits. Physiological measurements revealed that warming favoured species with a conservative leaf-level water use strategy whereas species whose leaf-level water use was more ‘wasteful’ were more likely to suffer from the warmer and drier climate. Nevertheless, the predictive power of physiological traits did not exceed that of morphological traits. Our results, therefore, show that while easily measured morphological traits can successfully predict plant abundance responses to climate, eco-physiological approaches are needed to understand the underlying mechanism.","application/pdf","10.3929/ethz-b-000587865",,"0269-8463||1365-2435","10.1111/1365-2435.14228","http://hdl.handle.net/20.500.11850/587865","en","Wiley-Blackwell","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","alpine||altitude||climate change||ecophysiology||functional traits||plant||translocation||water-use efficiency","Eco-physiological and morphological traits explain alpine plant species' response to warming",,"Journal Article","Open access",,,,"2022-12-17T08:54:31Z",,,,"yes","Timescales of changing species interactions under warming climate||Novel`interactions and species’ responses to climate change","173210||678841","10.13039/501100001711||10.13039/501100000780","SNF||EC","Projekte Lebenswissenschaften||H2020",,,"85142244952","000888825100001","Funct. Ecol.","2","Functional Ecology","37","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::09666 - Alexander, Jake (ehemalig) / Alexander, Jake (former)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc","09666||09553","09666||09553",,"301","287","Oxford","published",,,,"true","2023-02-18T10:47:25Z","2023-02-18T10:47:25Z","true",,"WOS",,"publishedVersion"
"490665","20.500.11850/5","Rozanski, Romane||Eme, David||Boiron Leroy, Anne||Rufino, Marta M.||Albouy, Camille",,,,"2023-02-21T16:28:29Z","2023-01-26T12:04:10Z||2023-02-21T09:07:35Z||2023-02-21T16:28:29Z","2023-02",,,"application/pdf","10.3929/ethz-b-000595036",,"0012-9658||1939-9170","10.1002/ecy.3924","http://hdl.handle.net/20.500.11850/595036","en","Wiley","Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International","http://creativecommons.org/licenses/by-nc-nd/4.0/",,"A multispecies, intraspecific functional traits data set on fish species from the Bay of Biscay, France",,"Other Journal Item","Open access",,,,"2023-01-26T12:04:10Z",,,,"yes",,,,,,,,,"000907012800001","Ecol.","2","Ecology","104","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09553 - Pellissier, Loïc / Pellissier, Loïc","09553","09553",,,,,"published",,,"10.6084/m9.figshare.19410818.v2","true","2023-02-21T09:07:37Z","2023-02-21T09:07:38Z","true","2 p.","FORM",,"publishedVersion"
"490854","20.500.11850/21","Weber, Michelle Sarah",,,,"2023-02-23T06:54:30Z","2023-02-22T20:53:27Z||2023-02-23T06:54:30Z","2023-02","2023-02-23",,"application/pdf","10.3929/ethz-b-000600120",,,,"http://hdl.handle.net/20.500.11850/600120","en","ETH Zurich","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"3D Tree Model Creation (for VR)",,"Report","Open access",,,,"2023-02-22T20:53:27Z",,,,"yes",,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::09723 - Griess, Verena C. / Griess, Verena C.",,"09723",,"Process Documentation.",,,"Zurich","published",,,,"true","2023-02-23T06:54:32Z","2023-02-23T06:54:32Z","true","35 p.","FORM",,
